

Standort: 1 F,Miescher-Str

[km/h]				 [m]
Dateformat: dd.mm.yy
033	13:46:46	27.02.15	1	3.9
042	13:49:15	27.02.15	1	3.5
034	13:49:49	27.02.15	1	3.8
017	13:51:13	27.02.15	1	4.9
033	13:53:11	27.02.15	1	4.7
034	13:53:21	27.02.15	1	5.0
033	13:54:11	27.02.15	1	4.8
040	13:54:16	27.02.15	1	4.6
026	13:55:09	27.02.15	1	6.6
024	13:55:55	27.02.15	1	3.5
034	13:56:28	27.02.15	1	4.5
040	13:56:49	27.02.15	1	4.3
018	13:58:41	27.02.15	1	4.5
015	13:59:57	27.02.15	1	0.9
034	14:05:29	27.02.15	1	6.5
040	14:10:19	27.02.15	1	4.6
036	14:11:49	27.02.15	1	3.6
049	14:12:50	27.02.15	1	3.9
018	14:15:03	27.02.15	1	3.6
032	14:15:04	27.02.15	1	3.6
021	14:16:37	27.02.15	1	3.7
033	14:20:23	27.02.15	1	4.7
039	14:20:33	27.02.15	1	3.8
041	14:20:55	27.02.15	1	3.9
040	14:23:27	27.02.15	1	3.9
033	14:27:06	27.02.15	1	4.5
032	14:28:33	27.02.15	1	4.3
031	14:32:51	27.02.15	1	4.4
030	14:33:56	27.02.15	1	4.2
046	14:34:26	27.02.15	1	4.4
030	14:37:36	27.02.15	1	3.7
028	14:38:31	27.02.15	1	5.8
037	14:42:33	27.02.15	1	4.2
033	14:42:52	27.02.15	1	3.9
010	14:45:07	27.02.15	1	2.0
036	14:46:20	27.02.15	1	4.2
027	14:47:19	27.02.15	1	5.9
032	14:48:07	27.02.15	1	4.3
043	14:58:41	27.02.15	1	4.1
043	14:58:44	27.02.15	1	4.0
021	14:59:09	27.02.15	1	4.4
038	14:59:14	27.02.15	1	5.6
032	14:59:41	27.02.15	1	4.8
036	15:02:14	27.02.15	1	3.9
031	15:06:26	27.02.15	1	3.8
031	15:07:59	27.02.15	1	3.7
077	15:09:07	27.02.15	1	6.3
023	15:10:07	27.02.15	1	6.6
034	15:11:44	27.02.15	1	7.1
028	15:18:46	27.02.15	1	4.5
034	15:18:58	27.02.15	1	4.0
037	15:22:20	27.02.15	1	8.1
021	15:24:15	27.02.15	1	3.8
033	15:26:04	27.02.15	1	3.6
053	15:27:39	27.02.15	1	4.5
027	15:28:11	27.02.15	1	3.9
038	15:30:52	27.02.15	1	4.9
039	15:32:22	27.02.15	1	4.5
030	15:35:14	27.02.15	1	4.3
031	15:35:49	27.02.15	1	4.4
039	15:37:18	27.02.15	1	5.5
028	15:38:02	27.02.15	1	6.4
035	15:44:31	27.02.15	1	5.2
029	15:45:09	27.02.15	1	4.0
033	15:45:46	27.02.15	1	4.3
011	15:46:02	27.02.15	1	0.8
034	15:47:27	27.02.15	1	3.9
048	15:52:27	27.02.15	1	4.4
041	15:53:57	27.02.15	1	3.9
028	15:57:15	27.02.15	1	4.2
021	16:01:42	27.02.15	1	3.1
019	16:06:14	27.02.15	1	5.7
047	16:06:46	27.02.15	1	3.5
034	16:08:02	27.02.15	1	6.0
018	16:10:26	27.02.15	1	1.2
036	16:10:27	27.02.15	1	4.2
028	16:10:41	27.02.15	1	7.4
037	16:11:05	27.02.15	1	4.6
028	16:16:24	27.02.15	1	4.6
034	16:16:53	27.02.15	1	3.6
029	16:19:50	27.02.15	1	5.3
030	16:19:54	27.02.15	1	4.6
030	16:20:19	27.02.15	1	4.2
053	16:21:44	27.02.15	1	3.8
039	16:24:06	27.02.15	1	4.2
028	16:25:11	27.02.15	1	3.4
028	16:26:22	27.02.15	1	4.8
037	16:30:28	27.02.15	1	4.5
026	16:35:43	27.02.15	1	2.8
024	16:36:42	27.02.15	1	4.0
043	16:40:08	27.02.15	1	4.1
019	16:41:45	27.02.15	1	4.0
030	16:41:59	27.02.15	1	4.2
027	16:43:57	27.02.15	1	4.1
035	16:46:21	27.02.15	1	4.9
026	16:55:08	27.02.15	1	3.5
033	16:58:45	27.02.15	1	3.6
037	17:00:42	27.02.15	1	4.4
029	17:08:48	27.02.15	1	4.1
024	17:17:07	27.02.15	1	3.8
014	17:18:34	27.02.15	1	2.9
045	17:24:13	27.02.15	1	4.1
037	17:24:38	27.02.15	1	4.4
020	17:29:28	27.02.15	1	0.6
036	17:31:41	27.02.15	1	3.5
024	17:35:48	27.02.15	1	4.4
034	17:51:33	27.02.15	1	3.9
