

Standort: 1 Friedrichsgass

[km/h]				 [m]
Dateformat: dd.mm.yy
009	10:38:52	06.03.15	2	3.5
003	10:38:57	06.03.15	2	3.6
005	10:40:20	06.03.15	2	3.6
007	10:40:34	06.03.15	2	3.7
008	10:41:11	06.03.15	2	7.2
014	10:41:41	06.03.15	2	3.7
007	10:47:05	06.03.15	2	3.8
008	10:47:06	06.03.15	2	3.8
006	10:53:41	06.03.15	2	3.8
025	10:58:40	06.03.15	2	7.7
018	11:00:13	06.03.15	2	4.7
016	11:03:42	06.03.15	2	4.1
026	11:05:07	06.03.15	2	8.2
020	11:07:29	06.03.15	2	4.2
008	11:10:33	06.03.15	2	1.7
023	11:11:34	06.03.15	2	8.5
029	11:11:52	06.03.15	2	8.6
032	11:11:53	06.03.15	2	9.4
017	11:13:29	06.03.15	2	8.9
014	11:14:30	06.03.15	2	4.0
032	11:15:28	06.03.15	2	10.0
013	11:18:07	06.03.15	2	4.2
010	11:19:15	06.03.15	2	3.7
015	11:25:31	06.03.15	2	4.0
024	11:27:18	06.03.15	2	8.4
006	11:37:01	06.03.15	2	3.9
005	11:37:02	06.03.15	2	3.9
021	11:37:30	06.03.15	2	12.1
015	11:39:22	06.03.15	2	4.5
007	11:42:54	06.03.15	2	1.9
021	11:45:49	06.03.15	2	10.9
006	11:48:06	06.03.15	2	4.0
018	11:48:51	06.03.15	2	4.0
028	11:48:56	06.03.15	2	9.0
022	11:49:29	06.03.15	2	10.5
021	11:51:06	06.03.15	2	9.7
019	11:52:45	06.03.15	2	4.5
012	11:52:53	06.03.15	2	5.1
010	11:52:57	06.03.15	2	3.5
015	11:54:02	06.03.15	2	4.0
024	11:54:17	06.03.15	2	9.3
017	11:54:32	06.03.15	2	5.0
007	11:55:18	06.03.15	2	4.0
019	11:56:49	06.03.15	2	4.8
007	11:57:45	06.03.15	2	4.1
020	11:58:09	06.03.15	2	3.8
019	11:58:14	06.03.15	2	4.4
020	11:59:32	06.03.15	2	4.8
019	12:00:00	06.03.15	2	9.5
008	12:00:10	06.03.15	2	3.9
016	12:01:56	06.03.15	2	4.7
006	12:02:34	06.03.15	2	1.9
022	12:02:41	06.03.15	2	4.1
033	12:03:59	06.03.15	2	7.6
007	12:05:34	06.03.15	2	3.3
022	12:05:40	06.03.15	2	9.0
020	12:06:56	06.03.15	2	4.5
006	12:09:02	06.03.15	2	4.1
011	12:09:32	06.03.15	2	4.1
015	12:09:50	06.03.15	2	4.3
016	12:10:20	06.03.15	2	8.0
025	12:10:25	06.03.15	2	4.6
005	12:10:29	06.03.15	2	4.1
009	12:10:43	06.03.15	2	3.7
007	12:10:50	06.03.15	2	1.7
027	12:12:30	06.03.15	2	4.5
006	12:13:08	06.03.15	2	1.7
021	12:13:24	06.03.15	2	8.5
024	12:13:50	06.03.15	2	4.3
013	12:14:44	06.03.15	2	4.2
016	12:14:53	06.03.15	2	4.4
005	12:15:10	06.03.15	2	4.2
009	12:15:11	06.03.15	2	4.2
006	12:15:15	06.03.15	2	4.2
007	12:15:16	06.03.15	2	4.2
008	12:15:25	06.03.15	2	4.2
008	12:16:17	06.03.15	2	4.0
017	12:16:26	06.03.15	2	8.5
006	12:16:28	06.03.15	2	4.2
007	12:16:28	06.03.15	2	4.2
021	12:18:17	06.03.15	2	3.9
022	12:19:03	06.03.15	2	9.7
008	12:19:32	06.03.15	2	4.3
007	12:19:43	06.03.15	2	4.3
018	12:20:57	06.03.15	2	4.3
009	12:21:55	06.03.15	2	4.3
011	12:21:58	06.03.15	2	6.7
029	12:22:17	06.03.15	2	8.1
012	12:22:53	06.03.15	2	4.1
011	12:24:41	06.03.15	2	8.5
007	12:27:43	06.03.15	2	4.3
017	12:28:15	06.03.15	2	9.7
006	12:29:00	06.03.15	2	1.9
006	12:31:01	06.03.15	2	3.9
006	12:31:06	06.03.15	2	1.7
021	12:31:18	06.03.15	2	4.3
008	12:31:57	06.03.15	2	7.2
012	12:32:06	06.03.15	2	9.7
016	12:32:19	06.03.15	2	4.5
027	12:33:13	06.03.15	2	10.0
013	12:34:21	06.03.15	2	4.8
024	12:35:48	06.03.15	2	8.2
008	12:36:13	06.03.15	2	4.3
022	12:36:20	06.03.15	2	8.6
014	12:37:35	06.03.15	2	4.4
010	12:37:55	06.03.15	2	4.9
025	12:38:25	06.03.15	2	8.0
015	12:39:47	06.03.15	2	7.4
019	12:43:11	06.03.15	2	4.0
015	12:43:49	06.03.15	2	8.8
021	12:45:00	06.03.15	2	9.1
024	12:45:06	06.03.15	2	9.7
024	12:45:50	06.03.15	2	9.4
007	12:46:07	06.03.15	2	1.9
006	12:46:45	06.03.15	2	4.4
019	12:47:26	06.03.15	2	9.2
020	12:48:29	06.03.15	2	8.4
011	12:48:52	06.03.15	2	6.5
019	12:49:04	06.03.15	2	9.2
014	12:49:28	06.03.15	2	4.4
025	12:49:38	06.03.15	2	7.0
008	12:49:43	06.03.15	2	4.4
022	12:50:30	06.03.15	2	9.2
017	12:50:41	06.03.15	2	4.0
021	12:52:20	06.03.15	2	4.3
026	12:52:40	06.03.15	2	8.5
016	12:54:08	06.03.15	2	4.7
011	12:55:08	06.03.15	2	4.4
021	12:55:59	06.03.15	2	8.1
007	12:56:13	06.03.15	2	4.4
027	12:56:44	06.03.15	2	8.2
021	12:58:20	06.03.15	2	7.4
005	12:58:24	06.03.15	2	4.5
019	12:59:19	06.03.15	2	4.3
020	12:59:26	06.03.15	2	4.0
019	12:59:47	06.03.15	2	7.7
027	13:00:25	06.03.15	2	9.0
009	13:00:29	06.03.15	2	4.5
006	13:01:21	06.03.15	2	4.5
020	13:01:28	06.03.15	2	4.5
022	13:01:31	06.03.15	2	9.1
011	13:02:16	06.03.15	2	4.4
030	13:02:44	06.03.15	2	7.9
015	13:02:56	06.03.15	2	8.9
018	13:03:52	06.03.15	2	8.1
022	13:04:21	06.03.15	2	7.6
015	13:05:05	06.03.15	2	4.5
015	13:05:38	06.03.15	2	4.0
007	13:05:45	06.03.15	2	4.5
022	13:06:56	06.03.15	2	8.3
015	13:07:05	06.03.15	2	4.3
017	13:07:07	06.03.15	2	7.1
006	13:07:12	06.03.15	2	1.9
029	13:07:34	06.03.15	2	11.1
029	13:08:05	06.03.15	2	8.4
022	13:08:30	06.03.15	2	8.9
008	13:09:27	06.03.15	2	4.5
006	13:09:59	06.03.15	2	4.5
024	13:10:20	06.03.15	2	9.0
029	13:12:09	06.03.15	2	4.5
015	13:12:42	06.03.15	2	7.4
006	13:12:43	06.03.15	2	4.6
033	13:13:06	06.03.15	2	5.5
006	13:13:25	06.03.15	2	4.6
034	13:13:47	06.03.15	2	5.3
009	13:14:28	06.03.15	2	4.6
030	13:14:33	06.03.15	2	8.4
025	13:15:00	06.03.15	2	9.3
014	13:15:09	06.03.15	2	4.8
025	13:16:28	06.03.15	2	7.9
005	13:16:41	06.03.15	2	4.6
007	13:17:32	06.03.15	2	4.7
008	13:19:07	06.03.15	2	4.7
006	13:20:14	06.03.15	2	4.7
023	13:20:36	06.03.15	2	8.1
010	13:21:30	06.03.15	2	4.7
025	13:21:47	06.03.15	2	9.3
020	13:21:51	06.03.15	2	7.5
007	13:23:50	06.03.15	2	4.7
013	13:23:57	06.03.15	2	4.2
007	13:24:07	06.03.15	2	4.8
007	13:24:08	06.03.15	2	4.8
006	13:24:25	06.03.15	2	4.8
007	13:24:30	06.03.15	2	4.8
027	13:25:19	06.03.15	2	8.7
009	13:26:39	06.03.15	2	4.8
017	13:27:16	06.03.15	2	10.9
008	13:27:57	06.03.15	2	4.9
021	13:28:13	06.03.15	2	10.1
008	13:28:18	06.03.15	2	4.9
006	13:28:38	06.03.15	2	1.6
008	13:29:53	06.03.15	2	4.9
013	13:30:16	06.03.15	2	4.5
017	13:30:19	06.03.15	2	4.4
023	13:30:56	06.03.15	2	7.5
009	13:30:57	06.03.15	2	4.9
034	13:31:13	06.03.15	2	4.6
023	13:33:07	06.03.15	2	7.9
011	13:34:02	06.03.15	2	8.7
