

Standort: 1 Fuerstensteine

[km/h]				 [m]
Dateformat: dd.mm.yy
004	09:41:05	06.02.15	2	3.5
004	09:41:20	06.02.15	2	3.5
005	09:44:13	06.02.15	2	3.6
009	09:49:10	06.02.15	2	2.9
024	09:53:13	06.02.15	2	6.4
018	09:56:45	06.02.15	2	4.3
015	10:36:35	06.02.15	2	3.6
017	10:39:33	06.02.15	2	6.5
004	10:43:37	06.02.15	2	1.8
005	11:07:17	06.02.15	2	3.6
009	11:17:41	06.02.15	2	10.6
008	11:17:41	06.02.15	2	3.7
020	11:27:25	06.02.15	2	5.2
014	11:50:15	06.02.15	2	3.3
021	11:58:49	06.02.15	2	3.7
008	12:27:35	06.02.15	2	1.6
017	12:28:37	06.02.15	2	3.6
007	12:30:17	06.02.15	2	2.0
008	12:52:21	06.02.15	2	3.7
006	13:21:16	06.02.15	2	2.6
005	13:35:04	06.02.15	2	1.6
014	13:40:00	06.02.15	2	3.8
025	13:45:25	06.02.15	2	3.5
004	14:13:14	06.02.15	2	3.8
006	15:21:44	06.02.15	2	2.1
024	15:43:31	06.02.15	2	3.2
027	16:23:16	06.02.15	2	3.8
013	16:26:05	06.02.15	2	4.2
011	16:37:57	06.02.15	2	3.9
016	16:42:12	06.02.15	2	3.6
007	16:59:27	06.02.15	2	1.9
028	17:07:56	06.02.15	2	3.5
004	17:37:26	06.02.15	2	1.6
005	17:40:01	06.02.15	2	1.6
006	18:07:52	06.02.15	2	1.7
009	18:22:26	06.02.15	2	5.8
013	19:34:17	06.02.15	2	3.4
007	19:55:36	06.02.15	2	1.9
029	20:01:09	06.02.15	2	4.2
020	20:12:55	06.02.15	2	3.2
025	20:13:54	06.02.15	2	3.7
004	20:18:21	06.02.15	2	4.0
005	20:18:23	06.02.15	2	4.0
008	21:00:07	06.02.15	2	2.1
006	21:09:30	06.02.15	2	4.0
008	21:09:31	06.02.15	2	4.0
018	21:53:36	06.02.15	2	3.9
008	21:58:24	06.02.15	2	1.7
015	01:20:31	07.02.15	2	3.8
008	06:47:15	07.02.15	2	3.5
007	07:48:46	07.02.15	2	4.0
013	08:32:55	07.02.15	2	4.1
023	08:43:52	07.02.15	2	3.3
024	08:57:41	07.02.15	2	3.8
010	09:28:26	07.02.15	2	3.5
014	09:34:22	07.02.15	2	4.2
016	09:45:40	07.02.15	2	2.4
028	10:32:10	07.02.15	2	4.5
010	10:41:56	07.02.15	2	4.1
014	11:18:59	07.02.15	2	3.4
015	11:36:19	07.02.15	2	4.9
007	11:52:49	07.02.15	2	2.0
008	11:59:21	07.02.15	2	4.1
008	12:44:47	07.02.15	2	4.1
012	12:51:30	07.02.15	2	3.5
006	13:04:02	07.02.15	2	1.7
006	13:14:33	07.02.15	2	2.1
017	14:14:52	07.02.15	2	2.9
015	14:25:24	07.02.15	2	3.2
006	14:27:09	07.02.15	2	4.1
008	14:42:00	07.02.15	2	4.1
005	14:56:30	07.02.15	2	4.1
016	15:11:51	07.02.15	2	4.7
019	15:14:32	07.02.15	2	4.7
024	15:16:29	07.02.15	2	3.4
007	15:37:48	07.02.15	2	4.1
007	15:45:43	07.02.15	2	1.7
008	16:06:30	07.02.15	2	4.1
017	16:10:25	07.02.15	2	2.0
007	16:11:05	07.02.15	2	4.2
012	17:01:36	07.02.15	2	4.2
015	17:17:10	07.02.15	2	2.4
006	17:27:12	07.02.15	2	4.2
007	17:44:09	07.02.15	2	4.2
005	17:53:00	07.02.15	2	2.2
006	17:54:00	07.02.15	2	2.2
005	17:59:39	07.02.15	2	1.8
017	18:10:59	07.02.15	2	4.2
005	18:20:13	07.02.15	2	1.7
006	18:31:00	07.02.15	2	1.9
006	18:31:02	07.02.15	2	4.2
006	18:31:03	07.02.15	2	4.2
028	20:25:11	07.02.15	2	7.8
007	20:50:33	07.02.15	2	4.2
012	20:55:59	07.02.15	2	3.7
021	21:00:01	07.02.15	2	3.7
020	21:00:18	07.02.15	2	4.5
026	21:12:35	07.02.15	2	4.0
016	21:36:43	07.02.15	2	6.6
013	21:37:11	07.02.15	2	4.3
009	21:37:53	07.02.15	2	3.9
011	21:37:55	07.02.15	2	3.5
005	21:47:23	07.02.15	2	4.3
008	22:25:47	07.02.15	2	5.9
005	01:17:13	08.02.15	2	4.3
029	07:04:48	08.02.15	2	3.8
007	08:51:31	08.02.15	2	1.8
007	09:52:40	08.02.15	2	5.7
008	09:53:41	08.02.15	2	1.9
016	10:38:19	08.02.15	2	4.3
007	10:48:42	08.02.15	2	4.3
009	12:10:08	08.02.15	2	1.7
006	12:36:49	08.02.15	2	4.3
007	12:44:31	08.02.15	2	4.3
006	12:47:32	08.02.15	2	2.4
006	12:52:26	08.02.15	2	4.3
007	13:43:03	08.02.15	2	1.8
010	14:05:17	08.02.15	2	4.3
022	14:06:38	08.02.15	2	3.8
008	14:28:18	08.02.15	2	4.4
006	15:22:15	08.02.15	2	4.4
017	15:35:12	08.02.15	2	4.0
007	16:03:09	08.02.15	2	4.4
004	16:03:16	08.02.15	2	4.4
007	16:03:17	08.02.15	2	4.4
005	16:29:37	08.02.15	2	4.4
007	17:03:06	08.02.15	2	4.4
011	17:28:43	08.02.15	2	1.9
016	17:41:13	08.02.15	2	4.0
025	18:23:06	08.02.15	2	4.0
006	18:49:52	08.02.15	2	4.4
006	19:21:49	08.02.15	2	2.7
004	19:41:00	08.02.15	2	1.7
013	19:58:23	08.02.15	2	2.9
007	20:56:48	08.02.15	2	4.4
007	05:43:03	09.02.15	2	2.0
020	05:52:40	09.02.15	2	4.2
015	05:54:30	09.02.15	2	3.5
017	06:18:26	09.02.15	2	4.3
009	06:53:03	09.02.15	2	3.3
015	06:57:09	09.02.15	2	3.2
006	07:08:48	09.02.15	2	4.5
006	07:12:42	09.02.15	2	1.8
011	07:28:59	09.02.15	2	2.1
022	07:37:25	09.02.15	2	4.1
019	07:37:37	09.02.15	2	3.5
007	07:51:55	09.02.15	2	1.6
007	08:03:08	09.02.15	2	4.5
014	08:04:03	09.02.15	2	3.5
005	08:06:46	09.02.15	2	4.5
005	08:08:28	09.02.15	2	1.9
015	08:15:03	09.02.15	2	3.7
011	08:17:01	09.02.15	2	2.2
020	08:24:28	09.02.15	2	4.7
017	08:26:54	09.02.15	2	3.6
024	08:36:02	09.02.15	2	3.8
011	08:36:41	09.02.15	2	1.9
020	08:39:58	09.02.15	2	4.1
023	08:44:02	09.02.15	2	3.3
026	08:44:08	09.02.15	2	4.1
006	09:22:06	09.02.15	2	4.5
004	10:02:55	09.02.15	2	4.5
022	10:08:04	09.02.15	2	5.6
019	10:19:52	09.02.15	2	3.6
005	10:37:15	09.02.15	2	4.5
017	10:40:58	09.02.15	2	3.1
007	11:15:00	09.02.15	2	4.5
006	11:18:13	09.02.15	2	1.7
030	11:28:02	09.02.15	2	8.1
018	11:28:20	09.02.15	2	7.2
023	11:54:50	09.02.15	2	3.9
019	11:56:06	09.02.15	2	3.1
017	12:00:31	09.02.15	2	8.8
013	12:29:54	09.02.15	2	1.6
016	12:54:57	09.02.15	2	3.4
013	13:08:16	09.02.15	2	3.4
007	13:09:08	09.02.15	2	4.6
006	13:24:54	09.02.15	2	4.6
008	13:35:12	09.02.15	2	2.0
020	13:42:19	09.02.15	2	3.6
021	13:48:12	09.02.15	2	3.6
017	13:49:25	09.02.15	2	3.4
017	13:57:05	09.02.15	2	3.7
011	14:33:28	09.02.15	2	3.1
006	14:34:33	09.02.15	2	1.8
007	14:36:32	09.02.15	2	1.7
006	14:41:28	09.02.15	2	1.7
018	15:28:57	09.02.15	2	3.7
005	16:03:20	09.02.15	2	2.0
007	16:11:25	09.02.15	2	2.1
012	16:12:14	09.02.15	2	2.0
006	16:17:34	09.02.15	2	2.0
014	16:19:43	09.02.15	2	3.3
005	16:28:32	09.02.15	2	1.8
017	16:56:42	09.02.15	2	3.9
012	17:34:28	09.02.15	2	4.6
006	17:40:29	09.02.15	2	1.8
006	18:03:35	09.02.15	2	1.7
008	18:07:21	09.02.15	2	4.7
008	18:16:37	09.02.15	2	4.7
019	18:22:39	09.02.15	2	3.5
004	18:39:03	09.02.15	2	4.7
006	18:44:02	09.02.15	2	1.6
007	18:56:03	09.02.15	2	4.7
021	18:59:13	09.02.15	2	3.9
018	19:03:26	09.02.15	2	4.7
018	21:07:17	09.02.15	2	3.3
008	21:19:11	09.02.15	2	1.6
017	21:48:52	09.02.15	2	4.0
016	22:18:56	09.02.15	2	3.4
007	05:44:15	10.02.15	2	2.1
020	05:54:10	10.02.15	2	3.8
016	07:14:22	10.02.15	2	4.5
010	07:17:28	10.02.15	2	4.8
016	07:20:48	10.02.15	2	3.4
011	07:23:20	10.02.15	2	1.7
010	07:32:02	10.02.15	2	2.1
006	07:32:56	10.02.15	2	2.0
