

Standort: 1 Hebelstrasse

[km/h]				 [m]
Dateformat: dd.mm.yy
013	10:14:54	13.03.15	1	3.5
007	10:15:22	13.03.15	1	3.5
009	10:27:17	13.03.15	1	2.0
019	10:34:37	13.03.15	1	3.6
020	10:40:04	13.03.15	1	5.0
024	11:00:09	13.03.15	1	5.9
018	11:13:51	13.03.15	1	5.5
024	11:24:25	13.03.15	1	4.1
020	11:30:38	13.03.15	1	4.1
018	11:32:16	13.03.15	1	4.6
019	11:37:41	13.03.15	1	5.1
011	12:03:45	13.03.15	1	2.2
020	12:03:47	13.03.15	1	7.8
015	12:26:05	13.03.15	1	4.4
009	12:26:21	13.03.15	1	3.5
015	12:33:57	13.03.15	1	4.7
016	12:34:23	13.03.15	1	5.0
017	12:35:57	13.03.15	1	5.3
016	12:36:19	13.03.15	1	6.4
019	13:01:04	13.03.15	1	4.0
026	13:09:03	13.03.15	1	3.7
014	13:45:34	13.03.15	1	3.9
019	13:49:47	13.03.15	1	4.2
019	14:24:29	13.03.15	1	5.0
020	14:27:22	13.03.15	1	4.5
028	14:30:22	13.03.15	1	4.4
010	14:39:55	13.03.15	1	4.2
032	14:44:47	13.03.15	1	3.9
024	16:12:30	13.03.15	1	5.1
024	16:14:00	13.03.15	1	4.3
016	16:22:45	13.03.15	1	4.2
019	16:37:44	13.03.15	1	4.1
021	16:43:46	13.03.15	1	5.0
021	16:51:35	13.03.15	1	4.1
019	16:55:17	13.03.15	1	4.7
018	17:02:22	13.03.15	1	4.5
022	17:16:34	13.03.15	1	3.7
025	17:34:43	13.03.15	1	4.1
017	17:37:10	13.03.15	1	4.6
020	17:45:27	13.03.15	1	4.7
025	18:20:17	13.03.15	1	4.9
008	18:29:31	13.03.15	1	4.1
018	18:29:33	13.03.15	1	6.1
010	18:32:04	13.03.15	1	3.6
008	18:32:23	13.03.15	1	4.1
024	18:53:14	13.03.15	1	4.3
022	19:03:32	13.03.15	1	4.9
022	19:03:44	13.03.15	1	4.3
021	19:13:50	13.03.15	1	4.4
021	19:28:39	13.03.15	1	4.0
009	19:36:03	13.03.15	1	4.2
020	19:38:55	13.03.15	1	3.9
020	19:38:56	13.03.15	1	4.0
020	19:43:27	13.03.15	1	4.8
023	19:55:44	13.03.15	1	4.4
027	20:28:01	13.03.15	1	4.2
021	20:33:24	13.03.15	1	5.8
019	20:59:51	13.03.15	1	4.1
026	21:17:07	13.03.15	1	4.4
021	21:31:19	13.03.15	1	4.5
014	23:31:03	13.03.15	1	4.2
009	01:03:38	14.03.15	1	2.5
014	01:06:52	14.03.15	1	3.8
018	01:06:54	14.03.15	1	4.0
015	01:37:42	14.03.15	1	4.2
022	06:49:56	14.03.15	1	4.7
020	08:04:42	14.03.15	1	4.9
030	08:56:01	14.03.15	1	4.8
017	08:57:34	14.03.15	1	5.0
016	09:10:19	14.03.15	1	5.9
020	09:13:27	14.03.15	1	5.4
024	09:34:23	14.03.15	1	4.1
027	09:34:24	14.03.15	1	4.2
020	09:46:08	14.03.15	1	4.9
026	09:46:30	14.03.15	1	4.0
022	10:01:06	14.03.15	1	4.8
026	10:17:49	14.03.15	1	4.1
014	10:26:49	14.03.15	1	4.0
006	10:49:02	14.03.15	1	4.3
009	10:49:06	14.03.15	1	5.6
021	10:55:37	14.03.15	1	4.5
009	10:56:35	14.03.15	1	2.0
015	11:03:20	14.03.15	1	4.5
022	11:17:01	14.03.15	1	4.5
013	11:59:12	14.03.15	1	4.3
007	12:03:04	14.03.15	1	2.9
025	12:16:50	14.03.15	1	4.1
009	12:51:14	14.03.15	1	4.3
015	12:51:16	14.03.15	1	5.6
007	12:56:52	14.03.15	1	2.6
007	12:58:48	14.03.15	1	4.3
007	13:00:35	14.03.15	1	1.9
009	13:00:54	14.03.15	1	2.1
008	13:02:14	14.03.15	1	2.6
017	13:09:51	14.03.15	1	5.1
012	13:46:29	14.03.15	1	3.4
015	13:54:22	14.03.15	1	4.3
016	14:00:33	14.03.15	1	4.4
022	14:53:02	14.03.15	1	4.2
017	15:06:39	14.03.15	1	4.4
026	15:34:36	14.03.15	1	4.6
017	16:14:28	14.03.15	1	4.4
016	16:15:16	14.03.15	1	5.2
011	16:38:33	14.03.15	1	3.9
020	17:01:28	14.03.15	1	3.9
018	17:04:55	14.03.15	1	4.3
007	17:13:11	14.03.15	1	3.0
018	17:20:43	14.03.15	1	4.7
016	17:49:37	14.03.15	1	3.8
005	17:50:02	14.03.15	1	1.8
023	17:56:46	14.03.15	1	4.5
008	17:57:50	14.03.15	1	4.4
014	18:52:01	14.03.15	1	3.7
016	18:54:51	14.03.15	1	4.5
015	19:03:49	14.03.15	1	4.4
016	19:10:26	14.03.15	1	4.3
009	19:15:25	14.03.15	1	2.6
015	19:19:09	14.03.15	1	5.6
016	19:20:33	14.03.15	1	4.2
021	19:24:18	14.03.15	1	4.1
026	19:38:20	14.03.15	1	8.0
013	23:07:40	14.03.15	1	3.7
018	00:21:47	15.03.15	1	4.6
005	01:32:14	15.03.15	1	1.8
006	01:32:14	15.03.15	1	4.5
017	07:20:01	15.03.15	1	5.0
018	08:08:47	15.03.15	1	4.2
018	08:15:26	15.03.15	1	4.2
010	09:02:22	15.03.15	1	4.1
016	09:11:25	15.03.15	1	4.4
008	09:18:33	15.03.15	1	4.5
010	09:18:35	15.03.15	1	5.4
010	09:18:37	15.03.15	1	5.4
017	10:01:45	15.03.15	1	4.7
033	10:11:34	15.03.15	1	4.1
019	10:20:35	15.03.15	1	4.6
007	11:09:51	15.03.15	1	4.6
005	11:10:26	15.03.15	1	2.2
008	11:14:56	15.03.15	1	3.6
025	11:18:41	15.03.15	1	4.7
011	11:28:45	15.03.15	1	4.6
009	11:28:53	15.03.15	1	3.6
024	11:51:41	15.03.15	1	4.3
009	11:52:33	15.03.15	1	4.7
020	12:19:31	15.03.15	1	4.6
024	12:33:16	15.03.15	1	4.5
019	12:59:54	15.03.15	1	5.5
015	14:22:59	15.03.15	1	4.9
007	14:26:36	15.03.15	1	2.2
029	14:32:07	15.03.15	1	4.5
017	14:39:43	15.03.15	1	5.5
019	15:19:53	15.03.15	1	5.5
021	15:24:40	15.03.15	1	4.1
016	15:44:24	15.03.15	1	3.9
006	15:49:11	15.03.15	1	4.8
007	15:49:13	15.03.15	1	2.8
008	15:49:14	15.03.15	1	3.5
006	15:49:15	15.03.15	1	4.8
022	15:53:16	15.03.15	1	3.8
020	15:53:19	15.03.15	1	4.4
016	16:43:47	15.03.15	1	6.8
018	16:47:14	15.03.15	1	4.2
020	16:52:11	15.03.15	1	4.3
014	17:26:09	15.03.15	1	5.4
016	17:44:50	15.03.15	1	5.2
019	17:44:54	15.03.15	1	4.6
019	17:49:02	15.03.15	1	5.3
013	17:58:13	15.03.15	1	5.2
023	18:29:17	15.03.15	1	4.9
016	18:34:28	15.03.15	1	4.7
019	18:36:51	15.03.15	1	4.1
030	19:06:01	15.03.15	1	4.5
019	19:15:21	15.03.15	1	4.0
024	19:19:42	15.03.15	1	4.4
