

Standort: 1 Steinengraben

[km/h]				 [m]
Dateformat: dd.mm.yy
046	13:58:29	20.03.15	1	7.4
045	13:58:48	20.03.15	1	5.2
048	13:58:50	20.03.15	1	5.2
041	13:58:51	20.03.15	1	4.0
041	13:58:53	20.03.15	1	3.8
042	13:58:55	20.03.15	1	5.1
039	13:58:57	20.03.15	1	4.8
042	13:58:58	20.03.15	1	4.4
046	13:58:59	20.03.15	1	4.6
042	13:59:22	20.03.15	1	4.2
041	13:59:23	20.03.15	1	4.3
031	13:59:46	20.03.15	1	3.8
057	13:59:53	20.03.15	1	4.1
052	13:59:54	20.03.15	1	3.6
052	13:59:57	20.03.15	1	6.4
043	14:00:04	20.03.15	1	10.4
046	14:00:06	20.03.15	1	6.6
057	14:00:07	20.03.15	1	4.0
048	14:00:10	20.03.15	1	5.3
041	14:00:38	20.03.15	1	4.2
040	14:04:46	20.03.15	1	20.2
047	14:04:47	20.03.15	1	5.4
052	14:04:49	20.03.15	1	6.9
050	14:04:50	20.03.15	1	3.7
052	14:04:51	20.03.15	1	4.5
050	14:04:54	20.03.15	1	4.8
054	14:04:56	20.03.15	1	5.8
049	14:06:11	20.03.15	1	0.5
045	14:06:15	20.03.15	1	1.4
047	14:06:19	20.03.15	1	1.9
036	14:06:55	20.03.15	1	3.3
050	14:07:07	20.03.15	1	1.3
048	14:07:12	20.03.15	1	2.6
049	14:09:32	20.03.15	1	4.3
066	14:09:38	20.03.15	1	5.9
056	14:09:41	20.03.15	1	4.6
044	14:09:41	20.03.15	1	2.2
049	14:09:42	20.03.15	1	6.2
048	14:09:43	20.03.15	1	5.1
046	14:09:45	20.03.15	1	4.3
058	14:09:48	20.03.15	1	7.0
049	14:09:51	20.03.15	1	6.0
042	14:10:09	20.03.15	1	1.3
046	14:10:11	20.03.15	1	4.6
041	14:10:29	20.03.15	1	3.3
049	14:10:42	20.03.15	1	3.2
044	14:10:43	20.03.15	1	4.2
055	14:10:46	20.03.15	1	5.8
048	14:10:49	20.03.15	1	4.5
048	14:10:51	20.03.15	1	3.7
047	14:10:53	20.03.15	1	5.0
052	14:10:54	20.03.15	1	4.9
060	14:10:58	20.03.15	1	5.5
050	14:10:59	20.03.15	1	4.5
038	14:11:02	20.03.15	1	4.0
037	14:11:04	20.03.15	1	4.4
046	14:11:05	20.03.15	1	1.1
050	14:11:07	20.03.15	1	4.2
041	14:11:24	20.03.15	1	2.6
040	14:11:31	20.03.15	1	3.5
043	14:11:41	20.03.15	1	4.4
053	14:11:48	20.03.15	1	3.8
052	14:11:51	20.03.15	1	6.2
052	14:11:52	20.03.15	1	10.5
052	14:11:53	20.03.15	1	0.9
051	14:11:55	20.03.15	1	3.8
047	14:11:57	20.03.15	1	1.0
047	14:11:58	20.03.15	1	0.6
050	14:11:59	20.03.15	1	2.8
025	14:12:02	20.03.15	1	1.3
026	14:12:04	20.03.15	1	2.5
052	14:12:08	20.03.15	1	4.6
053	14:12:10	20.03.15	1	3.8
047	14:12:30	20.03.15	1	3.8
043	14:12:31	20.03.15	1	4.4
038	14:12:34	20.03.15	1	3.9
033	14:12:59	20.03.15	1	4.7
055	14:13:07	20.03.15	1	4.7
051	14:13:09	20.03.15	1	3.9
042	14:13:16	20.03.15	1	19.9
041	14:13:19	20.03.15	1	20.1
037	14:13:25	20.03.15	1	6.4
048	14:13:29	20.03.15	1	4.1
043	14:13:44	20.03.15	1	3.5
049	14:13:47	20.03.15	1	4.2
043	14:14:06	20.03.15	1	3.6
047	14:14:14	20.03.15	1	0.9
044	14:14:16	20.03.15	1	5.6
040	14:14:17	20.03.15	1	1.1
042	14:14:20	20.03.15	1	4.1
044	14:14:21	20.03.15	1	11.3
045	14:14:22	20.03.15	1	6.0
043	14:14:23	20.03.15	1	3.8
043	14:14:25	20.03.15	1	12.2
045	14:14:27	20.03.15	1	10.0
049	14:14:28	20.03.15	1	4.5
047	14:14:30	20.03.15	1	3.9
037	14:14:33	20.03.15	1	4.3
038	14:14:34	20.03.15	1	2.9
050	14:15:01	20.03.15	1	4.6
048	14:15:26	20.03.15	1	4.5
049	14:15:32	20.03.15	1	4.1
049	14:15:34	20.03.15	1	8.1
045	14:15:35	20.03.15	1	5.1
043	14:15:36	20.03.15	1	3.9
042	14:15:37	20.03.15	1	4.2
039	14:15:38	20.03.15	1	3.5
028	14:15:41	20.03.15	1	0.6
052	14:15:47	20.03.15	1	5.5
041	14:15:52	20.03.15	1	3.3
044	14:15:54	20.03.15	1	3.7
048	14:16:09	20.03.15	1	4.1
060	14:16:40	20.03.15	1	4.6
053	14:16:42	20.03.15	1	4.3
047	14:16:45	20.03.15	1	5.0
042	14:16:47	20.03.15	1	4.3
054	14:16:49	20.03.15	1	2.6
041	14:16:53	20.03.15	1	8.0
036	14:16:55	20.03.15	1	4.3
051	14:17:06	20.03.15	1	3.5
060	14:17:16	20.03.15	1	5.2
051	14:17:51	20.03.15	1	4.6
046	14:17:53	20.03.15	1	3.8
049	14:17:55	20.03.15	1	6.6
049	14:17:55	20.03.15	1	4.6
049	14:17:57	20.03.15	1	4.8
043	14:18:00	20.03.15	1	3.8
