

Standort: 1 dafldsbodenstr

[km/h]				 [m]
Dateformat: dd.mm.yy
028	12:14:27	27.03.15	1	3.5
022	12:37:02	27.03.15	1	4.1
013	12:38:40	27.03.15	1	10.7
022	12:40:08	27.03.15	1	2.0
018	12:41:51	27.03.15	1	2.4
013	12:43:31	27.03.15	1	3.6
027	12:45:49	27.03.15	1	3.6
032	12:58:40	27.03.15	1	3.7
025	12:59:22	27.03.15	1	3.7
011	13:01:54	27.03.15	1	1.0
024	13:09:10	27.03.15	1	1.4
021	13:11:08	27.03.15	1	3.7
022	13:12:37	27.03.15	1	3.8
031	13:30:54	27.03.15	1	3.8
011	13:31:32	27.03.15	1	1.4
030	13:45:49	27.03.15	1	3.9
026	13:46:35	27.03.15	1	4.0
020	13:48:01	27.03.15	1	3.9
027	13:52:25	27.03.15	1	1.7
024	13:55:56	27.03.15	1	4.0
024	13:59:51	27.03.15	1	3.2
027	14:07:34	27.03.15	1	4.0
023	14:13:59	27.03.15	1	4.0
022	14:25:10	27.03.15	1	4.2
020	14:27:10	27.03.15	1	4.1
025	14:33:52	27.03.15	1	4.1
026	14:37:51	27.03.15	1	1.8
018	14:40:27	27.03.15	1	3.0
016	14:48:04	27.03.15	1	4.1
024	14:56:50	27.03.15	1	4.1
018	15:00:40	27.03.15	1	3.4
030	15:05:34	27.03.15	1	4.6
027	15:08:47	27.03.15	1	4.1
019	15:14:55	27.03.15	1	4.2
025	15:24:06	27.03.15	1	5.6
025	15:33:50	27.03.15	1	1.7
018	15:52:41	27.03.15	1	4.2
014	15:53:05	27.03.15	1	1.3
030	16:00:51	27.03.15	1	4.7
013	16:06:33	27.03.15	1	1.2
012	16:07:22	27.03.15	1	4.2
032	16:22:41	27.03.15	1	1.0
035	16:28:28	27.03.15	1	4.3
023	16:35:46	27.03.15	1	4.2
026	16:49:52	27.03.15	1	4.3
011	16:50:55	27.03.15	1	4.3
023	16:55:19	27.03.15	1	6.0
015	16:57:11	27.03.15	1	0.8
026	16:57:36	27.03.15	1	1.9
027	17:04:34	27.03.15	1	4.3
017	17:10:18	27.03.15	1	4.4
022	17:12:18	27.03.15	1	3.8
013	17:13:32	27.03.15	1	0.5
018	17:15:30	27.03.15	1	2.8
020	17:15:38	27.03.15	1	4.4
020	17:20:55	27.03.15	1	4.4
021	17:31:27	27.03.15	1	4.4
031	17:40:57	27.03.15	1	3.4
023	17:42:55	27.03.15	1	4.5
025	17:44:12	27.03.15	1	4.4
022	17:44:18	27.03.15	1	4.5
022	17:56:20	27.03.15	1	4.5
022	17:59:44	27.03.15	1	5.2
027	18:09:59	27.03.15	1	4.5
032	18:34:27	27.03.15	1	4.5
021	18:34:47	27.03.15	1	4.4
022	18:42:47	27.03.15	1	3.0
023	18:48:34	27.03.15	1	4.5
027	18:49:28	27.03.15	1	4.6
019	18:49:55	27.03.15	1	4.6
024	19:28:45	27.03.15	1	0.5
025	19:48:05	27.03.15	1	4.8
026	20:26:10	27.03.15	1	2.0
021	21:06:27	27.03.15	1	3.9
029	21:34:52	27.03.15	1	5.0
014	21:53:19	27.03.15	1	5.1
022	22:06:03	27.03.15	1	5.1
028	22:24:34	27.03.15	1	1.0
021	22:34:47	27.03.15	1	1.8
026	23:06:49	27.03.15	1	5.2
024	23:07:27	27.03.15	1	0.5
023	23:08:26	27.03.15	1	5.3
024	23:10:38	27.03.15	1	5.3
022	23:16:57	27.03.15	1	3.7
037	23:31:42	27.03.15	1	5.3
023	23:45:53	27.03.15	1	0.5
036	23:46:28	27.03.15	1	5.4
025	23:59:32	27.03.15	1	4.3
027	23:59:56	27.03.15	1	5.4
025	00:16:16	28.03.15	1	5.4
022	00:17:24	28.03.15	1	1.0
023	01:25:47	28.03.15	1	0.9
031	01:43:19	28.03.15	1	5.5
023	01:44:41	28.03.15	1	5.5
028	02:07:07	28.03.15	1	4.5
020	02:38:48	28.03.15	1	0.7
022	03:25:06	28.03.15	1	2.8
019	05:47:47	28.03.15	1	1.2
020	05:47:48	28.03.15	1	2.7
027	06:05:33	28.03.15	1	3.3
043	06:30:03	28.03.15	1	2.0
023	06:40:55	28.03.15	1	3.0
024	06:54:36	28.03.15	1	3.1
026	06:58:15	28.03.15	1	3.1
029	07:46:34	28.03.15	1	0.9
032	07:49:51	28.03.15	1	1.5
022	07:51:37	28.03.15	1	2.5
027	07:54:40	28.03.15	1	3.2
027	08:37:04	28.03.15	1	3.3
028	08:40:04	28.03.15	1	0.5
027	08:54:38	28.03.15	1	4.4
015	09:19:19	28.03.15	1	6.2
022	09:25:00	28.03.15	1	3.8
026	09:33:14	28.03.15	1	3.6
026	09:36:07	28.03.15	1	0.6
030	09:36:52	28.03.15	1	4.4
013	09:53:23	28.03.15	1	2.5
020	09:53:38	28.03.15	1	3.6
023	09:54:48	28.03.15	1	3.7
030	09:59:32	28.03.15	1	3.0
020	10:13:41	28.03.15	1	5.9
024	10:21:44	28.03.15	1	1.0
022	10:23:08	28.03.15	1	2.0
028	10:44:00	28.03.15	1	4.4
030	11:00:20	28.03.15	1	0.5
021	11:11:14	28.03.15	1	3.9
018	11:27:10	28.03.15	1	3.5
021	11:29:08	28.03.15	1	4.0
034	11:35:34	28.03.15	1	0.9
022	11:59:20	28.03.15	1	5.1
025	12:01:07	28.03.15	1	4.3
026	12:18:04	28.03.15	1	4.1
024	12:35:36	28.03.15	1	4.2
015	12:43:44	28.03.15	1	4.8
017	12:43:56	28.03.15	1	2.6
017	12:48:10	28.03.15	1	5.2
007	12:48:47	28.03.15	1	2.2
016	12:49:51	28.03.15	1	4.5
018	12:49:54	28.03.15	1	3.8
028	12:50:36	28.03.15	1	4.4
018	12:51:31	28.03.15	1	1.8
022	12:52:14	28.03.15	1	2.8
030	12:53:30	28.03.15	1	4.2
020	12:58:26	28.03.15	1	4.2
023	12:58:55	28.03.15	1	3.7
029	13:00:39	28.03.15	1	4.0
014	13:01:51	28.03.15	1	4.2
022	13:02:31	28.03.15	1	4.1
017	13:05:52	28.03.15	1	1.8
011	13:06:53	28.03.15	1	2.3
025	13:08:42	28.03.15	1	3.4
019	13:08:46	28.03.15	1	1.1
018	13:09:18	28.03.15	1	4.9
029	13:10:02	28.03.15	1	4.6
023	13:12:00	28.03.15	1	4.1
032	13:13:34	28.03.15	1	4.7
020	13:14:04	28.03.15	1	1.1
020	13:14:52	28.03.15	1	4.2
017	13:15:40	28.03.15	1	4.2
030	13:15:44	28.03.15	1	1.7
028	13:16:36	28.03.15	1	4.2
025	13:17:13	28.03.15	1	5.1
014	13:19:23	28.03.15	1	4.3
024	13:19:42	28.03.15	1	4.9
024	13:25:15	28.03.15	1	1.0
024	13:25:15	28.03.15	1	4.3
020	13:30:59	28.03.15	1	4.3
027	13:33:03	28.03.15	1	4.5
028	13:33:14	28.03.15	1	4.1
019	13:33:52	28.03.15	1	4.3
009	13:35:02	28.03.15	1	4.3
027	13:35:27	28.03.15	1	1.6
019	13:35:54	28.03.15	1	6.4
030	13:36:30	28.03.15	1	6.5
023	13:40:36	28.03.15	1	0.6
033	13:42:04	28.03.15	1	3.7
023	13:43:42	28.03.15	1	4.7
023	13:44:24	28.03.15	1	3.9
022	13:45:31	28.03.15	1	4.3
023	13:46:01	28.03.15	1	4.6
010	13:46:25	28.03.15	1	3.7
011	13:46:27	28.03.15	1	1.0
009	13:51:26	28.03.15	1	0.5
009	13:51:32	28.03.15	1	1.2
033	13:51:37	28.03.15	1	4.3
032	13:51:55	28.03.15	1	1.3
029	13:52:30	28.03.15	1	4.2
022	13:53:51	28.03.15	1	4.8
014	13:54:01	28.03.15	1	0.6
020	13:58:01	28.03.15	1	4.3
021	14:03:25	28.03.15	1	4.1
009	14:57:00	28.03.15	1	2.3
030	15:06:09	28.03.15	1	5.1
035	15:06:35	28.03.15	1	4.9
015	15:08:08	28.03.15	1	0.8
018	15:08:25	28.03.15	1	4.4
017	15:09:33	28.03.15	1	1.1
022	15:12:10	28.03.15	1	2.5
015	15:13:59	28.03.15	1	4.5
030	15:15:04	28.03.15	1	4.4
019	15:15:55	28.03.15	1	3.6
028	15:19:03	28.03.15	1	4.3
027	15:19:10	28.03.15	1	4.0
009	15:24:17	28.03.15	1	0.9
022	15:25:05	28.03.15	1	4.5
021	15:39:10	28.03.15	1	0.9
033	15:45:30	28.03.15	1	1.3
027	16:14:12	28.03.15	1	4.6
024	16:29:26	28.03.15	1	3.5
032	16:32:36	28.03.15	1	4.6
039	16:58:17	28.03.15	1	3.2
016	17:04:52	28.03.15	1	4.7
017	17:04:57	28.03.15	1	4.7
025	17:13:54	28.03.15	1	4.9
021	17:18:36	28.03.15	1	4.7
036	17:23:04	28.03.15	1	4.7
030	18:15:30	28.03.15	1	4.9
019	18:21:34	28.03.15	1	4.9
041	18:23:04	28.03.15	1	4.9
027	18:28:07	28.03.15	1	4.9
027	18:33:21	28.03.15	1	5.0
026	18:41:57	28.03.15	1	5.0
031	19:10:34	28.03.15	1	1.5
029	19:31:09	28.03.15	1	5.1
021	19:53:06	28.03.15	1	5.1
026	20:00:26	28.03.15	1	6.1
021	20:34:55	28.03.15	1	5.2
034	22:55:37	28.03.15	1	5.4
029	00:13:59	29.03.15	1	1.9
033	03:23:45	29.03.15	1	1.4
021	03:34:57	29.03.15	1	2.0
021	03:34:57	29.03.15	1	5.6
028	04:00:17	29.03.15	1	0.5
033	04:39:12	29.03.15	1	0.5
026	04:57:31	29.03.15	1	1.8
026	08:23:09	29.03.15	1	2.6
024	09:02:23	29.03.15	1	2.5
025	09:21:24	29.03.15	1	2.3
038	09:37:40	29.03.15	1	3.2
025	10:06:14	29.03.15	1	5.8
029	10:27:34	29.03.15	1	1.2
019	10:30:41	29.03.15	1	1.8
020	10:50:37	29.03.15	1	3.4
034	11:37:44	29.03.15	1	3.6
038	12:54:38	29.03.15	1	3.8
023	13:02:32	29.03.15	1	0.8
021	13:12:56	29.03.15	1	3.8
033	13:49:06	29.03.15	1	2.5
029	14:13:46	29.03.15	1	3.9
027	14:46:06	29.03.15	1	3.9
024	16:03:33	29.03.15	1	4.1
027	16:11:41	29.03.15	1	1.0
024	16:24:20	29.03.15	1	1.7
024	16:40:15	29.03.15	1	0.9
022	17:05:45	29.03.15	1	3.3
021	17:12:26	29.03.15	1	4.1
022	17:20:03	29.03.15	1	4.1
030	17:33:08	29.03.15	1	4.1
026	17:36:32	29.03.15	1	4.1
017	17:38:40	29.03.15	1	4.2
025	17:57:04	29.03.15	1	4.0
024	18:00:00	29.03.15	1	4.5
022	18:00:12	29.03.15	1	3.7
023	18:00:14	29.03.15	1	4.2
018	18:01:15	29.03.15	1	3.3
015	18:01:20	29.03.15	1	1.4
008	18:02:35	29.03.15	1	0.5
024	18:03:50	29.03.15	1	4.8
019	18:04:01	29.03.15	1	1.5
020	18:06:01	29.03.15	1	4.2
023	18:10:50	29.03.15	1	4.2
024	18:12:05	29.03.15	1	5.0
029	18:12:32	29.03.15	1	3.6
013	18:14:59	29.03.15	1	2.5
021	18:16:24	29.03.15	1	5.1
021	18:16:27	29.03.15	1	4.7
016	18:17:28	29.03.15	1	4.2
015	18:20:45	29.03.15	1	0.9
009	18:22:07	29.03.15	1	3.5
028	18:22:31	29.03.15	1	4.4
018	18:22:45	29.03.15	1	4.5
028	18:23:37	29.03.15	1	4.4
026	18:25:36	29.03.15	1	4.2
012	18:27:03	29.03.15	1	4.2
024	18:27:34	29.03.15	1	4.9
029	18:29:17	29.03.15	1	4.2
026	18:31:39	29.03.15	1	1.3
020	18:32:07	29.03.15	1	1.8
023	18:37:41	29.03.15	1	4.4
019	18:40:12	29.03.15	1	4.3
032	18:41:46	29.03.15	1	4.5
026	18:45:53	29.03.15	1	4.2
018	18:46:27	29.03.15	1	3.8
021	18:46:32	29.03.15	1	3.7
025	18:46:35	29.03.15	1	3.6
027	18:46:41	29.03.15	1	4.1
030	18:46:43	29.03.15	1	5.1
020	18:48:11	29.03.15	1	4.2
031	18:50:00	29.03.15	1	3.9
029	18:50:18	29.03.15	1	4.2
025	18:51:11	29.03.15	1	4.6
029	18:51:56	29.03.15	1	4.8
024	18:53:52	29.03.15	1	4.1
025	18:56:02	29.03.15	1	4.8
016	18:56:48	29.03.15	1	4.2
020	18:58:56	29.03.15	1	1.2
024	18:59:42	29.03.15	1	4.5
023	18:59:43	29.03.15	1	4.2
023	19:01:15	29.03.15	1	4.5
024	19:01:59	29.03.15	1	1.0
033	19:06:34	29.03.15	1	5.0
027	19:11:31	29.03.15	1	4.3
020	19:16:19	29.03.15	1	3.6
012	19:17:21	29.03.15	1	2.6
020	19:19:25	29.03.15	1	1.5
008	19:19:41	29.03.15	1	4.4
018	19:19:55	29.03.15	1	3.1
012	19:20:18	29.03.15	1	2.4
012	19:20:24	29.03.15	1	2.3
017	19:21:41	29.03.15	1	3.1
019	19:24:20	29.03.15	1	4.5
027	19:29:46	29.03.15	1	4.8
019	19:30:59	29.03.15	1	3.8
019	22:36:41	29.03.15	1	5.1
022	02:41:04	30.03.15	1	5.1
030	03:50:41	30.03.15	1	3.1
029	04:40:20	30.03.15	1	4.3
024	05:10:03	30.03.15	1	2.7
025	05:28:23	30.03.15	1	2.8
029	05:55:52	30.03.15	1	4.1
035	05:57:04	30.03.15	1	3.6
