

Standort: 1-Bischoffweg

[km/h]				 [m]
Dateformat: dd.mm.yy
022	15:17:18	30.06.17	1	4.9
036	15:21:58	30.06.17	1	4.2
028	15:23:48	30.06.17	1	3.7
046	15:32:58	30.06.17	1	1.2
036	15:33:54	30.06.17	1	3.6
033	15:40:15	30.06.17	1	4.2
051	15:47:21	30.06.17	1	4.1
046	15:51:09	30.06.17	1	4.6
037	15:56:30	30.06.17	1	4.6
039	16:11:05	30.06.17	1	4.3
042	16:13:48	30.06.17	1	4.0
055	16:15:17	30.06.17	1	4.5
029	16:18:32	30.06.17	1	4.0
014	16:22:43	30.06.17	1	1.0
037	16:41:53	30.06.17	1	4.0
039	16:52:12	30.06.17	1	3.5
033	16:57:16	30.06.17	1	3.5
034	17:00:31	30.06.17	1	4.3
044	17:00:59	30.06.17	1	3.6
030	17:19:45	30.06.17	1	5.5
063	17:21:43	30.06.17	1	4.7
043	17:22:36	30.06.17	1	3.9
022	17:26:40	30.06.17	1	1.0
042	17:38:43	30.06.17	1	4.1
031	17:47:09	30.06.17	1	4.6
038	17:53:03	30.06.17	1	3.6
036	17:55:07	30.06.17	1	4.5
041	17:56:04	30.06.17	1	3.7
046	18:00:31	30.06.17	1	4.2
039	18:02:29	30.06.17	1	4.3
014	18:02:59	30.06.17	1	4.2
048	18:09:14	30.06.17	1	4.4
036	18:23:36	30.06.17	1	4.4
056	18:29:53	30.06.17	1	3.7
038	18:39:39	30.06.17	1	3.8
039	18:42:45	30.06.17	1	5.2
037	18:43:08	30.06.17	1	3.8
035	18:45:04	30.06.17	1	4.6
010	18:53:57	30.06.17	1	8.1
028	18:59:50	30.06.17	1	4.6
037	19:00:14	30.06.17	1	1.8
029	19:06:18	30.06.17	1	3.9
032	19:07:35	30.06.17	1	4.3
025	19:10:03	30.06.17	1	3.7
039	19:16:31	30.06.17	1	3.8
042	19:16:33	30.06.17	1	3.8
036	19:17:09	30.06.17	1	4.4
045	19:17:28	30.06.17	1	4.5
042	19:31:39	30.06.17	1	4.2
040	19:31:57	30.06.17	1	4.1
049	19:34:01	30.06.17	1	3.9
031	19:46:46	30.06.17	1	4.5
035	19:48:11	30.06.17	1	4.0
033	20:02:15	30.06.17	1	4.9
038	20:10:34	30.06.17	1	4.2
012	20:21:09	30.06.17	1	0.9
037	20:40:12	30.06.17	1	5.1
039	20:49:08	30.06.17	1	4.9
031	20:53:50	30.06.17	1	3.8
032	21:00:36	30.06.17	1	4.2
038	21:10:12	30.06.17	1	4.7
030	21:15:49	30.06.17	1	3.7
028	21:19:33	30.06.17	1	4.6
025	21:26:02	30.06.17	1	5.5
036	21:49:39	30.06.17	1	4.6
035	22:22:04	30.06.17	1	3.8
029	22:28:23	30.06.17	1	3.9
027	22:44:50	30.06.17	1	3.8
041	23:45:52	30.06.17	1	5.3
038	00:11:03	01.07.17	1	5.0
039	00:33:21	01.07.17	1	4.3
040	00:42:33	01.07.17	1	5.1
027	01:01:14	01.07.17	1	4.4
034	01:11:50	01.07.17	1	3.4
034	01:27:08	01.07.17	1	4.4
031	06:01:31	01.07.17	1	6.0
032	06:23:40	01.07.17	1	3.9
045	06:46:47	01.07.17	1	3.8
035	06:57:19	01.07.17	1	3.6
033	07:17:13	01.07.17	1	3.9
042	07:26:05	01.07.17	1	4.2
031	07:45:38	01.07.17	1	3.5
040	07:46:50	01.07.17	1	2.5
029	07:47:05	01.07.17	1	3.9
016	08:21:21	01.07.17	1	1.5
031	08:22:18	01.07.17	1	5.4
036	08:39:23	01.07.17	1	4.4
034	08:42:56	01.07.17	1	6.2
037	08:44:51	01.07.17	1	6.0
050	08:50:08	01.07.17	1	5.6
009	08:59:04	01.07.17	1	0.5
036	09:06:44	01.07.17	1	4.1
038	09:31:03	01.07.17	1	4.9
041	09:45:11	01.07.17	1	4.3
044	09:48:56	01.07.17	1	5.1
029	09:51:36	01.07.17	1	3.9
044	10:09:53	01.07.17	1	5.0
052	10:11:13	01.07.17	1	4.0
033	10:19:05	01.07.17	1	3.8
