

Standort: 1-Chrischonaweg

[km/h]				 [m]
Dateformat: dd.mm.yy
032	11:10:11	24.03.17	2	4.5
030	11:21:37	24.03.17	2	8.3
036	11:30:37	24.03.17	2	4.5
038	11:31:33	24.03.17	2	3.6
021	11:42:02	24.03.17	2	2.2
020	11:46:27	24.03.17	2	4.5
028	11:47:49	24.03.17	2	3.6
019	11:48:27	24.03.17	2	3.9
033	11:49:21	24.03.17	2	4.9
039	11:51:43	24.03.17	2	4.1
033	11:53:26	24.03.17	2	4.4
032	11:53:37	24.03.17	2	7.8
034	11:58:31	24.03.17	2	3.6
024	12:05:08	24.03.17	2	4.3
014	12:06:53	24.03.17	2	3.6
037	12:08:01	24.03.17	2	4.2
028	12:15:43	24.03.17	2	4.8
027	12:23:52	24.03.17	2	7.8
028	12:24:18	24.03.17	2	4.7
037	12:26:02	24.03.17	2	4.8
032	12:26:09	24.03.17	2	4.2
035	12:26:39	24.03.17	2	4.2
030	12:27:37	24.03.17	2	4.2
033	12:28:40	24.03.17	2	3.8
035	12:30:59	24.03.17	2	4.2
029	12:32:06	24.03.17	2	4.0
026	12:32:35	24.03.17	2	3.7
028	12:33:04	24.03.17	2	4.5
032	12:37:46	24.03.17	2	3.9
031	12:45:07	24.03.17	2	4.0
049	12:53:06	24.03.17	2	3.9
042	12:54:35	24.03.17	2	4.7
031	12:54:53	24.03.17	2	8.5
031	12:54:56	24.03.17	2	3.8
037	12:55:49	24.03.17	2	4.4
040	13:06:09	24.03.17	2	4.9
039	13:06:47	24.03.17	2	4.0
038	13:09:57	24.03.17	2	4.2
020	13:16:22	24.03.17	2	1.9
020	13:20:56	24.03.17	2	4.5
030	13:22:30	24.03.17	2	7.9
031	13:30:10	24.03.17	2	0.7
026	13:30:56	24.03.17	2	4.8
020	13:43:34	24.03.17	2	3.0
035	13:47:22	24.03.17	2	3.6
038	13:47:24	24.03.17	2	4.1
029	13:49:15	24.03.17	2	3.7
026	13:51:58	24.03.17	2	7.6
038	13:53:21	24.03.17	2	4.7
011	13:54:00	24.03.17	2	4.6
014	13:55:15	24.03.17	2	3.6
019	13:59:35	24.03.17	2	3.7
028	14:06:14	24.03.17	2	4.3
022	14:06:49	24.03.17	2	0.6
040	14:11:46	24.03.17	2	5.0
035	14:14:42	24.03.17	2	4.3
033	14:20:17	24.03.17	2	4.6
033	14:21:33	24.03.17	2	3.7
