

Standort: 1-Drosselstrasse

[km/h]				 [m]
Dateformat: dd.mm.yy
006	14:13:11	28.07.17	2	2.1
020	14:15:05	28.07.17	2	5.2
007	14:17:34	28.07.17	2	3.5
027	14:18:43	28.07.17	2	4.5
023	14:25:43	28.07.17	2	5.5
022	14:28:20	28.07.17	2	6.1
023	14:35:15	28.07.17	2	5.5
021	14:41:22	28.07.17	2	4.2
028	15:01:59	28.07.17	2	5.0
026	15:13:04	28.07.17	2	3.5
012	15:15:43	28.07.17	2	3.6
029	15:19:27	28.07.17	2	4.1
023	15:19:41	28.07.17	2	4.0
019	15:19:54	28.07.17	2	4.2
028	15:21:08	28.07.17	2	6.0
014	15:29:33	28.07.17	2	5.2
016	15:32:01	28.07.17	2	7.3
031	15:44:53	28.07.17	2	5.3
027	15:45:12	28.07.17	2	5.3
007	15:54:05	28.07.17	2	3.7
024	16:04:10	28.07.17	2	4.0
025	16:07:54	28.07.17	2	3.0
024	16:10:04	28.07.17	2	2.5
026	16:15:03	28.07.17	2	3.6
020	16:16:27	28.07.17	2	4.2
024	16:30:18	28.07.17	2	4.1
034	16:31:18	28.07.17	2	1.7
011	16:50:15	28.07.17	2	3.4
008	16:50:16	28.07.17	2	3.8
007	17:00:50	28.07.17	2	3.8
029	17:10:41	28.07.17	2	3.6
034	17:12:01	28.07.17	2	3.3
022	17:23:56	28.07.17	2	3.8
006	17:26:07	28.07.17	2	2.6
012	17:26:43	28.07.17	2	3.8
006	17:28:22	28.07.17	2	3.8
014	17:30:25	28.07.17	2	2.2
026	17:41:19	28.07.17	2	4.2
027	17:49:56	28.07.17	2	4.2
020	17:58:20	28.07.17	2	4.2
022	18:02:39	28.07.17	2	4.3
012	18:14:35	28.07.17	2	7.2
012	18:18:06	28.07.17	2	1.0
012	18:19:48	28.07.17	2	4.0
018	18:42:51	28.07.17	2	5.7
005	18:49:57	28.07.17	2	4.0
021	18:59:15	28.07.17	2	5.5
021	19:37:59	28.07.17	2	5.3
021	19:38:10	28.07.17	2	5.7
023	19:44:23	28.07.17	2	5.1
022	19:51:18	28.07.17	2	5.6
025	20:00:04	28.07.17	2	4.8
006	20:06:39	28.07.17	2	4.1
005	20:06:41	28.07.17	2	2.1
012	20:48:27	28.07.17	2	4.1
022	21:31:49	28.07.17	2	5.4
018	22:18:53	28.07.17	2	5.4
029	04:15:13	29.07.17	2	6.0
005	05:11:35	29.07.17	2	4.1
014	06:25:16	29.07.17	2	5.1
022	06:51:41	29.07.17	2	5.2
021	06:57:48	29.07.17	2	4.1
020	07:29:18	29.07.17	2	5.3
028	07:57:19	29.07.17	2	5.5
