

Standort: 1-Efringerstrass

[km/h]				 [m]
Dateformat: dd.mm.yy
003	10:51:39	22.04.16	1	1.8
020	10:53:12	22.04.16	1	8.0
015	10:53:13	22.04.16	1	3.5
006	10:58:03	22.04.16	1	1.9
007	10:58:06	22.04.16	1	3.6
010	11:03:05	22.04.16	1	4.1
008	11:05:52	22.04.16	1	9.5
005	11:05:54	22.04.16	1	2.8
005	11:09:45	22.04.16	1	3.7
006	11:21:31	22.04.16	1	3.8
023	11:22:12	22.04.16	1	3.3
016	11:25:01	22.04.16	1	3.8
006	11:31:09	22.04.16	1	3.9
006	11:31:10	22.04.16	1	3.9
006	11:31:11	22.04.16	1	2.1
006	11:31:13	22.04.16	1	3.9
004	11:33:52	22.04.16	1	4.0
003	11:36:00	22.04.16	1	4.0
014	11:37:43	22.04.16	1	4.0
006	11:39:53	22.04.16	1	4.0
018	11:40:56	22.04.16	1	3.3
004	11:41:57	22.04.16	1	4.1
007	11:42:39	22.04.16	1	5.4
005	11:55:04	22.04.16	1	2.4
008	11:55:26	22.04.16	1	4.1
012	11:55:48	22.04.16	1	3.2
005	11:58:20	22.04.16	1	4.1
012	11:59:58	22.04.16	1	3.4
005	12:10:37	22.04.16	1	4.1
006	12:13:27	22.04.16	1	1.9
014	12:13:41	22.04.16	1	3.9
005	12:17:30	22.04.16	1	4.2
005	12:17:40	22.04.16	1	1.7
006	12:23:31	22.04.16	1	4.2
006	12:23:37	22.04.16	1	4.2
017	12:29:16	22.04.16	1	4.2
021	12:32:44	22.04.16	1	4.2
005	12:34:11	22.04.16	1	4.2
019	12:34:51	22.04.16	1	3.6
022	12:34:52	22.04.16	1	4.0
017	12:37:46	22.04.16	1	4.3
005	12:40:24	22.04.16	1	2.0
021	12:40:55	22.04.16	1	4.3
009	12:45:03	22.04.16	1	1.8
005	12:47:02	22.04.16	1	4.3
007	12:48:16	22.04.16	1	4.3
004	12:48:24	22.04.16	1	4.3
004	12:48:26	22.04.16	1	1.6
005	12:55:23	22.04.16	1	1.7
018	12:57:06	22.04.16	1	4.3
006	13:03:11	22.04.16	1	1.7
006	13:03:36	22.04.16	1	4.4
007	13:05:58	22.04.16	1	1.9
016	13:06:43	22.04.16	1	4.4
020	13:13:13	22.04.16	1	3.7
016	13:17:39	22.04.16	1	3.2
013	13:21:05	22.04.16	1	2.9
014	13:21:47	22.04.16	1	2.7
006	13:22:41	22.04.16	1	4.4
007	13:26:22	22.04.16	1	4.4
013	13:27:51	22.04.16	1	3.1
025	13:28:29	22.04.16	1	3.3
013	13:28:58	22.04.16	1	4.4
013	13:29:07	22.04.16	1	4.4
016	13:29:40	22.04.16	1	3.6
005	13:35:14	22.04.16	1	4.4
020	13:36:03	22.04.16	1	4.4
007	13:40:30	22.04.16	1	1.8
004	13:41:35	22.04.16	1	4.5
008	13:55:13	22.04.16	1	4.5
016	13:59:26	22.04.16	1	4.5
008	14:02:13	22.04.16	1	4.5
005	14:04:59	22.04.16	1	2.9
014	14:10:06	22.04.16	1	3.0
006	14:18:10	22.04.16	1	1.8
004	14:19:09	22.04.16	1	4.5
011	14:24:42	22.04.16	1	4.6
016	14:27:33	22.04.16	1	4.6
017	14:49:32	22.04.16	1	3.3
005	14:57:41	22.04.16	1	4.7
016	14:58:11	22.04.16	1	4.7
016	15:02:08	22.04.16	1	2.8
006	15:04:56	22.04.16	1	4.8
007	15:06:02	22.04.16	1	3.1
015	15:06:57	22.04.16	1	4.8
013	15:07:24	22.04.16	1	3.6
017	15:11:09	22.04.16	1	3.6
014	15:12:38	22.04.16	1	4.8
009	15:14:38	22.04.16	1	2.4
006	15:15:04	22.04.16	1	4.9
011	15:17:05	22.04.16	1	2.6
016	15:21:08	22.04.16	1	4.9
011	15:22:04	22.04.16	1	3.2
012	15:22:40	22.04.16	1	2.6
008	15:25:30	22.04.16	1	5.8
007	15:26:21	22.04.16	1	5.0
020	15:29:45	22.04.16	1	3.5
025	15:30:29	22.04.16	1	3.6
005	15:30:33	22.04.16	1	5.0
006	15:30:45	22.04.16	1	2.0
007	15:45:57	22.04.16	1	5.1
031	15:46:20	22.04.16	1	3.6
012	15:55:16	22.04.16	1	5.2
006	15:55:47	22.04.16	1	1.6
006	15:56:43	22.04.16	1	1.8
015	16:02:33	22.04.16	1	5.2
017	16:02:36	22.04.16	1	3.2
006	16:02:45	22.04.16	1	5.2
005	16:05:19	22.04.16	1	5.3
004	16:06:17	22.04.16	1	1.8
013	16:06:24	22.04.16	1	2.9
014	16:06:46	22.04.16	1	5.3
005	16:08:16	22.04.16	1	5.3
006	16:09:08	22.04.16	1	5.4
004	16:13:59	22.04.16	1	1.6
019	16:20:35	22.04.16	1	5.4
018	16:20:36	22.04.16	1	3.4
009	16:21:46	22.04.16	1	2.8
011	16:27:16	22.04.16	1	5.5
011	16:27:50	22.04.16	1	3.4
007	16:33:21	22.04.16	1	5.5
005	16:33:46	22.04.16	1	5.6
005	16:34:01	22.04.16	1	2.6
014	16:35:37	22.04.16	1	4.3
017	16:36:58	22.04.16	1	2.8
005	16:37:09	22.04.16	1	2.9
016	16:39:41	22.04.16	1	3.6
006	16:43:11	22.04.16	1	1.9
012	16:44:05	22.04.16	1	2.6
010	16:47:24	22.04.16	1	3.2
017	16:48:21	22.04.16	1	3.3
017	16:51:10	22.04.16	1	3.5
003	16:51:14	22.04.16	1	3.3
014	16:52:08	22.04.16	1	2.8
014	16:52:50	22.04.16	1	3.4
005	16:53:07	22.04.16	1	1.8
018	16:57:28	22.04.16	1	3.6
005	16:58:30	22.04.16	1	1.7
022	16:59:18	22.04.16	1	3.8
005	16:59:47	22.04.16	1	1.7
008	17:01:10	22.04.16	1	3.5
005	17:02:07	22.04.16	1	2.6
006	17:02:41	22.04.16	1	2.0
015	17:07:36	22.04.16	1	3.6
023	17:09:04	22.04.16	1	3.3
012	17:10:43	22.04.16	1	3.1
023	17:10:59	22.04.16	1	3.7
019	17:12:03	22.04.16	1	3.6
013	17:15:43	22.04.16	1	2.5
006	17:16:04	22.04.16	1	2.7
005	17:22:51	22.04.16	1	3.8
