

Standort: 1-Erlenmattstr

[km/h]				 [m]
Dateformat: dd.mm.yy
018	14:47:39	23.08.13	1	3.5
021	14:49:06	23.08.13	1	3.5
020	14:49:08	23.08.13	1	4.2
015	14:51:40	23.08.13	1	4.2
026	14:56:08	23.08.13	1	2.3
018	14:56:10	23.08.13	1	4.4
026	14:56:20	23.08.13	1	3.9
041	14:57:11	23.08.13	1	11.7
018	14:59:51	23.08.13	1	3.8
019	15:08:05	23.08.13	1	3.6
019	15:08:07	23.08.13	1	4.7
031	15:09:48	23.08.13	1	12.1
012	15:29:31	23.08.13	1	3.4
017	15:33:56	23.08.13	1	0.5
025	15:36:34	23.08.13	1	3.7
009	15:38:08	23.08.13	1	1.0
017	15:38:50	23.08.13	1	4.9
022	15:40:09	23.08.13	1	4.4
008	15:42:52	23.08.13	1	2.6
025	15:45:10	23.08.13	1	4.4
017	15:45:27	23.08.13	1	3.8
031	15:46:44	23.08.13	1	3.9
027	15:46:46	23.08.13	1	4.5
027	15:46:48	23.08.13	1	4.8
020	15:48:54	23.08.13	1	0.6
016	15:49:23	23.08.13	1	3.9
026	15:49:26	23.08.13	1	4.8
026	15:50:12	23.08.13	1	3.9
027	15:50:14	23.08.13	1	5.0
023	15:50:54	23.08.13	1	3.5
017	15:50:56	23.08.13	1	7.5
023	15:51:11	23.08.13	1	4.6
026	15:52:04	23.08.13	1	4.4
007	15:52:07	23.08.13	1	4.0
029	15:53:41	23.08.13	1	4.1
027	15:53:42	23.08.13	1	4.4
024	15:56:18	23.08.13	1	2.4
025	15:56:20	23.08.13	1	5.0
028	15:56:25	23.08.13	1	4.0
026	15:56:26	23.08.13	1	4.2
032	15:56:44	23.08.13	1	4.0
032	15:56:46	23.08.13	1	4.0
025	15:58:54	23.08.13	1	4.6
029	15:59:04	23.08.13	1	4.1
029	15:59:06	23.08.13	1	4.5
025	16:00:01	23.08.13	1	4.1
008	16:04:19	23.08.13	1	4.1
040	16:07:02	23.08.13	1	10.9
018	16:08:14	23.08.13	1	1.2
019	16:12:40	23.08.13	1	4.1
024	16:15:19	23.08.13	1	4.1
025	16:15:20	23.08.13	1	4.3
032	16:15:36	23.08.13	1	4.1
029	16:15:37	23.08.13	1	4.1
031	16:15:40	23.08.13	1	4.2
026	16:15:42	23.08.13	1	9.4
019	16:18:08	23.08.13	1	2.2
021	16:19:42	23.08.13	1	4.2
014	16:26:05	23.08.13	1	0.8
016	16:29:21	23.08.13	1	0.5
020	16:33:15	23.08.13	1	4.2
019	16:33:16	23.08.13	1	4.9
021	16:39:26	23.08.13	1	3.6
020	16:39:28	23.08.13	1	5.4
023	16:39:49	23.08.13	1	3.9
021	16:40:03	23.08.13	1	2.1
022	16:40:05	23.08.13	1	5.8
019	16:46:03	23.08.13	1	4.2
019	16:46:05	23.08.13	1	6.7
022	16:48:13	23.08.13	1	4.2
020	16:48:15	23.08.13	1	5.7
021	16:49:08	23.08.13	1	5.7
013	16:52:03	23.08.13	1	4.8
029	16:54:10	23.08.13	1	4.2
019	16:55:00	23.08.13	1	0.5
016	16:59:13	23.08.13	1	0.8
019	17:05:08	23.08.13	1	0.6
021	17:07:00	23.08.13	1	0.7
008	17:08:27	23.08.13	1	1.3
012	17:10:28	23.08.13	1	4.2
038	17:11:11	23.08.13	1	4.3
038	17:11:12	23.08.13	1	4.2
014	17:11:45	23.08.13	1	5.6
023	17:13:38	23.08.13	1	3.8
017	17:14:50	23.08.13	1	1.5
035	17:15:41	23.08.13	1	11.7
034	17:16:15	23.08.13	1	10.8
008	17:18:13	23.08.13	1	0.7
023	17:24:05	23.08.13	1	0.7
014	17:25:58	23.08.13	1	5.7
024	17:29:48	23.08.13	1	4.1
021	17:29:52	23.08.13	1	11.5
039	17:32:36	23.08.13	1	4.0
037	17:32:37	23.08.13	1	4.4
038	17:33:46	23.08.13	1	4.3
035	17:33:48	23.08.13	1	3.6
014	17:41:07	23.08.13	1	0.8
015	17:41:15	23.08.13	1	4.3
026	17:42:52	23.08.13	1	4.3
025	17:42:53	23.08.13	1	4.0
022	17:43:56	23.08.13	1	4.3
022	17:43:58	23.08.13	1	1.7
021	17:44:02	23.08.13	1	4.4
016	17:44:16	23.08.13	1	4.4
024	17:44:38	23.08.13	1	4.4
027	17:44:39	23.08.13	1	4.6
