

Standort: 1-Florastrasse

[km/h]				 [m]
Dateformat: dd.mm.yy
028	11:57:30	11.07.14	1	3.2
009	11:57:42	11.07.14	1	13.5
006	11:58:08	11.07.14	1	3.5
014	11:59:56	11.07.14	1	3.5
014	11:59:57	11.07.14	1	3.3
023	12:03:46	11.07.14	1	4.4
006	12:09:31	11.07.14	1	2.4
024	12:12:32	11.07.14	1	4.6
023	12:12:33	11.07.14	1	3.8
021	12:12:36	11.07.14	1	3.9
020	12:12:37	11.07.14	1	3.8
018	12:12:41	11.07.14	1	3.9
018	12:12:43	11.07.14	1	3.5
008	12:13:31	11.07.14	1	3.2
006	12:13:37	11.07.14	1	3.6
006	12:15:06	11.07.14	1	1.6
006	12:17:23	11.07.14	1	3.6
013	12:20:49	11.07.14	1	3.6
025	12:21:04	11.07.14	1	4.4
025	12:32:53	11.07.14	1	3.4
029	12:41:14	11.07.14	1	3.7
006	12:44:15	11.07.14	1	2.1
008	12:53:19	11.07.14	1	3.7
022	12:56:29	11.07.14	1	3.8
008	12:58:25	11.07.14	1	3.7
023	13:11:17	11.07.14	1	7.1
025	13:14:37	11.07.14	1	7.6
031	13:17:09	11.07.14	1	6.6
007	13:22:42	11.07.14	1	2.2
028	13:24:20	11.07.14	1	3.7
022	13:24:36	11.07.14	1	3.4
027	13:28:26	11.07.14	1	3.8
026	13:29:49	11.07.14	1	4.0
014	13:33:31	11.07.14	1	6.2
022	13:35:25	11.07.14	1	3.9
008	13:36:15	11.07.14	1	2.0
006	13:38:54	11.07.14	1	3.8
023	13:39:56	11.07.14	1	3.5
005	13:41:16	11.07.14	1	2.2
006	13:46:08	11.07.14	1	2.6
005	13:49:52	11.07.14	1	1.9
007	13:58:46	11.07.14	1	1.7
008	14:01:09	11.07.14	1	3.9
028	14:30:50	11.07.14	1	4.2
023	14:40:55	11.07.14	1	4.2
007	14:47:44	11.07.14	1	1.6
024	15:03:28	11.07.14	1	3.3
007	15:14:44	11.07.14	1	4.1
008	15:14:45	11.07.14	1	2.3
029	15:15:22	11.07.14	1	7.5
008	15:20:20	11.07.14	1	1.7
013	15:25:26	11.07.14	1	4.2
023	15:27:10	11.07.14	1	4.3
005	15:29:44	11.07.14	1	2.0
020	15:43:27	11.07.14	1	4.2
014	15:44:56	11.07.14	1	4.0
005	15:46:09	11.07.14	1	4.2
008	15:49:02	11.07.14	1	4.2
026	15:50:22	11.07.14	1	3.2
024	15:53:37	11.07.14	1	4.5
009	15:55:50	11.07.14	1	4.2
008	15:55:51	11.07.14	1	4.3
009	15:55:52	11.07.14	1	4.5
006	15:55:56	11.07.14	1	1.6
022	16:02:33	11.07.14	1	4.3
020	16:03:15	11.07.14	1	3.4
026	16:03:59	11.07.14	1	4.0
022	16:05:08	11.07.14	1	3.8
023	16:05:08	11.07.14	1	4.0
006	16:06:35	11.07.14	1	4.3
021	16:10:43	11.07.14	1	4.3
020	16:20:02	11.07.14	1	3.8
023	16:20:07	11.07.14	1	4.3
022	16:20:08	11.07.14	1	4.0
023	16:21:44	11.07.14	1	4.0
015	16:23:13	11.07.14	1	3.5
041	16:23:36	11.07.14	1	7.3
023	16:24:34	11.07.14	1	3.7
027	16:35:27	11.07.14	1	3.7
024	16:37:16	11.07.14	1	5.4
020	16:37:24	11.07.14	1	3.7
024	16:44:05	11.07.14	1	3.3
018	16:48:02	11.07.14	1	3.7
021	16:52:38	11.07.14	1	3.7
028	17:02:24	11.07.14	1	3.9
018	17:03:13	11.07.14	1	3.5
025	17:06:39	11.07.14	1	3.5
014	17:09:21	11.07.14	1	4.4
029	17:13:31	11.07.14	1	3.8
018	17:14:08	11.07.14	1	3.3
007	17:15:32	11.07.14	1	4.4
021	17:20:15	11.07.14	1	3.9
021	17:20:17	11.07.14	1	3.6
019	17:22:39	11.07.14	1	4.0
006	17:23:03	11.07.14	1	4.4
023	17:26:56	11.07.14	1	4.8
024	17:31:07	11.07.14	1	3.7
023	17:33:36	11.07.14	1	4.1
023	17:33:39	11.07.14	1	3.7
019	17:34:56	11.07.14	1	3.6
022	17:35:22	11.07.14	1	3.5
019	17:36:33	11.07.14	1	4.4
006	17:38:04	11.07.14	1	4.0
028	17:38:12	11.07.14	1	4.4
011	17:49:48	11.07.14	1	4.5
023	17:52:12	11.07.14	1	3.8
023	17:52:56	11.07.14	1	3.9
024	17:52:57	11.07.14	1	3.4
023	17:52:58	11.07.14	1	5.4
008	17:53:40	11.07.14	1	2.1
006	18:04:52	11.07.14	1	1.7
030	18:05:44	11.07.14	1	3.8
025	18:07:18	11.07.14	1	3.7
020	18:08:23	11.07.14	1	4.1
019	18:08:24	11.07.14	1	3.7
017	18:11:07	11.07.14	1	5.6
014	18:11:10	11.07.14	1	3.3
016	18:17:18	11.07.14	1	4.5
023	18:18:56	11.07.14	1	3.8
009	18:25:49	11.07.14	1	2.0
006	18:26:28	11.07.14	1	4.6
025	18:27:47	11.07.14	1	3.7
021	18:30:12	11.07.14	1	3.6
024	18:33:38	11.07.14	1	3.5
018	18:34:47	11.07.14	1	3.5
023	18:35:42	11.07.14	1	3.7
023	18:40:39	11.07.14	1	4.0
027	18:42:39	11.07.14	1	4.2
025	18:42:48	11.07.14	1	3.3
024	18:46:03	11.07.14	1	3.9
022	18:46:15	11.07.14	1	3.3
031	18:49:35	11.07.14	1	3.6
006	18:51:06	11.07.14	1	4.6
007	18:54:55	11.07.14	1	4.7
023	18:55:36	11.07.14	1	3.5
007	19:01:23	11.07.14	1	2.2
014	19:02:33	11.07.14	1	1.8
007	19:02:57	11.07.14	1	4.7
022	19:04:04	11.07.14	1	3.2
020	19:05:52	11.07.14	1	5.4
006	19:08:56	11.07.14	1	4.7
030	19:11:35	11.07.14	1	3.8
018	19:13:11	11.07.14	1	4.5
021	19:21:08	11.07.14	1	4.2
024	19:25:30	11.07.14	1	3.7
023	19:28:32	11.07.14	1	3.6
010	19:32:20	11.07.14	1	4.8
010	19:32:20	11.07.14	1	4.8
011	19:34:54	11.07.14	1	2.5
008	19:42:07	11.07.14	1	4.8
019	19:47:40	11.07.14	1	4.9
018	19:47:50	11.07.14	1	3.8
023	19:47:52	11.07.14	1	3.9
026	19:57:34	11.07.14	1	3.7
007	20:00:13	11.07.14	1	1.9
024	20:02:07	11.07.14	1	3.8
021	20:02:16	11.07.14	1	3.7
023	20:04:01	11.07.14	1	3.1
008	20:12:57	11.07.14	1	4.9
006	20:15:20	11.07.14	1	1.9
023	20:16:56	11.07.14	1	3.8
026	20:18:55	11.07.14	1	4.2
019	20:19:49	11.07.14	1	3.9
022	20:20:01	11.07.14	1	4.5
005	20:25:16	11.07.14	1	4.9
017	20:25:33	11.07.14	1	3.3
020	20:27:04	11.07.14	1	4.1
020	20:27:05	11.07.14	1	3.6
023	20:28:08	11.07.14	1	5.0
024	20:32:32	11.07.14	1	3.6
006	20:33:00	11.07.14	1	5.0
023	20:38:29	11.07.14	1	3.9
028	20:45:54	11.07.14	1	4.8
020	20:52:30	11.07.14	1	3.8
024	20:52:56	11.07.14	1	3.7
008	20:56:32	11.07.14	1	2.0
025	20:57:15	11.07.14	1	3.9
008	21:03:03	11.07.14	1	2.2
020	21:03:32	11.07.14	1	8.1
005	21:04:54	11.07.14	1	5.1
028	21:12:10	11.07.14	1	3.9
018	21:13:36	11.07.14	1	4.3
025	21:26:03	11.07.14	1	4.6
020	21:26:04	11.07.14	1	4.4
006	21:26:23	11.07.14	1	5.2
021	21:31:20	11.07.14	1	3.9
016	21:31:22	11.07.14	1	3.3
005	21:46:29	11.07.14	1	2.4
013	21:53:41	11.07.14	1	7.5
030	21:57:54	11.07.14	1	6.3
005	22:04:36	11.07.14	1	5.2
023	22:04:53	11.07.14	1	5.0
021	22:23:33	11.07.14	1	4.7
021	22:23:35	11.07.14	1	3.7
019	22:31:00	11.07.14	1	3.9
027	22:33:28	11.07.14	1	5.2
026	22:41:07	11.07.14	1	5.3
013	22:48:00	11.07.14	1	5.1
020	22:50:01	11.07.14	1	6.2
023	23:28:11	11.07.14	1	4.0
025	23:38:23	11.07.14	1	3.6
007	00:09:01	12.07.14	1	3.8
020	00:10:06	12.07.14	1	5.0
028	00:17:12	12.07.14	1	4.4
007	00:19:12	12.07.14	1	2.5
006	00:43:17	12.07.14	1	2.3
007	00:47:06	12.07.14	1	2.8
024	01:32:59	12.07.14	1	3.3
016	03:37:58	12.07.14	1	3.6
015	03:37:59	12.07.14	1	3.2
009	04:02:46	12.07.14	1	4.1
009	04:17:47	12.07.14	1	6.6
008	04:57:03	12.07.14	1	4.7
013	05:52:01	12.07.14	1	2.7
030	06:33:29	12.07.14	1	5.4
005	06:40:14	12.07.14	1	1.9
013	07:37:29	12.07.14	1	1.9
007	08:36:31	12.07.14	1	5.4
016	09:05:08	12.07.14	1	3.7
021	09:09:18	12.07.14	1	3.7
016	09:12:10	12.07.14	1	6.8
016	09:19:07	12.07.14	1	3.8
020	09:19:08	12.07.14	1	4.0
023	09:19:14	12.07.14	1	4.1
022	09:34:50	12.07.14	1	3.9
024	09:35:21	12.07.14	1	3.7
022	09:40:56	12.07.14	1	4.5
006	09:53:29	12.07.14	1	1.8
005	09:57:23	12.07.14	1	2.7
006	09:59:11	12.07.14	1	2.8
008	09:59:14	12.07.14	1	2.9
026	10:09:52	12.07.14	1	3.7
021	10:11:14	12.07.14	1	3.6
020	10:12:44	12.07.14	1	3.5
011	10:18:07	12.07.14	1	3.1
006	10:18:57	12.07.14	1	3.2
006	10:24:16	12.07.14	1	3.2
022	10:29:08	12.07.14	1	3.6
023	10:30:28	12.07.14	1	3.8
022	10:43:25	12.07.14	1	3.5
016	10:46:26	12.07.14	1	4.4
020	10:47:03	12.07.14	1	3.9
028	10:49:38	12.07.14	1	3.5
008	10:52:49	12.07.14	1	2.0
008	11:02:40	12.07.14	1	2.0
020	11:10:30	12.07.14	1	4.8
021	11:15:40	12.07.14	1	4.0
023	11:24:22	12.07.14	1	3.8
