

Standort: 1-Flughafenstras

[km/h]				 [m]
Dateformat: dd.mm.yy
033	14:02:49	22.08.14	1	3.8
042	14:02:55	22.08.14	1	4.9
046	14:03:06	22.08.14	1	5.2
025	14:03:13	22.08.14	1	4.3
031	14:03:16	22.08.14	1	3.5
024	14:03:19	22.08.14	1	4.4
040	14:03:24	22.08.14	1	4.2
056	14:08:33	22.08.14	1	4.5
048	14:08:51	22.08.14	1	3.6
044	14:09:00	22.08.14	1	4.1
042	14:09:06	22.08.14	1	5.7
046	14:09:13	22.08.14	1	4.0
039	14:09:17	22.08.14	1	3.5
046	14:09:26	22.08.14	1	3.6
050	14:09:33	22.08.14	1	3.4
050	14:09:39	22.08.14	1	4.4
040	14:09:46	22.08.14	1	19.7
047	14:10:28	22.08.14	1	3.6
050	14:10:43	22.08.14	1	3.8
045	14:10:45	22.08.14	1	3.9
047	14:10:49	22.08.14	1	4.3
056	14:10:53	22.08.14	1	3.7
043	14:11:05	22.08.14	1	3.3
057	14:11:09	22.08.14	1	3.8
047	14:11:23	22.08.14	1	5.4
047	14:11:26	22.08.14	1	3.9
049	14:12:32	22.08.14	1	4.3
046	14:12:34	22.08.14	1	6.4
050	14:12:54	22.08.14	1	3.7
030	14:13:22	22.08.14	1	4.9
034	14:13:24	22.08.14	1	4.0
032	14:13:28	22.08.14	1	3.9
032	14:13:42	22.08.14	1	5.5
043	14:13:46	22.08.14	1	5.8
049	14:13:56	22.08.14	1	4.6
034	14:14:06	22.08.14	1	4.6
036	14:14:10	22.08.14	1	3.8
052	14:14:17	22.08.14	1	5.2
047	14:14:27	22.08.14	1	9.2
049	14:14:32	22.08.14	1	3.8
047	14:14:37	22.08.14	1	4.7
039	14:14:43	22.08.14	1	3.5
033	14:14:45	22.08.14	1	3.9
046	14:14:53	22.08.14	1	3.5
043	14:15:02	22.08.14	1	3.9
047	14:15:30	22.08.14	1	7.1
045	14:15:32	22.08.14	1	4.5
047	14:15:45	22.08.14	1	9.5
040	14:15:55	22.08.14	1	4.9
048	14:16:01	22.08.14	1	3.9
053	14:16:12	22.08.14	1	4.9
035	14:16:17	22.08.14	1	3.8
046	14:16:23	22.08.14	1	4.1
035	14:16:29	22.08.14	1	3.2
049	14:16:34	22.08.14	1	4.9
053	14:16:36	22.08.14	1	4.0
054	14:16:40	22.08.14	1	4.6
046	14:16:43	22.08.14	1	3.7
029	14:16:52	22.08.14	1	4.9
050	14:16:56	22.08.14	1	4.3
045	14:17:03	22.08.14	1	3.5
044	14:17:07	22.08.14	1	3.6
041	14:17:11	22.08.14	1	4.5
043	14:17:13	22.08.14	1	5.0
052	14:17:17	22.08.14	1	4.5
043	14:17:45	22.08.14	1	5.8
038	14:17:46	22.08.14	1	5.6
046	14:17:50	22.08.14	1	4.4
052	14:17:58	22.08.14	1	4.5
045	14:18:06	22.08.14	1	4.1
027	14:18:26	22.08.14	1	5.3
050	14:18:37	22.08.14	1	4.3
061	14:18:42	22.08.14	1	4.2
054	14:18:48	22.08.14	1	4.1
043	14:18:51	22.08.14	1	5.1
033	14:19:30	22.08.14	1	5.4
043	14:19:33	22.08.14	1	4.0
044	14:19:35	22.08.14	1	4.0
046	14:19:45	22.08.14	1	3.5
052	14:19:47	22.08.14	1	3.0
057	14:19:51	22.08.14	1	4.1
051	14:20:03	22.08.14	1	4.8
047	14:20:10	22.08.14	1	3.6
051	14:20:20	22.08.14	1	3.3
046	14:20:24	22.08.14	1	3.8
049	14:20:42	22.08.14	1	4.5
050	14:20:48	22.08.14	1	5.2
047	14:20:52	22.08.14	1	4.9
045	14:21:05	22.08.14	1	4.0
043	14:21:09	22.08.14	1	4.1
044	14:21:16	22.08.14	1	6.6
047	14:21:24	22.08.14	1	14.2
047	14:21:30	22.08.14	1	3.8
045	14:21:32	22.08.14	1	6.5
040	14:21:38	22.08.14	1	6.9
045	14:21:52	22.08.14	1	3.2
048	14:22:10	22.08.14	1	7.2
043	14:22:13	22.08.14	1	9.0
045	14:22:14	22.08.14	1	5.1
051	14:22:19	22.08.14	1	10.8
049	14:22:32	22.08.14	1	4.7
053	14:22:41	22.08.14	1	4.4
042	14:22:53	22.08.14	1	5.1
040	14:22:58	22.08.14	1	4.1
041	14:23:19	22.08.14	1	4.7
050	14:23:39	22.08.14	1	4.1
056	14:23:44	22.08.14	1	4.1
058	14:23:57	22.08.14	1	3.5
055	14:24:00	22.08.14	1	4.5
055	14:24:04	22.08.14	1	4.1
046	14:24:12	22.08.14	1	9.2
039	14:24:19	22.08.14	1	5.2
040	14:24:21	22.08.14	1	7.1
038	14:24:22	22.08.14	1	5.5
046	14:24:28	22.08.14	1	6.2
045	14:24:33	22.08.14	1	4.2
058	14:25:03	22.08.14	1	4.2
047	14:25:10	22.08.14	1	4.5
051	14:25:10	22.08.14	1	4.7
049	14:25:41	22.08.14	1	6.2
047	14:25:42	22.08.14	1	6.1
046	14:25:45	22.08.14	1	4.8
043	14:26:12	22.08.14	1	11.6
048	14:26:38	22.08.14	1	4.7
049	14:26:43	22.08.14	1	4.2
050	14:26:45	22.08.14	1	4.2
051	14:26:47	22.08.14	1	4.3
047	14:26:54	22.08.14	1	5.6
050	14:26:56	22.08.14	1	4.2
048	14:27:02	22.08.14	1	4.3
055	14:27:10	22.08.14	1	4.0
052	14:27:11	22.08.14	1	1.0
055	14:27:19	22.08.14	1	4.2
050	14:27:37	22.08.14	1	4.5
055	14:27:49	22.08.14	1	4.3
051	14:27:58	22.08.14	1	11.9
046	14:28:23	22.08.14	1	4.4
048	14:28:25	22.08.14	1	3.8
020	14:28:37	22.08.14	1	5.2
020	14:28:43	22.08.14	1	7.3
037	14:29:05	22.08.14	1	5.2
038	14:29:06	22.08.14	1	4.5
038	14:29:22	22.08.14	1	4.5
042	14:29:23	22.08.14	1	4.4
053	14:29:35	22.08.14	1	4.8
054	14:29:37	22.08.14	1	4.3
045	14:29:45	22.08.14	1	4.1
042	14:29:59	22.08.14	1	3.3
051	14:30:07	22.08.14	1	4.2
042	14:30:23	22.08.14	1	4.4
053	14:30:30	22.08.14	1	4.0
063	14:30:35	22.08.14	1	4.5
044	14:31:07	22.08.14	1	4.4
048	14:31:22	22.08.14	1	5.0
052	14:31:31	22.08.14	1	4.4
058	14:31:36	22.08.14	1	4.6
054	14:31:43	22.08.14	1	4.8
033	14:31:56	22.08.14	1	4.4
050	14:32:20	22.08.14	1	4.4
044	14:32:36	22.08.14	1	4.4
047	14:32:40	22.08.14	1	4.0
051	14:32:45	22.08.14	1	5.1
048	14:32:47	22.08.14	1	5.9
058	14:32:51	22.08.14	1	3.6
055	14:33:12	22.08.14	1	4.0
044	14:33:24	22.08.14	1	15.8
046	14:33:25	22.08.14	1	1.2
045	14:33:38	22.08.14	1	5.7
052	14:33:50	22.08.14	1	3.5
054	14:34:06	22.08.14	1	4.2
045	14:34:19	22.08.14	1	5.0
052	14:34:24	22.08.14	1	4.7
048	14:34:32	22.08.14	1	3.3
050	14:34:34	22.08.14	1	5.3
053	14:34:48	22.08.14	1	4.0
052	14:34:50	22.08.14	1	3.5
018	14:35:03	22.08.14	1	4.6
026	14:35:07	22.08.14	1	4.5
055	14:35:14	22.08.14	1	3.8
046	14:35:22	22.08.14	1	3.5
034	14:35:28	22.08.14	1	4.5
051	14:35:35	22.08.14	1	11.6
055	14:35:59	22.08.14	1	12.4
042	14:36:18	22.08.14	1	4.9
050	14:36:21	22.08.14	1	4.2
052	14:36:26	22.08.14	1	3.8
053	14:36:29	22.08.14	1	4.5
042	14:37:00	22.08.14	1	4.5
046	14:37:01	22.08.14	1	4.5
046	14:37:10	22.08.14	1	4.5
047	14:37:13	22.08.14	1	5.0
049	14:37:20	22.08.14	1	4.5
052	14:37:24	22.08.14	1	4.6
027	14:38:08	22.08.14	1	4.6
029	14:38:18	22.08.14	1	2.8
019	14:38:37	22.08.14	1	0.7
039	14:39:31	22.08.14	1	4.5
046	14:39:33	22.08.14	1	4.8
059	14:39:40	22.08.14	1	5.2
050	14:39:58	22.08.14	1	5.4
053	14:40:01	22.08.14	1	4.6
050	14:40:04	22.08.14	1	4.8
049	14:40:07	22.08.14	1	4.9
052	14:40:12	22.08.14	1	4.7
050	14:40:18	22.08.14	1	4.1
048	14:40:26	22.08.14	1	5.0
