

Standort: 1-Fussgängerbrüc

[km/h]				 [m]
Dateformat: dd.mm.yy
011	13:36:31	24.04.15	2	4.4
008	13:36:41	24.04.15	2	4.4
005	13:37:08	24.04.15	2	1.0
004	13:37:12	24.04.15	2	4.4
005	13:37:24	24.04.15	2	2.3
005	13:37:53	24.04.15	2	4.4
005	13:37:57	24.04.15	2	1.5
006	13:38:19	24.04.15	2	4.4
006	13:38:21	24.04.15	2	4.5
008	13:38:33	24.04.15	2	4.5
005	13:38:42	24.04.15	2	1.4
005	13:38:47	24.04.15	2	4.5
005	13:38:50	24.04.15	2	4.5
005	13:38:56	24.04.15	2	4.5
008	13:50:02	24.04.15	2	4.5
012	13:53:58	24.04.15	2	4.5
014	14:03:27	24.04.15	2	4.6
018	14:04:38	24.04.15	2	4.6
016	14:10:09	24.04.15	2	1.9
006	14:13:57	24.04.15	2	4.7
017	14:18:03	24.04.15	2	4.7
015	14:28:05	24.04.15	2	4.8
009	14:36:00	24.04.15	2	4.9
017	14:36:32	24.04.15	2	5.0
010	14:38:13	24.04.15	2	5.0
014	14:45:30	24.04.15	2	2.0
009	14:46:04	24.04.15	2	5.2
006	14:47:10	24.04.15	2	1.3
012	14:48:12	24.04.15	2	5.3
014	14:50:35	24.04.15	2	0.7
018	14:50:35	24.04.15	2	5.3
015	14:55:43	24.04.15	2	5.4
016	14:57:49	24.04.15	2	5.4
010	14:57:54	24.04.15	2	5.4
020	14:57:59	24.04.15	2	2.0
011	14:59:05	24.04.15	2	5.5
014	14:59:06	24.04.15	2	5.5
020	14:59:46	24.04.15	2	5.5
023	15:00:02	24.04.15	2	2.3
015	15:02:10	24.04.15	2	2.7
011	15:05:03	24.04.15	2	1.9
004	15:06:02	24.04.15	2	0.5
015	15:08:42	24.04.15	2	0.8
015	15:08:42	24.04.15	2	3.1
013	15:09:01	24.04.15	2	3.2
014	15:10:31	24.04.15	2	3.3
020	15:12:13	24.04.15	2	3.4
008	15:12:51	24.04.15	2	1.4
012	15:16:02	24.04.15	2	3.4
016	15:16:30	24.04.15	2	2.2
017	15:17:15	24.04.15	2	0.8
017	15:18:27	24.04.15	2	3.4
013	15:19:20	24.04.15	2	2.4
011	15:20:14	24.04.15	2	2.0
007	15:25:03	24.04.15	2	1.0
006	15:25:16	24.04.15	2	3.5
013	15:26:00	24.04.15	2	2.2
005	15:28:51	24.04.15	2	0.5
018	15:29:56	24.04.15	2	2.0
011	15:33:25	24.04.15	2	1.7
010	15:35:08	24.04.15	2	3.8
013	15:36:08	24.04.15	2	3.9
014	15:37:27	24.04.15	2	4.8
016	15:39:18	24.04.15	2	4.0
016	15:39:20	24.04.15	2	3.9
015	15:40:06	24.04.15	2	2.0
007	15:41:09	24.04.15	2	4.0
005	15:42:54	24.04.15	2	4.1
014	15:46:45	24.04.15	2	4.1
013	15:47:28	24.04.15	2	4.2
013	15:48:15	24.04.15	2	1.7
018	15:50:27	24.04.15	2	4.2
015	15:50:36	24.04.15	2	4.2
006	15:51:12	24.04.15	2	4.2
016	15:53:12	24.04.15	2	4.3
013	15:53:22	24.04.15	2	2.3
017	15:53:28	24.04.15	2	1.5
016	15:55:22	24.04.15	2	4.3
021	15:58:33	24.04.15	2	4.3
006	15:59:18	24.04.15	2	4.3
004	15:59:20	24.04.15	2	4.3
017	16:00:13	24.04.15	2	2.0
014	16:04:20	24.04.15	2	4.3
018	16:05:15	24.04.15	2	4.4
017	16:09:59	24.04.15	2	4.4
008	16:10:50	24.04.15	2	4.5
010	16:11:49	24.04.15	2	4.5
021	16:13:11	24.04.15	2	2.0
016	16:14:38	24.04.15	2	4.5
015	16:14:45	24.04.15	2	2.0
006	16:16:04	24.04.15	2	4.5
020	16:16:48	24.04.15	2	2.2
010	16:17:56	24.04.15	2	4.6
015	16:18:23	24.04.15	2	2.3
021	16:19:02	24.04.15	2	2.1
015	16:19:41	24.04.15	2	4.7
010	16:21:19	24.04.15	2	4.8
010	16:21:44	24.04.15	2	4.2
012	16:21:59	24.04.15	2	4.9
018	16:22:40	24.04.15	2	2.4
008	16:22:50	24.04.15	2	4.9
019	16:23:49	24.04.15	2	4.9
005	16:24:24	24.04.15	2	4.9
009	16:25:27	24.04.15	2	5.0
006	16:25:49	24.04.15	2	5.0
015	16:27:28	24.04.15	2	1.7
006	16:28:22	24.04.15	2	5.1
014	16:28:29	24.04.15	2	5.1
007	16:30:26	24.04.15	2	5.2
015	16:31:57	24.04.15	2	5.3
021	16:33:05	24.04.15	2	2.0
015	16:35:17	24.04.15	2	5.4
008	16:35:52	24.04.15	2	5.4
008	16:37:11	24.04.15	2	5.4
016	16:38:10	24.04.15	2	5.5
016	16:39:11	24.04.15	2	5.6
017	16:39:54	24.04.15	2	1.7
013	16:42:50	24.04.15	2	3.0
017	16:44:13	24.04.15	2	3.2
005	16:44:17	24.04.15	2	3.2
016	16:46:33	24.04.15	2	2.0
017	16:47:44	24.04.15	2	3.5
014	16:47:48	24.04.15	2	3.5
015	16:48:33	24.04.15	2	3.6
016	16:50:36	24.04.15	2	2.0
006	16:51:18	24.04.15	2	1.8
014	16:52:00	24.04.15	2	3.7
016	16:52:27	24.04.15	2	3.7
017	16:55:05	24.04.15	2	3.8
006	16:56:47	24.04.15	2	1.1
012	16:57:04	24.04.15	2	3.8
016	16:57:43	24.04.15	2	2.7
014	16:58:10	24.04.15	2	3.9
006	16:58:14	24.04.15	2	2.6
008	16:59:03	24.04.15	2	1.1
011	16:59:49	24.04.15	2	1.9
019	17:00:45	24.04.15	2	1.9
