

Standort: 1-Walkeweg

[km/h]				 [m]
Dateformat: dd.mm.yy
018	09:16:23	17.06.16	2	3.5
009	09:31:39	17.06.16	2	4.0
017	09:31:55	17.06.16	2	4.5
018	09:35:06	17.06.16	2	4.4
014	09:37:23	17.06.16	2	3.5
026	09:38:37	17.06.16	2	3.7
029	09:38:38	17.06.16	2	3.7
020	09:47:26	17.06.16	2	3.9
013	09:57:21	17.06.16	2	4.1
014	09:57:22	17.06.16	2	4.1
021	10:04:02	17.06.16	2	4.2
008	10:34:06	17.06.16	2	4.3
015	10:39:23	17.06.16	2	4.6
018	10:45:53	17.06.16	2	4.8
015	10:46:26	17.06.16	2	4.4
019	10:57:22	17.06.16	2	4.7
018	11:02:28	17.06.16	2	4.3
022	11:08:02	17.06.16	2	4.0
016	11:16:53	17.06.16	2	3.9
021	11:23:54	17.06.16	2	4.5
023	11:24:52	17.06.16	2	4.1
015	11:26:21	17.06.16	2	3.7
021	11:46:06	17.06.16	2	2.9
007	11:48:21	17.06.16	2	4.7
025	11:49:08	17.06.16	2	4.8
013	11:49:34	17.06.16	2	4.8
018	11:54:54	17.06.16	2	4.9
019	11:54:55	17.06.16	2	4.9
008	11:59:02	17.06.16	2	5.2
013	12:03:48	17.06.16	2	4.5
021	12:04:04	17.06.16	2	4.1
021	12:04:56	17.06.16	2	4.0
015	12:09:11	17.06.16	2	4.1
006	12:12:33	17.06.16	2	5.4
017	12:12:37	17.06.16	2	4.7
018	12:14:09	17.06.16	2	3.8
016	12:17:04	17.06.16	2	4.5
015	12:19:16	17.06.16	2	3.4
018	12:24:44	17.06.16	2	4.8
013	12:29:06	17.06.16	2	4.2
015	12:29:11	17.06.16	2	3.5
009	12:30:45	17.06.16	2	3.2
020	12:38:23	17.06.16	2	3.6
024	12:38:28	17.06.16	2	3.6
021	12:38:29	17.06.16	2	3.6
028	12:38:42	17.06.16	2	3.7
015	12:39:00	17.06.16	2	3.8
007	12:39:09	17.06.16	2	3.8
019	12:40:29	17.06.16	2	3.8
019	12:40:31	17.06.16	2	3.8
019	12:40:32	17.06.16	2	3.8
022	12:40:34	17.06.16	2	3.9
026	12:40:39	17.06.16	2	3.9
024	12:41:16	17.06.16	2	4.0
025	12:41:20	17.06.16	2	4.0
024	12:41:21	17.06.16	2	6.2
030	12:41:23	17.06.16	2	4.0
021	12:41:25	17.06.16	2	4.1
018	12:41:27	17.06.16	2	4.1
027	12:41:28	17.06.16	2	4.1
028	12:41:29	17.06.16	2	4.3
031	12:41:30	17.06.16	2	4.1
033	12:41:30	17.06.16	2	4.1
026	12:41:31	17.06.16	2	4.1
026	12:41:31	17.06.16	2	4.3
027	12:41:36	17.06.16	2	4.7
025	12:41:37	17.06.16	2	4.1
029	12:41:38	17.06.16	2	4.1
028	12:41:39	17.06.16	2	4.9
025	12:41:41	17.06.16	2	7.5
017	12:41:43	17.06.16	2	4.1
019	12:41:43	17.06.16	2	4.2
018	12:41:45	17.06.16	2	3.2
019	12:41:48	17.06.16	2	5.0
020	12:41:49	17.06.16	2	4.2
020	12:41:50	17.06.16	2	4.2
017	12:41:53	17.06.16	2	4.2
019	12:41:53	17.06.16	2	4.2
022	12:41:55	17.06.16	2	6.1
023	12:41:55	17.06.16	2	4.2
018	12:41:56	17.06.16	2	4.2
024	12:41:56	17.06.16	2	3.8
024	12:41:58	17.06.16	2	4.2
025	12:41:58	17.06.16	2	4.2
024	12:41:59	17.06.16	2	4.2
025	12:42:00	17.06.16	2	4.3
023	12:42:02	17.06.16	2	4.3
021	12:42:03	17.06.16	2	4.3
024	12:42:05	17.06.16	2	3.5
019	12:42:06	17.06.16	2	4.3
021	12:42:07	17.06.16	2	4.3
021	12:42:07	17.06.16	2	4.3
022	12:42:09	17.06.16	2	4.6
012	12:42:10	17.06.16	2	4.3
024	12:42:18	17.06.16	2	3.5
024	12:42:19	17.06.16	2	5.3
026	12:42:20	17.06.16	2	4.3
026	12:42:21	17.06.16	2	7.6
026	12:42:22	17.06.16	2	4.6
023	12:42:22	17.06.16	2	4.3
024	12:42:23	17.06.16	2	4.4
024	12:42:24	17.06.16	2	4.4
014	12:42:26	17.06.16	2	4.4
018	12:42:28	17.06.16	2	4.4
018	12:42:29	17.06.16	2	4.4
017	12:42:29	17.06.16	2	4.4
022	12:42:29	17.06.16	2	3.3
025	12:42:30	17.06.16	2	4.4
024	12:42:31	17.06.16	2	4.4
024	12:42:31	17.06.16	2	4.4
023	12:42:32	17.06.16	2	4.4
026	12:42:33	17.06.16	2	8.0
026	12:42:33	17.06.16	2	4.5
026	12:42:33	17.06.16	2	4.5
027	12:42:34	17.06.16	2	4.5
028	12:42:36	17.06.16	2	8.1
029	12:42:36	17.06.16	2	4.5
028	12:42:37	17.06.16	2	4.5
025	12:42:39	17.06.16	2	4.5
028	12:42:39	17.06.16	2	5.6
023	12:42:41	17.06.16	2	4.5
017	12:42:44	17.06.16	2	4.5
017	12:42:47	17.06.16	2	4.5
018	12:42:48	17.06.16	2	4.6
018	12:42:49	17.06.16	2	4.6
020	12:42:49	17.06.16	2	4.6
022	12:42:50	17.06.16	2	5.0
023	12:42:50	17.06.16	2	4.6
020	12:42:51	17.06.16	2	4.6
021	12:42:52	17.06.16	2	3.8
021	12:42:53	17.06.16	2	4.7
020	12:42:53	17.06.16	2	4.7
022	12:42:54	17.06.16	2	4.1
023	12:42:55	17.06.16	2	4.7
023	12:42:55	17.06.16	2	3.1
024	12:42:56	17.06.16	2	4.7
023	12:42:58	17.06.16	2	4.7
028	12:42:59	17.06.16	2	6.9
028	12:42:59	17.06.16	2	4.1
027	12:43:00	17.06.16	2	4.8
029	12:43:00	17.06.16	2	4.8
026	12:43:00	17.06.16	2	4.8
023	12:43:01	17.06.16	2	4.8
026	12:43:02	17.06.16	2	5.9
028	12:43:02	17.06.16	2	4.8
026	12:43:04	17.06.16	2	4.9
025	12:43:04	17.06.16	2	3.5
025	12:43:05	17.06.16	2	4.9
026	12:43:05	17.06.16	2	4.9
007	12:45:06	17.06.16	2	5.0
006	12:45:53	17.06.16	2	1.7
021	12:47:17	17.06.16	2	3.9
009	12:57:18	17.06.16	2	5.1
010	12:57:19	17.06.16	2	5.1
011	12:57:21	17.06.16	2	4.0
007	12:57:28	17.06.16	2	5.1
013	13:04:35	17.06.16	2	5.6
010	13:15:12	17.06.16	2	11.5
009	13:15:14	17.06.16	2	4.2
025	13:15:59	17.06.16	2	3.8
021	13:31:57	17.06.16	2	3.7
015	15:23:34	17.06.16	2	3.9
019	15:26:14	17.06.16	2	4.2
015	15:34:05	17.06.16	2	4.4
018	15:37:27	17.06.16	2	4.0
025	15:37:57	17.06.16	2	4.5
017	15:49:02	17.06.16	2	3.5
019	15:49:04	17.06.16	2	3.6
020	15:49:04	17.06.16	2	3.6
019	15:49:05	17.06.16	2	3.6
020	15:49:05	17.06.16	2	3.6
018	15:49:06	17.06.16	2	3.7
021	15:49:08	17.06.16	2	3.7
017	15:49:08	17.06.16	2	3.7
020	15:49:09	17.06.16	2	3.8
017	15:49:10	17.06.16	2	3.8
020	15:49:10	17.06.16	2	3.8
024	15:49:11	17.06.16	2	3.8
023	15:49:12	17.06.16	2	5.1
021	15:49:13	17.06.16	2	3.8
020	15:49:14	17.06.16	2	3.9
023	15:49:15	17.06.16	2	3.9
018	15:49:18	17.06.16	2	3.9
019	15:50:23	17.06.16	2	3.9
019	15:51:39	17.06.16	2	3.6
017	15:56:58	17.06.16	2	4.0
004	16:03:26	17.06.16	2	4.0
013	16:03:29	17.06.16	2	3.5
007	16:07:00	17.06.16	2	3.6
009	16:07:41	17.06.16	2	3.6
014	16:08:58	17.06.16	2	3.9
017	16:11:18	17.06.16	2	3.9
020	16:18:23	17.06.16	2	7.1
014	16:22:25	17.06.16	2	4.1
018	16:23:59	17.06.16	2	4.1
015	16:29:01	17.06.16	2	4.2
020	16:29:02	17.06.16	2	3.9
019	16:29:04	17.06.16	2	4.2
018	16:29:05	17.06.16	2	4.2
016	16:29:05	17.06.16	2	4.2
019	16:29:07	17.06.16	2	4.0
022	16:29:09	17.06.16	2	5.7
020	16:29:09	17.06.16	2	4.2
018	16:29:10	17.06.16	2	4.3
