

Standort: 1-Hoernlistrasse

[km/h]				 [m]
Dateformat: dd.mm.yy
043	08:52:11	30.04.15	2	3.5
045	08:52:33	30.04.15	2	18.2
045	08:52:37	30.04.15	2	25.5
044	08:52:38	30.04.15	2	8.5
042	08:52:40	30.04.15	2	14.5
044	08:52:41	30.04.15	2	3.6
042	08:52:47	30.04.15	2	25.5
036	08:52:52	30.04.15	2	17.4
045	08:52:55	30.04.15	2	17.1
044	08:53:00	30.04.15	2	25.5
041	08:53:15	30.04.15	2	10.0
049	08:53:23	30.04.15	2	2.1
035	08:58:30	30.04.15	2	4.8
046	08:59:32	30.04.15	2	6.0
025	09:04:13	30.04.15	2	11.0
047	09:19:04	30.04.15	2	4.2
045	09:19:58	30.04.15	2	4.9
025	09:20:49	30.04.15	2	1.2
032	09:20:51	30.04.15	2	9.7
028	09:22:40	30.04.15	2	9.4
030	09:23:05	30.04.15	2	6.2
018	09:36:16	30.04.15	2	2.2
022	09:36:19	30.04.15	2	9.1
044	09:39:31	30.04.15	2	0.8
044	09:42:58	30.04.15	2	6.4
030	09:46:21	30.04.15	2	10.7
023	09:47:19	30.04.15	2	1.1
022	09:49:21	30.04.15	2	7.7
041	09:52:51	30.04.15	2	4.5
032	10:03:29	30.04.15	2	3.7
028	10:05:13	30.04.15	2	10.1
028	10:11:41	30.04.15	2	3.8
031	10:11:55	30.04.15	2	4.8
018	10:12:15	30.04.15	2	3.8
039	10:16:34	30.04.15	2	3.9
025	10:20:10	30.04.15	2	9.5
032	10:21:00	30.04.15	2	5.4
035	10:21:52	30.04.15	2	6.7
023	10:22:20	30.04.15	2	12.7
034	10:23:29	30.04.15	2	5.7
035	10:24:34	30.04.15	2	6.4
032	10:28:30	30.04.15	2	3.8
029	10:35:08	30.04.15	2	4.1
021	10:37:55	30.04.15	2	4.1
025	10:37:57	30.04.15	2	4.1
018	10:38:43	30.04.15	2	4.1
034	10:39:50	30.04.15	2	4.9
037	10:41:34	30.04.15	2	4.1
049	10:41:41	30.04.15	2	4.0
037	10:46:11	30.04.15	2	9.4
018	10:46:53	30.04.15	2	17.3
026	10:48:51	30.04.15	2	4.2
043	10:49:52	30.04.15	2	3.3
030	10:54:26	30.04.15	2	13.6
049	10:56:13	30.04.15	2	4.9
035	10:59:24	30.04.15	2	7.1
031	11:05:39	30.04.15	2	3.7
021	11:05:45	30.04.15	2	14.8
032	11:14:32	30.04.15	2	3.4
041	11:15:23	30.04.15	2	12.5
050	11:16:49	30.04.15	2	4.3
049	11:19:09	30.04.15	2	5.7
038	11:19:32	30.04.15	2	8.7
030	11:20:55	30.04.15	2	7.8
023	11:24:26	30.04.15	2	12.2
028	11:34:03	30.04.15	2	6.9
036	11:34:24	30.04.15	2	4.5
039	11:41:17	30.04.15	2	4.6
043	11:41:21	30.04.15	2	4.6
026	11:41:54	30.04.15	2	4.7
032	11:41:58	30.04.15	2	5.2
048	11:47:39	30.04.15	2	5.0
021	11:49:26	30.04.15	2	4.8
023	11:49:28	30.04.15	2	4.8
030	11:49:50	30.04.15	2	9.9
041	11:49:58	30.04.15	2	7.4
037	11:53:51	30.04.15	2	5.6
037	11:54:21	30.04.15	2	6.0
045	11:56:55	30.04.15	2	4.7
035	11:58:56	30.04.15	2	3.0
048	11:59:19	30.04.15	2	5.5
047	12:02:37	30.04.15	2	4.4
024	12:04:20	30.04.15	2	13.7
032	12:14:09	30.04.15	2	5.1
036	12:15:14	30.04.15	2	8.4
041	12:17:40	30.04.15	2	17.9
039	12:20:51	30.04.15	2	4.8
032	12:20:54	30.04.15	2	4.1
040	12:21:00	30.04.15	2	5.2
038	12:21:03	30.04.15	2	4.7
027	12:27:18	30.04.15	2	5.4
047	12:29:45	30.04.15	2	5.4
052	12:36:22	30.04.15	2	2.5
023	12:37:10	30.04.15	2	11.1
057	12:37:26	30.04.15	2	5.5
055	12:39:28	30.04.15	2	5.6
034	12:40:16	30.04.15	2	10.1
036	12:41:41	30.04.15	2	2.8
041	12:42:53	30.04.15	2	8.3
044	12:44:03	30.04.15	2	3.2
037	12:44:17	30.04.15	2	3.2
025	12:51:42	30.04.15	2	18.3
032	12:58:35	30.04.15	2	5.4
021	13:06:16	30.04.15	2	13.2
038	13:12:37	30.04.15	2	11.7
043	13:13:58	30.04.15	2	4.2
039	13:14:32	30.04.15	2	17.5
047	13:16:05	30.04.15	2	4.5
024	13:20:58	30.04.15	2	14.1
059	13:24:20	30.04.15	2	6.9
042	13:26:23	30.04.15	2	3.9
032	13:27:18	30.04.15	2	17.7
061	13:29:32	30.04.15	2	3.9
034	13:34:32	30.04.15	2	7.5
027	13:35:05	30.04.15	2	10.2
038	13:36:06	30.04.15	2	4.9
042	13:38:31	30.04.15	2	4.7
030	13:40:02	30.04.15	2	4.0
030	13:43:29	30.04.15	2	15.2
032	13:43:33	30.04.15	2	5.3
043	13:45:07	30.04.15	2	8.5
030	13:47:13	30.04.15	2	4.6
029	13:49:29	30.04.15	2	8.8
043	13:55:56	30.04.15	2	4.9
024	14:01:27	30.04.15	2	4.2
024	14:06:35	30.04.15	2	8.7
026	14:06:37	30.04.15	2	4.2
044	14:07:17	30.04.15	2	7.8
044	14:11:55	30.04.15	2	12.0
042	14:12:59	30.04.15	2	5.6
040	14:13:02	30.04.15	2	4.2
035	14:17:15	30.04.15	2	4.3
038	14:17:55	30.04.15	2	5.9
052	14:18:39	30.04.15	2	6.0
029	14:20:10	30.04.15	2	6.2
032	14:20:12	30.04.15	2	2.1
023	14:21:48	30.04.15	2	15.2
026	14:23:01	30.04.15	2	4.3
038	14:33:41	30.04.15	2	3.7
042	14:34:07	30.04.15	2	9.6
038	14:34:11	30.04.15	2	3.7
017	14:34:50	30.04.15	2	4.3
019	14:36:50	30.04.15	2	7.2
035	14:36:58	30.04.15	2	4.2
048	14:42:47	30.04.15	2	4.8
031	14:44:09	30.04.15	2	3.8
041	14:44:47	30.04.15	2	4.4
058	14:45:59	30.04.15	2	4.2
017	14:46:16	30.04.15	2	4.4
026	14:49:07	30.04.15	2	4.9
025	14:52:51	30.04.15	2	9.5
035	14:53:28	30.04.15	2	5.3
029	14:53:46	30.04.15	2	4.4
037	14:54:44	30.04.15	2	4.5
043	14:56:22	30.04.15	2	4.6
044	14:57:22	30.04.15	2	4.8
