

Standort: 1-I,d.Ziegelhoef

[km/h]				 [m]
Dateformat: dd.mm.yy
020	14:19:03	30.05.14	1	3.5
011	14:19:15	30.05.14	1	5.3
023	14:24:00	30.05.14	1	1.1
024	14:27:06	30.05.14	1	4.3
025	14:28:43	30.05.14	1	4.9
021	14:33:16	30.05.14	1	1.7
020	14:33:24	30.05.14	1	1.5
019	14:35:49	30.05.14	1	4.3
019	14:36:23	30.05.14	1	1.2
018	14:36:26	30.05.14	1	3.5
011	14:36:42	30.05.14	1	4.4
021	14:39:49	30.05.14	1	1.8
015	14:45:39	30.05.14	1	4.1
031	14:45:41	30.05.14	1	1.6
017	14:45:50	30.05.14	1	1.5
014	14:46:45	30.05.14	1	2.3
013	14:46:51	30.05.14	1	3.5
020	14:48:03	30.05.14	1	1.7
022	14:52:44	30.05.14	1	1.3
018	14:54:51	30.05.14	1	3.6
028	14:58:16	30.05.14	1	4.5
025	15:00:35	30.05.14	1	4.2
015	15:01:05	30.05.14	1	4.1
022	15:01:09	30.05.14	1	3.8
016	15:01:37	30.05.14	1	3.3
025	15:01:49	30.05.14	1	4.5
021	15:03:55	30.05.14	1	2.5
029	15:05:07	30.05.14	1	3.6
019	15:05:18	30.05.14	1	4.1
011	15:05:40	30.05.14	1	3.6
023	15:06:38	30.05.14	1	3.6
022	15:06:44	30.05.14	1	4.6
017	15:07:19	30.05.14	1	3.7
015	15:09:00	30.05.14	1	0.8
020	15:09:29	30.05.14	1	3.7
023	15:09:49	30.05.14	1	1.6
018	15:17:37	30.05.14	1	3.7
018	15:17:38	30.05.14	1	1.7
025	15:18:02	30.05.14	1	4.5
019	15:19:43	30.05.14	1	2.0
017	15:19:44	30.05.14	1	3.8
027	15:21:29	30.05.14	1	4.2
021	15:25:32	30.05.14	1	1.7
022	15:25:34	30.05.14	1	1.1
019	15:26:15	30.05.14	1	1.9
008	15:31:20	30.05.14	1	1.2
018	15:32:30	30.05.14	1	4.3
022	15:35:20	30.05.14	1	4.6
023	15:36:13	30.05.14	1	4.9
013	15:36:43	30.05.14	1	7.1
012	15:38:24	30.05.14	1	4.1
014	15:38:53	30.05.14	1	4.3
014	15:38:59	30.05.14	1	1.3
009	15:39:12	30.05.14	1	2.1
023	15:41:59	30.05.14	1	4.2
015	15:44:12	30.05.14	1	3.8
020	15:47:03	30.05.14	1	4.3
014	15:47:57	30.05.14	1	5.5
022	15:52:43	30.05.14	1	4.5
022	15:54:54	30.05.14	1	3.8
021	15:56:03	30.05.14	1	5.0
013	15:58:02	30.05.14	1	1.4
021	15:59:40	30.05.14	1	3.8
010	16:01:55	30.05.14	1	3.2
011	16:02:33	30.05.14	1	1.3
013	16:02:36	30.05.14	1	4.0
025	16:05:54	30.05.14	1	4.4
014	16:06:11	30.05.14	1	3.8
016	16:07:46	30.05.14	1	1.5
017	16:08:25	30.05.14	1	3.8
028	16:09:41	30.05.14	1	4.2
023	16:10:01	30.05.14	1	1.5
030	16:11:53	30.05.14	1	4.7
018	16:14:04	30.05.14	1	1.3
022	16:14:41	30.05.14	1	4.4
027	16:18:47	30.05.14	1	4.0
024	16:19:00	30.05.14	1	4.4
038	16:21:18	30.05.14	1	2.1
019	16:22:19	30.05.14	1	3.2
015	16:22:29	30.05.14	1	1.4
015	16:24:53	30.05.14	1	4.4
029	16:28:24	30.05.14	1	4.7
007	16:32:15	30.05.14	1	0.8
025	16:33:58	30.05.14	1	5.0
027	16:34:12	30.05.14	1	4.8
020	16:39:45	30.05.14	1	4.1
021	16:40:12	30.05.14	1	4.2
023	16:41:31	30.05.14	1	3.9
021	16:44:18	30.05.14	1	4.3
014	16:44:42	30.05.14	1	0.8
020	16:45:43	30.05.14	1	4.1
018	16:45:57	30.05.14	1	3.9
018	16:48:09	30.05.14	1	4.0
018	16:51:05	30.05.14	1	4.2
022	16:51:27	30.05.14	1	1.8
019	16:54:06	30.05.14	1	1.3
030	16:54:49	30.05.14	1	5.0
018	16:55:19	30.05.14	1	1.8
025	16:55:22	30.05.14	1	2.7
015	16:55:32	30.05.14	1	4.3
019	16:57:10	30.05.14	1	1.3
025	16:58:41	30.05.14	1	4.1
018	16:58:57	30.05.14	1	4.2
016	16:59:34	30.05.14	1	1.4
026	17:01:10	30.05.14	1	4.1
022	17:01:14	30.05.14	1	1.6
025	17:02:11	30.05.14	1	2.0
023	17:03:50	30.05.14	1	3.9
017	17:04:54	30.05.14	1	3.9
021	17:05:32	30.05.14	1	5.2
018	17:05:47	30.05.14	1	3.9
022	17:08:51	30.05.14	1	1.8
019	17:13:07	30.05.14	1	1.7
016	17:17:05	30.05.14	1	0.9
017	17:17:10	30.05.14	1	1.1
021	17:19:36	30.05.14	1	4.5
020	17:19:55	30.05.14	1	3.9
021	17:20:26	30.05.14	1	4.5
014	17:21:22	30.05.14	1	3.8
013	17:22:24	30.05.14	1	1.5
029	17:25:10	30.05.14	1	4.8
026	17:26:56	30.05.14	1	4.3
030	17:27:29	30.05.14	1	1.1
018	17:27:46	30.05.14	1	1.5
030	17:28:03	30.05.14	1	4.0
022	17:29:11	30.05.14	1	4.6
016	17:29:56	30.05.14	1	1.8
022	17:30:16	30.05.14	1	1.4
019	17:30:30	30.05.14	1	1.1
022	17:31:08	30.05.14	1	4.7
025	17:32:56	30.05.14	1	3.9
023	17:34:35	30.05.14	1	4.6
015	17:34:57	30.05.14	1	4.0
022	17:35:18	30.05.14	1	4.0
022	17:37:12	30.05.14	1	4.2
021	17:40:26	30.05.14	1	3.5
008	17:41:03	30.05.14	1	1.9
026	17:41:53	30.05.14	1	4.1
019	17:42:32	30.05.14	1	3.1
028	17:42:48	30.05.14	1	4.9
019	17:43:40	30.05.14	1	1.4
009	17:44:18	30.05.14	1	0.6
017	17:45:09	30.05.14	1	4.0
015	17:45:43	30.05.14	1	4.0
015	17:45:44	30.05.14	1	1.0
022	17:48:03	30.05.14	1	4.0
021	17:53:03	30.05.14	1	4.1
023	17:53:26	30.05.14	1	3.6
016	17:54:04	30.05.14	1	4.1
