

Standort: 1-Im Reihnacker

[km/h]				 [m]
Dateformat: dd.mm.yy
015	13:13:38	16.04.14	1	3.8
026	13:21:54	16.04.14	1	3.3
020	13:23:14	16.04.14	1	4.3
024	13:23:21	16.04.14	1	3.3
019	13:25:04	16.04.14	1	5.5
018	13:28:01	16.04.14	1	5.1
019	13:29:56	16.04.14	1	1.1
020	13:29:57	16.04.14	1	3.5
021	13:35:27	16.04.14	1	5.7
018	13:38:38	16.04.14	1	3.5
026	13:42:01	16.04.14	1	2.6
020	13:42:15	16.04.14	1	3.7
029	14:00:11	16.04.14	1	4.5
019	14:01:10	16.04.14	1	1.6
018	14:03:06	16.04.14	1	3.6
021	14:10:48	16.04.14	1	3.7
021	14:13:27	16.04.14	1	2.9
022	14:13:55	16.04.14	1	4.1
023	14:14:01	16.04.14	1	4.0
014	14:14:16	16.04.14	1	4.4
020	14:21:20	16.04.14	1	3.3
030	14:22:37	16.04.14	1	3.6
012	14:22:51	16.04.14	1	1.5
018	14:30:47	16.04.14	1	3.6
023	14:31:35	16.04.14	1	4.3
025	14:31:38	16.04.14	1	3.5
022	14:39:31	16.04.14	1	3.9
021	14:40:06	16.04.14	1	3.4
023	14:40:47	16.04.14	1	5.8
011	14:48:39	16.04.14	1	1.3
015	14:51:34	16.04.14	1	1.9
007	14:53:16	16.04.14	1	3.7
031	14:58:24	16.04.14	1	4.9
025	14:59:26	16.04.14	1	3.3
008	15:01:22	16.04.14	1	0.6
020	15:06:02	16.04.14	1	3.7
020	15:06:03	16.04.14	1	3.7
023	15:06:06	16.04.14	1	3.8
026	15:09:18	16.04.14	1	3.7
017	15:12:09	16.04.14	1	3.8
023	15:14:42	16.04.14	1	3.2
028	15:15:44	16.04.14	1	3.8
013	15:22:22	16.04.14	1	3.8
019	15:25:08	16.04.14	1	0.6
020	15:25:09	16.04.14	1	3.8
012	15:25:14	16.04.14	1	2.2
015	15:30:36	16.04.14	1	2.5
022	15:31:10	16.04.14	1	3.9
021	15:31:13	16.04.14	1	3.9
020	15:31:13	16.04.14	1	3.9
010	15:32:42	16.04.14	1	3.9
020	15:33:25	16.04.14	1	5.8
009	15:34:59	16.04.14	1	3.9
010	15:36:17	16.04.14	1	1.9
013	15:38:36	16.04.14	1	2.6
007	15:38:41	16.04.14	1	0.8
017	15:44:26	16.04.14	1	0.9
019	15:44:45	16.04.14	1	4.0
021	15:46:53	16.04.14	1	4.0
024	15:46:55	16.04.14	1	3.1
020	15:49:24	16.04.14	1	3.5
013	15:49:55	16.04.14	1	4.0
025	15:51:29	16.04.14	1	3.2
025	15:51:50	16.04.14	1	2.9
025	15:52:02	16.04.14	1	4.0
024	15:59:35	16.04.14	1	4.0
027	16:00:01	16.04.14	1	4.6
017	16:00:57	16.04.14	1	2.8
009	16:01:43	16.04.14	1	1.3
028	16:02:50	16.04.14	1	1.4
023	16:04:23	16.04.14	1	5.2
020	16:08:15	16.04.14	1	4.1
026	16:10:27	16.04.14	1	4.3
020	16:15:46	16.04.14	1	3.6
024	16:16:42	16.04.14	1	3.1
028	16:18:01	16.04.14	1	4.1
021	16:19:48	16.04.14	1	4.6
017	16:23:00	16.04.14	1	4.0
022	16:27:59	16.04.14	1	3.1
007	16:34:28	16.04.14	1	0.5
018	16:40:20	16.04.14	1	1.5
025	16:45:12	16.04.14	1	4.1
027	16:47:02	16.04.14	1	4.3
021	16:47:14	16.04.14	1	4.1
016	16:56:47	16.04.14	1	1.5
016	16:59:02	16.04.14	1	4.1
016	17:04:35	16.04.14	1	4.5
019	17:04:51	16.04.14	1	3.8
021	17:05:50	16.04.14	1	0.8
020	17:07:13	16.04.14	1	3.8
008	17:07:55	16.04.14	1	4.1
011	17:11:38	16.04.14	1	3.6
022	17:15:23	16.04.14	1	2.6
019	17:19:36	16.04.14	1	4.1
024	17:19:42	16.04.14	1	3.2
019	17:20:46	16.04.14	1	3.8
017	17:25:28	16.04.14	1	1.8
008	17:26:25	16.04.14	1	4.1
019	17:26:52	16.04.14	1	4.1
020	17:26:52	16.04.14	1	4.1
018	17:27:37	16.04.14	1	4.1
024	17:28:24	16.04.14	1	4.2
008	17:29:11	16.04.14	1	4.2
024	17:31:33	16.04.14	1	0.9
017	17:35:07	16.04.14	1	4.8
010	17:35:27	16.04.14	1	4.2
012	17:35:30	16.04.14	1	4.1
024	17:39:01	16.04.14	1	4.2
016	17:39:07	16.04.14	1	4.2
025	17:39:34	16.04.14	1	4.2
016	17:40:04	16.04.14	1	1.0
023	17:40:16	16.04.14	1	4.4
022	17:41:16	16.04.14	1	4.2
019	17:49:41	16.04.14	1	1.0
008	17:51:24	16.04.14	1	0.5
022	17:53:27	16.04.14	1	4.9
022	18:02:23	16.04.14	1	3.3
026	18:02:25	16.04.14	1	4.2
023	18:10:56	16.04.14	1	4.2
018	18:14:36	16.04.14	1	3.5
019	18:19:25	16.04.14	1	4.2
020	18:23:45	16.04.14	1	3.4
024	18:29:45	16.04.14	1	4.7
013	18:31:11	16.04.14	1	3.7
015	18:32:09	16.04.14	1	4.3
026	18:34:50	16.04.14	1	4.5
019	18:39:07	16.04.14	1	4.3
021	18:40:27	16.04.14	1	3.4
022	18:43:04	16.04.14	1	2.9
016	18:46:51	16.04.14	1	2.9
033	18:48:36	16.04.14	1	3.6
015	18:50:15	16.04.14	1	2.9
024	18:50:44	16.04.14	1	3.2
031	18:54:00	16.04.14	1	4.3
024	18:54:58	16.04.14	1	3.6
008	19:00:38	16.04.14	1	0.5
021	19:03:16	16.04.14	1	4.3
024	19:26:09	16.04.14	1	1.9
018	19:28:53	16.04.14	1	4.3
029	19:40:26	16.04.14	1	4.3
021	19:41:58	16.04.14	1	4.3
021	19:45:09	16.04.14	1	1.7
009	19:53:49	16.04.14	1	0.8
007	20:00:13	16.04.14	1	1.4
022	20:12:37	16.04.14	1	1.4
029	20:42:28	16.04.14	1	3.9
035	20:44:10	16.04.14	1	1.7
021	21:02:04	16.04.14	1	0.7
021	21:02:05	16.04.14	1	4.3
024	21:02:57	16.04.14	1	4.6
021	21:13:48	16.04.14	1	3.7
021	21:19:43	16.04.14	1	6.0
020	22:03:31	16.04.14	1	5.1
019	22:05:15	16.04.14	1	0.7
019	22:05:16	16.04.14	1	4.3
018	22:16:39	16.04.14	1	3.1
033	22:43:16	16.04.14	1	3.9
022	22:44:52	16.04.14	1	4.3
018	22:47:13	16.04.14	1	4.4
030	22:59:09	16.04.14	1	3.7
021	23:06:21	16.04.14	1	1.0
021	01:08:23	17.04.14	1	4.0
031	01:40:34	17.04.14	1	3.1
030	02:58:56	17.04.14	1	6.4
023	03:21:10	17.04.14	1	3.0
036	03:23:30	17.04.14	1	4.4
019	03:33:07	17.04.14	1	3.5
021	04:00:41	17.04.14	1	3.1
019	05:03:53	17.04.14	1	3.2
029	05:06:27	17.04.14	1	4.2
009	05:10:01	17.04.14	1	1.0
008	05:23:17	17.04.14	1	0.5
018	05:26:25	17.04.14	1	4.3
022	05:43:38	17.04.14	1	1.9
025	05:55:36	17.04.14	1	4.6
028	05:55:38	17.04.14	1	1.4
023	06:21:44	17.04.14	1	2.1
026	06:26:02	17.04.14	1	1.7
022	06:29:58	17.04.14	1	4.3
020	06:44:08	17.04.14	1	0.5
028	06:50:35	17.04.14	1	3.6
010	06:58:44	17.04.14	1	5.2
028	07:04:48	17.04.14	1	4.4
024	07:05:27	17.04.14	1	4.4
022	07:06:02	17.04.14	1	4.4
038	07:06:59	17.04.14	1	4.4
026	07:12:15	17.04.14	1	0.9
010	07:16:43	17.04.14	1	3.5
024	07:25:35	17.04.14	1	6.0
021	07:30:00	17.04.14	1	3.6
018	07:36:18	17.04.14	1	1.9
019	07:38:44	17.04.14	1	2.2
023	07:38:50	17.04.14	1	4.4
019	07:41:25	17.04.14	1	4.4
008	07:44:31	17.04.14	1	4.4
022	07:46:18	17.04.14	1	4.4
010	07:50:01	17.04.14	1	0.5
020	07:58:54	17.04.14	1	1.4
018	08:05:17	17.04.14	1	4.1
027	08:10:44	17.04.14	1	1.5
021	08:11:29	17.04.14	1	3.4
022	08:12:00	17.04.14	1	4.1
028	08:12:20	17.04.14	1	3.1
023	08:16:17	17.04.14	1	5.4
008	08:17:27	17.04.14	1	2.4
