

Standort: 1-Itelpfad

[km/h]				 [m]
Dateformat: dd.mm.yy
020	10:17:02	03.07.15	1	1.5
022	10:17:08	03.07.15	1	4.0
020	10:23:22	03.07.15	1	4.1
021	10:31:12	03.07.15	1	4.3
020	10:33:50	03.07.15	1	4.0
025	10:35:45	03.07.15	1	5.9
023	10:37:01	03.07.15	1	5.6
020	13:31:41	03.07.15	1	4.1
013	13:34:05	03.07.15	1	1.3
023	13:34:27	03.07.15	1	4.8
015	13:36:48	03.07.15	1	4.9
011	13:36:52	03.07.15	1	3.0
025	13:37:28	03.07.15	1	4.4
027	13:37:38	03.07.15	1	4.5
032	13:38:34	03.07.15	1	1.4
026	13:40:06	03.07.15	1	4.9
017	13:40:19	03.07.15	1	5.0
020	13:41:47	03.07.15	1	4.3
024	13:57:05	03.07.15	1	5.0
028	13:58:20	03.07.15	1	5.1
015	14:00:10	03.07.15	1	5.0
032	14:06:21	03.07.15	1	4.3
009	14:07:53	03.07.15	1	8.2
023	14:12:47	03.07.15	1	3.8
022	14:20:31	03.07.15	1	3.7
016	14:23:16	03.07.15	1	0.5
015	14:30:40	03.07.15	1	3.8
030	14:35:37	03.07.15	1	4.9
028	14:39:59	03.07.15	1	4.3
020	14:40:33	03.07.15	1	4.4
023	14:44:22	03.07.15	1	1.6
011	14:46:30	03.07.15	1	1.3
021	14:47:07	03.07.15	1	6.3
014	14:48:15	03.07.15	1	0.8
026	15:11:46	03.07.15	1	6.4
030	15:19:56	03.07.15	1	5.1
008	15:21:37	03.07.15	1	1.5
016	15:21:57	03.07.15	1	0.7
024	15:28:04	03.07.15	1	5.4
026	16:07:15	03.07.15	1	6.9
033	16:07:53	03.07.15	1	0.7
022	16:38:43	03.07.15	1	4.5
022	16:39:08	03.07.15	1	1.1
032	16:58:48	03.07.15	1	4.5
032	17:00:23	03.07.15	1	4.8
020	17:04:44	03.07.15	1	1.6
029	17:32:30	03.07.15	1	4.5
029	17:41:07	03.07.15	1	4.5
028	18:25:05	03.07.15	1	4.6
018	18:34:31	03.07.15	1	1.1
044	18:38:07	03.07.15	1	4.6
028	18:58:26	03.07.15	1	4.7
037	19:00:29	03.07.15	1	4.8
043	19:06:28	03.07.15	1	4.8
025	19:31:54	03.07.15	1	4.8
036	19:49:22	03.07.15	1	1.8
021	19:49:45	03.07.15	1	2.3
030	20:01:58	03.07.15	1	4.8
026	20:12:36	03.07.15	1	4.9
027	20:15:07	03.07.15	1	2.7
036	20:23:09	03.07.15	1	4.9
021	20:27:44	03.07.15	1	1.6
028	20:39:29	03.07.15	1	1.3
027	20:43:32	03.07.15	1	4.9
034	20:47:40	03.07.15	1	4.9
030	20:49:48	03.07.15	1	1.1
022	20:55:12	03.07.15	1	1.1
028	20:56:50	03.07.15	1	4.9
021	21:06:18	03.07.15	1	2.7
019	21:14:07	03.07.15	1	1.3
034	21:59:24	03.07.15	1	2.6
024	22:13:20	03.07.15	1	5.0
027	22:25:00	03.07.15	1	5.1
033	22:27:02	03.07.15	1	5.1
021	22:47:45	03.07.15	1	5.2
019	22:58:49	03.07.15	1	5.2
021	23:29:15	03.07.15	1	1.1
022	23:29:39	03.07.15	1	5.3
029	23:35:49	03.07.15	1	5.3
021	23:50:58	03.07.15	1	5.3
029	23:55:04	03.07.15	1	5.3
028	23:59:44	03.07.15	1	3.1
018	00:04:39	04.07.15	1	1.1
023	00:13:39	04.07.15	1	1.7
026	00:16:44	04.07.15	1	5.4
028	01:25:42	04.07.15	1	5.4
028	01:37:37	04.07.15	1	5.4
028	01:37:45	04.07.15	1	3.6
017	02:24:55	04.07.15	1	3.0
024	02:45:45	04.07.15	1	5.4
023	04:01:14	04.07.15	1	2.9
009	05:33:39	04.07.15	1	5.5
025	05:35:21	04.07.15	1	5.5
023	05:48:33	04.07.15	1	2.2
029	07:51:11	04.07.15	1	2.6
028	08:15:27	04.07.15	1	4.7
028	08:32:29	04.07.15	1	2.8
021	08:53:31	04.07.15	1	1.9
027	09:27:50	04.07.15	1	3.3
026	09:31:22	04.07.15	1	3.2
027	09:34:12	04.07.15	1	3.2
028	09:54:58	04.07.15	1	1.5
022	10:03:58	04.07.15	1	2.2
015	10:28:41	04.07.15	1	4.4
026	10:28:56	04.07.15	1	3.3
025	10:41:13	04.07.15	1	0.8
023	10:44:03	04.07.15	1	3.3
020	10:48:38	04.07.15	1	3.3
029	11:01:50	04.07.15	1	3.4
028	11:03:37	04.07.15	1	1.5
024	11:21:24	04.07.15	1	6.6
028	11:27:08	04.07.15	1	3.5
017	11:29:29	04.07.15	1	3.5
021	11:40:12	04.07.15	1	3.1
028	11:52:15	04.07.15	1	3.7
023	11:55:06	04.07.15	1	3.7
023	11:55:09	04.07.15	1	3.7
026	11:56:28	04.07.15	1	2.4
025	12:01:37	04.07.15	1	0.5
025	12:16:42	04.07.15	1	2.2
027	12:18:21	04.07.15	1	3.8
016	12:21:16	04.07.15	1	3.8
025	12:28:00	04.07.15	1	0.7
023	12:36:19	04.07.15	1	0.6
018	12:42:42	04.07.15	1	1.3
031	13:10:35	04.07.15	1	3.9
025	13:12:28	04.07.15	1	4.0
016	13:17:34	04.07.15	1	1.4
011	13:32:07	04.07.15	1	3.6
009	13:36:57	04.07.15	1	1.6
008	13:37:47	04.07.15	1	1.4
029	13:39:24	04.07.15	1	4.7
018	13:40:24	04.07.15	1	4.8
025	13:40:30	04.07.15	1	4.4
015	13:41:37	04.07.15	1	4.4
017	13:44:33	04.07.15	1	4.5
030	14:03:53	04.07.15	1	5.1
025	14:10:09	04.07.15	1	3.9
010	14:17:38	04.07.15	1	9.0
010	14:34:56	04.07.15	1	3.0
034	14:43:33	04.07.15	1	4.2
032	14:46:15	04.07.15	1	4.1
036	14:51:30	04.07.15	1	4.9
019	15:13:54	04.07.15	1	4.3
025	15:24:27	04.07.15	1	4.8
018	15:24:52	04.07.15	1	4.1
024	15:31:19	04.07.15	1	4.8
025	15:31:59	04.07.15	1	3.3
034	15:41:09	04.07.15	1	3.6
018	15:43:33	04.07.15	1	1.2
022	15:44:42	04.07.15	1	1.4
023	15:45:41	04.07.15	1	3.9
015	15:51:02	04.07.15	1	4.8
026	15:52:33	04.07.15	1	4.2
015	15:55:07	04.07.15	1	3.8
018	15:56:49	04.07.15	1	4.5
023	15:57:19	04.07.15	1	5.8
013	16:12:20	04.07.15	1	4.0
024	16:15:41	04.07.15	1	5.6
035	16:23:28	04.07.15	1	4.0
020	16:26:02	04.07.15	1	3.6
020	16:35:14	04.07.15	1	4.0
040	16:36:58	04.07.15	1	0.6
009	16:44:21	04.07.15	1	1.4
011	16:46:09	04.07.15	1	3.2
011	16:46:17	04.07.15	1	5.1
040	17:05:26	04.07.15	1	4.1
025	17:27:07	04.07.15	1	4.1
027	17:48:46	04.07.15	1	1.4
023	17:57:01	04.07.15	1	4.1
021	18:10:53	04.07.15	1	0.9
027	18:35:39	04.07.15	1	4.2
028	18:52:43	04.07.15	1	3.0
030	19:38:13	04.07.15	1	4.2
013	19:39:49	04.07.15	1	1.4
029	19:44:39	04.07.15	1	2.6
026	20:26:08	04.07.15	1	1.3
015	20:41:00	04.07.15	1	4.7
014	20:44:33	04.07.15	1	6.0
015	20:44:39	04.07.15	1	4.4
031	20:47:13	04.07.15	1	3.7
015	20:54:54	04.07.15	1	5.1
027	21:07:24	04.07.15	1	5.0
014	21:08:12	04.07.15	1	1.2
012	21:09:39	04.07.15	1	5.4
022	21:30:02	04.07.15	1	0.7
019	21:30:55	04.07.15	1	2.5
011	21:44:14	04.07.15	1	7.5
016	21:51:21	04.07.15	1	6.7
016	21:57:10	04.07.15	1	5.0
018	22:16:28	04.07.15	1	4.4
017	22:16:35	04.07.15	1	4.8
028	22:19:57	04.07.15	1	0.7
015	22:34:03	04.07.15	1	6.2
029	22:54:24	04.07.15	1	0.5
029	22:54:28	04.07.15	1	4.2
030	22:56:16	04.07.15	1	2.7
028	23:05:51	04.07.15	1	4.2
023	23:34:10	04.07.15	1	4.3
025	23:38:49	04.07.15	1	4.3
023	23:42:00	04.07.15	1	3.3
016	23:50:00	04.07.15	1	1.5
017	23:51:36	04.07.15	1	2.4
014	23:51:58	04.07.15	1	1.5
021	23:54:06	04.07.15	1	1.7
033	23:56:18	04.07.15	1	4.3
025	00:01:02	05.07.15	1	1.1
018	00:30:06	05.07.15	1	1.2
019	00:45:15	05.07.15	1	2.0
020	01:36:22	05.07.15	1	0.7
028	01:42:26	05.07.15	1	2.7
033	02:17:20	05.07.15	1	4.3
023	02:23:35	05.07.15	1	4.3
034	02:24:41	05.07.15	1	4.4
021	02:40:24	05.07.15	1	3.7
021	02:59:56	05.07.15	1	1.7
018	04:53:21	05.07.15	1	1.8
026	05:02:28	05.07.15	1	1.9
022	05:16:15	05.07.15	1	1.2
019	05:52:45	05.07.15	1	4.7
009	06:18:37	05.07.15	1	0.9
009	07:52:30	05.07.15	1	4.3
022	08:57:38	05.07.15	1	4.6
023	09:02:57	05.07.15	1	4.9
009	09:21:20	05.07.15	1	9.8
012	09:34:15	05.07.15	1	4.2
028	09:43:22	05.07.15	1	4.3
020	09:58:08	05.07.15	1	5.2
029	11:22:30	05.07.15	1	4.2
021	11:47:34	05.07.15	1	4.4
019	11:51:06	05.07.15	1	4.4
028	12:04:08	05.07.15	1	4.0
026	12:07:01	05.07.15	1	4.0
024	12:17:42	05.07.15	1	4.7
018	12:17:50	05.07.15	1	3.4
029	12:18:59	05.07.15	1	1.4
