

Standort: 1-JacBurckhardt

[km/h]				 [m]
Dateformat: dd.mm.yy
015	08:34:57	02.12.16	2	3.9
027	08:35:14	02.12.16	2	7.2
010	08:37:47	02.12.16	2	7.6
010	08:37:48	02.12.16	2	1.6
016	08:37:49	02.12.16	2	1.9
007	08:38:03	02.12.16	2	2.7
007	08:38:05	02.12.16	2	2.9
009	08:38:08	02.12.16	2	2.9
009	08:38:09	02.12.16	2	2.2
012	08:38:19	02.12.16	2	4.3
017	08:38:20	02.12.16	2	2.0
038	08:40:52	02.12.16	2	9.5
015	08:42:02	02.12.16	2	11.6
004	08:42:11	02.12.16	2	2.5
024	08:57:58	02.12.16	2	2.2
029	09:00:26	02.12.16	2	2.6
031	09:00:27	02.12.16	2	4.5
034	09:14:42	02.12.16	2	4.4
028	09:24:02	02.12.16	2	7.3
006	09:34:59	02.12.16	2	1.6
009	09:37:44	02.12.16	2	6.6
018	09:37:44	02.12.16	2	3.6
005	09:37:50	02.12.16	2	3.6
019	09:39:32	02.12.16	2	9.1
030	09:42:41	02.12.16	2	5.8
008	09:48:25	02.12.16	2	6.2
039	09:50:22	02.12.16	2	8.4
031	09:53:25	02.12.16	2	9.6
019	10:16:09	02.12.16	2	4.0
033	10:23:21	02.12.16	2	7.3
030	10:24:28	02.12.16	2	7.9
033	10:28:08	02.12.16	2	8.0
033	10:28:24	02.12.16	2	8.1
026	10:29:59	02.12.16	2	8.0
006	10:30:36	02.12.16	2	3.7
022	10:31:47	02.12.16	2	7.4
035	10:36:05	02.12.16	2	9.3
021	10:36:41	02.12.16	2	4.5
030	10:40:23	02.12.16	2	9.0
032	10:42:08	02.12.16	2	7.0
012	10:43:40	02.12.16	2	4.4
032	10:44:32	02.12.16	2	8.3
011	10:47:46	02.12.16	2	7.1
004	10:47:58	02.12.16	2	3.8
007	10:50:51	02.12.16	2	3.8
031	10:51:24	02.12.16	2	6.3
036	10:51:49	02.12.16	2	8.9
025	10:52:29	02.12.16	2	6.7
030	10:53:20	02.12.16	2	6.6
036	10:54:24	02.12.16	2	9.9
031	10:55:18	02.12.16	2	7.9
035	10:59:20	02.12.16	2	7.7
041	11:00:12	02.12.16	2	7.4
035	11:00:47	02.12.16	2	8.2
038	11:01:09	02.12.16	2	6.1
008	11:01:16	02.12.16	2	3.9
009	11:01:37	02.12.16	2	12.0
019	11:01:38	02.12.16	2	3.9
028	11:03:57	02.12.16	2	9.0
027	11:03:58	02.12.16	2	3.9
019	11:04:36	02.12.16	2	9.3
049	11:08:57	02.12.16	2	7.8
020	11:11:55	02.12.16	2	4.4
036	11:15:05	02.12.16	2	9.1
024	11:18:04	02.12.16	2	8.5
034	11:25:21	02.12.16	2	7.2
022	11:26:43	02.12.16	2	8.7
019	11:33:11	02.12.16	2	4.6
037	11:34:32	02.12.16	2	8.3
021	11:34:36	02.12.16	2	4.4
028	11:35:43	02.12.16	2	9.3
032	11:38:32	02.12.16	2	7.6
031	11:39:12	02.12.16	2	10.4
019	11:40:19	02.12.16	2	7.1
037	11:45:15	02.12.16	2	7.7
034	11:47:05	02.12.16	2	4.8
040	11:47:27	02.12.16	2	8.5
027	11:47:38	02.12.16	2	8.2
027	11:47:42	02.12.16	2	8.9
028	11:52:17	02.12.16	2	7.9
034	11:56:05	02.12.16	2	8.7
037	11:58:33	02.12.16	2	7.9
016	12:00:10	02.12.16	2	7.7
031	12:00:17	02.12.16	2	7.1
033	12:10:08	02.12.16	2	4.6
018	12:14:09	02.12.16	2	4.6
018	12:14:37	02.12.16	2	4.3
004	12:15:05	02.12.16	2	4.1
034	12:16:13	02.12.16	2	8.2
017	12:17:17	02.12.16	2	4.2
038	12:17:45	02.12.16	2	8.2
011	12:18:49	02.12.16	2	4.7
029	12:19:34	02.12.16	2	3.9
026	12:19:40	02.12.16	2	4.1
046	12:21:41	02.12.16	2	4.1
049	12:21:42	02.12.16	2	6.2
035	12:22:01	02.12.16	2	6.4
027	12:22:34	02.12.16	2	6.4
035	12:22:37	02.12.16	2	3.7
027	12:23:45	02.12.16	2	4.2
027	12:23:47	02.12.16	2	5.8
034	12:23:51	02.12.16	2	7.9
041	12:24:26	02.12.16	2	6.1
026	12:25:22	02.12.16	2	3.7
032	12:25:33	02.12.16	2	4.2
026	12:27:18	02.12.16	2	3.3
030	12:28:30	02.12.16	2	5.9
043	12:28:39	02.12.16	2	6.4
030	12:28:46	02.12.16	2	3.5
026	12:30:06	02.12.16	2	4.2
027	12:31:01	02.12.16	2	4.6
026	12:31:02	02.12.16	2	5.4
040	12:31:34	02.12.16	2	9.9
029	12:31:40	02.12.16	2	3.5
017	12:32:29	02.12.16	2	4.3
020	12:33:20	02.12.16	2	4.3
036	12:34:32	02.12.16	2	9.7
032	12:34:37	02.12.16	2	9.6
020	12:34:54	02.12.16	2	4.3
020	12:34:54	02.12.16	2	4.3
038	12:35:49	02.12.16	2	7.2
040	12:36:10	02.12.16	2	6.4
024	12:37:55	02.12.16	2	7.6
038	12:38:43	02.12.16	2	8.0
012	12:39:26	02.12.16	2	4.3
017	12:39:30	02.12.16	2	4.4
035	12:40:03	02.12.16	2	7.7
017	12:40:39	02.12.16	2	4.4
016	12:42:09	02.12.16	2	4.4
034	12:42:14	02.12.16	2	6.4
037	12:42:20	02.12.16	2	6.8
040	12:42:36	02.12.16	2	7.6
036	12:42:39	02.12.16	2	8.3
015	12:43:26	02.12.16	2	4.5
028	12:45:13	02.12.16	2	4.5
030	12:46:35	02.12.16	2	3.6
022	12:46:44	02.12.16	2	4.5
035	12:46:47	02.12.16	2	10.6
035	12:47:29	02.12.16	2	6.5
035	12:47:36	02.12.16	2	6.7
030	12:48:06	02.12.16	2	3.9
022	12:48:10	02.12.16	2	4.6
039	12:49:28	02.12.16	2	7.3
032	12:50:00	02.12.16	2	6.7
039	12:50:57	02.12.16	2	4.6
030	12:51:57	02.12.16	2	7.9
028	12:52:03	02.12.16	2	7.6
030	12:52:58	02.12.16	2	4.7
053	12:53:57	02.12.16	2	6.3
039	12:54:02	02.12.16	2	7.0
031	12:55:53	02.12.16	2	9.5
034	12:55:59	02.12.16	2	6.8
033	12:57:19	02.12.16	2	9.3
058	12:58:16	02.12.16	2	6.7
039	13:00:26	02.12.16	2	6.8
058	13:01:12	02.12.16	2	6.2
034	13:03:48	02.12.16	2	6.2
041	13:05:43	02.12.16	2	6.9
032	13:07:40	02.12.16	2	6.9
027	13:09:06	02.12.16	2	3.7
