

Standort: 1-Kleinhüningers

[km/h]				 [m]
Dateformat: dd.mm.yy
009	08:59:43	31.12.15	2	16.9
008	08:59:45	31.12.15	2	3.5
022	09:06:27	31.12.15	2	4.0
017	09:06:46	31.12.15	2	4.4
016	09:08:04	31.12.15	2	3.6
014	09:09:22	31.12.15	2	7.3
018	09:09:28	31.12.15	2	5.2
035	09:10:34	31.12.15	2	5.6
035	09:10:35	31.12.15	2	3.6
016	09:11:24	31.12.15	2	3.8
020	09:13:16	31.12.15	2	4.9
018	09:17:42	31.12.15	2	3.7
037	09:18:39	31.12.15	2	15.7
025	09:23:05	31.12.15	2	3.5
024	09:23:48	31.12.15	2	4.5
023	09:24:40	31.12.15	2	3.7
028	09:29:48	31.12.15	2	5.4
026	09:30:40	31.12.15	2	4.9
018	09:33:26	31.12.15	2	5.7
020	09:33:52	31.12.15	2	3.8
021	09:34:44	31.12.15	2	3.7
012	09:36:52	31.12.15	2	4.2
036	09:38:20	31.12.15	2	4.1
016	09:38:28	31.12.15	2	0.5
029	09:39:59	31.12.15	2	5.5
035	09:43:38	31.12.15	2	3.9
012	09:44:56	31.12.15	2	16.2
016	09:44:58	31.12.15	2	4.3
021	09:45:13	31.12.15	2	3.8
032	09:45:13	31.12.15	2	4.4
034	09:45:14	31.12.15	2	3.9
019	09:45:57	31.12.15	2	4.5
024	09:48:13	31.12.15	2	4.9
016	09:49:38	31.12.15	2	6.8
016	09:53:27	31.12.15	2	3.9
021	09:54:39	31.12.15	2	4.5
025	09:54:42	31.12.15	2	6.1
025	09:55:35	31.12.15	2	5.4
037	09:56:35	31.12.15	2	5.2
025	09:56:39	31.12.15	2	4.2
021	09:56:59	31.12.15	2	5.5
019	09:58:41	31.12.15	2	4.1
017	09:58:58	31.12.15	2	3.8
063	10:02:47	31.12.15	2	5.0
019	10:05:20	31.12.15	2	3.9
041	10:06:32	31.12.15	2	5.2
023	10:07:41	31.12.15	2	4.8
027	10:07:45	31.12.15	2	8.6
016	10:07:48	31.12.15	2	4.6
029	10:08:06	31.12.15	2	4.3
019	10:09:48	31.12.15	2	5.5
010	10:11:21	31.12.15	2	2.9
019	10:11:34	31.12.15	2	3.9
023	10:13:16	31.12.15	2	3.8
037	10:14:25	31.12.15	2	5.7
019	10:14:52	31.12.15	2	4.0
020	10:16:24	31.12.15	2	5.2
021	10:17:20	31.12.15	2	4.0
019	10:17:25	31.12.15	2	4.5
013	10:19:06	31.12.15	2	4.0
017	10:20:49	31.12.15	2	5.0
048	10:22:35	31.12.15	2	4.8
026	10:22:52	31.12.15	2	4.3
019	10:24:40	31.12.15	2	3.6
021	10:25:23	31.12.15	2	5.3
017	10:27:59	31.12.15	2	3.4
017	10:29:08	31.12.15	2	4.2
023	10:31:19	31.12.15	2	4.7
019	10:34:16	31.12.15	2	4.1
042	10:34:57	31.12.15	2	5.2
022	10:36:22	31.12.15	2	4.1
033	10:37:37	31.12.15	2	5.7
023	10:37:55	31.12.15	2	3.7
013	10:38:24	31.12.15	2	4.1
050	10:39:17	31.12.15	2	5.4
020	10:42:15	31.12.15	2	6.6
022	10:43:33	31.12.15	2	4.1
023	10:43:36	31.12.15	2	3.5
022	10:44:07	31.12.15	2	4.1
031	10:44:42	31.12.15	2	5.2
016	10:45:13	31.12.15	2	4.1
017	10:46:33	31.12.15	2	3.4
020	10:48:48	31.12.15	2	4.2
023	10:51:04	31.12.15	2	4.0
021	10:51:19	31.12.15	2	4.7
040	10:51:22	31.12.15	2	4.9
022	10:52:13	31.12.15	2	5.2
020	10:53:33	31.12.15	2	3.8
020	10:54:20	31.12.15	2	4.6
021	10:56:56	31.12.15	2	4.7
017	10:58:55	31.12.15	2	5.2
046	11:01:43	31.12.15	2	5.1
017	11:02:04	31.12.15	2	7.0
023	11:02:06	31.12.15	2	5.4
026	11:03:30	31.12.15	2	5.5
020	11:03:36	31.12.15	2	4.6
020	11:03:46	31.12.15	2	3.6
030	11:04:10	31.12.15	2	4.8
015	11:04:17	31.12.15	2	11.4
019	11:04:18	31.12.15	2	4.1
041	11:08:09	31.12.15	2	7.7
019	11:08:31	31.12.15	2	3.8
014	11:08:44	31.12.15	2	4.1
022	11:12:05	31.12.15	2	4.5
022	11:12:31	31.12.15	2	5.1
026	11:12:33	31.12.15	2	4.9
034	11:12:37	31.12.15	2	4.9
017	11:14:15	31.12.15	2	4.2
020	11:14:46	31.12.15	2	4.8
018	11:16:59	31.12.15	2	4.7
030	11:17:33	31.12.15	2	5.7
019	11:19:34	31.12.15	2	4.2
019	11:21:19	31.12.15	2	4.2
031	11:22:10	31.12.15	2	5.2
023	11:23:49	31.12.15	2	4.2
039	11:26:13	31.12.15	2	5.4
023	11:28:30	31.12.15	2	4.2
032	11:28:48	31.12.15	2	4.8
022	11:30:19	31.12.15	2	5.9
022	11:31:21	31.12.15	2	3.9
019	11:32:45	31.12.15	2	4.9
022	11:35:39	31.12.15	2	4.3
023	11:36:06	31.12.15	2	4.3
029	11:36:16	31.12.15	2	5.4
019	11:36:44	31.12.15	2	5.0
026	11:38:19	31.12.15	2	4.9
019	11:42:10	31.12.15	2	4.1
025	11:42:26	31.12.15	2	4.2
021	11:43:34	31.12.15	2	4.3
035	11:45:05	31.12.15	2	4.1
027	11:46:07	31.12.15	2	5.4
041	11:46:16	31.12.15	2	4.5
046	11:48:04	31.12.15	2	5.7
018	11:48:27	31.12.15	2	4.0
024	11:48:47	31.12.15	2	4.5
025	11:52:35	31.12.15	2	4.1
046	11:53:16	31.12.15	2	5.9
016	11:53:29	31.12.15	2	4.3
020	11:56:54	31.12.15	2	4.0
018	11:57:07	31.12.15	2	1.0
016	11:57:35	31.12.15	2	4.9
020	11:58:13	31.12.15	2	5.4
027	11:58:13	31.12.15	2	4.3
014	11:58:22	31.12.15	2	4.4
020	11:59:01	31.12.15	2	4.3
019	12:01:36	31.12.15	2	1.6
022	12:01:47	31.12.15	2	5.0
026	12:01:57	31.12.15	2	4.1
020	12:02:40	31.12.15	2	4.4
021	12:03:30	31.12.15	2	5.2
011	12:05:16	31.12.15	2	4.4
020	12:05:45	31.12.15	2	3.9
019	12:06:53	31.12.15	2	4.4
025	12:09:08	31.12.15	2	5.7
033	12:11:32	31.12.15	2	6.3
018	12:11:45	31.12.15	2	4.4
013	12:13:23	31.12.15	2	4.4
024	12:14:26	31.12.15	2	4.4
019	12:14:39	31.12.15	2	4.3
024	12:14:49	31.12.15	2	3.8
018	12:16:24	31.12.15	2	4.2
021	12:16:56	31.12.15	2	4.2
025	12:18:24	31.12.15	2	4.6
020	12:19:59	31.12.15	2	5.5
048	12:20:18	31.12.15	2	4.0
021	12:20:22	31.12.15	2	5.2
019	12:21:57	31.12.15	2	0.5
019	12:22:14	31.12.15	2	4.5
021	12:22:22	31.12.15	2	3.7
022	12:22:32	31.12.15	2	5.9
019	12:23:00	31.12.15	2	4.5
025	12:23:30	31.12.15	2	4.4
015	12:24:20	31.12.15	2	4.0
020	12:24:23	31.12.15	2	4.2
016	12:25:50	31.12.15	2	4.9
033	12:26:29	31.12.15	2	6.1
018	12:26:31	31.12.15	2	4.5
020	12:26:35	31.12.15	2	4.8
021	12:27:17	31.12.15	2	4.6
025	12:27:57	31.12.15	2	4.9
021	12:28:53	31.12.15	2	4.6
017	12:34:20	31.12.15	2	4.6
018	12:34:32	31.12.15	2	3.7
017	12:34:54	31.12.15	2	5.8
019	12:35:10	31.12.15	2	3.3
022	12:35:13	31.12.15	2	5.3
016	12:35:53	31.12.15	2	1.6
023	12:36:32	31.12.15	2	4.1
017	12:37:10	31.12.15	2	4.7
020	12:37:17	31.12.15	2	4.7
019	12:38:18	31.12.15	2	1.2
023	12:38:38	31.12.15	2	4.2
019	12:39:41	31.12.15	2	4.7
021	12:40:26	31.12.15	2	3.7
019	12:40:37	31.12.15	2	4.4
032	12:43:07	31.12.15	2	5.0
022	12:44:37	31.12.15	2	4.1
023	12:45:58	31.12.15	2	3.7
022	12:46:07	31.12.15	2	4.4
021	12:47:15	31.12.15	2	3.8
021	12:48:21	31.12.15	2	4.7
012	12:48:48	31.12.15	2	4.8
016	12:49:17	31.12.15	2	4.7
017	12:50:10	31.12.15	2	1.1
021	12:50:32	31.12.15	2	5.7
021	12:51:53	31.12.15	2	3.9
021	12:52:05	31.12.15	2	4.8
020	12:53:05	31.12.15	2	2.3
018	12:53:13	31.12.15	2	4.8
034	12:53:46	31.12.15	2	5.8
028	12:56:20	31.12.15	2	5.2
025	12:57:07	31.12.15	2	3.9
061	12:57:47	31.12.15	2	5.3
024	12:57:58	31.12.15	2	5.1
021	13:01:03	31.12.15	2	3.5
023	13:02:55	31.12.15	2	4.0
022	13:06:35	31.12.15	2	4.7
016	13:09:35	31.12.15	2	5.6
