

Standort: 1-Leimgrubenweg

[km/h]				 [m]
Dateformat: dd.mm.yy
023	14:14:47	07.04.17	2	6.9
022	14:16:56	07.04.17	2	3.5
025	14:18:21	07.04.17	2	4.3
044	14:46:12	07.04.17	2	6.7
008	14:51:21	07.04.17	2	3.1
040	15:42:42	07.04.17	2	3.6
008	15:55:25	07.04.17	2	3.6
009	15:55:35	07.04.17	2	17.1
038	16:14:25	07.04.17	2	5.0
009	16:42:57	07.04.17	2	8.5
014	17:36:12	07.04.17	2	6.5
041	17:53:16	07.04.17	2	3.4
021	18:28:31	07.04.17	2	5.0
029	20:35:30	07.04.17	2	3.7
035	21:48:17	07.04.17	2	4.1
038	21:58:40	07.04.17	2	3.7
034	22:00:30	07.04.17	2	5.5
018	03:59:15	08.04.17	2	3.7
028	06:57:00	08.04.17	2	3.6
033	07:50:49	08.04.17	2	0.6
041	08:25:53	08.04.17	2	6.5
021	08:31:28	08.04.17	2	21.5
033	09:19:41	08.04.17	2	4.0
036	10:09:29	08.04.17	2	6.8
040	10:23:50	08.04.17	2	6.3
022	10:44:31	08.04.17	2	11.8
061	10:48:53	08.04.17	2	3.8
038	10:50:03	08.04.17	2	7.3
039	11:05:29	08.04.17	2	3.8
041	11:41:19	08.04.17	2	4.8
044	12:00:33	08.04.17	2	4.9
020	12:11:44	08.04.17	2	3.8
026	12:21:27	08.04.17	2	5.0
024	12:24:03	08.04.17	2	3.9
023	12:30:57	08.04.17	2	3.8
037	12:43:56	08.04.17	2	3.6
032	13:11:54	08.04.17	2	6.5
033	13:14:29	08.04.17	2	4.1
009	13:51:07	08.04.17	2	0.8
041	14:27:22	08.04.17	2	2.9
036	14:32:07	08.04.17	2	3.8
012	14:49:13	08.04.17	2	7.7
011	14:49:15	08.04.17	2	3.9
008	14:52:29	08.04.17	2	1.6
014	15:20:12	08.04.17	2	14.0
054	15:20:45	08.04.17	2	2.6
027	15:35:35	08.04.17	2	3.9
017	15:48:08	08.04.17	2	13.1
034	15:51:50	08.04.17	2	3.9
039	16:16:09	08.04.17	2	5.2
016	16:17:34	08.04.17	2	13.6
014	16:56:24	08.04.17	2	11.1
044	16:58:27	08.04.17	2	4.7
026	17:24:13	08.04.17	2	3.8
045	17:30:11	08.04.17	2	3.8
034	19:35:17	08.04.17	2	3.9
031	20:21:13	08.04.17	2	3.9
026	21:22:45	08.04.17	2	1.3
029	22:01:40	08.04.17	2	5.6
034	22:16:23	08.04.17	2	3.7
039	00:46:50	09.04.17	2	5.9
042	00:47:11	09.04.17	2	6.2
028	00:50:47	09.04.17	2	4.4
033	07:14:32	09.04.17	2	4.0
013	07:36:48	09.04.17	2	5.0
037	07:37:11	09.04.17	2	6.2
016	08:12:16	09.04.17	2	4.7
032	08:46:40	09.04.17	2	4.0
024	08:58:29	09.04.17	2	4.0
044	09:01:46	09.04.17	2	6.2
011	09:02:03	09.04.17	2	1.9
044	09:02:33	09.04.17	2	4.7
032	10:17:30	09.04.17	2	0.8
014	10:18:47	09.04.17	2	4.0
028	10:47:06	09.04.17	2	4.1
039	11:16:40	09.04.17	2	4.6
032	11:34:22	09.04.17	2	2.3
016	11:43:14	09.04.17	2	5.9
028	11:44:25	09.04.17	2	5.0
017	11:50:58	09.04.17	2	3.4
048	11:52:43	09.04.17	2	6.2
035	11:55:41	09.04.17	2	5.1
036	11:55:51	09.04.17	2	5.5
013	12:39:22	09.04.17	2	4.0
030	12:43:10	09.04.17	2	3.5
008	12:51:47	09.04.17	2	0.7
039	12:55:57	09.04.17	2	4.2
033	13:01:18	09.04.17	2	5.1
044	13:14:54	09.04.17	2	4.8
041	13:43:08	09.04.17	2	5.4
044	14:08:25	09.04.17	2	5.7
046	14:13:34	09.04.17	2	5.6
047	14:56:33	09.04.17	2	5.1
026	15:24:02	09.04.17	2	4.4
043	15:48:33	09.04.17	2	4.4
042	15:50:35	09.04.17	2	4.2
038	15:53:51	09.04.17	2	5.3
038	15:56:34	09.04.17	2	11.4
016	16:11:43	09.04.17	2	4.1
010	16:18:02	09.04.17	2	4.1
024	16:26:51	09.04.17	2	8.5
032	16:27:31	09.04.17	2	6.2
027	16:51:54	09.04.17	2	4.1
025	17:14:17	09.04.17	2	4.9
040	17:21:06	09.04.17	2	3.6
042	17:22:56	09.04.17	2	4.1
034	17:23:45	09.04.17	2	5.4
032	17:26:34	09.04.17	2	4.1
010	17:35:31	09.04.17	2	1.1
037	17:44:54	09.04.17	2	5.6
044	17:56:32	09.04.17	2	3.4
038	17:59:16	09.04.17	2	5.3
028	18:28:49	09.04.17	2	3.4
010	18:52:55	09.04.17	2	3.7
008	19:40:21	09.04.17	2	4.1
033	19:57:23	09.04.17	2	4.1
045	20:53:35	09.04.17	2	4.1
044	22:33:56	09.04.17	2	3.5
022	03:39:41	10.04.17	2	3.7
028	05:03:49	10.04.17	2	4.5
038	05:24:58	10.04.17	2	1.6
032	06:23:46	10.04.17	2	5.3
030	06:53:01	10.04.17	2	6.4
029	06:56:26	10.04.17	2	3.2
009	07:02:14	10.04.17	2	2.0
016	07:12:46	10.04.17	2	4.1
022	07:20:38	10.04.17	2	4.2
041	07:46:53	10.04.17	2	4.2
039	07:54:21	10.04.17	2	5.3
009	08:25:43	10.04.17	2	4.4
040	08:36:24	10.04.17	2	6.8
059	08:57:14	10.04.17	2	6.3
041	09:18:43	10.04.17	2	3.9
043	10:11:58	10.04.17	2	7.4
008	10:23:10	10.04.17	2	1.8
018	10:25:19	10.04.17	2	4.2
047	11:09:07	10.04.17	2	4.1
040	11:29:31	10.04.17	2	2.8
012	11:42:51	10.04.17	2	15.0
008	11:45:31	10.04.17	2	9.9
008	11:45:34	10.04.17	2	2.2
041	11:57:03	10.04.17	2	4.8
017	12:28:37	10.04.17	2	10.4
037	13:00:31	10.04.17	2	4.2
035	13:06:31	10.04.17	2	6.2
008	13:09:02	10.04.17	2	4.2
035	13:25:44	10.04.17	2	3.5
034	13:34:53	10.04.17	2	4.5
021	13:52:02	10.04.17	2	5.6
016	14:01:38	10.04.17	2	18.3
011	14:13:18	10.04.17	2	8.5
030	14:42:25	10.04.17	2	6.2
017	15:01:11	10.04.17	2	4.2
044	16:01:16	10.04.17	2	4.6
009	16:26:10	10.04.17	2	4.2
037	16:43:21	10.04.17	2	6.1
036	16:59:03	10.04.17	2	7.5
021	17:04:29	10.04.17	2	4.2
043	17:10:50	10.04.17	2	7.8
023	17:27:52	10.04.17	2	4.0
043	17:36:50	10.04.17	2	4.5
038	18:01:48	10.04.17	2	5.2
041	18:17:30	10.04.17	2	5.3
015	18:33:36	10.04.17	2	4.3
032	18:40:41	10.04.17	2	4.3
034	18:41:18	10.04.17	2	4.4
040	18:46:11	10.04.17	2	4.3
042	20:31:16	10.04.17	2	4.0
044	21:15:12	10.04.17	2	6.1
033	23:18:04	10.04.17	2	3.3
018	00:47:36	11.04.17	2	4.3
025	03:21:38	11.04.17	2	4.4
048	06:10:11	11.04.17	2	5.6
041	06:21:10	11.04.17	2	3.9
036	07:08:28	11.04.17	2	3.7
037	07:23:55	11.04.17	2	6.7
026	07:57:49	11.04.17	2	9.0
037	07:59:02	11.04.17	2	5.6
007	08:01:47	11.04.17	2	0.6
021	08:27:37	11.04.17	2	3.9
017	08:43:00	11.04.17	2	7.8
026	09:38:16	11.04.17	2	4.3
023	09:49:15	11.04.17	2	4.1
028	10:00:48	11.04.17	2	3.7
017	10:05:58	11.04.17	2	11.2
053	10:11:03	11.04.17	2	5.1
028	10:31:01	11.04.17	2	4.3
047	11:10:14	11.04.17	2	4.5
041	12:37:17	11.04.17	2	5.6
038	13:06:48	11.04.17	2	6.5
039	13:34:22	11.04.17	2	4.4
010	13:42:07	11.04.17	2	7.7
043	13:45:39	11.04.17	2	10.2
024	14:10:15	11.04.17	2	4.3
008	14:18:22	11.04.17	2	4.3
008	14:18:39	11.04.17	2	0.9
017	14:20:28	11.04.17	2	12.4
024	14:26:20	11.04.17	2	4.9
028	15:06:26	11.04.17	2	4.3
033	15:16:03	11.04.17	2	4.4
034	15:56:34	11.04.17	2	5.1
037	17:30:33	11.04.17	2	6.8
029	18:32:57	11.04.17	2	3.8
028	19:03:53	11.04.17	2	4.8
042	19:12:12	11.04.17	2	3.7
021	20:52:49	11.04.17	2	1.6
047	21:16:49	11.04.17	2	7.0
023	03:31:49	12.04.17	2	3.5
039	06:21:10	12.04.17	2	5.2
022	06:45:54	12.04.17	2	6.9
039	07:07:17	12.04.17	2	4.2
035	07:08:00	12.04.17	2	4.4
025	07:10:01	12.04.17	2	4.4
014	07:53:35	12.04.17	2	4.7
027	08:31:45	12.04.17	2	4.6
015	09:26:51	12.04.17	2	4.5
032	09:29:02	12.04.17	2	4.3
028	09:55:25	12.04.17	2	4.4
035	10:04:21	12.04.17	2	4.2
007	10:10:03	12.04.17	2	1.0
045	10:28:31	12.04.17	2	3.6
037	10:30:43	12.04.17	2	5.6
008	11:06:26	12.04.17	2	4.2
009	12:24:11	12.04.17	2	4.2
026	12:24:49	12.04.17	2	4.1
045	12:41:07	12.04.17	2	4.4
040	12:59:34	12.04.17	2	7.8
013	13:14:42	12.04.17	2	14.3
029	13:22:39	12.04.17	2	4.2
043	13:23:26	12.04.17	2	3.1
032	13:26:23	12.04.17	2	5.5
008	13:36:14	12.04.17	2	3.6
048	13:55:24	12.04.17	2	0.7
037	14:12:13	12.04.17	2	6.0
020	14:27:34	12.04.17	2	22.9
040	14:35:51	12.04.17	2	5.4
030	14:42:13	12.04.17	2	4.2
009	14:51:33	12.04.17	2	3.0
015	15:15:43	12.04.17	2	4.8
031	15:20:56	12.04.17	2	3.6
039	15:26:53	12.04.17	2	9.2
031	15:43:17	12.04.17	2	4.4
017	15:45:44	12.04.17	2	15.4
029	15:55:58	12.04.17	2	4.4
041	16:33:08	12.04.17	2	1.5
039	16:33:10	12.04.17	2	1.5
034	16:34:57	12.04.17	2	4.4
031	16:35:00	12.04.17	2	1.1
019	16:58:34	12.04.17	2	9.9
029	17:47:55	12.04.17	2	6.3
049	18:17:43	12.04.17	2	6.0
042	18:26:57	12.04.17	2	3.7
036	18:33:28	12.04.17	2	4.7
035	18:38:50	12.04.17	2	5.1
015	19:59:01	12.04.17	2	4.6
042	20:46:53	12.04.17	2	7.4
031	21:13:45	12.04.17	2	4.5
039	21:31:10	12.04.17	2	7.6
024	03:40:51	13.04.17	2	3.9
037	06:35:49	13.04.17	2	5.9
034	06:45:52	13.04.17	2	3.8
028	06:55:14	13.04.17	2	11.1
030	07:00:32	13.04.17	2	3.8
029	07:06:07	13.04.17	2	3.6
036	07:08:46	13.04.17	2	4.4
031	07:40:04	13.04.17	2	10.7
028	08:00:20	13.04.17	2	4.5
009	08:06:02	13.04.17	2	3.8
048	08:15:49	13.04.17	2	4.1
031	08:21:44	13.04.17	2	5.5
024	08:23:28	13.04.17	2	5.0
011	08:27:24	13.04.17	2	4.5
009	08:27:27	13.04.17	2	1.7
032	08:59:38	13.04.17	2	4.5
024	09:06:51	13.04.17	2	8.8
017	09:37:16	13.04.17	2	4.5
029	10:23:19	13.04.17	2	4.3
023	10:41:40	13.04.17	2	12.2
052	10:45:09	13.04.17	2	4.5
035	11:20:17	13.04.17	2	4.6
027	11:27:52	13.04.17	2	4.3
043	11:37:48	13.04.17	2	5.4
053	12:32:17	13.04.17	2	4.7
041	12:59:45	13.04.17	2	7.1
035	13:12:52	13.04.17	2	1.7
014	13:23:48	13.04.17	2	10.9
043	13:57:37	13.04.17	2	4.9
012	14:05:42	13.04.17	2	4.6
045	14:10:57	13.04.17	2	3.4
010	14:23:35	13.04.17	2	2.4
041	14:25:38	13.04.17	2	4.2
036	14:51:59	13.04.17	2	4.6
034	15:25:01	13.04.17	2	6.0
038	15:30:53	13.04.17	2	4.3
045	15:56:33	13.04.17	2	3.5
025	15:58:08	13.04.17	2	4.6
027	16:01:42	13.04.17	2	5.8
024	16:30:11	13.04.17	2	4.6
037	16:31:28	13.04.17	2	1.7
019	16:43:14	13.04.17	2	3.4
029	16:46:43	13.04.17	2	3.9
044	16:47:16	13.04.17	2	4.7
020	17:02:42	13.04.17	2	9.4
025	17:21:16	13.04.17	2	3.3
010	17:40:40	13.04.17	2	4.2
040	18:10:27	13.04.17	2	4.3
019	18:57:07	13.04.17	2	4.9
033	19:08:07	13.04.17	2	3.8
039	19:33:02	13.04.17	2	5.7
053	19:45:01	13.04.17	2	4.3
027	19:55:45	13.04.17	2	5.3
025	01:28:36	14.04.17	2	3.5
041	08:54:32	14.04.17	2	5.8
032	09:00:34	14.04.17	2	0.7
031	10:18:35	14.04.17	2	4.0
019	10:24:12	14.04.17	2	4.7
008	10:47:40	14.04.17	2	4.7
022	11:32:37	14.04.17	2	8.1
023	11:46:46	14.04.17	2	0.5
008	11:54:35	14.04.17	2	0.5
042	12:12:57	14.04.17	2	5.0
008	12:38:24	14.04.17	2	0.7
025	12:40:26	14.04.17	2	3.7
026	12:46:24	14.04.17	2	4.7
036	12:51:08	14.04.17	2	4.7
023	13:35:29	14.04.17	2	3.0
014	13:35:31	14.04.17	2	4.7
007	13:46:25	14.04.17	2	1.5
008	13:46:28	14.04.17	2	0.9
015	14:18:07	14.04.17	2	4.8
013	14:36:36	14.04.17	2	4.8
023	14:56:40	14.04.17	2	4.5
008	15:49:44	14.04.17	2	0.8
017	15:51:48	14.04.17	2	7.3
010	16:03:50	14.04.17	2	2.9
035	16:20:18	14.04.17	2	4.8
032	16:23:50	14.04.17	2	3.4
033	16:31:09	14.04.17	2	3.1
008	17:08:38	14.04.17	2	1.7
009	17:18:01	14.04.17	2	1.1
036	17:28:04	14.04.17	2	4.8
038	18:22:51	14.04.17	2	4.9
026	18:34:32	14.04.17	2	4.5
033	20:02:01	14.04.17	2	3.8
039	20:22:09	14.04.17	2	4.9
031	20:37:51	14.04.17	2	4.1
035	21:38:13	14.04.17	2	4.8
034	22:19:36	14.04.17	2	3.5
025	01:28:44	15.04.17	2	6.5
033	04:01:16	15.04.17	2	4.4
028	08:01:58	15.04.17	2	3.9
030	08:14:50	15.04.17	2	2.9
029	08:34:04	15.04.17	2	5.1
009	08:36:24	15.04.17	2	4.9
043	09:42:21	15.04.17	2	5.7
033	10:05:05	15.04.17	2	3.9
034	10:30:52	15.04.17	2	2.8
044	10:41:15	15.04.17	2	5.1
027	12:20:16	15.04.17	2	4.5
045	12:22:22	15.04.17	2	8.2
038	12:55:30	15.04.17	2	4.9
018	13:36:56	15.04.17	2	5.0
037	14:18:36	15.04.17	2	5.0
040	14:23:30	15.04.17	2	6.9
032	14:58:27	15.04.17	2	3.9
027	15:09:55	15.04.17	2	5.0
051	15:14:57	15.04.17	2	4.5
041	15:46:18	15.04.17	2	4.4
049	15:51:07	15.04.17	2	5.8
035	16:05:47	15.04.17	2	5.0
039	16:11:04	15.04.17	2	3.2
021	16:25:21	15.04.17	2	5.1
021	16:32:17	15.04.17	2	4.2
033	16:51:00	15.04.17	2	3.2
039	17:09:57	15.04.17	2	5.8
025	18:15:05	15.04.17	2	5.9
026	20:40:55	15.04.17	2	1.7
041	21:09:30	15.04.17	2	4.3
024	22:33:19	15.04.17	2	4.2
047	11:29:29	16.04.17	2	5.9
028	11:32:39	16.04.17	2	4.2
023	11:50:51	16.04.17	2	5.1
019	11:54:43	16.04.17	2	8.0
036	12:08:02	16.04.17	2	4.9
033	13:13:13	16.04.17	2	4.2
039	14:33:40	16.04.17	2	3.3
035	14:34:20	16.04.17	2	4.8
048	14:38:45	16.04.17	2	3.9
051	15:00:09	16.04.17	2	5.3
024	15:03:47	16.04.17	2	5.1
007	15:25:25	16.04.17	2	0.9
026	15:46:21	16.04.17	2	3.3
033	15:57:42	16.04.17	2	3.6
008	16:20:26	16.04.17	2	4.3
030	16:28:05	16.04.17	2	5.1
043	16:31:31	16.04.17	2	4.7
028	16:34:08	16.04.17	2	5.2
023	16:37:38	16.04.17	2	3.5
043	16:39:39	16.04.17	2	4.6
032	16:40:50	16.04.17	2	1.9
031	16:45:11	16.04.17	2	5.2
009	16:57:45	16.04.17	2	1.3
038	17:16:01	16.04.17	2	5.3
039	17:16:07	16.04.17	2	3.8
008	17:43:26	16.04.17	2	2.3
038	17:56:37	16.04.17	2	5.2
023	18:36:22	16.04.17	2	4.0
040	20:50:18	16.04.17	2	5.6
019	23:08:19	16.04.17	2	4.0
030	23:25:19	16.04.17	2	5.7
035	03:45:55	17.04.17	2	4.2
007	08:35:32	17.04.17	2	0.8
041	09:16:14	17.04.17	2	3.8
023	09:19:18	17.04.17	2	5.2
