

Standort: 1-Magdenstrasse

[km/h]				 [m]
Dateformat: dd.mm.yy
021	10:47:35	31.07.15	1	4.6
033	10:49:54	31.07.15	1	4.4
028	10:50:55	31.07.15	1	4.1
013	10:58:04	31.07.15	1	1.4
015	10:59:24	31.07.15	1	2.3
022	11:00:45	31.07.15	1	0.8
018	11:15:59	31.07.15	1	0.6
023	11:17:12	31.07.15	1	3.0
034	11:17:44	31.07.15	1	3.6
032	11:19:25	31.07.15	1	3.8
033	11:31:38	31.07.15	1	1.4
008	11:34:46	31.07.15	1	1.2
030	11:37:25	31.07.15	1	2.3
031	11:37:53	31.07.15	1	5.1
015	11:40:16	31.07.15	1	2.6
036	11:44:36	31.07.15	1	3.7
012	12:01:16	31.07.15	1	2.0
017	12:15:58	31.07.15	1	0.5
009	12:18:59	31.07.15	1	2.5
028	12:20:35	31.07.15	1	4.6
027	12:25:31	31.07.15	1	3.6
023	12:27:08	31.07.15	1	4.4
035	12:34:37	31.07.15	1	3.3
017	12:35:53	31.07.15	1	1.7
023	12:37:17	31.07.15	1	8.9
025	12:37:52	31.07.15	1	5.0
033	12:40:21	31.07.15	1	4.6
029	12:44:51	31.07.15	1	4.4
020	12:48:29	31.07.15	1	0.7
029	12:50:23	31.07.15	1	4.4
029	12:56:53	31.07.15	1	4.7
034	13:00:25	31.07.15	1	3.9
032	13:09:43	31.07.15	1	1.1
028	13:10:51	31.07.15	1	4.0
033	13:11:51	31.07.15	1	4.5
013	13:14:35	31.07.15	1	5.2
027	13:16:21	31.07.15	1	0.7
023	13:18:26	31.07.15	1	5.3
037	13:29:39	31.07.15	1	4.2
025	13:37:50	31.07.15	1	4.2
027	13:52:05	31.07.15	1	4.1
034	14:05:57	31.07.15	1	4.6
043	14:06:53	31.07.15	1	3.8
028	14:07:29	31.07.15	1	5.1
036	14:08:10	31.07.15	1	4.7
014	14:10:49	31.07.15	1	3.5
035	14:19:02	31.07.15	1	4.5
020	14:27:18	31.07.15	1	1.1
019	14:28:30	31.07.15	1	0.9
031	14:30:48	31.07.15	1	5.1
016	14:31:21	31.07.15	1	0.7
017	14:33:14	31.07.15	1	5.3
037	14:41:11	31.07.15	1	7.9
017	14:42:37	31.07.15	1	1.9
020	14:43:22	31.07.15	1	5.4
026	14:52:08	31.07.15	1	4.4
023	14:54:24	31.07.15	1	4.5
033	14:55:14	31.07.15	1	4.5
036	14:58:53	31.07.15	1	5.0
035	15:02:12	31.07.15	1	4.3
026	15:08:26	31.07.15	1	4.5
029	15:11:51	31.07.15	1	3.7
018	15:14:11	31.07.15	1	12.3
034	15:16:24	31.07.15	1	4.5
019	15:17:09	31.07.15	1	5.4
025	15:24:23	31.07.15	1	5.0
025	15:25:07	31.07.15	1	4.9
027	15:26:33	31.07.15	1	4.5
027	15:27:06	31.07.15	1	3.9
027	15:32:49	31.07.15	1	4.3
036	15:42:55	31.07.15	1	5.5
032	15:43:01	31.07.15	1	4.4
034	15:43:03	31.07.15	1	4.4
025	15:45:17	31.07.15	1	5.7
026	15:46:33	31.07.15	1	4.8
017	15:55:09	31.07.15	1	5.5
025	16:04:52	31.07.15	1	5.1
014	16:05:43	31.07.15	1	1.5
033	16:10:53	31.07.15	1	5.3
033	16:12:56	31.07.15	1	8.0
032	16:19:58	31.07.15	1	3.7
026	16:22:17	31.07.15	1	4.8
042	16:30:34	31.07.15	1	5.6
018	16:33:16	31.07.15	1	2.6
009	16:34:05	31.07.15	1	2.6
012	16:37:36	31.07.15	1	5.8
019	16:38:26	31.07.15	1	4.4
017	16:39:13	31.07.15	1	4.8
015	16:42:07	31.07.15	1	0.9
019	16:44:44	31.07.15	1	11.9
015	16:54:15	31.07.15	1	3.2
021	16:59:12	31.07.15	1	5.0
030	17:00:51	31.07.15	1	4.0
016	17:02:23	31.07.15	1	1.8
010	17:03:40	31.07.15	1	8.4
010	17:04:35	31.07.15	1	7.9
009	17:05:10	31.07.15	1	7.1
026	17:11:00	31.07.15	1	1.1
030	17:24:06	31.07.15	1	3.9
035	17:24:13	31.07.15	1	4.2
030	17:26:05	31.07.15	1	4.2
033	17:26:26	31.07.15	1	0.8
025	17:29:25	31.07.15	1	4.9
028	17:32:08	31.07.15	1	5.0
024	17:32:52	31.07.15	1	5.0
036	17:38:37	31.07.15	1	4.2
015	17:40:57	31.07.15	1	1.5
029	17:44:00	31.07.15	1	3.3
031	17:46:00	31.07.15	1	5.0
021	17:48:04	31.07.15	1	3.3
031	17:50:00	31.07.15	1	3.9
010	17:51:57	31.07.15	1	3.6
017	17:54:48	31.07.15	1	3.4
024	17:55:01	31.07.15	1	3.9
025	17:55:04	31.07.15	1	4.2
021	18:04:44	31.07.15	1	1.1
015	18:09:36	31.07.15	1	2.6
009	18:12:50	31.07.15	1	6.8
029	18:13:41	31.07.15	1	1.2
028	18:21:26	31.07.15	1	4.5
030	18:30:39	31.07.15	1	4.2
015	18:34:41	31.07.15	1	2.0
034	18:38:46	31.07.15	1	3.6
014	18:41:00	31.07.15	1	6.0
021	18:45:20	31.07.15	1	14.2
023	18:52:16	31.07.15	1	4.9
017	19:00:57	31.07.15	1	0.6
021	19:05:57	31.07.15	1	3.5
024	19:07:03	31.07.15	1	4.5
029	19:19:44	31.07.15	1	4.9
021	19:21:11	31.07.15	1	1.1
024	19:23:38	31.07.15	1	3.4
027	19:26:36	31.07.15	1	3.0
013	19:28:10	31.07.15	1	4.8
032	19:30:10	31.07.15	1	1.4
032	19:30:11	31.07.15	1	1.2
008	19:31:53	31.07.15	1	3.9
018	19:33:17	31.07.15	1	11.0
037	19:35:39	31.07.15	1	3.8
028	19:39:29	31.07.15	1	4.8
006	19:40:02	31.07.15	1	1.1
016	19:45:54	31.07.15	1	2.9
025	19:49:02	31.07.15	1	4.1
022	19:53:10	31.07.15	1	2.9
019	19:54:39	31.07.15	1	1.0
017	19:59:33	31.07.15	1	12.0
042	20:02:25	31.07.15	1	4.0
012	20:02:36	31.07.15	1	1.4
009	20:04:35	31.07.15	1	1.2
017	20:06:48	31.07.15	1	9.0
029	20:09:30	31.07.15	1	3.8
019	20:12:14	31.07.15	1	1.0
009	20:13:37	31.07.15	1	8.3
032	20:15:53	31.07.15	1	4.4
022	20:18:42	31.07.15	1	3.2
015	20:19:15	31.07.15	1	4.1
026	20:25:30	31.07.15	1	3.0
016	20:25:36	31.07.15	1	4.1
012	20:32:12	31.07.15	1	2.4
012	20:32:17	31.07.15	1	2.4
011	20:39:00	31.07.15	1	1.7
015	20:43:17	31.07.15	1	4.2
017	20:44:40	31.07.15	1	4.1
015	20:49:32	31.07.15	1	4.2
027	20:51:49	31.07.15	1	5.6
018	21:01:50	31.07.15	1	5.1
017	21:04:54	31.07.15	1	5.6
029	21:05:51	31.07.15	1	3.4
027	21:06:05	31.07.15	1	4.4
007	21:06:58	31.07.15	1	4.4
011	21:07:05	31.07.15	1	2.0
009	21:08:26	31.07.15	1	2.1
023	21:09:47	31.07.15	1	4.4
026	21:12:43	31.07.15	1	4.5
018	21:19:29	31.07.15	1	4.8
035	21:21:07	31.07.15	1	4.9
011	21:44:45	31.07.15	1	4.5
029	21:46:59	31.07.15	1	4.3
018	21:47:59	31.07.15	1	4.1
009	21:48:58	31.07.15	1	4.5
016	21:49:12	31.07.15	1	11.6
025	22:07:39	31.07.15	1	4.3
008	22:10:29	31.07.15	1	3.2
008	22:17:51	31.07.15	1	4.2
020	22:18:31	31.07.15	1	3.7
017	22:19:06	31.07.15	1	4.5
017	22:21:22	31.07.15	1	4.6
016	22:21:24	31.07.15	1	4.6
024	22:22:14	31.07.15	1	4.3
028	22:23:29	31.07.15	1	3.8
015	22:37:03	31.07.15	1	4.3
014	23:00:21	31.07.15	1	3.4
019	23:13:03	31.07.15	1	5.4
018	23:13:17	31.07.15	1	1.6
027	23:16:47	31.07.15	1	4.3
013	23:36:36	31.07.15	1	3.0
019	23:45:25	31.07.15	1	4.6
027	23:55:39	31.07.15	1	4.1
026	00:00:49	01.08.15	1	4.7
027	00:02:02	01.08.15	1	4.2
025	00:03:49	01.08.15	1	4.3
033	00:36:47	01.08.15	1	4.8
035	00:58:30	01.08.15	1	3.9
039	01:07:28	01.08.15	1	4.2
033	01:08:11	01.08.15	1	4.4
015	01:08:26	01.08.15	1	0.5
023	01:21:14	01.08.15	1	2.9
024	01:22:42	01.08.15	1	5.0
008	03:43:00	01.08.15	1	2.9
033	04:08:13	01.08.15	1	3.4
036	04:19:12	01.08.15	1	4.2
028	05:13:17	01.08.15	1	4.8
031	05:42:51	01.08.15	1	4.0
037	06:05:39	01.08.15	1	4.3
032	08:01:39	01.08.15	1	4.3
025	09:03:19	01.08.15	1	4.0
030	09:10:46	01.08.15	1	4.1
032	09:24:46	01.08.15	1	4.7
031	09:32:44	01.08.15	1	4.9
023	09:37:35	01.08.15	1	4.8
027	09:52:26	01.08.15	1	4.1
026	10:05:31	01.08.15	1	4.4
029	10:09:53	01.08.15	1	3.4
018	10:15:04	01.08.15	1	14.8
020	10:21:43	01.08.15	1	4.8
029	10:26:49	01.08.15	1	3.6
019	10:51:13	01.08.15	1	12.5
019	10:53:10	01.08.15	1	13.1
028	11:03:32	01.08.15	1	4.1
037	11:11:09	01.08.15	1	4.8
024	11:11:50	01.08.15	1	5.1
