

Standort: 1-Pfaffenlohweg

[km/h]				 [m]
Dateformat: dd.mm.yy
019	11:26:44	23.10.15	1	4.3
023	11:26:48	23.10.15	1	3.5
020	11:27:14	23.10.15	1	2.8
025	11:27:57	23.10.15	1	3.5
014	11:30:01	23.10.15	1	3.8
009	11:34:11	23.10.15	1	0.8
025	11:34:14	23.10.15	1	6.3
023	11:34:30	23.10.15	1	3.1
010	11:34:42	23.10.15	1	3.1
007	11:37:07	23.10.15	1	3.6
027	11:41:21	23.10.15	1	5.7
029	11:41:27	23.10.15	1	3.2
025	11:42:21	23.10.15	1	3.9
019	11:42:46	23.10.15	1	0.6
025	11:45:56	23.10.15	1	3.6
025	11:57:21	23.10.15	1	2.6
008	11:58:06	23.10.15	1	3.7
031	12:01:53	23.10.15	1	3.4
022	12:06:55	23.10.15	1	3.6
015	12:08:01	23.10.15	1	3.7
034	12:12:50	23.10.15	1	3.8
027	12:14:48	23.10.15	1	4.1
015	12:17:09	23.10.15	1	3.8
027	12:19:40	23.10.15	1	3.6
030	12:23:53	23.10.15	1	4.3
029	12:23:56	23.10.15	1	4.2
026	12:24:16	23.10.15	1	3.8
030	12:27:38	23.10.15	1	4.4
028	12:33:22	23.10.15	1	3.7
016	12:35:22	23.10.15	1	3.9
019	12:35:40	23.10.15	1	0.5
019	12:43:22	23.10.15	1	3.3
022	12:48:58	23.10.15	1	3.9
023	12:50:26	23.10.15	1	3.5
030	12:52:47	23.10.15	1	3.3
021	12:56:06	23.10.15	1	3.9
018	12:57:01	23.10.15	1	7.3
016	13:02:33	23.10.15	1	0.7
014	13:05:04	23.10.15	1	1.4
031	13:08:20	23.10.15	1	4.8
033	13:17:27	23.10.15	1	4.5
016	13:19:35	23.10.15	1	1.2
018	13:25:40	23.10.15	1	4.0
020	13:37:28	23.10.15	1	3.6
030	13:39:16	23.10.15	1	4.4
031	13:40:50	23.10.15	1	4.0
032	13:40:57	23.10.15	1	4.4
025	13:41:21	23.10.15	1	6.4
011	13:42:23	23.10.15	1	4.0
023	13:44:08	23.10.15	1	4.2
023	13:45:46	23.10.15	1	4.1
021	13:46:57	23.10.15	1	4.0
014	13:47:51	23.10.15	1	0.5
008	13:49:23	23.10.15	1	4.0
020	13:50:15	23.10.15	1	1.3
029	13:51:40	23.10.15	1	4.0
009	13:53:11	23.10.15	1	3.6
007	14:06:13	23.10.15	1	0.9
018	14:09:54	23.10.15	1	4.1
023	14:12:15	23.10.15	1	4.1
019	14:12:21	23.10.15	1	4.1
026	14:17:32	23.10.15	1	4.8
030	14:20:05	23.10.15	1	5.2
025	14:20:31	23.10.15	1	4.8
024	14:20:33	23.10.15	1	4.1
025	14:22:47	23.10.15	1	5.1
013	14:27:34	23.10.15	1	2.3
022	14:29:47	23.10.15	1	4.1
030	14:30:55	23.10.15	1	3.6
030	14:36:15	23.10.15	1	4.3
006	14:37:49	23.10.15	1	4.1
022	14:41:31	23.10.15	1	4.2
020	14:42:17	23.10.15	1	4.5
021	14:46:41	23.10.15	1	4.9
029	14:52:38	23.10.15	1	4.1
027	14:54:12	23.10.15	1	3.6
033	14:55:22	23.10.15	1	3.8
024	14:55:44	23.10.15	1	4.1
028	14:59:08	23.10.15	1	4.2
038	15:00:30	23.10.15	1	5.3
034	15:01:27	23.10.15	1	4.5
024	15:02:05	23.10.15	1	3.2
022	15:02:28	23.10.15	1	0.7
021	15:02:29	23.10.15	1	4.2
029	15:12:47	23.10.15	1	4.8
033	15:20:51	23.10.15	1	5.0
028	15:23:12	23.10.15	1	2.8
023	15:23:28	23.10.15	1	4.2
023	15:24:23	23.10.15	1	4.2
027	15:27:58	23.10.15	1	4.2
036	15:31:16	23.10.15	1	4.2
026	15:31:56	23.10.15	1	3.7
029	15:33:54	23.10.15	1	4.8
