

Standort: 1-Rehhagstrasse

[km/h]				 [m]
Dateformat: dd.mm.yy
030	09:29:56	23.09.16	1	5.0
019	09:32:29	23.09.16	1	1.9
024	09:33:28	23.09.16	1	4.1
028	09:33:43	23.09.16	1	10.3
027	09:34:55	23.09.16	1	3.5
051	09:35:56	23.09.16	1	5.5
045	09:36:02	23.09.16	1	5.1
017	09:36:46	23.09.16	1	3.1
026	09:38:17	23.09.16	1	3.6
033	09:39:13	23.09.16	1	5.0
022	09:41:32	23.09.16	1	4.0
035	09:44:54	23.09.16	1	7.1
021	09:46:24	23.09.16	1	1.4
033	09:48:14	23.09.16	1	4.0
022	09:50:38	23.09.16	1	3.6
050	09:51:27	23.09.16	1	4.7
028	09:52:22	23.09.16	1	4.4
033	09:52:56	23.09.16	1	3.9
028	09:53:05	23.09.16	1	3.7
031	09:57:39	23.09.16	1	2.0
029	09:58:32	23.09.16	1	4.0
031	10:03:01	23.09.16	1	3.7
029	10:04:04	23.09.16	1	5.9
023	10:05:25	23.09.16	1	3.7
045	10:05:56	23.09.16	1	4.3
036	10:06:45	23.09.16	1	5.3
045	10:07:33	23.09.16	1	4.8
034	10:09:02	23.09.16	1	4.7
036	10:09:50	23.09.16	1	4.4
031	10:16:17	23.09.16	1	4.2
027	10:16:52	23.09.16	1	4.5
032	10:16:56	23.09.16	1	4.3
032	10:17:35	23.09.16	1	4.9
033	10:19:53	23.09.16	1	3.6
043	10:20:41	23.09.16	1	4.5
052	10:20:52	23.09.16	1	4.8
044	10:21:30	23.09.16	1	4.1
032	10:21:39	23.09.16	1	3.8
030	10:21:56	23.09.16	1	3.6
032	10:23:39	23.09.16	1	4.3
024	10:24:21	23.09.16	1	3.8
029	10:25:20	23.09.16	1	4.7
037	10:27:01	23.09.16	1	4.8
030	10:28:36	23.09.16	1	3.6
034	10:28:56	23.09.16	1	4.5
032	10:29:33	23.09.16	1	4.7
038	10:29:38	23.09.16	1	5.5
040	10:29:47	23.09.16	1	3.5
041	10:30:10	23.09.16	1	4.2
029	10:31:25	23.09.16	1	4.2
040	10:32:59	23.09.16	1	4.0
041	10:34:02	23.09.16	1	4.6
022	10:35:04	23.09.16	1	3.8
039	10:38:39	23.09.16	1	5.4
020	10:39:11	23.09.16	1	7.0
032	10:40:15	23.09.16	1	5.0
034	10:40:17	23.09.16	1	4.4
020	10:40:26	23.09.16	1	3.8
007	10:44:56	23.09.16	1	3.9
032	10:45:00	23.09.16	1	4.7
032	10:49:33	23.09.16	1	4.7
037	10:51:13	23.09.16	1	5.0
039	10:59:08	23.09.16	1	3.9
027	11:00:58	23.09.16	1	4.5
032	11:01:41	23.09.16	1	4.3
042	11:05:58	23.09.16	1	4.5
037	11:06:38	23.09.16	1	4.1
037	11:07:06	23.09.16	1	5.1
035	11:10:49	23.09.16	1	4.0
033	11:11:02	23.09.16	1	3.8
031	11:11:11	23.09.16	1	3.6
037	11:11:40	23.09.16	1	5.1
024	11:12:30	23.09.16	1	5.6
029	11:15:45	23.09.16	1	3.8
031	11:16:12	23.09.16	1	4.5
028	11:16:27	23.09.16	1	3.4
039	11:17:54	23.09.16	1	4.6
019	11:20:50	23.09.16	1	4.0
028	11:22:33	23.09.16	1	4.2
035	11:23:07	23.09.16	1	4.5
032	11:24:11	23.09.16	1	4.0
034	11:28:03	23.09.16	1	3.9
039	11:30:24	23.09.16	1	3.9
031	11:34:12	23.09.16	1	4.7
032	11:34:31	23.09.16	1	4.5
028	11:35:39	23.09.16	1	5.4
040	11:38:01	23.09.16	1	6.8
038	11:39:50	23.09.16	1	4.0
037	11:41:03	23.09.16	1	4.6
024	11:41:10	23.09.16	1	4.1
030	11:41:45	23.09.16	1	7.1
030	11:42:31	23.09.16	1	4.1
032	11:47:52	23.09.16	1	4.4
038	11:48:55	23.09.16	1	4.4
031	11:52:28	23.09.16	1	4.1
030	11:53:03	23.09.16	1	4.1
032	11:53:24	23.09.16	1	2.0
039	11:55:28	23.09.16	1	4.2
030	11:56:21	23.09.16	1	5.3
032	11:58:11	23.09.16	1	4.9
031	12:01:29	23.09.16	1	4.7
032	12:02:13	23.09.16	1	4.3
027	12:02:26	23.09.16	1	3.5
031	12:02:45	23.09.16	1	3.6
034	12:02:48	23.09.16	1	3.8
032	12:02:53	23.09.16	1	3.7
027	12:06:06	23.09.16	1	3.6
033	12:08:17	23.09.16	1	4.2
035	12:10:08	23.09.16	1	3.7
023	12:10:36	23.09.16	1	4.1
042	12:11:10	23.09.16	1	4.1
035	12:12:07	23.09.16	1	4.1
014	12:14:56	23.09.16	1	1.5
027	12:15:01	23.09.16	1	4.2
037	12:16:14	23.09.16	1	4.2
029	12:16:41	23.09.16	1	4.5
034	12:17:32	23.09.16	1	4.0
030	12:17:34	23.09.16	1	4.3
018	12:20:59	23.09.16	1	1.4
041	12:21:25	23.09.16	1	4.2
024	12:22:08	23.09.16	1	4.2
