

Standort: 1-Salinenstrasse

[km/h]				 [m]
Dateformat: dd.mm.yy
062	11:42:47	20.06.14	2	1.9
063	11:42:47	20.06.14	2	2.0
064	11:43:03	20.06.14	2	7.8
067	11:43:03	20.06.14	2	2.0
054	11:43:09	20.06.14	2	1.8
054	11:43:10	20.06.14	2	6.8
050	11:43:10	20.06.14	2	2.7
049	11:43:10	20.06.14	2	1.8
022	11:43:13	20.06.14	2	1.6
032	11:43:14	20.06.14	2	8.3
045	11:43:56	20.06.14	2	13.3
048	11:43:56	20.06.14	2	8.6
047	11:43:58	20.06.14	2	2.0
051	11:44:06	20.06.14	2	1.7
054	11:44:08	20.06.14	2	13.0
045	11:44:14	20.06.14	2	7.0
032	11:44:18	20.06.14	2	5.4
027	11:44:18	20.06.14	2	2.7
032	11:44:34	20.06.14	2	1.9
048	11:45:53	20.06.14	2	2.5
049	11:45:53	20.06.14	2	1.9
046	11:45:53	20.06.14	2	3.1
052	11:46:18	20.06.14	2	8.3
007	11:47:34	20.06.14	2	1.6
007	11:54:38	20.06.14	2	6.7
005	11:57:11	20.06.14	2	3.5
004	12:00:53	20.06.14	2	3.5
006	12:08:01	20.06.14	2	2.0
016	12:11:36	20.06.14	2	4.7
016	12:14:53	20.06.14	2	5.0
018	12:17:05	20.06.14	2	3.8
013	12:27:24	20.06.14	2	4.3
011	12:32:35	20.06.14	2	6.9
015	13:01:22	20.06.14	2	3.8
015	13:52:16	20.06.14	2	3.6
008	13:53:30	20.06.14	2	3.6
007	13:57:17	20.06.14	2	3.7
007	14:11:09	20.06.14	2	3.8
007	14:13:52	20.06.14	2	3.7
005	14:13:54	20.06.14	2	3.8
022	14:42:11	20.06.14	2	3.9
015	14:55:04	20.06.14	2	3.8
009	14:59:40	20.06.14	2	3.8
006	15:24:55	20.06.14	2	3.8
011	16:37:27	20.06.14	2	4.7
015	16:41:07	20.06.14	2	6.1
019	17:14:07	20.06.14	2	3.8
023	17:37:47	20.06.14	2	3.9
005	17:38:26	20.06.14	2	3.9
013	17:48:48	20.06.14	2	6.4
016	17:50:36	20.06.14	2	3.9
007	18:03:00	20.06.14	2	3.9
019	18:11:09	20.06.14	2	3.7
008	18:13:12	20.06.14	2	2.2
021	18:34:17	20.06.14	2	4.1
019	18:50:10	20.06.14	2	3.5
007	18:56:35	20.06.14	2	3.9
011	19:06:05	20.06.14	2	4.6
006	19:08:32	20.06.14	2	1.8
007	19:25:03	20.06.14	2	4.6
013	22:24:34	20.06.14	2	3.3
008	22:28:17	20.06.14	2	3.9
008	22:28:18	20.06.14	2	4.0
017	00:03:41	21.06.14	2	8.6
017	00:21:37	21.06.14	2	3.7
022	00:40:51	21.06.14	2	6.8
017	01:47:38	21.06.14	2	3.8
020	02:05:17	21.06.14	2	3.9
007	05:21:43	21.06.14	2	4.0
019	05:49:44	21.06.14	2	3.5
007	06:08:12	21.06.14	2	4.0
011	08:02:24	21.06.14	2	4.0
014	08:02:24	21.06.14	2	4.0
019	08:17:57	21.06.14	2	4.8
016	09:45:00	21.06.14	2	4.5
004	10:47:41	21.06.14	2	4.1
007	10:52:27	21.06.14	2	4.4
006	11:14:54	21.06.14	2	2.1
015	11:35:40	21.06.14	2	4.3
017	12:32:17	21.06.14	2	3.4
011	12:40:17	21.06.14	2	4.1
006	12:48:14	21.06.14	2	4.1
017	13:04:41	21.06.14	2	3.3
007	13:41:33	21.06.14	2	4.1
014	13:44:26	21.06.14	2	4.1
008	13:49:37	21.06.14	2	4.1
015	14:03:17	21.06.14	2	3.7
016	16:07:12	21.06.14	2	4.5
004	16:19:50	21.06.14	2	1.7
016	17:42:21	21.06.14	2	4.2
014	17:44:37	21.06.14	2	4.1
015	18:13:28	21.06.14	2	4.6
016	18:32:53	21.06.14	2	3.7
007	19:01:21	21.06.14	2	2.4
006	21:23:04	21.06.14	2	4.1
017	01:56:29	22.06.14	2	3.5
020	02:29:38	22.06.14	2	4.2
020	02:29:39	22.06.14	2	4.1
004	07:23:31	22.06.14	2	4.2
006	07:54:23	22.06.14	2	1.7
016	08:10:11	22.06.14	2	4.2
007	09:21:10	22.06.14	2	4.2
008	09:24:45	22.06.14	2	4.2
005	10:16:14	22.06.14	2	4.2
005	10:16:16	22.06.14	2	4.2
010	10:50:12	22.06.14	2	4.2
007	11:10:12	22.06.14	2	4.2
018	11:31:25	22.06.14	2	4.4
009	12:13:39	22.06.14	2	4.2
019	13:34:43	22.06.14	2	3.5
017	13:51:31	22.06.14	2	4.4
017	15:27:26	22.06.14	2	3.6
016	15:46:12	22.06.14	2	4.4
015	16:41:56	22.06.14	2	4.5
017	16:47:41	22.06.14	2	4.0
019	16:57:49	22.06.14	2	4.0
021	17:07:27	22.06.14	2	4.0
017	17:37:26	22.06.14	2	3.1
016	17:39:03	22.06.14	2	4.2
011	17:39:29	22.06.14	2	4.2
012	17:39:30	22.06.14	2	4.0
016	17:43:06	22.06.14	2	4.3
020	17:58:20	22.06.14	2	4.0
011	18:04:08	22.06.14	2	4.3
020	18:15:45	22.06.14	2	3.9
012	18:34:07	22.06.14	2	5.7
019	19:46:15	22.06.14	2	3.9
023	20:14:06	22.06.14	2	3.6
007	22:20:35	22.06.14	2	4.3
006	23:28:28	22.06.14	2	3.5
005	06:54:32	23.06.14	2	4.3
007	07:14:23	23.06.14	2	3.1
008	07:47:17	23.06.14	2	4.3
004	07:57:27	23.06.14	2	4.3
006	08:07:36	23.06.14	2	4.3
014	08:31:29	23.06.14	2	4.0
006	09:02:04	23.06.14	2	4.4
006	09:06:17	23.06.14	2	4.4
011	10:58:07	23.06.14	2	4.4
007	11:25:43	23.06.14	2	4.4
008	11:25:44	23.06.14	2	4.4
008	12:06:47	23.06.14	2	1.7
013	12:17:38	23.06.14	2	4.5
006	12:33:18	23.06.14	2	4.4
024	12:38:01	23.06.14	2	4.3
015	12:55:17	23.06.14	2	3.6
013	14:06:33	23.06.14	2	4.5
022	14:07:58	23.06.14	2	3.7
018	15:46:11	23.06.14	2	3.8
014	16:10:13	23.06.14	2	4.3
018	16:20:01	23.06.14	2	3.4
015	16:23:30	23.06.14	2	4.9
017	16:26:30	23.06.14	2	3.9
008	16:31:46	23.06.14	2	1.7
010	16:45:49	23.06.14	2	4.5
012	16:53:47	23.06.14	2	4.5
017	17:09:04	23.06.14	2	4.5
007	17:23:34	23.06.14	2	4.5
009	17:32:26	23.06.14	2	1.8
008	17:36:44	23.06.14	2	4.5
019	17:38:31	23.06.14	2	3.8
016	17:49:33	23.06.14	2	3.7
021	18:15:58	23.06.14	2	3.9
022	18:18:31	23.06.14	2	4.1
013	18:45:13	23.06.14	2	5.0
020	19:11:33	23.06.14	2	3.8
009	19:13:08	23.06.14	2	4.5
019	19:19:01	23.06.14	2	4.3
023	20:15:48	23.06.14	2	4.1
007	20:27:19	23.06.14	2	4.5
007	20:27:20	23.06.14	2	4.6
004	21:44:08	23.06.14	2	1.6
018	22:01:15	23.06.14	2	3.4
008	22:22:57	23.06.14	2	2.4
018	23:37:45	23.06.14	2	3.8
015	01:34:49	24.06.14	2	4.6
018	02:33:47	24.06.14	2	4.6
018	03:10:36	24.06.14	2	4.6
016	03:10:43	24.06.14	2	4.6
016	03:31:31	24.06.14	2	4.7
015	03:32:50	24.06.14	2	5.1
017	03:32:52	24.06.14	2	4.7
016	03:38:56	24.06.14	2	4.7
012	03:42:22	24.06.14	2	4.7
012	03:42:47	24.06.14	2	4.7
011	03:42:49	24.06.14	2	4.8
020	03:44:27	24.06.14	2	3.7
015	03:53:28	24.06.14	2	4.8
010	04:04:18	24.06.14	2	4.8
016	04:04:19	24.06.14	2	4.8
017	04:04:20	24.06.14	2	4.8
012	04:05:12	24.06.14	2	4.9
013	04:05:13	24.06.14	2	4.9
016	04:05:14	24.06.14	2	4.9
015	04:05:59	24.06.14	2	4.9
018	04:06:01	24.06.14	2	4.9
012	04:06:02	24.06.14	2	5.0
018	04:08:07	24.06.14	2	5.0
015	04:15:55	24.06.14	2	5.0
012	04:15:59	24.06.14	2	5.0
015	04:16:14	24.06.14	2	5.1
015	04:17:51	24.06.14	2	5.1
015	04:18:42	24.06.14	2	5.1
020	04:18:43	24.06.14	2	5.1
016	04:24:36	24.06.14	2	5.2
010	06:04:02	24.06.14	2	5.2
013	06:04:03	24.06.14	2	3.7
017	08:03:00	24.06.14	2	5.2
017	08:31:51	24.06.14	2	5.0
006	08:45:58	24.06.14	2	1.8
004	09:06:57	24.06.14	2	1.6
015	09:31:14	24.06.14	2	3.5
005	09:35:43	24.06.14	2	5.3
015	09:49:35	24.06.14	2	3.5
006	10:31:07	24.06.14	2	5.4
006	10:31:09	24.06.14	2	5.4
008	10:31:56	24.06.14	2	4.1
008	10:48:16	24.06.14	2	5.5
010	10:48:18	24.06.14	2	5.5
008	10:49:44	24.06.14	2	4.1
022	10:54:35	24.06.14	2	5.8
008	11:19:54	24.06.14	2	5.5
018	11:29:04	24.06.14	2	4.8
006	11:32:13	24.06.14	2	1.6
008	11:45:12	24.06.14	2	2.6
016	12:57:30	24.06.14	2	4.2
016	13:01:50	24.06.14	2	4.1
005	13:23:14	24.06.14	2	3.1
004	13:23:15	24.06.14	2	2.8
004	13:27:51	24.06.14	2	2.9
006	13:32:17	24.06.14	2	3.0
011	13:40:50	24.06.14	2	6.6
006	13:52:15	24.06.14	2	3.1
012	14:06:33	24.06.14	2	3.2
029	14:23:21	24.06.14	2	4.4
007	14:26:20	24.06.14	2	3.2
014	14:26:29	24.06.14	2	4.1
015	14:33:02	24.06.14	2	3.4
006	14:43:13	24.06.14	2	3.2
007	14:50:42	24.06.14	2	1.8
006	14:55:41	24.06.14	2	1.6
006	15:07:29	24.06.14	2	1.6
009	15:18:52	24.06.14	2	3.3
013	15:35:22	24.06.14	2	3.4
005	15:45:07	24.06.14	2	1.8
007	16:05:43	24.06.14	2	2.0
019	16:07:45	24.06.14	2	3.9
017	17:10:55	24.06.14	2	3.8
018	17:14:46	24.06.14	2	3.9
011	17:35:59	24.06.14	2	3.4
018	17:36:59	24.06.14	2	3.6
006	17:44:15	24.06.14	2	1.6
021	18:02:37	24.06.14	2	4.0
015	18:06:24	24.06.14	2	4.7
014	18:12:06	24.06.14	2	4.0
019	18:31:27	24.06.14	2	3.8
010	18:33:40	24.06.14	2	3.4
008	19:10:30	24.06.14	2	4.6
009	19:21:51	24.06.14	2	3.4
020	20:02:52	24.06.14	2	3.7
005	20:25:33	24.06.14	2	3.5
006	20:25:34	24.06.14	2	3.5
005	20:52:39	24.06.14	2	3.5
005	20:52:40	24.06.14	2	3.6
006	20:52:40	24.06.14	2	3.6
012	21:05:17	24.06.14	2	2.6
011	21:05:18	24.06.14	2	3.6
014	21:13:43	24.06.14	2	3.9
015	21:50:11	24.06.14	2	3.9
020	22:01:43	24.06.14	2	3.7
019	22:09:22	24.06.14	2	4.1
008	23:49:02	24.06.14	2	3.8
008	05:03:36	25.06.14	2	3.8
008	05:07:36	25.06.14	2	2.7
007	07:33:29	25.06.14	2	1.9
006	08:01:47	25.06.14	2	3.8
009	08:30:55	25.06.14	2	3.9
009	08:30:58	25.06.14	2	7.0
008	08:45:16	25.06.14	2	3.9
007	09:30:11	25.06.14	2	1.9
007	10:32:09	25.06.14	2	3.9
019	11:08:51	25.06.14	2	3.9
006	11:31:15	25.06.14	2	1.8
013	12:00:42	25.06.14	2	4.9
016	12:18:09	25.06.14	2	3.6
006	12:34:48	25.06.14	2	3.9
018	12:44:07	25.06.14	2	4.4
016	13:01:29	25.06.14	2	4.0
006	13:40:08	25.06.14	2	1.6
016	13:40:24	25.06.14	2	3.1
011	13:48:06	25.06.14	2	4.0
020	14:38:20	25.06.14	2	4.0
014	16:40:40	25.06.14	2	3.6
017	17:16:21	25.06.14	2	3.5
008	17:30:14	25.06.14	2	2.0
007	17:44:51	25.06.14	2	4.0
005	17:46:42	25.06.14	2	4.0
025	17:47:40	25.06.14	2	4.2
016	17:50:46	25.06.14	2	4.2
016	17:50:47	25.06.14	2	4.0
008	17:58:32	25.06.14	2	6.3
022	17:59:33	25.06.14	2	4.1
018	18:00:54	25.06.14	2	3.5
019	18:01:57	25.06.14	2	3.9
017	18:12:19	25.06.14	2	3.9
022	18:25:07	25.06.14	2	3.6
018	18:25:11	25.06.14	2	3.0
009	18:38:24	25.06.14	2	4.1
005	18:56:57	25.06.14	2	1.7
008	18:58:39	25.06.14	2	6.7
011	18:58:47	25.06.14	2	1.9
016	19:02:45	25.06.14	2	1.9
019	19:02:46	25.06.14	2	3.5
023	19:10:12	25.06.14	2	4.1
007	19:28:52	25.06.14	2	4.1
020	20:33:17	25.06.14	2	3.3
008	21:10:50	25.06.14	2	4.1
009	21:10:50	25.06.14	2	4.1
012	21:58:20	25.06.14	2	4.6
008	22:42:48	25.06.14	2	4.1
018	00:12:15	26.06.14	2	3.3
015	00:17:13	26.06.14	2	4.7
