

Standort: 1-Schliengerweg

[km/h]				 [m]
Dateformat: dd.mm.yy
015	11:24:37	06.05.16	2	3.5
015	11:24:42	06.05.16	2	5.6
023	11:25:28	06.05.16	2	3.7
017	11:28:19	06.05.16	2	2.4
026	11:30:22	06.05.16	2	4.9
033	11:37:04	06.05.16	2	4.3
021	11:48:40	06.05.16	2	3.4
022	11:48:51	06.05.16	2	3.5
032	11:49:26	06.05.16	2	3.5
024	11:58:03	06.05.16	2	5.9
030	12:00:17	06.05.16	2	4.9
019	12:07:37	06.05.16	2	5.0
018	12:09:09	06.05.16	2	4.3
027	12:18:59	06.05.16	2	4.7
028	12:21:58	06.05.16	2	3.7
014	12:28:15	06.05.16	2	4.5
017	12:28:28	06.05.16	2	3.6
023	12:30:24	06.05.16	2	5.0
023	12:32:55	06.05.16	2	4.4
018	12:33:34	06.05.16	2	4.6
022	12:42:05	06.05.16	2	6.4
033	12:42:32	06.05.16	2	5.0
012	12:49:59	06.05.16	2	1.5
031	12:51:44	06.05.16	2	5.3
025	12:53:16	06.05.16	2	5.0
031	12:53:25	06.05.16	2	4.0
029	12:55:24	06.05.16	2	5.1
025	12:57:17	06.05.16	2	5.1
030	13:02:54	06.05.16	2	5.2
022	13:07:24	06.05.16	2	4.1
017	13:14:11	06.05.16	2	1.8
032	13:17:36	06.05.16	2	4.6
029	13:20:28	06.05.16	2	5.2
024	13:22:06	06.05.16	2	5.7
022	13:24:45	06.05.16	2	5.0
031	13:29:23	06.05.16	2	1.6
028	13:35:56	06.05.16	2	6.4
026	13:36:20	06.05.16	2	4.7
016	13:40:43	06.05.16	2	4.0
030	13:42:38	06.05.16	2	4.0
031	13:46:31	06.05.16	2	4.6
022	13:48:09	06.05.16	2	6.2
021	13:53:53	06.05.16	2	3.6
021	13:54:07	06.05.16	2	4.3
029	13:57:31	06.05.16	2	4.6
030	14:04:28	06.05.16	2	5.7
038	14:05:09	06.05.16	2	5.2
018	14:09:26	06.05.16	2	4.5
021	14:20:15	06.05.16	2	4.9
027	14:23:44	06.05.16	2	2.3
026	14:25:58	06.05.16	2	0.9
027	14:28:52	06.05.16	2	4.3
036	14:28:58	06.05.16	2	4.0
021	14:33:08	06.05.16	2	4.5
024	14:34:07	06.05.16	2	3.9
035	14:34:52	06.05.16	2	4.7
031	14:35:53	06.05.16	2	0.6
029	14:37:27	06.05.16	2	3.4
027	14:40:45	06.05.16	2	4.1
018	14:41:39	06.05.16	2	2.6
020	14:42:07	06.05.16	2	3.0
028	14:43:37	06.05.16	2	3.7
020	14:46:19	06.05.16	2	4.7
031	14:47:24	06.05.16	2	4.5
026	14:54:38	06.05.16	2	3.0
015	14:55:25	06.05.16	2	1.2
030	14:55:36	06.05.16	2	4.2
024	14:56:35	06.05.16	2	4.1
039	15:12:20	06.05.16	2	5.6
029	15:13:55	06.05.16	2	4.5
032	15:14:27	06.05.16	2	6.4
031	15:16:39	06.05.16	2	4.5
015	15:17:48	06.05.16	2	2.2
033	15:19:04	06.05.16	2	4.5
024	15:20:19	06.05.16	2	5.4
026	15:21:28	06.05.16	2	4.9
029	15:22:28	06.05.16	2	4.9
