

Standort: 1-Spaltentorweg

[km/h]				 [m]
Dateformat: dd.mm.yy
035	11:03:46	15.08.14	2	4.5
026	11:07:00	15.08.14	2	4.3
032	11:16:45	15.08.14	2	0.5
030	11:18:23	15.08.14	2	3.5
010	11:20:27	15.08.14	2	2.1
030	11:32:33	15.08.14	2	2.0
030	11:37:17	15.08.14	2	3.5
029	11:43:49	15.08.14	2	4.6
019	11:46:52	15.08.14	2	1.9
028	12:00:20	15.08.14	2	4.5
022	12:03:11	15.08.14	2	1.3
030	12:15:30	15.08.14	2	3.6
033	12:15:32	15.08.14	2	3.7
021	12:16:06	15.08.14	2	3.7
041	12:20:00	15.08.14	2	4.4
033	12:21:06	15.08.14	2	4.4
038	12:22:07	15.08.14	2	4.6
022	12:23:10	15.08.14	2	3.9
018	12:27:18	15.08.14	2	3.9
017	12:38:34	15.08.14	2	3.2
033	12:44:35	15.08.14	2	8.9
028	12:45:41	15.08.14	2	12.1
023	12:45:42	15.08.14	2	4.7
021	12:45:52	15.08.14	2	3.9
023	12:45:59	15.08.14	2	5.5
021	12:46:01	15.08.14	2	3.9
022	12:46:05	15.08.14	2	12.2
026	12:46:07	15.08.14	2	6.5
027	12:46:10	15.08.14	2	21.0
013	12:55:36	15.08.14	2	0.9
025	13:02:34	15.08.14	2	1.8
024	13:07:43	15.08.14	2	1.3
030	13:14:41	15.08.14	2	4.0
030	13:24:05	15.08.14	2	1.3
035	13:36:12	15.08.14	2	5.1
019	13:39:07	15.08.14	2	3.5
033	13:46:13	15.08.14	2	5.5
026	13:48:41	15.08.14	2	4.1
025	13:54:39	15.08.14	2	3.2
030	13:58:05	15.08.14	2	3.6
024	14:02:55	15.08.14	2	3.9
027	14:21:44	15.08.14	2	5.7
036	14:35:44	15.08.14	2	4.2
037	14:40:16	15.08.14	2	4.9
031	14:43:33	15.08.14	2	4.0
020	14:48:17	15.08.14	2	4.0
034	14:49:22	15.08.14	2	1.6
025	14:56:36	15.08.14	2	6.8
033	15:25:21	15.08.14	2	3.8
010	15:36:45	15.08.14	2	3.3
035	15:39:37	15.08.14	2	5.1
023	15:46:44	15.08.14	2	4.1
019	15:47:27	15.08.14	2	2.1
027	16:06:14	15.08.14	2	0.9
029	16:25:01	15.08.14	2	4.8
028	16:25:06	15.08.14	2	5.3
014	16:28:09	15.08.14	2	4.1
024	16:31:24	15.08.14	2	5.6
025	16:33:35	15.08.14	2	1.6
028	16:38:24	15.08.14	2	4.4
033	16:39:50	15.08.14	2	4.3
038	16:55:47	15.08.14	2	4.5
032	16:58:36	15.08.14	2	4.1
033	16:58:45	15.08.14	2	4.2
033	17:05:58	15.08.14	2	3.8
021	17:08:58	15.08.14	2	1.1
015	17:13:19	15.08.14	2	1.0
029	17:13:48	15.08.14	2	5.3
038	17:15:57	15.08.14	2	4.4
022	18:03:45	15.08.14	2	4.3
037	18:04:54	15.08.14	2	4.9
037	18:04:56	15.08.14	2	4.7
022	18:23:07	15.08.14	2	1.3
017	18:25:43	15.08.14	2	1.5
027	18:28:14	15.08.14	2	4.2
023	18:38:29	15.08.14	2	4.2
038	18:42:16	15.08.14	2	4.3
024	18:53:52	15.08.14	2	4.3
020	18:55:20	15.08.14	2	4.3
033	19:07:17	15.08.14	2	4.3
030	19:18:42	15.08.14	2	4.3
026	19:20:34	15.08.14	2	4.3
024	19:37:02	15.08.14	2	3.9
024	19:49:59	15.08.14	2	2.5
036	19:50:33	15.08.14	2	2.4
019	19:52:13	15.08.14	2	4.3
021	19:59:43	15.08.14	2	2.9
026	20:00:02	15.08.14	2	0.5
034	20:03:06	15.08.14	2	4.3
014	20:09:12	15.08.14	2	4.3
019	20:14:24	15.08.14	2	3.8
023	20:35:24	15.08.14	2	0.9
028	20:46:28	15.08.14	2	5.8
020	20:52:34	15.08.14	2	2.4
020	20:57:39	15.08.14	2	4.3
029	21:55:55	15.08.14	2	4.2
026	22:02:24	15.08.14	2	4.1
020	22:10:20	15.08.14	2	2.2
027	22:19:55	15.08.14	2	1.7
026	22:22:19	15.08.14	2	3.9
026	22:34:38	15.08.14	2	5.0
039	22:34:44	15.08.14	2	3.1
021	22:40:44	15.08.14	2	1.6
033	22:57:38	15.08.14	2	3.0
027	22:57:52	15.08.14	2	3.6
037	23:08:41	15.08.14	2	5.2
024	23:46:02	15.08.14	2	4.0
022	00:13:35	16.08.14	2	0.5
020	02:09:33	16.08.14	2	0.6
030	03:26:27	16.08.14	2	4.3
