

Standort: 1-Talweg

[km/h]				 [m]
Dateformat: dd.mm.yy
021	11:09:07	29.07.16	2	11.8
022	11:09:29	29.07.16	2	9.2
006	11:11:47	29.07.16	2	3.5
023	11:28:52	29.07.16	2	8.0
030	11:43:22	29.07.16	2	7.3
014	11:47:56	29.07.16	2	3.7
023	11:49:02	29.07.16	2	6.2
026	12:15:49	29.07.16	2	7.5
039	12:18:57	29.07.16	2	7.5
020	12:20:26	29.07.16	2	8.9
016	12:25:20	29.07.16	2	7.1
006	12:26:48	29.07.16	2	3.6
021	12:50:25	29.07.16	2	8.6
030	13:12:34	29.07.16	2	7.5
012	13:13:39	29.07.16	2	3.7
021	13:14:39	29.07.16	2	3.4
026	13:30:23	29.07.16	2	4.8
007	13:31:34	29.07.16	2	1.8
005	13:43:41	29.07.16	2	1.5
038	13:47:44	29.07.16	2	9.7
013	14:14:49	29.07.16	2	4.6
029	14:16:27	29.07.16	2	8.8
024	14:24:27	29.07.16	2	8.3
013	14:24:48	29.07.16	2	5.0
026	14:41:58	29.07.16	2	7.0
018	14:51:14	29.07.16	2	7.9
030	14:53:49	29.07.16	2	7.3
020	15:04:57	29.07.16	2	8.0
021	15:32:59	29.07.16	2	4.9
042	15:37:40	29.07.16	2	9.6
032	15:42:04	29.07.16	2	9.5
034	15:45:30	29.07.16	2	8.5
029	16:04:01	29.07.16	2	9.4
015	16:13:06	29.07.16	2	5.1
036	16:24:50	29.07.16	2	8.8
022	16:31:49	29.07.16	2	7.3
007	16:35:11	29.07.16	2	1.7
020	16:49:03	29.07.16	2	7.8
030	16:57:53	29.07.16	2	8.8
008	17:05:15	29.07.16	2	3.6
032	17:08:32	29.07.16	2	9.4
032	17:23:01	29.07.16	2	6.8
023	17:26:29	29.07.16	2	9.5
023	17:27:54	29.07.16	2	9.6
023	17:34:43	29.07.16	2	4.4
024	17:35:40	29.07.16	2	7.4
016	17:53:07	29.07.16	2	10.4
017	18:02:18	29.07.16	2	12.6
020	18:04:13	29.07.16	2	4.5
018	18:04:15	29.07.16	2	7.6
029	18:09:48	29.07.16	2	4.7
025	18:16:57	29.07.16	2	4.7
024	18:19:10	29.07.16	2	4.6
020	18:20:20	29.07.16	2	9.7
022	18:22:15	29.07.16	2	7.5
018	18:25:18	29.07.16	2	3.9
031	18:39:13	29.07.16	2	7.6
015	18:48:08	29.07.16	2	5.0
027	18:51:53	29.07.16	2	9.2
012	18:57:52	29.07.16	2	6.4
025	19:05:11	29.07.16	2	7.8
035	19:08:36	29.07.16	2	7.4
032	19:12:21	29.07.16	2	9.3
021	19:12:30	29.07.16	2	7.0
026	19:12:49	29.07.16	2	7.2
024	19:19:48	29.07.16	2	3.9
006	19:21:45	29.07.16	2	3.7
029	19:25:15	29.07.16	2	8.1
024	19:26:26	29.07.16	2	7.5
017	19:28:21	29.07.16	2	4.1
015	19:28:27	29.07.16	2	3.8
014	19:28:29	29.07.16	2	3.7
023	19:29:36	29.07.16	2	7.4
022	19:30:43	29.07.16	2	4.3
028	19:31:43	29.07.16	2	6.6
035	20:26:45	29.07.16	2	8.3
025	20:54:51	29.07.16	2	7.8
