

Standort: 1-Vogelsangstr

[km/h]				 [m]
Dateformat: dd.mm.yy
025	09:33:34	24.03.16	1	4.5
023	09:33:54	24.03.16	1	6.4
006	09:35:49	24.03.16	1	0.6
022	09:39:54	24.03.16	1	4.6
024	09:42:32	24.03.16	1	5.6
030	09:43:15	24.03.16	1	1.3
022	09:45:26	24.03.16	1	3.9
033	09:46:10	24.03.16	1	3.7
027	09:48:30	24.03.16	1	4.5
026	10:00:04	24.03.16	1	4.6
026	10:02:37	24.03.16	1	5.1
033	10:02:48	24.03.16	1	4.8
007	10:09:02	24.03.16	1	1.6
012	10:09:07	24.03.16	1	3.7
013	10:09:19	24.03.16	1	4.1
029	10:09:29	24.03.16	1	3.7
027	10:09:40	24.03.16	1	4.1
028	10:11:29	24.03.16	1	6.8
013	10:12:28	24.03.16	1	2.4
025	10:17:25	24.03.16	1	4.2
019	10:18:15	24.03.16	1	3.5
023	10:18:27	24.03.16	1	3.9
034	10:18:53	24.03.16	1	4.2
016	10:19:48	24.03.16	1	3.5
016	10:21:59	24.03.16	1	4.6
016	10:22:54	24.03.16	1	3.6
015	10:23:55	24.03.16	1	4.0
027	10:26:10	24.03.16	1	1.2
026	10:29:43	24.03.16	1	4.3
023	10:31:45	24.03.16	1	3.2
023	10:32:42	24.03.16	1	0.9
022	10:33:34	24.03.16	1	4.0
007	10:35:57	24.03.16	1	5.4
007	10:36:04	24.03.16	1	1.2
033	10:36:14	24.03.16	1	4.4
015	10:38:49	24.03.16	1	3.8
026	10:40:00	24.03.16	1	4.2
020	10:40:20	24.03.16	1	3.8
016	10:42:33	24.03.16	1	8.3
023	10:47:24	24.03.16	1	3.3
008	10:48:26	24.03.16	1	3.6
007	10:48:32	24.03.16	1	7.0
027	10:49:33	24.03.16	1	4.5
034	10:51:40	24.03.16	1	4.3
021	10:54:45	24.03.16	1	0.8
028	10:55:04	24.03.16	1	3.9
027	10:56:09	24.03.16	1	3.8
017	10:56:45	24.03.16	1	3.7
021	11:04:25	24.03.16	1	3.6
035	11:04:57	24.03.16	1	4.6
017	11:05:05	24.03.16	1	2.3
018	11:05:07	24.03.16	1	3.7
023	11:10:53	24.03.16	1	5.1
024	11:13:10	24.03.16	1	3.2
022	11:15:59	24.03.16	1	4.0
026	11:19:20	24.03.16	1	3.8
022	11:19:35	24.03.16	1	4.1
029	11:20:24	24.03.16	1	4.0
028	11:20:59	24.03.16	1	6.6
026	11:21:27	24.03.16	1	3.5
037	11:22:21	24.03.16	1	3.9
029	11:24:45	24.03.16	1	4.8
022	11:25:11	24.03.16	1	3.4
024	11:27:29	24.03.16	1	4.2
029	11:27:48	24.03.16	1	4.1
013	11:28:32	24.03.16	1	4.7
020	11:31:15	24.03.16	1	1.0
026	11:33:51	24.03.16	1	4.3
031	11:36:12	24.03.16	1	4.2
031	11:36:36	24.03.16	1	6.3
