

Standort: 1-Vogesenstrasse

[km/h]				 [m]
Dateformat: dd.mm.yy
025	10:24:47	04.10.13	2	3.9
024	10:25:00	04.10.13	2	4.0
030	10:28:44	04.10.13	2	5.6
023	10:29:54	04.10.13	2	5.1
011	10:32:53	04.10.13	2	7.0
012	10:32:54	04.10.13	2	3.5
020	10:35:36	04.10.13	2	4.7
027	10:42:01	04.10.13	2	5.0
023	10:53:22	04.10.13	2	4.6
027	11:08:01	04.10.13	2	4.7
023	11:09:57	04.10.13	2	5.2
024	11:14:31	04.10.13	2	4.1
021	11:17:45	04.10.13	2	7.4
025	11:24:41	04.10.13	2	4.6
021	11:24:51	04.10.13	2	4.5
007	11:40:10	04.10.13	2	3.1
006	11:40:56	04.10.13	2	3.7
018	11:43:00	04.10.13	2	6.4
009	11:45:51	04.10.13	2	4.0
025	11:45:58	04.10.13	2	5.1
027	11:47:12	04.10.13	2	4.4
005	11:49:54	04.10.13	2	4.1
012	11:57:35	04.10.13	2	9.5
022	11:58:33	04.10.13	2	3.9
021	12:01:14	04.10.13	2	5.0
017	12:01:33	04.10.13	2	4.4
017	12:01:34	04.10.13	2	4.5
024	12:01:43	04.10.13	2	5.1
032	12:03:03	04.10.13	2	4.7
023	12:03:42	04.10.13	2	3.6
027	12:08:42	04.10.13	2	5.4
022	12:10:58	04.10.13	2	4.4
021	12:11:13	04.10.13	2	4.4
008	12:13:33	04.10.13	2	4.2
007	12:13:35	04.10.13	2	4.2
033	12:13:45	04.10.13	2	4.9
019	12:14:59	04.10.13	2	4.5
029	12:17:01	04.10.13	2	5.0
024	12:18:39	04.10.13	2	6.2
018	12:18:40	04.10.13	2	4.2
007	12:21:01	04.10.13	2	4.2
006	12:21:02	04.10.13	2	4.2
007	12:21:03	04.10.13	2	3.3
025	12:21:04	04.10.13	2	4.6
027	12:22:34	04.10.13	2	4.1
023	12:23:25	04.10.13	2	4.1
022	12:23:58	04.10.13	2	4.6
023	12:26:07	04.10.13	2	4.0
020	12:27:11	04.10.13	2	4.0
