

Standort: 1-Walkeweg

[km/h]				 [m]
Dateformat: dd.mm.yy
028	16:22:00	01.07.16	2	17.1
018	16:23:38	01.07.16	2	4.5
018	16:25:56	01.07.16	2	4.7
031	16:26:23	01.07.16	2	21.8
019	16:27:03	01.07.16	2	4.3
018	16:27:05	01.07.16	2	6.9
022	16:27:59	01.07.16	2	4.7
031	16:28:10	01.07.16	2	15.0
018	16:28:56	01.07.16	2	4.2
021	16:31:04	01.07.16	2	5.0
026	16:33:21	01.07.16	2	4.8
024	16:34:15	01.07.16	2	8.1
023	16:34:15	01.07.16	2	3.7
033	16:35:51	01.07.16	2	15.4
017	16:39:34	01.07.16	2	4.4
032	16:40:07	01.07.16	2	22.8
017	16:40:15	01.07.16	2	2.9
025	16:42:16	01.07.16	2	5.3
045	16:43:30	01.07.16	2	4.8
007	16:44:50	01.07.16	2	3.9
016	16:45:47	01.07.16	2	4.6
038	16:46:38	01.07.16	2	16.5
021	16:47:04	01.07.16	2	5.7
006	16:48:26	01.07.16	2	4.0
028	16:49:08	01.07.16	2	7.0
018	16:49:30	01.07.16	2	3.8
035	16:50:30	01.07.16	2	22.0
030	16:51:49	01.07.16	2	5.4
032	16:51:53	01.07.16	2	4.0
019	16:52:20	01.07.16	2	4.0
029	16:53:09	01.07.16	2	16.3
035	16:54:49	01.07.16	2	21.4
019	16:55:16	01.07.16	2	4.4
040	16:55:31	01.07.16	2	4.3
016	16:55:36	01.07.16	2	4.2
038	16:55:44	01.07.16	2	4.4
015	16:55:54	01.07.16	2	4.1
020	16:56:49	01.07.16	2	4.3
020	16:57:53	01.07.16	2	5.3
006	16:59:28	01.07.16	2	1.6
019	17:00:46	01.07.16	2	4.5
034	17:01:13	01.07.16	2	5.1
025	17:01:35	01.07.16	2	16.7
025	17:02:57	01.07.16	2	21.3
013	17:03:23	01.07.16	2	4.5
030	17:04:07	01.07.16	2	4.9
013	17:05:06	01.07.16	2	4.1
016	17:05:07	01.07.16	2	4.1
016	17:05:10	01.07.16	2	3.5
017	17:05:17	01.07.16	2	4.6
020	17:05:45	01.07.16	2	4.7
026	17:06:06	01.07.16	2	16.0
021	17:06:08	01.07.16	2	5.6
025	17:06:10	01.07.16	2	5.8
014	17:06:12	01.07.16	2	4.4
008	17:06:14	01.07.16	2	5.1
028	17:06:33	01.07.16	2	4.7
017	17:06:44	01.07.16	2	4.0
021	17:07:44	01.07.16	2	4.1
024	17:07:47	01.07.16	2	4.4
015	17:08:06	01.07.16	2	3.7
039	17:08:41	01.07.16	2	7.8
024	17:08:58	01.07.16	2	4.7
019	17:09:35	01.07.16	2	4.7
021	17:09:46	01.07.16	2	6.5
037	17:09:58	01.07.16	2	21.1
018	17:10:03	01.07.16	2	5.2
053	17:10:13	01.07.16	2	7.0
026	17:10:31	01.07.16	2	6.4
015	17:10:43	01.07.16	2	4.6
019	17:10:47	01.07.16	2	4.6
035	17:11:52	01.07.16	2	7.5
008	17:12:03	01.07.16	2	4.2
019	17:12:39	01.07.16	2	6.0
035	17:13:59	01.07.16	2	4.5
017	17:14:05	01.07.16	2	4.2
036	17:16:17	01.07.16	2	17.0
017	17:16:22	01.07.16	2	4.0
021	17:16:32	01.07.16	2	5.3
018	17:16:56	01.07.16	2	4.2
031	17:17:47	01.07.16	2	15.2
032	17:17:48	01.07.16	2	5.4
025	17:17:50	01.07.16	2	4.2
024	17:17:53	01.07.16	2	4.2
015	17:18:09	01.07.16	2	4.2
036	17:18:13	01.07.16	2	4.7
023	17:18:38	01.07.16	2	4.2
023	17:18:55	01.07.16	2	3.6
022	17:19:05	01.07.16	2	4.4
015	17:19:34	01.07.16	2	4.2
006	17:20:17	01.07.16	2	4.2
019	17:20:34	01.07.16	2	10.7
032	17:20:56	01.07.16	2	4.2
036	17:20:58	01.07.16	2	14.0
016	17:22:47	01.07.16	2	5.2
035	17:24:34	01.07.16	2	7.7
021	17:26:46	01.07.16	2	3.9
029	17:27:32	01.07.16	2	22.1
032	17:28:15	01.07.16	2	16.5
017	17:29:34	01.07.16	2	3.9
020	17:29:51	01.07.16	2	5.2
020	17:31:23	01.07.16	2	4.4
014	17:32:35	01.07.16	2	4.0
024	17:32:41	01.07.16	2	22.4
021	17:32:54	01.07.16	2	4.5
029	17:33:24	01.07.16	2	5.0
023	17:34:33	01.07.16	2	4.5
034	17:34:34	01.07.16	2	5.4
019	17:34:41	01.07.16	2	5.2
021	17:35:11	01.07.16	2	4.4
028	17:35:52	01.07.16	2	15.7
009	17:36:04	01.07.16	2	3.1
021	17:38:34	01.07.16	2	4.2
019	17:38:39	01.07.16	2	4.8
021	17:40:02	01.07.16	2	5.0
019	17:40:35	01.07.16	2	4.6
005	17:40:44	01.07.16	2	4.3
016	17:40:51	01.07.16	2	4.2
028	17:41:01	01.07.16	2	21.5
018	17:41:55	01.07.16	2	4.3
018	17:41:57	01.07.16	2	4.4
030	17:42:22	01.07.16	2	7.1
007	17:42:32	01.07.16	2	4.3
019	17:42:45	01.07.16	2	4.5
033	17:43:21	01.07.16	2	16.2
017	17:44:08	01.07.16	2	4.3
032	17:44:13	01.07.16	2	4.2
021	17:44:16	01.07.16	2	4.2
017	17:47:31	01.07.16	2	4.0
013	17:47:59	01.07.16	2	4.6
024	17:48:58	01.07.16	2	4.6
032	17:49:10	01.07.16	2	21.6
015	17:49:40	01.07.16	2	4.5
019	17:49:47	01.07.16	2	4.7
030	17:51:13	01.07.16	2	16.7
