

Standort: 1-Welschmattstra

[km/h]				 [m]
Dateformat: dd.mm.yy
011	08:53:32	25.10.13	1	2.4
024	08:53:41	25.10.13	1	4.9
012	08:59:06	25.10.13	1	0.5
048	08:59:50	25.10.13	1	1.6
023	09:00:40	25.10.13	1	4.0
019	09:02:19	25.10.13	1	4.0
023	09:02:28	25.10.13	1	4.0
017	09:02:45	25.10.13	1	6.7
024	09:04:16	25.10.13	1	3.8
039	09:05:12	25.10.13	1	5.6
024	09:07:23	25.10.13	1	1.1
011	09:09:28	25.10.13	1	2.0
016	09:13:18	25.10.13	1	1.0
035	09:17:44	25.10.13	1	3.7
025	09:18:04	25.10.13	1	0.5
038	09:19:42	25.10.13	1	4.0
013	09:21:37	25.10.13	1	0.8
019	09:24:37	25.10.13	1	5.4
033	09:25:00	25.10.13	1	4.4
043	09:25:53	25.10.13	1	5.4
028	09:28:03	25.10.13	1	4.6
027	09:30:26	25.10.13	1	6.4
025	09:32:05	25.10.13	1	2.7
016	09:33:05	25.10.13	1	0.8
033	09:33:15	25.10.13	1	3.9
025	09:33:36	25.10.13	1	5.5
013	09:33:47	25.10.13	1	2.5
048	09:34:47	25.10.13	1	4.5
032	09:38:05	25.10.13	1	3.8
010	09:39:11	25.10.13	1	3.4
021	09:40:52	25.10.13	1	8.3
030	09:41:47	25.10.13	1	4.1
023	09:42:57	25.10.13	1	6.5
015	09:46:28	25.10.13	1	4.8
023	09:48:16	25.10.13	1	5.0
014	09:52:50	25.10.13	1	19.8
017	09:53:19	25.10.13	1	4.1
034	09:56:56	25.10.13	1	4.3
037	10:01:09	25.10.13	1	6.9
023	10:03:40	25.10.13	1	5.4
023	10:04:58	25.10.13	1	5.1
009	10:06:52	25.10.13	1	2.0
034	10:07:32	25.10.13	1	4.5
033	10:11:32	25.10.13	1	4.5
017	10:11:59	25.10.13	1	4.5
016	10:12:58	25.10.13	1	1.0
020	10:13:39	25.10.13	1	4.1
033	10:15:30	25.10.13	1	4.6
035	10:15:39	25.10.13	1	5.1
020	10:15:49	25.10.13	1	0.9
025	10:17:11	25.10.13	1	0.5
029	10:18:15	25.10.13	1	5.2
008	10:18:50	25.10.13	1	1.5
010	10:19:04	25.10.13	1	3.0
030	10:19:59	25.10.13	1	0.7
021	10:20:53	25.10.13	1	6.2
025	10:21:03	25.10.13	1	4.8
029	10:24:59	25.10.13	1	5.1
021	10:26:01	25.10.13	1	17.4
031	10:31:47	25.10.13	1	5.4
012	10:32:49	25.10.13	1	1.0
029	10:35:04	25.10.13	1	4.4
015	10:36:03	25.10.13	1	4.4
035	10:39:11	25.10.13	1	4.6
012	10:40:24	25.10.13	1	5.1
030	10:42:45	25.10.13	1	3.6
031	10:44:30	25.10.13	1	3.3
043	10:45:03	25.10.13	1	4.5
027	10:46:00	25.10.13	1	3.8
036	10:47:26	25.10.13	1	4.2
024	10:47:35	25.10.13	1	4.1
025	10:47:36	25.10.13	1	4.5
014	10:47:43	25.10.13	1	0.9
027	10:49:25	25.10.13	1	5.6
033	10:51:48	25.10.13	1	3.2
043	10:55:34	25.10.13	1	6.5
024	10:57:28	25.10.13	1	1.2
024	11:00:54	25.10.13	1	4.7
023	11:01:34	25.10.13	1	4.2
027	11:01:42	25.10.13	1	4.1
029	11:01:45	25.10.13	1	4.0
030	11:03:57	25.10.13	1	3.5
031	11:07:37	25.10.13	1	4.5
018	11:07:56	25.10.13	1	2.9
024	11:09:04	25.10.13	1	4.1
032	11:10:10	25.10.13	1	4.0
030	11:10:15	25.10.13	1	4.3
018	11:10:28	25.10.13	1	0.9
014	11:10:34	25.10.13	1	3.1
030	11:11:11	25.10.13	1	4.1
026	11:11:22	25.10.13	1	2.9
037	11:12:55	25.10.13	1	5.2
033	11:13:35	25.10.13	1	3.9
029	11:13:59	25.10.13	1	3.7
038	11:14:22	25.10.13	1	4.3
035	11:15:04	25.10.13	1	4.3
017	11:15:16	25.10.13	1	4.1
012	11:15:57	25.10.13	1	1.2
043	11:17:46	25.10.13	1	4.3
035	11:17:49	25.10.13	1	4.1
031	11:22:52	25.10.13	1	4.8
036	11:23:43	25.10.13	1	4.1
021	11:30:04	25.10.13	1	4.1
005	11:30:35	25.10.13	1	1.5
015	11:31:37	25.10.13	1	4.1
020	11:31:39	25.10.13	1	4.3
034	11:34:46	25.10.13	1	4.6
019	11:36:36	25.10.13	1	5.1
034	11:36:52	25.10.13	1	4.5
035	11:37:25	25.10.13	1	4.7
035	11:40:02	25.10.13	1	3.0
038	11:42:00	25.10.13	1	4.5
032	11:43:44	25.10.13	1	5.1
029	11:47:02	25.10.13	1	4.6
028	11:48:19	25.10.13	1	4.7
035	11:48:44	25.10.13	1	4.7
018	11:49:59	25.10.13	1	0.5
020	11:50:00	25.10.13	1	0.8
020	11:50:10	25.10.13	1	2.2
041	11:50:28	25.10.13	1	4.4
027	11:50:59	25.10.13	1	5.1
030	11:52:03	25.10.13	1	5.2
028	11:53:58	25.10.13	1	4.3
016	11:54:14	25.10.13	1	6.0
034	11:54:33	25.10.13	1	4.3
018	11:54:41	25.10.13	1	9.1
022	11:55:53	25.10.13	1	4.1
039	11:56:12	25.10.13	1	5.1
034	11:56:33	25.10.13	1	4.3
020	11:56:42	25.10.13	1	1.1
022	11:57:35	25.10.13	1	4.1
028	11:58:08	25.10.13	1	3.9
013	11:58:23	25.10.13	1	3.5
018	11:59:13	25.10.13	1	3.7
021	12:00:50	25.10.13	1	0.6
036	12:01:38	25.10.13	1	4.4
022	12:02:35	25.10.13	1	4.1
024	12:02:42	25.10.13	1	4.1
020	12:03:23	25.10.13	1	0.5
025	12:04:21	25.10.13	1	3.0
025	12:05:08	25.10.13	1	2.5
034	12:05:28	25.10.13	1	4.0
025	12:06:30	25.10.13	1	4.3
037	12:06:37	25.10.13	1	5.1
037	12:08:09	25.10.13	1	5.3
016	12:08:24	25.10.13	1	1.1
035	12:10:19	25.10.13	1	4.3
006	12:10:58	25.10.13	1	0.7
022	12:12:12	25.10.13	1	4.9
013	12:12:49	25.10.13	1	1.8
015	12:13:15	25.10.13	1	4.6
006	12:13:40	25.10.13	1	0.7
020	12:15:18	25.10.13	1	4.0
031	12:17:31	25.10.13	1	4.1
019	12:18:24	25.10.13	1	3.6
032	12:18:53	25.10.13	1	3.8
027	12:19:09	25.10.13	1	3.9
024	12:20:46	25.10.13	1	4.2
042	12:22:21	25.10.13	1	3.7
041	12:22:24	25.10.13	1	4.2
028	12:22:42	25.10.13	1	5.0
019	12:23:00	25.10.13	1	4.6
023	12:23:55	25.10.13	1	4.5
014	12:25:23	25.10.13	1	4.2
033	12:25:28	25.10.13	1	4.4
017	12:26:13	25.10.13	1	5.5
032	12:29:16	25.10.13	1	3.6
017	12:30:25	25.10.13	1	4.2
019	12:31:53	25.10.13	1	3.9
018	12:40:14	25.10.13	1	4.2
021	12:41:28	25.10.13	1	4.2
025	12:42:03	25.10.13	1	0.9
022	12:42:30	25.10.13	1	4.2
020	12:46:30	25.10.13	1	1.1
016	12:47:51	25.10.13	1	4.2
029	12:48:14	25.10.13	1	4.6
034	12:52:46	25.10.13	1	1.2
017	12:55:16	25.10.13	1	4.2
015	12:56:53	25.10.13	1	0.5
017	12:58:04	25.10.13	1	4.2
035	13:01:12	25.10.13	1	4.1
037	13:01:20	25.10.13	1	3.7
032	13:02:45	25.10.13	1	4.8
021	13:02:49	25.10.13	1	4.2
037	13:04:14	25.10.13	1	4.4
024	13:08:01	25.10.13	1	0.6
016	13:09:40	25.10.13	1	4.2
033	13:10:05	25.10.13	1	4.1
034	13:14:58	25.10.13	1	7.7
015	13:15:04	25.10.13	1	4.2
040	13:19:05	25.10.13	1	5.2
029	13:20:35	25.10.13	1	4.0
041	13:20:54	25.10.13	1	4.0
032	13:21:32	25.10.13	1	4.4
025	13:22:13	25.10.13	1	0.8
031	13:22:58	25.10.13	1	4.3
033	13:23:32	25.10.13	1	4.8
017	13:24:31	25.10.13	1	0.7
019	13:25:15	25.10.13	1	4.2
021	13:27:11	25.10.13	1	4.3
013	13:28:13	25.10.13	1	0.6
014	13:28:15	25.10.13	1	4.3
020	13:30:22	25.10.13	1	0.9
015	13:30:55	25.10.13	1	3.1
036	13:33:27	25.10.13	1	5.2
021	13:33:52	25.10.13	1	0.6
014	13:34:45	25.10.13	1	4.8
030	13:34:52	25.10.13	1	4.3
017	13:36:12	25.10.13	1	4.3
032	13:38:18	25.10.13	1	3.6
016	13:38:40	25.10.13	1	3.9
022	13:39:18	25.10.13	1	2.4
043	13:39:49	25.10.13	1	5.1
032	13:41:04	25.10.13	1	4.2
025	13:42:14	25.10.13	1	5.1
031	13:42:17	25.10.13	1	4.6
013	13:42:23	25.10.13	1	2.1
031	13:42:57	25.10.13	1	6.2
017	13:43:18	25.10.13	1	4.3
033	13:47:53	25.10.13	1	6.2
032	13:48:00	25.10.13	1	4.3
025	13:48:41	25.10.13	1	2.4
026	13:49:05	25.10.13	1	4.1
038	13:49:47	25.10.13	1	4.4
031	13:51:03	25.10.13	1	0.8
021	13:52:16	25.10.13	1	3.0
029	13:53:03	25.10.13	1	4.5
023	13:55:21	25.10.13	1	3.7
019	13:56:12	25.10.13	1	4.3
015	13:57:58	25.10.13	1	0.7
020	13:58:01	25.10.13	1	4.3
015	13:58:20	25.10.13	1	4.0
016	13:59:32	25.10.13	1	4.3
025	13:59:57	25.10.13	1	4.6
035	14:01:59	25.10.13	1	4.3
016	14:03:15	25.10.13	1	4.3
020	14:04:49	25.10.13	1	4.4
032	14:05:11	25.10.13	1	4.9
018	14:05:27	25.10.13	1	4.4
014	14:05:28	25.10.13	1	0.8
021	14:05:44	25.10.13	1	4.4
024	14:05:45	25.10.13	1	1.5
034	14:06:27	25.10.13	1	4.3
015	14:06:44	25.10.13	1	4.4
013	14:07:30	25.10.13	1	4.4
015	14:09:24	25.10.13	1	0.5
014	14:09:43	25.10.13	1	4.4
021	14:09:47	25.10.13	1	1.1
035	14:12:12	25.10.13	1	4.5
038	14:13:29	25.10.13	1	3.1
021	14:18:49	25.10.13	1	0.9
019	14:20:09	25.10.13	1	4.3
020	14:22:59	25.10.13	1	0.9
014	14:24:25	25.10.13	1	3.7
027	14:24:32	25.10.13	1	3.6
033	14:26:43	25.10.13	1	5.3
010	14:28:41	25.10.13	1	0.6
035	14:30:26	25.10.13	1	4.4
030	14:31:59	25.10.13	1	0.6
033	14:32:27	25.10.13	1	4.0
029	14:32:54	25.10.13	1	4.0
026	14:35:05	25.10.13	1	4.3
021	14:37:29	25.10.13	1	0.7
021	14:39:29	25.10.13	1	1.1
029	14:39:48	25.10.13	1	6.1
028	14:40:41	25.10.13	1	3.5
039	14:41:25	25.10.13	1	2.8
039	14:42:18	25.10.13	1	4.0
036	14:43:48	25.10.13	1	4.0
018	14:46:52	25.10.13	1	0.7
032	14:46:53	25.10.13	1	4.0
034	14:49:16	25.10.13	1	3.6
019	14:49:27	25.10.13	1	4.1
018	14:54:55	25.10.13	1	1.4
019	14:55:18	25.10.13	1	2.2
022	14:55:25	25.10.13	1	2.8
018	14:56:09	25.10.13	1	0.9
032	14:56:38	25.10.13	1	3.8
032	14:56:54	25.10.13	1	4.1
036	14:57:22	25.10.13	1	3.6
029	14:57:42	25.10.13	1	4.9
019	15:02:05	25.10.13	1	4.4
031	15:03:23	25.10.13	1	4.4
032	15:03:30	25.10.13	1	4.3
029	15:04:07	25.10.13	1	4.0
021	15:04:16	25.10.13	1	4.1
014	15:06:13	25.10.13	1	4.4
021	15:07:37	25.10.13	1	4.4
030	15:08:00	25.10.13	1	4.7
034	15:09:02	25.10.13	1	3.6
040	15:11:08	25.10.13	1	3.9
033	15:12:49	25.10.13	1	5.5
033	15:13:48	25.10.13	1	1.1
