

Standort: 1-Wettsteinbrück

[km/h]				 [m]
Dateformat: dd.mm.yy
006	14:38:02	05.05.17	2	3.5
068	14:38:09	05.05.17	2	13.4
053	14:38:13	05.05.17	2	4.2
064	14:38:15	05.05.17	2	5.7
063	14:38:15	05.05.17	2	3.6
051	14:38:26	05.05.17	2	7.0
052	14:38:27	05.05.17	2	3.6
052	14:38:29	05.05.17	2	6.1
047	14:38:32	05.05.17	2	3.6
041	14:38:44	05.05.17	2	25.5
046	14:38:45	05.05.17	2	12.2
045	14:38:49	05.05.17	2	8.7
043	14:38:51	05.05.17	2	3.7
046	14:38:52	05.05.17	2	4.4
044	14:38:52	05.05.17	2	3.7
049	14:39:00	05.05.17	2	10.5
050	14:39:04	05.05.17	2	8.5
060	14:39:06	05.05.17	2	8.8
048	14:39:39	05.05.17	2	25.5
051	14:39:40	05.05.17	2	8.1
050	14:40:44	05.05.17	2	25.5
059	14:40:57	05.05.17	2	5.2
008	14:41:08	05.05.17	2	1.9
039	14:41:12	05.05.17	2	1.9
040	14:41:13	05.05.17	2	8.9
041	14:41:15	05.05.17	2	1.8
039	14:41:23	05.05.17	2	16.5
040	14:41:25	05.05.17	2	17.1
047	14:41:26	05.05.17	2	4.6
042	14:41:33	05.05.17	2	3.9
044	14:41:33	05.05.17	2	5.3
046	14:41:37	05.05.17	2	16.4
047	14:41:37	05.05.17	2	1.7
058	14:41:51	05.05.17	2	3.8
054	14:41:55	05.05.17	2	2.0
057	14:41:56	05.05.17	2	2.3
046	14:42:00	05.05.17	2	1.9
048	14:42:00	05.05.17	2	2.1
066	14:42:08	05.05.17	2	4.8
006	14:42:11	05.05.17	2	2.2
050	14:42:18	05.05.17	2	7.3
048	14:42:20	05.05.17	2	7.6
054	14:42:24	05.05.17	2	3.7
052	14:42:28	05.05.17	2	2.5
051	14:42:30	05.05.17	2	2.6
052	14:42:30	05.05.17	2	1.9
046	14:42:33	05.05.17	2	1.8
050	14:42:33	05.05.17	2	2.5
050	14:42:33	05.05.17	2	3.1
053	14:42:33	05.05.17	2	2.2
057	14:42:39	05.05.17	2	6.1
059	14:42:39	05.05.17	2	2.3
058	14:42:41	05.05.17	2	3.4
049	14:42:49	05.05.17	2	2.5
043	14:42:50	05.05.17	2	3.6
041	14:43:13	05.05.17	2	1.6
043	14:43:14	05.05.17	2	6.0
045	14:43:14	05.05.17	2	1.8
043	14:43:14	05.05.17	2	1.8
007	14:43:16	05.05.17	2	1.9
043	14:43:19	05.05.17	2	1.8
045	14:43:19	05.05.17	2	2.7
049	14:43:23	05.05.17	2	4.8
039	14:43:26	05.05.17	2	2.2
040	14:43:27	05.05.17	2	1.7
041	14:43:27	05.05.17	2	4.8
042	14:43:27	05.05.17	2	2.1
005	14:43:37	05.05.17	2	1.6
056	14:43:39	05.05.17	2	8.6
052	14:43:46	05.05.17	2	1.9
049	14:43:49	05.05.17	2	2.1
053	14:43:49	05.05.17	2	10.6
054	14:43:49	05.05.17	2	1.7
052	14:43:50	05.05.17	2	1.9
049	14:44:21	05.05.17	2	2.8
047	14:44:23	05.05.17	2	3.0
049	14:44:30	05.05.17	2	3.3
051	14:44:30	05.05.17	2	2.5
007	14:44:31	05.05.17	2	1.7
052	14:44:32	05.05.17	2	2.0
044	14:44:33	05.05.17	2	2.4
058	14:44:47	05.05.17	2	3.9
048	14:44:59	05.05.17	2	14.2
044	14:45:02	05.05.17	2	4.1
049	14:45:02	05.05.17	2	2.9
061	14:45:09	05.05.17	2	8.4
063	14:45:09	05.05.17	2	2.0
047	14:45:12	05.05.17	2	2.2
054	14:45:12	05.05.17	2	3.3
057	14:45:15	05.05.17	2	16.2
059	14:45:30	05.05.17	2	2.1
044	14:45:37	05.05.17	2	25.5
045	14:45:39	05.05.17	2	13.4
046	14:45:53	05.05.17	2	1.7
045	14:46:00	05.05.17	2	1.7
045	14:46:05	05.05.17	2	2.7
042	14:46:07	05.05.17	2	2.0
045	14:46:09	05.05.17	2	2.9
045	14:46:09	05.05.17	2	1.8
042	14:46:11	05.05.17	2	5.5
045	14:46:11	05.05.17	2	2.1
047	14:46:17	05.05.17	2	6.1
052	14:46:32	05.05.17	2	7.3
054	14:46:33	05.05.17	2	3.2
045	14:46:46	05.05.17	2	2.1
047	14:46:47	05.05.17	2	2.1
049	14:46:49	05.05.17	2	1.7
056	14:46:55	05.05.17	2	6.6
054	14:46:56	05.05.17	2	1.6
055	14:46:56	05.05.17	2	8.4
050	14:47:04	05.05.17	2	1.9
054	14:47:11	05.05.17	2	2.5
054	14:47:11	05.05.17	2	1.7
024	14:47:22	05.05.17	2	1.8
025	14:47:23	05.05.17	2	2.3
022	14:47:23	05.05.17	2	1.7
042	14:47:37	05.05.17	2	2.5
045	14:47:40	05.05.17	2	25.5
047	14:47:41	05.05.17	2	5.6
043	14:47:43	05.05.17	2	3.0
049	14:47:57	05.05.17	2	8.2
041	14:48:08	05.05.17	2	25.5
042	14:48:09	05.05.17	2	11.1
045	14:48:09	05.05.17	2	1.6
053	14:48:11	05.05.17	2	2.6
056	14:48:12	05.05.17	2	3.6
059	14:48:12	05.05.17	2	1.7
056	14:48:13	05.05.17	2	3.0
060	14:48:14	05.05.17	2	2.8
062	14:48:14	05.05.17	2	2.0
056	14:48:27	05.05.17	2	2.5
063	14:48:28	05.05.17	2	7.6
051	14:48:34	05.05.17	2	10.9
048	14:48:35	05.05.17	2	4.7
047	14:48:35	05.05.17	2	1.6
054	14:48:38	05.05.17	2	4.4
061	14:48:41	05.05.17	2	6.7
060	14:48:44	05.05.17	2	1.8
059	14:48:46	05.05.17	2	7.8
053	14:48:49	05.05.17	2	1.6
053	14:48:55	05.05.17	2	2.0
047	14:48:56	05.05.17	2	2.7
051	14:48:56	05.05.17	2	1.8
053	14:49:10	05.05.17	2	3.0
055	14:49:11	05.05.17	2	2.3
055	14:49:11	05.05.17	2	1.6
051	14:49:14	05.05.17	2	3.6
058	14:50:00	05.05.17	2	1.8
055	14:50:03	05.05.17	2	2.7
055	14:50:04	05.05.17	2	2.8
060	14:50:09	05.05.17	2	1.7
047	14:50:24	05.05.17	2	9.0
052	14:50:42	05.05.17	2	2.2
055	14:50:53	05.05.17	2	9.8
053	14:50:58	05.05.17	2	2.9
055	14:50:58	05.05.17	2	2.2
050	14:51:07	05.05.17	2	3.9
053	14:51:07	05.05.17	2	3.1
052	14:51:09	05.05.17	2	4.6
055	14:51:09	05.05.17	2	1.8
058	14:51:11	05.05.17	2	3.5
051	14:51:24	05.05.17	2	2.6
072	14:51:40	05.05.17	2	6.8
061	14:51:53	05.05.17	2	4.4
064	14:51:54	05.05.17	2	3.6
051	14:52:05	05.05.17	2	8.4
049	14:52:09	05.05.17	2	8.2
049	14:52:16	05.05.17	2	8.1
044	14:52:24	05.05.17	2	2.1
052	14:52:28	05.05.17	2	6.4
056	14:52:28	05.05.17	2	1.7
049	14:52:30	05.05.17	2	4.3
052	14:52:31	05.05.17	2	4.4
054	14:52:52	05.05.17	2	3.7
030	14:52:57	05.05.17	2	15.8
031	14:52:59	05.05.17	2	12.3
059	14:53:04	05.05.17	2	6.0
051	14:53:07	05.05.17	2	3.5
050	14:53:10	05.05.17	2	7.7
054	14:53:14	05.05.17	2	2.4
050	14:53:15	05.05.17	2	5.5
050	14:53:16	05.05.17	2	4.7
046	14:53:19	05.05.17	2	5.3
048	14:53:19	05.05.17	2	2.0
050	14:53:24	05.05.17	2	3.2
054	14:53:24	05.05.17	2	2.6
050	14:53:29	05.05.17	2	25.5
051	14:53:30	05.05.17	2	13.3
053	14:53:30	05.05.17	2	1.7
047	14:53:44	05.05.17	2	3.9
051	14:53:45	05.05.17	2	5.7
053	14:53:45	05.05.17	2	2.3
051	14:53:52	05.05.17	2	8.1
055	14:53:56	05.05.17	2	4.3
058	14:53:56	05.05.17	2	3.8
048	14:54:03	05.05.17	2	5.6
051	14:54:05	05.05.17	2	9.1
056	14:54:08	05.05.17	2	4.3
059	14:54:08	05.05.17	2	1.8
054	14:54:18	05.05.17	2	4.9
054	14:54:25	05.05.17	2	4.2
050	14:54:35	05.05.17	2	8.2
061	14:54:38	05.05.17	2	8.3
063	14:54:38	05.05.17	2	1.9
044	14:54:48	05.05.17	2	3.3
046	14:54:52	05.05.17	2	8.6
047	14:54:54	05.05.17	2	5.6
049	14:54:55	05.05.17	2	2.1
042	14:55:00	05.05.17	2	2.1
045	14:55:00	05.05.17	2	2.2
046	14:55:00	05.05.17	2	1.9
041	14:55:04	05.05.17	2	4.0
041	14:55:06	05.05.17	2	6.5
046	14:55:08	05.05.17	2	3.8
037	14:55:20	05.05.17	2	20.1
038	14:55:23	05.05.17	2	25.5
007	14:55:36	05.05.17	2	1.7
050	14:55:37	05.05.17	2	2.3
056	14:55:37	05.05.17	2	3.3
053	14:55:47	05.05.17	2	2.6
051	14:55:50	05.05.17	2	3.9
054	14:55:50	05.05.17	2	4.7
058	14:55:50	05.05.17	2	3.9
055	14:55:55	05.05.17	2	6.9
053	14:56:13	05.05.17	2	14.2
049	14:56:24	05.05.17	2	3.5
058	14:56:37	05.05.17	2	3.4
