

Standort: 1-Wittlingerstra

[km/h]				 [m]
Dateformat: dd.mm.yy
015	10:21:38	15.01.16	2	1.0
011	10:24:40	15.01.16	2	4.4
009	10:26:58	15.01.16	2	3.7
027	10:27:35	15.01.16	2	5.1
024	10:27:38	15.01.16	2	4.6
018	10:27:52	15.01.16	2	2.9
023	10:33:55	15.01.16	2	4.7
031	10:38:43	15.01.16	2	5.5
011	10:39:11	15.01.16	2	6.4
025	10:40:53	15.01.16	2	4.5
026	10:41:01	15.01.16	2	4.5
024	10:44:15	15.01.16	2	4.8
032	10:44:24	15.01.16	2	4.4
021	10:47:36	15.01.16	2	4.5
022	10:50:45	15.01.16	2	4.8
021	10:54:34	15.01.16	2	2.1
013	10:56:51	15.01.16	2	10.3
020	10:57:41	15.01.16	2	4.4
022	11:00:47	15.01.16	2	3.7
021	11:03:11	15.01.16	2	6.7
017	11:03:32	15.01.16	2	3.7
026	11:06:42	15.01.16	2	5.1
024	11:12:21	15.01.16	2	4.6
021	11:19:12	15.01.16	2	3.8
029	11:29:31	15.01.16	2	4.5
025	11:36:12	15.01.16	2	2.3
025	11:38:43	15.01.16	2	4.9
017	11:44:03	15.01.16	2	3.8
028	11:45:15	15.01.16	2	5.0
026	11:49:22	15.01.16	2	5.4
020	11:50:19	15.01.16	2	4.6
016	11:53:55	15.01.16	2	4.4
014	11:57:00	15.01.16	2	9.3
019	11:58:53	15.01.16	2	6.3
022	12:00:13	15.01.16	2	4.5
030	12:00:32	15.01.16	2	4.2
022	12:01:06	15.01.16	2	1.7
019	12:01:26	15.01.16	2	6.1
018	12:03:25	15.01.16	2	4.3
024	12:06:19	15.01.16	2	4.3
018	12:08:43	15.01.16	2	3.8
012	12:13:44	15.01.16	2	5.0
013	12:13:52	15.01.16	2	3.8
022	12:17:32	15.01.16	2	7.8
027	12:20:38	15.01.16	2	4.7
022	12:25:21	15.01.16	2	4.9
019	12:25:36	15.01.16	2	4.7
018	12:26:37	15.01.16	2	4.9
023	12:26:56	15.01.16	2	5.7
016	12:27:48	15.01.16	2	3.9
021	12:28:33	15.01.16	2	2.4
021	12:31:53	15.01.16	2	3.9
019	12:36:03	15.01.16	2	3.9
021	12:36:37	15.01.16	2	1.4
013	12:38:26	15.01.16	2	3.3
026	12:45:50	15.01.16	2	4.0
026	12:50:31	15.01.16	2	5.0
012	12:51:25	15.01.16	2	9.0
021	12:51:29	15.01.16	2	3.9
011	12:52:19	15.01.16	2	3.8
018	12:53:03	15.01.16	2	1.6
020	12:53:42	15.01.16	2	2.0
024	12:55:04	15.01.16	2	5.0
019	12:58:12	15.01.16	2	2.2
022	12:59:30	15.01.16	2	5.0
018	12:59:46	15.01.16	2	1.9
025	12:59:53	15.01.16	2	4.5
020	13:11:14	15.01.16	2	5.3
023	13:12:35	15.01.16	2	4.9
008	13:13:15	15.01.16	2	3.9
018	13:13:23	15.01.16	2	4.0
018	13:14:24	15.01.16	2	4.8
010	13:18:05	15.01.16	2	4.0
018	13:18:06	15.01.16	2	4.0
017	13:18:58	15.01.16	2	4.0
021	13:19:24	15.01.16	2	4.0
026	13:21:43	15.01.16	2	5.1
029	13:26:31	15.01.16	2	4.5
021	13:32:18	15.01.16	2	3.7
025	13:34:07	15.01.16	2	4.5
021	13:38:42	15.01.16	2	3.6
017	13:39:18	15.01.16	2	2.1
019	13:42:44	15.01.16	2	6.0
027	13:43:19	15.01.16	2	2.3
020	13:44:02	15.01.16	2	2.5
019	13:44:07	15.01.16	2	4.7
024	13:45:32	15.01.16	2	4.7
020	13:46:32	15.01.16	2	5.0
018	13:46:47	15.01.16	2	4.1
021	13:46:59	15.01.16	2	5.6
022	13:48:39	15.01.16	2	4.6
013	13:49:45	15.01.16	2	4.1
027	13:49:46	15.01.16	2	4.1
018	14:02:08	15.01.16	2	4.5
023	14:03:06	15.01.16	2	1.9
023	14:04:43	15.01.16	2	2.5
010	14:05:12	15.01.16	2	4.1
023	14:05:14	15.01.16	2	4.1
028	14:06:28	15.01.16	2	5.7
030	14:09:38	15.01.16	2	5.1
021	14:15:45	15.01.16	2	4.5
019	14:16:12	15.01.16	2	4.6
011	14:16:25	15.01.16	2	4.1
027	14:24:13	15.01.16	2	4.8
024	14:26:42	15.01.16	2	5.3
030	14:27:01	15.01.16	2	5.0
009	14:27:33	15.01.16	2	4.1
013	14:27:34	15.01.16	2	4.1
032	14:40:00	15.01.16	2	4.8
033	14:40:02	15.01.16	2	4.1
014	14:41:15	15.01.16	2	4.2
022	14:49:51	15.01.16	2	4.5
028	14:55:25	15.01.16	2	4.6
024	14:55:55	15.01.16	2	4.3
031	14:56:29	15.01.16	2	5.0
028	14:59:06	15.01.16	2	4.2
020	15:00:28	15.01.16	2	1.7
016	15:04:01	15.01.16	2	10.7
025	15:07:49	15.01.16	2	4.5
019	15:08:38	15.01.16	2	10.9
029	15:09:15	15.01.16	2	4.9
022	15:09:21	15.01.16	2	4.2
020	15:09:41	15.01.16	2	4.2
020	15:09:56	15.01.16	2	4.2
024	15:10:55	15.01.16	2	3.9
016	15:16:21	15.01.16	2	4.8
016	15:21:31	15.01.16	2	4.2
023	15:23:44	15.01.16	2	4.2
