

Standort: 1Grenzacherwe

[km/h]				 [m]
Dateformat: dd.mm.yy
029	14:29:17	11.12.14	1	5.1
015	14:29:30	11.12.14	1	3.5
030	14:34:45	11.12.14	1	4.6
032	14:36:48	11.12.14	1	4.4
035	14:39:48	11.12.14	1	4.0
027	14:41:26	11.12.14	1	4.9
018	14:46:36	11.12.14	1	1.5
017	14:48:38	11.12.14	1	3.5
029	14:48:56	11.12.14	1	2.9
019	14:49:12	11.12.14	1	3.9
044	14:49:18	11.12.14	1	5.1
032	14:50:23	11.12.14	1	5.0
011	14:51:47	11.12.14	1	3.8
010	14:52:11	11.12.14	1	2.2
016	14:53:25	11.12.14	1	4.6
029	14:55:16	11.12.14	1	4.1
007	14:55:33	11.12.14	1	1.0
015	14:56:11	11.12.14	1	3.9
015	14:56:15	11.12.14	1	3.6
017	14:56:24	11.12.14	1	1.0
020	14:58:34	11.12.14	1	3.6
040	14:58:59	11.12.14	1	4.4
006	15:00:28	11.12.14	1	3.7
036	15:03:20	11.12.14	1	5.1
026	15:06:05	11.12.14	1	4.2
030	15:08:38	11.12.14	1	3.8
019	15:09:19	11.12.14	1	4.9
015	15:12:45	11.12.14	1	0.8
026	15:13:13	11.12.14	1	3.8
011	15:13:40	11.12.14	1	1.3
007	15:19:24	11.12.14	1	1.1
023	15:24:07	11.12.14	1	3.7
041	15:27:11	11.12.14	1	4.6
030	15:29:59	11.12.14	1	3.7
028	15:30:10	11.12.14	1	4.4
025	15:30:13	11.12.14	1	2.1
022	15:31:19	11.12.14	1	4.5
032	15:33:22	11.12.14	1	4.1
028	15:35:54	11.12.14	1	3.7
028	15:42:56	11.12.14	1	5.1
034	15:49:18	11.12.14	1	4.6
015	15:49:22	11.12.14	1	1.6
043	15:51:52	11.12.14	1	4.6
030	15:52:53	11.12.14	1	4.2
038	15:52:58	11.12.14	1	4.5
039	15:53:06	11.12.14	1	4.4
018	15:54:43	11.12.14	1	3.7
034	15:57:54	11.12.14	1	3.6
021	15:59:46	11.12.14	1	4.5
023	15:59:48	11.12.14	1	4.6
019	16:03:00	11.12.14	1	1.7
027	16:03:10	11.12.14	1	3.9
013	16:03:24	11.12.14	1	0.7
027	16:04:37	11.12.14	1	4.0
020	16:05:07	11.12.14	1	3.8
040	16:05:29	11.12.14	1	4.6
039	16:07:47	11.12.14	1	5.1
041	16:07:53	11.12.14	1	2.0
036	16:10:06	11.12.14	1	4.3
027	16:11:22	11.12.14	1	5.1
027	16:12:34	11.12.14	1	4.6
036	16:13:35	11.12.14	1	4.1
024	16:21:16	11.12.14	1	3.8
029	16:23:10	11.12.14	1	4.9
033	16:23:24	11.12.14	1	3.8
013	16:24:46	11.12.14	1	0.7
026	16:25:58	11.12.14	1	3.8
027	16:26:06	11.12.14	1	3.9
020	16:27:01	11.12.14	1	4.1
016	16:27:04	11.12.14	1	3.8
016	16:27:55	11.12.14	1	4.8
027	16:28:13	11.12.14	1	1.5
020	16:28:42	11.12.14	1	3.8
025	16:29:55	11.12.14	1	3.9
023	16:31:44	11.12.14	1	4.7
013	16:32:03	11.12.14	1	1.1
022	16:32:37	11.12.14	1	4.4
033	16:32:44	11.12.14	1	4.2
029	16:33:28	11.12.14	1	3.8
024	16:35:41	11.12.14	1	4.5
016	16:36:07	11.12.14	1	1.3
030	16:38:27	11.12.14	1	7.5
029	16:38:38	11.12.14	1	4.6
014	16:40:23	11.12.14	1	1.2
042	16:41:47	11.12.14	1	3.9
037	16:43:04	11.12.14	1	4.2
033	16:44:59	11.12.14	1	4.6
033	16:45:11	11.12.14	1	4.7
024	16:47:04	11.12.14	1	3.9
044	16:47:26	11.12.14	1	4.1
018	16:50:02	11.12.14	1	3.7
043	16:50:18	11.12.14	1	5.0
026	16:50:53	11.12.14	1	5.0
031	16:50:56	11.12.14	1	4.5
029	16:51:16	11.12.14	1	4.3
021	16:51:37	11.12.14	1	5.4
033	16:51:46	11.12.14	1	4.5
038	16:52:28	11.12.14	1	4.8
026	16:53:09	11.12.14	1	4.9
026	16:55:32	11.12.14	1	4.3
034	16:55:42	11.12.14	1	3.8
015	16:56:05	11.12.14	1	1.3
038	16:58:24	11.12.14	1	3.9
040	16:59:48	11.12.14	1	4.1
012	17:02:44	11.12.14	1	0.9
021	17:04:21	11.12.14	1	3.8
015	17:04:48	11.12.14	1	3.9
031	17:05:42	11.12.14	1	5.4
032	17:06:46	11.12.14	1	4.2
040	17:08:00	11.12.14	1	5.1
033	17:08:23	11.12.14	1	4.0
035	17:12:49	11.12.14	1	4.1
018	17:12:54	11.12.14	1	1.0
027	17:14:14	11.12.14	1	4.3
019	17:16:06	11.12.14	1	4.0
018	17:16:33	11.12.14	1	1.1
019	17:16:47	11.12.14	1	4.0
038	17:18:58	11.12.14	1	1.8
039	17:26:13	11.12.14	1	4.4
036	17:28:04	11.12.14	1	5.0
032	17:28:11	11.12.14	1	5.3
033	17:28:47	11.12.14	1	5.2
018	17:29:27	11.12.14	1	4.0
023	17:29:36	11.12.14	1	5.0
030	17:29:57	11.12.14	1	4.1
026	17:30:00	11.12.14	1	4.4
033	17:31:34	11.12.14	1	4.9
011	17:31:55	11.12.14	1	3.6
021	17:32:01	11.12.14	1	4.9
015	17:32:59	11.12.14	1	1.1
029	17:33:34	11.12.14	1	4.1
040	17:37:36	11.12.14	1	4.6
031	17:38:24	11.12.14	1	3.6
029	17:40:50	11.12.14	1	4.9
024	17:41:13	11.12.14	1	4.0
030	17:42:50	11.12.14	1	4.3
030	17:44:23	11.12.14	1	4.3
044	17:45:37	11.12.14	1	5.2
034	17:46:06	11.12.14	1	4.1
014	17:50:40	11.12.14	1	4.1
032	17:53:51	11.12.14	1	3.3
016	17:53:53	11.12.14	1	4.1
036	17:54:06	11.12.14	1	4.6
036	17:55:36	11.12.14	1	5.6
035	17:56:04	11.12.14	1	5.1
028	17:57:04	11.12.14	1	4.1
031	17:57:15	11.12.14	1	5.0
036	17:59:33	11.12.14	1	3.9
036	17:59:51	11.12.14	1	6.9
036	18:01:37	11.12.14	1	4.5
011	18:05:22	11.12.14	1	1.2
025	18:08:49	11.12.14	1	5.1
035	18:10:22	11.12.14	1	6.0
035	18:11:03	11.12.14	1	4.4
020	18:11:49	11.12.14	1	3.3
017	18:12:26	11.12.14	1	2.0
032	18:16:52	11.12.14	1	5.1
030	18:17:49	11.12.14	1	4.7
028	18:18:32	11.12.14	1	4.4
034	18:18:37	11.12.14	1	4.7
020	18:19:00	11.12.14	1	3.6
017	18:21:31	11.12.14	1	1.3
027	18:24:00	11.12.14	1	4.3
030	18:27:32	11.12.14	1	4.8
038	18:28:15	11.12.14	1	5.3
032	18:33:26	11.12.14	1	4.5
031	18:33:36	11.12.14	1	4.2
035	18:35:47	11.12.14	1	5.0
029	18:35:52	11.12.14	1	5.1
033	18:40:55	11.12.14	1	5.2
023	18:41:50	11.12.14	1	4.7
019	18:43:09	11.12.14	1	1.8
037	18:49:06	11.12.14	1	5.5
035	18:53:17	11.12.14	1	5.5
034	18:53:57	11.12.14	1	3.9
038	18:54:37	11.12.14	1	3.3
041	18:55:39	11.12.14	1	5.6
035	18:59:42	11.12.14	1	5.3
013	19:06:01	11.12.14	1	1.4
037	19:06:12	11.12.14	1	4.2
034	19:12:23	11.12.14	1	4.2
030	19:12:26	11.12.14	1	4.0
041	19:13:32	11.12.14	1	5.0
033	19:16:47	11.12.14	1	5.8
019	19:18:28	11.12.14	1	1.3
032	19:22:40	11.12.14	1	4.6
026	19:30:32	11.12.14	1	4.2
040	19:31:24	11.12.14	1	5.5
032	19:33:17	11.12.14	1	4.0
042	19:42:45	11.12.14	1	5.3
035	19:43:40	11.12.14	1	3.9
019	19:48:02	11.12.14	1	4.2
027	19:49:48	11.12.14	1	4.5
028	19:54:48	11.12.14	1	6.2
032	19:57:33	11.12.14	1	3.9
025	19:58:08	11.12.14	1	4.3
026	19:59:14	11.12.14	1	3.6
033	20:15:16	11.12.14	1	4.4
035	20:15:25	11.12.14	1	4.6
040	20:17:07	11.12.14	1	3.9
038	20:19:16	11.12.14	1	3.7
039	20:19:44	11.12.14	1	4.6
027	20:23:25	11.12.14	1	1.6
045	20:24:45	11.12.14	1	5.1
018	20:26:23	11.12.14	1	4.2
033	20:31:39	11.12.14	1	3.8
033	20:32:26	11.12.14	1	4.3
027	20:32:47	11.12.14	1	5.4
030	20:35:34	11.12.14	1	4.3
032	20:36:48	11.12.14	1	4.8
033	20:47:10	11.12.14	1	4.5
038	20:57:24	11.12.14	1	4.2
034	20:58:34	11.12.14	1	5.6
017	21:07:39	11.12.14	1	1.1
041	21:15:21	11.12.14	1	4.3
012	21:17:56	11.12.14	1	4.2
031	21:23:58	11.12.14	1	4.9
032	21:28:14	11.12.14	1	4.0
009	21:47:19	11.12.14	1	3.6
034	21:50:30	11.12.14	1	4.7
033	21:57:17	11.12.14	1	4.2
029	22:07:02	11.12.14	1	5.8
033	22:08:50	11.12.14	1	4.6
027	22:14:44	11.12.14	1	4.5
037	22:26:56	11.12.14	1	4.5
025	22:27:23	11.12.14	1	3.9
032	22:36:30	11.12.14	1	4.5
018	22:38:42	11.12.14	1	4.3
027	22:42:01	11.12.14	1	4.7
031	22:51:26	11.12.14	1	4.6
021	22:52:06	11.12.14	1	4.2
036	22:57:47	11.12.14	1	4.9
015	23:03:58	11.12.14	1	3.8
033	23:10:46	11.12.14	1	4.7
041	23:14:19	11.12.14	1	4.1
027	23:22:03	11.12.14	1	4.0
037	23:23:24	11.12.14	1	5.0
026	23:32:35	11.12.14	1	4.3
022	23:40:05	11.12.14	1	4.4
034	23:41:22	11.12.14	1	4.1
034	00:24:59	12.12.14	1	3.9
