

Standort: 1Hackbergstrasse

[km/h]				 [m]
Dateformat: dd.mm.yy
026	14:02:05	29.11.13	1	17.4
017	14:03:07	29.11.13	1	4.1
020	14:03:38	29.11.13	1	6.3
033	14:12:55	29.11.13	1	5.0
044	14:13:25	29.11.13	1	4.2
038	14:15:37	29.11.13	1	4.6
036	14:16:16	29.11.13	1	4.2
032	14:36:30	29.11.13	1	7.2
038	14:43:08	29.11.13	1	4.5
037	14:44:12	29.11.13	1	4.5
031	14:48:13	29.11.13	1	5.4
029	15:04:54	29.11.13	1	4.9
037	15:06:01	29.11.13	1	4.5
042	15:16:51	29.11.13	1	5.3
037	15:30:05	29.11.13	1	3.9
037	15:30:06	29.11.13	1	4.4
039	15:33:22	29.11.13	1	4.5
037	15:40:05	29.11.13	1	4.1
045	15:50:43	29.11.13	1	4.0
031	15:51:59	29.11.13	1	4.3
034	15:55:09	29.11.13	1	4.6
015	15:59:45	29.11.13	1	1.1
031	16:00:33	29.11.13	1	4.1
033	16:04:25	29.11.13	1	4.0
011	16:04:55	29.11.13	1	2.8
043	16:15:58	29.11.13	1	4.5
031	16:21:47	29.11.13	1	4.9
030	16:22:24	29.11.13	1	4.8
031	16:22:37	29.11.13	1	4.1
034	16:37:04	29.11.13	1	5.6
035	16:39:04	29.11.13	1	3.6
038	16:41:09	29.11.13	1	3.8
016	16:57:47	29.11.13	1	0.8
039	17:06:56	29.11.13	1	5.4
032	17:10:37	29.11.13	1	5.2
043	17:10:42	29.11.13	1	4.2
017	17:15:38	29.11.13	1	3.7
041	17:19:39	29.11.13	1	4.1
048	17:26:29	29.11.13	1	4.6
033	17:27:13	29.11.13	1	5.7
040	17:28:40	29.11.13	1	4.2
037	17:30:08	29.11.13	1	4.6
009	17:34:40	29.11.13	1	1.3
040	17:38:36	29.11.13	1	4.8
037	17:49:01	29.11.13	1	4.4
038	17:50:22	29.11.13	1	6.1
051	17:55:18	29.11.13	1	4.6
033	18:05:40	29.11.13	1	4.9
035	18:10:19	29.11.13	1	4.4
037	18:13:20	29.11.13	1	5.2
043	18:15:59	29.11.13	1	3.4
039	18:24:56	29.11.13	1	4.9
038	18:30:00	29.11.13	1	4.3
029	18:36:15	29.11.13	1	4.3
030	18:36:19	29.11.13	1	4.6
039	18:45:04	29.11.13	1	3.7
048	18:47:34	29.11.13	1	4.0
033	19:22:27	29.11.13	1	4.9
028	19:23:29	29.11.13	1	5.4
025	19:34:56	29.11.13	1	5.7
031	19:37:04	29.11.13	1	3.7
038	20:00:07	29.11.13	1	4.5
040	20:03:25	29.11.13	1	5.7
043	20:13:34	29.11.13	1	5.0
032	20:58:40	29.11.13	1	3.8
034	21:10:16	29.11.13	1	5.7
050	21:12:00	29.11.13	1	1.2
036	21:24:31	29.11.13	1	4.6
032	21:24:49	29.11.13	1	4.7
036	21:25:30	29.11.13	1	4.9
010	22:48:06	29.11.13	1	1.8
043	22:53:55	29.11.13	1	1.0
029	23:02:29	29.11.13	1	4.0
042	23:07:48	29.11.13	1	3.7
025	00:20:51	30.11.13	1	5.6
071	00:38:14	30.11.13	1	3.9
041	00:41:18	30.11.13	1	3.8
044	01:30:34	30.11.13	1	3.9
020	01:35:23	30.11.13	1	3.7
039	01:43:37	30.11.13	1	3.9
034	01:54:39	30.11.13	1	4.0
037	02:51:50	30.11.13	1	3.7
044	06:16:20	30.11.13	1	3.1
039	07:15:53	30.11.13	1	3.7
036	07:48:18	30.11.13	1	4.1
035	08:04:49	30.11.13	1	3.8
040	08:08:36	30.11.13	1	1.7
038	08:46:53	30.11.13	1	4.3
037	08:57:27	30.11.13	1	4.4
045	09:31:39	30.11.13	1	5.1
039	09:35:10	30.11.13	1	4.1
050	09:46:35	30.11.13	1	4.9
044	09:50:43	30.11.13	1	4.0
038	09:58:26	30.11.13	1	4.0
047	10:02:20	30.11.13	1	4.3
034	10:03:18	30.11.13	1	3.2
038	10:18:35	30.11.13	1	3.7
039	10:18:37	30.11.13	1	4.5
040	10:27:10	30.11.13	1	5.0
014	10:28:05	30.11.13	1	0.9
020	10:30:28	30.11.13	1	4.1
023	10:30:32	30.11.13	1	5.2
026	10:32:38	30.11.13	1	4.8
031	10:35:16	30.11.13	1	3.8
039	10:40:31	30.11.13	1	4.0
043	10:47:27	30.11.13	1	4.6
009	10:57:34	30.11.13	1	4.1
038	11:04:50	30.11.13	1	3.6
033	11:27:30	30.11.13	1	4.1
029	11:52:54	30.11.13	1	4.4
029	11:57:57	30.11.13	1	4.4
038	11:58:31	30.11.13	1	4.8
040	12:01:00	30.11.13	1	3.7
048	12:11:31	30.11.13	1	5.4
033	12:18:33	30.11.13	1	4.3
055	12:25:00	30.11.13	1	4.1
041	12:37:30	30.11.13	1	4.1
026	12:44:23	30.11.13	1	3.6
032	13:00:52	30.11.13	1	4.3
045	13:06:14	30.11.13	1	5.1
037	13:07:52	30.11.13	1	5.5
041	13:22:14	30.11.13	1	4.9
038	13:27:43	30.11.13	1	4.5
033	13:30:27	30.11.13	1	4.9
028	13:33:10	30.11.13	1	3.8
039	13:33:27	30.11.13	1	4.4
029	13:44:20	30.11.13	1	5.5
033	13:45:46	30.11.13	1	4.6
032	13:50:10	30.11.13	1	3.6
032	14:08:57	30.11.13	1	3.9
043	14:13:51	30.11.13	1	4.3
033	14:21:30	30.11.13	1	4.4
039	14:26:01	30.11.13	1	5.2
033	14:32:37	30.11.13	1	5.4
040	14:39:49	30.11.13	1	4.0
039	14:39:53	30.11.13	1	4.1
