

Standort: 1Niederholzstras

[km/h]				 [m]
Dateformat: dd.mm.yy
053	09:52:55	22.11.13	2	4.3
048	09:53:05	22.11.13	2	5.3
040	09:53:08	22.11.13	2	18.6
037	09:53:09	22.11.13	2	4.3
005	10:20:28	22.11.13	2	3.5
005	10:20:30	22.11.13	2	4.1
020	10:21:50	22.11.13	2	3.3
007	10:26:42	22.11.13	2	1.6
007	10:33:23	22.11.13	2	3.6
020	10:33:49	22.11.13	2	3.6
019	10:41:34	22.11.13	2	3.7
007	10:43:27	22.11.13	2	2.2
005	10:43:59	22.11.13	2	3.7
024	10:48:04	22.11.13	2	3.7
006	10:52:33	22.11.13	2	1.7
006	10:52:34	22.11.13	2	3.8
018	10:55:55	22.11.13	2	3.7
005	10:59:42	22.11.13	2	3.8
019	11:01:07	22.11.13	2	3.3
035	11:06:53	22.11.13	2	4.2
021	11:11:37	22.11.13	2	5.1
007	11:26:41	22.11.13	2	3.9
007	11:33:30	22.11.13	2	3.9
022	11:36:33	22.11.13	2	3.7
009	11:36:42	22.11.13	2	4.0
008	11:43:53	22.11.13	2	4.0
021	11:44:26	22.11.13	2	4.0
023	11:44:45	22.11.13	2	4.6
014	11:47:10	22.11.13	2	4.0
019	11:48:14	22.11.13	2	3.4
006	11:49:59	22.11.13	2	4.0
005	11:50:50	22.11.13	2	4.1
018	11:51:40	22.11.13	2	3.7
016	11:53:10	22.11.13	2	4.1
046	11:54:21	22.11.13	2	3.9
008	11:57:23	22.11.13	2	4.1
005	12:01:28	22.11.13	2	4.1
012	12:04:12	22.11.13	2	4.1
019	12:04:19	22.11.13	2	3.4
011	12:07:59	22.11.13	2	3.5
015	12:09:31	22.11.13	2	4.2
017	12:09:32	22.11.13	2	4.2
016	12:09:52	22.11.13	2	4.2
017	12:10:51	22.11.13	2	3.2
007	12:16:47	22.11.13	2	4.2
006	12:17:09	22.11.13	2	4.2
008	12:17:47	22.11.13	2	4.2
008	12:18:51	22.11.13	2	4.3
027	12:20:22	22.11.13	2	3.6
020	12:21:34	22.11.13	2	3.6
032	12:26:51	22.11.13	2	3.1
020	12:32:04	22.11.13	2	3.7
024	12:32:38	22.11.13	2	4.3
022	12:33:37	22.11.13	2	3.4
024	12:37:49	22.11.13	2	3.5
025	12:37:57	22.11.13	2	3.3
014	12:38:57	22.11.13	2	3.5
007	12:40:03	22.11.13	2	1.7
013	12:50:52	22.11.13	2	2.1
011	12:50:54	22.11.13	2	4.3
017	12:52:47	22.11.13	2	4.3
023	12:54:52	22.11.13	2	3.7
007	12:56:27	22.11.13	2	4.4
010	13:10:09	22.11.13	2	4.4
006	13:22:06	22.11.13	2	4.4
006	13:26:39	22.11.13	2	4.4
023	13:26:57	22.11.13	2	3.6
006	13:34:15	22.11.13	2	4.5
024	13:35:37	22.11.13	2	3.7
017	13:35:55	22.11.13	2	3.1
020	13:37:32	22.11.13	2	4.5
018	13:40:38	22.11.13	2	4.1
