

Standort: 1Pilatusstrasse

[km/h]				 [m]
Dateformat: dd.mm.yy
051	11:41:07	21.11.14	1	3.6
049	11:41:08	21.11.14	1	6.4
022	12:26:10	21.11.14	1	4.4
022	12:26:20	21.11.14	1	3.4
023	12:26:30	21.11.14	1	1.1
029	12:27:56	21.11.14	1	3.9
009	12:28:04	21.11.14	1	3.8
010	12:29:13	21.11.14	1	1.9
006	12:30:39	21.11.14	1	3.8
026	12:31:49	21.11.14	1	4.4
038	12:32:56	21.11.14	1	6.0
034	12:33:52	21.11.14	1	3.9
028	12:35:37	21.11.14	1	3.9
020	12:37:00	21.11.14	1	0.7
020	12:39:22	21.11.14	1	3.9
026	12:46:10	21.11.14	1	3.6
040	12:47:27	21.11.14	1	5.1
032	12:55:33	21.11.14	1	4.1
021	12:57:08	21.11.14	1	4.7
033	12:58:49	21.11.14	1	3.8
040	13:05:41	21.11.14	1	5.0
031	13:06:03	21.11.14	1	3.7
018	13:06:49	21.11.14	1	5.0
021	13:07:10	21.11.14	1	4.0
021	13:08:15	21.11.14	1	4.8
024	13:08:59	21.11.14	1	1.3
037	13:11:57	21.11.14	1	4.2
024	13:12:30	21.11.14	1	0.8
038	13:13:07	21.11.14	1	4.6
045	13:13:13	21.11.14	1	3.7
035	13:13:46	21.11.14	1	5.0
019	13:17:42	21.11.14	1	4.1
031	13:24:03	21.11.14	1	4.1
030	13:24:56	21.11.14	1	4.1
029	13:27:17	21.11.14	1	5.2
028	13:33:34	21.11.14	1	4.2
036	13:38:00	21.11.14	1	4.3
033	13:38:06	21.11.14	1	4.3
031	13:38:08	21.11.14	1	4.2
018	13:40:21	21.11.14	1	1.3
024	13:42:22	21.11.14	1	4.7
028	13:44:04	21.11.14	1	4.2
021	13:44:33	21.11.14	1	0.5
037	13:47:42	21.11.14	1	4.7
017	13:51:40	21.11.14	1	4.6
030	13:53:42	21.11.14	1	4.1
031	13:56:22	21.11.14	1	4.0
025	13:57:12	21.11.14	1	3.0
033	13:57:44	21.11.14	1	6.1
034	14:06:25	21.11.14	1	4.2
030	14:06:40	21.11.14	1	3.6
034	14:07:46	21.11.14	1	4.1
024	14:21:42	21.11.14	1	5.2
027	14:28:46	21.11.14	1	4.2
022	14:30:11	21.11.14	1	3.8
020	14:32:16	21.11.14	1	1.4
036	14:38:23	21.11.14	1	4.2
027	14:39:10	21.11.14	1	3.8
008	14:41:15	21.11.14	1	1.9
021	14:41:22	21.11.14	1	4.2
020	14:49:47	21.11.14	1	4.2
033	14:52:08	21.11.14	1	4.2
