

Standort: 1Reservoirstrass

[km/h]				 [m]
Dateformat: dd.mm.yy
038	14:10:16	09.01.15	1	4.5
037	14:12:33	09.01.15	1	4.1
034	14:13:40	09.01.15	1	3.6
037	14:14:17	09.01.15	1	1.4
047	14:21:31	09.01.15	1	4.2
052	14:22:08	09.01.15	1	4.2
032	14:22:57	09.01.15	1	3.9
040	14:23:48	09.01.15	1	4.9
042	14:36:08	09.01.15	1	5.1
030	14:38:37	09.01.15	1	4.9
044	14:39:18	09.01.15	1	4.1
045	14:42:27	09.01.15	1	3.7
041	14:43:55	09.01.15	1	4.4
041	14:46:52	09.01.15	1	3.8
041	14:47:15	09.01.15	1	7.9
033	14:49:21	09.01.15	1	7.2
051	14:50:20	09.01.15	1	4.1
038	14:50:34	09.01.15	1	4.1
025	14:52:01	09.01.15	1	4.3
043	14:53:32	09.01.15	1	4.8
044	14:54:15	09.01.15	1	5.5
040	14:54:47	09.01.15	1	3.9
043	14:55:04	09.01.15	1	3.7
044	14:57:23	09.01.15	1	3.6
046	14:59:50	09.01.15	1	3.6
037	15:00:56	09.01.15	1	4.9
035	15:03:44	09.01.15	1	4.7
031	15:10:03	09.01.15	1	6.2
043	15:10:12	09.01.15	1	4.4
044	15:13:40	09.01.15	1	3.8
042	15:13:42	09.01.15	1	7.1
052	15:16:45	09.01.15	1	4.9
042	15:17:09	09.01.15	1	3.6
044	15:17:18	09.01.15	1	5.3
033	15:17:52	09.01.15	1	5.0
033	15:28:15	09.01.15	1	4.1
039	15:33:44	09.01.15	1	3.6
035	15:37:56	09.01.15	1	5.2
037	15:38:33	09.01.15	1	4.4
036	15:38:36	09.01.15	1	6.9
034	15:39:59	09.01.15	1	4.7
051	15:42:04	09.01.15	1	4.0
044	15:42:22	09.01.15	1	4.0
035	15:44:59	09.01.15	1	3.7
043	15:45:58	09.01.15	1	4.4
051	15:52:52	09.01.15	1	4.9
046	15:54:35	09.01.15	1	3.9
041	15:57:58	09.01.15	1	4.2
054	15:58:32	09.01.15	1	4.2
048	16:00:25	09.01.15	1	3.7
039	16:00:53	09.01.15	1	4.2
054	16:04:06	09.01.15	1	4.4
044	16:04:44	09.01.15	1	4.9
039	16:08:33	09.01.15	1	4.5
034	16:09:05	09.01.15	1	3.5
046	16:09:22	09.01.15	1	4.0
035	16:11:54	09.01.15	1	4.5
041	16:20:29	09.01.15	1	5.4
050	16:23:53	09.01.15	1	4.8
051	16:30:29	09.01.15	1	3.9
052	16:34:15	09.01.15	1	3.1
052	16:35:38	09.01.15	1	4.3
044	16:39:14	09.01.15	1	3.6
047	16:41:10	09.01.15	1	5.3
030	16:41:57	09.01.15	1	3.6
041	16:46:35	09.01.15	1	4.1
045	16:46:57	09.01.15	1	4.8
050	16:47:07	09.01.15	1	4.3
012	16:48:29	09.01.15	1	5.1
042	16:51:01	09.01.15	1	6.5
042	16:51:54	09.01.15	1	4.1
044	16:54:24	09.01.15	1	4.3
033	16:55:25	09.01.15	1	3.9
035	16:55:27	09.01.15	1	4.3
042	16:56:33	09.01.15	1	4.2
051	16:57:06	09.01.15	1	4.1
051	16:58:51	09.01.15	1	4.3
040	16:59:25	09.01.15	1	4.3
047	16:59:53	09.01.15	1	4.1
044	17:00:23	09.01.15	1	4.1
040	17:00:40	09.01.15	1	0.6
042	17:01:06	09.01.15	1	3.2
046	17:03:48	09.01.15	1	3.8
042	17:04:00	09.01.15	1	3.7
048	17:05:19	09.01.15	1	4.2
049	17:12:46	09.01.15	1	3.8
040	17:15:02	09.01.15	1	3.8
046	17:15:46	09.01.15	1	5.1
021	17:18:08	09.01.15	1	1.1
045	17:21:06	09.01.15	1	5.0
028	17:23:56	09.01.15	1	5.3
036	17:24:23	09.01.15	1	5.1
039	17:25:10	09.01.15	1	3.7
040	17:26:54	09.01.15	1	4.5
038	17:27:20	09.01.15	1	5.0
053	17:27:34	09.01.15	1	3.9
039	17:30:25	09.01.15	1	4.4
055	17:33:10	09.01.15	1	4.4
047	17:33:26	09.01.15	1	3.6
041	17:38:44	09.01.15	1	5.2
036	17:39:33	09.01.15	1	4.1
050	17:43:13	09.01.15	1	4.2
045	17:43:22	09.01.15	1	4.8
043	17:44:18	09.01.15	1	4.4
028	17:45:05	09.01.15	1	4.3
050	17:46:38	09.01.15	1	4.5
044	17:48:07	09.01.15	1	3.8
036	17:51:08	09.01.15	1	4.1
043	17:53:34	09.01.15	1	4.8
013	17:54:58	09.01.15	1	5.2
043	17:58:09	09.01.15	1	4.1
041	18:03:23	09.01.15	1	4.2
037	18:04:01	09.01.15	1	4.0
041	18:04:05	09.01.15	1	4.4
045	18:05:48	09.01.15	1	4.9
043	18:09:11	09.01.15	1	4.4
037	18:10:04	09.01.15	1	4.1
046	18:11:17	09.01.15	1	4.8
017	18:17:06	09.01.15	1	5.2
039	18:17:26	09.01.15	1	5.0
054	18:19:20	09.01.15	1	3.9
049	18:20:17	09.01.15	1	3.7
043	18:22:25	09.01.15	1	4.2
051	18:22:33	09.01.15	1	4.8
041	18:24:17	09.01.15	1	5.1
038	18:24:39	09.01.15	1	3.6
063	18:25:29	09.01.15	1	5.2
036	18:29:10	09.01.15	1	4.5
031	18:29:47	09.01.15	1	4.3
037	18:32:42	09.01.15	1	3.9
036	18:36:44	09.01.15	1	4.0
035	18:41:02	09.01.15	1	4.2
054	18:43:29	09.01.15	1	4.4
035	18:53:40	09.01.15	1	3.5
053	18:56:16	09.01.15	1	4.1
047	19:02:31	09.01.15	1	4.5
042	19:02:34	09.01.15	1	3.5
043	19:04:30	09.01.15	1	3.8
042	19:08:19	09.01.15	1	4.2
052	19:11:26	09.01.15	1	5.2
045	19:11:46	09.01.15	1	3.6
057	19:15:21	09.01.15	1	5.0
043	19:16:01	09.01.15	1	4.7
042	19:17:58	09.01.15	1	3.8
043	19:21:40	09.01.15	1	4.3
044	19:22:49	09.01.15	1	4.2
046	19:23:27	09.01.15	1	4.9
028	19:27:25	09.01.15	1	4.2
045	19:28:02	09.01.15	1	4.5
040	19:32:23	09.01.15	1	4.5
053	19:41:35	09.01.15	1	3.8
041	19:49:40	09.01.15	1	5.2
035	19:51:17	09.01.15	1	3.7
049	20:01:20	09.01.15	1	3.1
039	20:04:57	09.01.15	1	5.2
045	20:07:16	09.01.15	1	4.2
045	20:20:27	09.01.15	1	3.9
047	20:24:51	09.01.15	1	5.3
050	20:32:59	09.01.15	1	4.4
030	20:34:04	09.01.15	1	5.2
043	20:36:54	09.01.15	1	3.7
046	20:40:04	09.01.15	1	4.2
046	20:47:02	09.01.15	1	3.9
033	20:49:30	09.01.15	1	4.3
061	21:00:31	09.01.15	1	5.0
037	21:02:16	09.01.15	1	4.6
069	21:03:21	09.01.15	1	3.8
101	21:07:30	09.01.15	1	3.5
013	21:36:36	09.01.15	1	0.6
060	21:41:52	09.01.15	1	5.1
051	21:49:37	09.01.15	1	4.2
041	21:51:43	09.01.15	1	3.6
055	21:57:23	09.01.15	1	3.9
041	22:03:22	09.01.15	1	3.4
055	22:24:47	09.01.15	1	3.6
013	22:37:51	09.01.15	1	2.2
051	22:52:00	09.01.15	1	4.4
062	22:56:39	09.01.15	1	4.3
056	23:02:33	09.01.15	1	5.2
033	23:22:34	09.01.15	1	3.3
044	23:24:22	09.01.15	1	4.4
044	23:41:14	09.01.15	1	5.2
057	23:58:39	09.01.15	1	3.7
040	00:25:59	10.01.15	1	4.4
049	01:12:28	10.01.15	1	5.3
055	01:15:43	10.01.15	1	4.0
012	03:03:36	10.01.15	1	1.1
046	03:39:26	10.01.15	1	3.3
040	04:25:44	10.01.15	1	3.7
049	04:37:39	10.01.15	1	4.5
041	05:03:04	10.01.15	1	4.8
045	05:48:36	10.01.15	1	4.9
039	06:08:15	10.01.15	1	4.4
034	06:50:51	10.01.15	1	5.3
038	07:26:28	10.01.15	1	6.6
018	08:06:48	10.01.15	1	1.2
037	08:13:16	10.01.15	1	4.7
037	08:14:46	10.01.15	1	3.9
053	08:27:28	10.01.15	1	6.7
025	08:28:08	10.01.15	1	4.1
038	08:31:04	10.01.15	1	4.9
039	08:34:04	10.01.15	1	5.4
063	08:34:11	10.01.15	1	4.1
