

Standort: 1Ruechliweg

[km/h]				 [m]
Dateformat: dd.mm.yy
016	09:41:26	08.11.13	2	3.5
023	09:41:39	08.11.13	2	3.9
020	09:41:44	08.11.13	2	3.7
015	09:50:07	08.11.13	2	3.6
023	09:50:18	08.11.13	2	3.6
025	09:50:37	08.11.13	2	4.2
032	09:52:39	08.11.13	2	4.5
021	09:53:53	08.11.13	2	4.0
022	09:54:45	08.11.13	2	3.8
039	10:03:11	08.11.13	2	3.7
032	10:03:35	08.11.13	2	5.7
038	10:05:28	08.11.13	2	4.5
034	10:08:23	08.11.13	2	4.1
029	10:13:00	08.11.13	2	3.7
026	10:16:52	08.11.13	2	7.1
027	10:20:16	08.11.13	2	3.6
033	10:21:18	08.11.13	2	3.9
030	10:22:43	08.11.13	2	4.9
033	10:24:16	08.11.13	2	4.3
026	10:24:43	08.11.13	2	4.5
028	10:30:27	08.11.13	2	5.0
030	10:33:55	08.11.13	2	3.3
031	10:42:44	08.11.13	2	8.7
032	10:43:22	08.11.13	2	5.1
031	10:49:31	08.11.13	2	3.5
034	10:50:59	08.11.13	2	3.7
025	10:57:24	08.11.13	2	4.1
026	11:02:39	08.11.13	2	4.9
025	11:07:09	08.11.13	2	5.5
028	11:12:40	08.11.13	2	0.8
035	11:13:57	08.11.13	2	3.8
034	11:14:10	08.11.13	2	4.4
025	11:14:42	08.11.13	2	3.9
019	11:16:13	08.11.13	2	3.6
029	11:19:28	08.11.13	2	4.0
033	11:20:03	08.11.13	2	4.2
034	11:24:00	08.11.13	2	3.8
023	11:25:20	08.11.13	2	3.7
028	11:27:38	08.11.13	2	3.6
025	11:29:05	08.11.13	2	7.9
033	11:32:52	08.11.13	2	4.7
038	11:33:00	08.11.13	2	3.9
030	11:33:19	08.11.13	2	4.0
032	11:34:32	08.11.13	2	3.5
033	11:38:24	08.11.13	2	3.9
024	11:38:49	08.11.13	2	0.7
027	11:47:13	08.11.13	2	3.1
026	11:50:45	08.11.13	2	3.6
034	11:54:31	08.11.13	2	4.2
024	11:56:05	08.11.13	2	3.6
024	11:57:09	08.11.13	2	4.5
027	11:57:46	08.11.13	2	4.7
029	11:58:47	08.11.13	2	4.9
031	12:03:06	08.11.13	2	4.1
032	12:03:08	08.11.13	2	4.6
033	12:06:52	08.11.13	2	5.7
021	12:09:26	08.11.13	2	4.4
031	12:13:10	08.11.13	2	0.5
028	12:13:26	08.11.13	2	7.2
030	12:14:02	08.11.13	2	3.6
032	12:14:28	08.11.13	2	3.8
025	12:14:56	08.11.13	2	4.3
018	12:20:53	08.11.13	2	1.8
032	12:21:10	08.11.13	2	5.1
033	12:22:36	08.11.13	2	4.0
025	12:23:37	08.11.13	2	3.7
034	12:26:42	08.11.13	2	4.2
036	12:29:01	08.11.13	2	4.4
033	12:34:29	08.11.13	2	3.7
044	12:35:16	08.11.13	2	4.7
036	12:38:48	08.11.13	2	4.5
031	12:43:40	08.11.13	2	4.2
035	12:47:12	08.11.13	2	5.7
033	12:51:56	08.11.13	2	4.1
