

Standort: 1Schäferstrasse

[km/h]				 [m]
Dateformat: dd.mm.yy
031	09:34:48	20.12.13	1	6.4
038	09:38:49	20.12.13	1	4.3
037	09:42:38	20.12.13	1	4.5
035	09:42:47	20.12.13	1	3.9
025	09:43:47	20.12.13	1	8.2
036	09:45:43	20.12.13	1	3.5
033	09:49:36	20.12.13	1	5.1
039	09:53:04	20.12.13	1	3.5
037	09:53:56	20.12.13	1	4.3
037	09:53:57	20.12.13	1	4.3
035	09:54:34	20.12.13	1	4.1
033	09:58:14	20.12.13	1	9.1
039	09:59:02	20.12.13	1	3.4
044	09:59:13	20.12.13	1	4.4
038	09:59:46	20.12.13	1	5.2
019	10:03:40	20.12.13	1	4.1
034	10:05:46	20.12.13	1	3.5
034	10:12:17	20.12.13	1	9.3
037	10:15:31	20.12.13	1	3.9
035	10:15:36	20.12.13	1	3.3
028	10:18:20	20.12.13	1	4.6
035	10:24:27	20.12.13	1	3.5
021	10:27:18	20.12.13	1	0.5
031	10:30:55	20.12.13	1	3.3
032	10:31:24	20.12.13	1	3.6
039	10:31:56	20.12.13	1	9.4
034	10:33:04	20.12.13	1	4.5
034	10:34:14	20.12.13	1	5.9
035	10:34:17	20.12.13	1	3.7
034	10:34:26	20.12.13	1	4.1
028	10:37:01	20.12.13	1	4.0
018	10:37:34	20.12.13	1	0.8
023	10:37:45	20.12.13	1	8.6
039	10:40:10	20.12.13	1	4.4
029	10:43:13	20.12.13	1	5.2
033	10:43:38	20.12.13	1	9.0
036	10:44:22	20.12.13	1	4.3
031	10:53:29	20.12.13	1	5.9
030	10:59:43	20.12.13	1	7.4
033	11:02:20	20.12.13	1	3.6
035	11:12:40	20.12.13	1	5.8
036	11:13:24	20.12.13	1	8.7
031	11:13:29	20.12.13	1	3.5
027	11:13:38	20.12.13	1	4.7
036	11:14:12	20.12.13	1	4.9
035	11:15:53	20.12.13	1	6.2
030	11:19:44	20.12.13	1	4.4
035	11:21:27	20.12.13	1	3.9
030	11:21:37	20.12.13	1	3.6
033	11:22:16	20.12.13	1	4.2
036	11:22:35	20.12.13	1	4.2
032	11:24:12	20.12.13	1	4.6
031	11:26:54	20.12.13	1	4.3
028	11:28:08	20.12.13	1	10.9
033	11:30:21	20.12.13	1	4.9
026	11:30:46	20.12.13	1	3.3
027	11:31:43	20.12.13	1	4.0
037	11:34:26	20.12.13	1	4.8
037	11:40:18	20.12.13	1	4.5
034	11:43:35	20.12.13	1	9.2
028	11:44:45	20.12.13	1	4.3
042	11:44:59	20.12.13	1	3.7
045	11:48:00	20.12.13	1	4.5
045	11:48:01	20.12.13	1	3.8
038	11:50:18	20.12.13	1	3.5
039	11:55:05	20.12.13	1	5.0
041	11:55:15	20.12.13	1	3.8
031	11:56:03	20.12.13	1	4.2
032	11:57:17	20.12.13	1	4.2
039	11:57:20	20.12.13	1	3.3
024	11:58:44	20.12.13	1	5.2
036	11:58:50	20.12.13	1	4.0
035	12:00:08	20.12.13	1	9.4
030	12:00:22	20.12.13	1	4.5
034	12:02:20	20.12.13	1	3.7
040	12:02:37	20.12.13	1	3.8
035	12:03:40	20.12.13	1	4.7
039	12:08:09	20.12.13	1	4.0
032	12:08:25	20.12.13	1	4.0
039	12:09:15	20.12.13	1	3.9
033	12:10:25	20.12.13	1	4.9
035	12:10:27	20.12.13	1	4.5
029	12:13:22	20.12.13	1	4.0
034	12:13:25	20.12.13	1	4.3
033	12:13:30	20.12.13	1	9.0
032	12:15:17	20.12.13	1	3.8
034	12:15:39	20.12.13	1	4.5
037	12:21:35	20.12.13	1	4.8
032	12:21:47	20.12.13	1	4.6
038	12:24:50	20.12.13	1	4.6
029	12:26:47	20.12.13	1	4.8
033	12:28:38	20.12.13	1	9.5
031	12:34:08	20.12.13	1	4.7
033	12:34:15	20.12.13	1	5.2
033	12:36:14	20.12.13	1	4.0
034	12:37:52	20.12.13	1	3.8
024	12:39:10	20.12.13	1	6.9
025	12:41:01	20.12.13	1	0.6
029	12:41:09	20.12.13	1	4.2
035	12:43:44	20.12.13	1	8.8
034	12:45:01	20.12.13	1	4.9
028	12:49:11	20.12.13	1	4.1
036	12:53:35	20.12.13	1	3.9
064	12:55:03	20.12.13	1	4.3
045	12:56:38	20.12.13	1	4.8
043	12:58:37	20.12.13	1	3.0
038	12:59:48	20.12.13	1	9.5
023	13:01:23	20.12.13	1	5.5
039	13:09:01	20.12.13	1	5.8
029	13:13:42	20.12.13	1	9.8
036	13:15:11	20.12.13	1	3.8
007	13:17:15	20.12.13	1	3.3
030	13:23:21	20.12.13	1	3.5
039	13:26:45	20.12.13	1	4.0
035	13:27:45	20.12.13	1	4.2
035	13:28:23	20.12.13	1	5.0
037	13:29:21	20.12.13	1	8.8
036	13:29:26	20.12.13	1	4.3
035	13:29:28	20.12.13	1	4.5
032	13:33:52	20.12.13	1	5.6
040	13:40:33	20.12.13	1	4.7
030	13:42:52	20.12.13	1	10.1
025	13:51:36	20.12.13	1	4.0
017	13:55:04	20.12.13	1	4.0
038	13:55:29	20.12.13	1	5.0
039	13:58:04	20.12.13	1	4.0
025	13:58:23	20.12.13	1	4.0
028	13:58:47	20.12.13	1	9.3
027	13:58:50	20.12.13	1	4.1
039	13:59:15	20.12.13	1	4.3
018	14:00:08	20.12.13	1	3.3
021	14:00:24	20.12.13	1	4.3
029	14:01:40	20.12.13	1	4.6
033	14:03:41	20.12.13	1	3.8
020	14:04:20	20.12.13	1	6.2
030	14:08:47	20.12.13	1	4.7
020	14:10:13	20.12.13	1	1.4
017	14:11:36	20.12.13	1	0.5
034	14:13:48	20.12.13	1	9.2
033	14:17:33	20.12.13	1	4.3
035	14:21:56	20.12.13	1	4.9
038	14:22:38	20.12.13	1	6.5
032	14:23:37	20.12.13	1	4.1
042	14:26:25	20.12.13	1	4.9
020	14:27:19	20.12.13	1	4.1
038	14:28:30	20.12.13	1	9.1
034	14:30:45	20.12.13	1	3.6
032	14:30:49	20.12.13	1	3.6
033	14:31:27	20.12.13	1	4.2
019	14:33:08	20.12.13	1	4.1
027	14:35:30	20.12.13	1	4.8
034	14:35:34	20.12.13	1	6.2
026	14:36:50	20.12.13	1	3.4
037	14:39:18	20.12.13	1	4.1
028	14:44:08	20.12.13	1	9.1
031	14:44:37	20.12.13	1	3.9
035	14:46:56	20.12.13	1	4.2
040	14:48:49	20.12.13	1	4.7
043	14:50:42	20.12.13	1	4.2
030	14:52:22	20.12.13	1	4.0
031	14:56:55	20.12.13	1	4.3
031	14:57:00	20.12.13	1	4.4
031	14:57:57	20.12.13	1	9.9
031	14:58:02	20.12.13	1	4.5
027	15:01:36	20.12.13	1	4.1
013	15:01:58	20.12.13	1	4.1
034	15:02:52	20.12.13	1	4.5
030	15:03:57	20.12.13	1	3.9
031	15:06:11	20.12.13	1	4.3
020	15:06:18	20.12.13	1	2.7
034	15:11:45	20.12.13	1	4.9
026	15:12:57	20.12.13	1	2.8
036	15:13:51	20.12.13	1	4.5
034	15:13:54	20.12.13	1	4.2
030	15:14:26	20.12.13	1	9.3
031	15:14:30	20.12.13	1	5.0
015	15:15:44	20.12.13	1	4.2
018	15:17:59	20.12.13	1	1.0
037	15:18:03	20.12.13	1	4.1
030	15:19:52	20.12.13	1	4.7
033	15:21:11	20.12.13	1	4.2
033	15:21:28	20.12.13	1	4.3
032	15:21:30	20.12.13	1	7.7
031	15:21:34	20.12.13	1	4.2
039	15:21:56	20.12.13	1	3.9
027	15:28:38	20.12.13	1	9.9
039	15:29:03	20.12.13	1	4.8
032	15:30:50	20.12.13	1	4.1
040	15:31:09	20.12.13	1	5.2
026	15:31:37	20.12.13	1	5.1
036	15:33:19	20.12.13	1	4.5
037	15:34:36	20.12.13	1	3.8
036	15:36:15	20.12.13	1	4.4
038	15:38:48	20.12.13	1	5.2
030	15:43:37	20.12.13	1	9.2
033	15:49:38	20.12.13	1	4.1
031	15:51:33	20.12.13	1	4.4
035	15:51:50	20.12.13	1	4.1
036	15:52:00	20.12.13	1	4.9
027	15:52:56	20.12.13	1	5.1
036	15:53:20	20.12.13	1	7.6
033	15:58:56	20.12.13	1	10.2
038	16:03:26	20.12.13	1	5.3
038	16:03:28	20.12.13	1	3.6
034	16:03:47	20.12.13	1	3.5
035	16:04:53	20.12.13	1	4.0
038	16:04:55	20.12.13	1	4.1
032	16:06:55	20.12.13	1	4.6
019	16:07:00	20.12.13	1	4.2
031	16:07:17	20.12.13	1	3.1
033	16:08:10	20.12.13	1	4.7
033	16:08:13	20.12.13	1	5.5
032	16:09:56	20.12.13	1	4.5
035	16:10:34	20.12.13	1	4.4
037	16:11:04	20.12.13	1	3.9
033	16:13:10	20.12.13	1	10.7
040	16:13:57	20.12.13	1	5.1
041	16:14:10	20.12.13	1	5.1
034	16:17:01	20.12.13	1	4.6
030	16:19:05	20.12.13	1	4.9
037	16:21:56	20.12.13	1	4.4
017	16:24:11	20.12.13	1	4.2
026	16:24:51	20.12.13	1	3.7
032	16:25:13	20.12.13	1	4.5
032	16:28:52	20.12.13	1	8.9
035	16:36:52	20.12.13	1	3.9
036	16:38:42	20.12.13	1	4.4
041	16:40:47	20.12.13	1	3.9
011	16:43:24	20.12.13	1	4.2
032	16:43:42	20.12.13	1	9.8
029	16:45:14	20.12.13	1	4.0
036	16:45:23	20.12.13	1	5.4
033	16:46:54	20.12.13	1	4.6
040	16:47:57	20.12.13	1	4.8
028	16:48:34	20.12.13	1	3.9
029	16:49:31	20.12.13	1	4.0
034	16:52:02	20.12.13	1	5.3
039	16:54:45	20.12.13	1	6.4
035	16:55:19	20.12.13	1	4.7
020	16:56:45	20.12.13	1	4.5
031	16:59:03	20.12.13	1	9.5
029	16:59:26	20.12.13	1	4.2
034	16:59:56	20.12.13	1	5.4
033	17:02:04	20.12.13	1	5.1
039	17:05:37	20.12.13	1	5.4
013	17:07:32	20.12.13	1	0.5
042	17:08:03	20.12.13	1	4.3
041	17:11:13	20.12.13	1	5.1
025	17:12:25	20.12.13	1	4.0
036	17:12:53	20.12.13	1	9.6
036	17:12:59	20.12.13	1	3.8
032	17:14:34	20.12.13	1	3.9
033	17:16:14	20.12.13	1	4.5
035	17:17:15	20.12.13	1	3.9
027	17:18:20	20.12.13	1	4.3
035	17:24:08	20.12.13	1	4.8
033	17:25:31	20.12.13	1	4.5
032	17:25:35	20.12.13	1	6.1
027	17:28:28	20.12.13	1	4.3
030	17:30:15	20.12.13	1	8.8
033	17:30:27	20.12.13	1	4.6
031	17:30:40	20.12.13	1	5.3
027	17:35:07	20.12.13	1	5.2
042	17:35:48	20.12.13	1	3.9
035	17:36:25	20.12.13	1	4.0
040	17:36:44	20.12.13	1	4.1
032	17:39:09	20.12.13	1	3.9
026	17:40:53	20.12.13	1	4.5
029	17:43:29	20.12.13	1	9.5
007	17:44:14	20.12.13	1	4.5
031	17:47:23	20.12.13	1	4.0
045	17:47:59	20.12.13	1	4.6
037	17:49:50	20.12.13	1	4.3
045	17:50:01	20.12.13	1	3.7
043	17:50:04	20.12.13	1	1.5
035	17:57:30	20.12.13	1	4.0
011	17:57:59	20.12.13	1	4.3
039	17:58:40	20.12.13	1	9.6
035	17:59:02	20.12.13	1	4.1
033	17:59:06	20.12.13	1	4.7
033	17:59:47	20.12.13	1	4.4
019	17:59:58	20.12.13	1	4.4
024	18:02:00	20.12.13	1	4.2
033	18:04:03	20.12.13	1	4.0
033	18:08:34	20.12.13	1	5.6
033	18:08:52	20.12.13	1	4.4
027	18:09:48	20.12.13	1	4.1
026	18:11:33	20.12.13	1	2.8
031	18:13:02	20.12.13	1	8.9
035	18:13:41	20.12.13	1	4.7
035	18:13:43	20.12.13	1	4.8
032	18:15:38	20.12.13	1	6.0
037	18:16:14	20.12.13	1	4.2
036	18:19:33	20.12.13	1	4.1
028	18:20:08	20.12.13	1	4.2
037	18:20:34	20.12.13	1	4.6
032	18:21:04	20.12.13	1	3.7
030	18:27:36	20.12.13	1	5.1
022	18:28:19	20.12.13	1	4.8
029	18:29:24	20.12.13	1	9.6
039	18:30:13	20.12.13	1	4.8
038	18:32:00	20.12.13	1	4.9
031	18:33:26	20.12.13	1	4.2
023	18:34:41	20.12.13	1	4.0
042	18:37:30	20.12.13	1	5.0
036	18:39:58	20.12.13	1	5.2
031	18:41:47	20.12.13	1	4.7
038	18:42:14	20.12.13	1	4.4
035	18:43:02	20.12.13	1	9.8
037	18:44:30	20.12.13	1	4.1
044	18:44:45	20.12.13	1	4.4
032	18:49:59	20.12.13	1	4.2
034	18:50:44	20.12.13	1	5.6
033	18:51:57	20.12.13	1	3.9
038	18:53:44	20.12.13	1	4.7
033	18:56:27	20.12.13	1	4.6
030	18:57:12	20.12.13	1	4.5
029	18:57:36	20.12.13	1	9.5
038	19:00:20	20.12.13	1	1.4
032	19:03:41	20.12.13	1	4.6
031	19:12:33	20.12.13	1	4.2
028	19:15:48	20.12.13	1	10.4
031	19:17:47	20.12.13	1	4.6
029	19:19:08	20.12.13	1	4.5
020	19:21:19	20.12.13	1	4.4
033	19:23:38	20.12.13	1	4.4
041	19:24:15	20.12.13	1	5.2
030	19:27:07	20.12.13	1	4.8
020	19:27:19	20.12.13	1	5.6
034	19:28:20	20.12.13	1	9.0
028	19:29:03	20.12.13	1	5.4
030	19:37:53	20.12.13	1	0.8
026	19:42:17	20.12.13	1	10.0
028	19:44:30	20.12.13	1	4.1
033	19:47:56	20.12.13	1	3.7
032	19:47:58	20.12.13	1	4.6
021	19:48:17	20.12.13	1	4.7
010	19:52:36	20.12.13	1	12.6
029	19:57:29	20.12.13	1	10.0
034	20:02:02	20.12.13	1	4.3
035	20:05:05	20.12.13	1	5.0
032	20:05:28	20.12.13	1	4.5
017	20:08:02	20.12.13	1	1.5
040	20:09:58	20.12.13	1	4.0
030	20:11:33	20.12.13	1	4.2
041	20:11:56	20.12.13	1	4.0
031	20:18:23	20.12.13	1	4.3
