

Standort: 1Wasserstelzenwe

[km/h]				 [m]
Dateformat: dd.mm.yy
032	13:59:54	06.12.13	2	4.3
028	14:01:23	06.12.13	2	5.1
022	14:04:54	06.12.13	2	6.2
024	14:05:12	06.12.13	2	5.6
023	14:09:46	06.12.13	2	4.5
050	14:12:06	06.12.13	2	5.3
025	14:12:49	06.12.13	2	8.6
021	14:13:20	06.12.13	2	10.9
031	14:15:40	06.12.13	2	5.4
026	14:16:19	06.12.13	2	4.6
028	14:19:17	06.12.13	2	3.6
014	14:19:32	06.12.13	2	3.6
042	14:22:57	06.12.13	2	8.2
019	14:23:21	06.12.13	2	3.6
036	14:26:05	06.12.13	2	5.5
028	14:26:49	06.12.13	2	5.4
022	14:28:36	06.12.13	2	8.7
021	14:30:40	06.12.13	2	5.7
030	14:32:11	06.12.13	2	3.7
030	14:32:51	06.12.13	2	5.3
020	14:39:13	06.12.13	2	3.7
020	14:39:33	06.12.13	2	5.0
020	14:40:50	06.12.13	2	8.3
019	14:41:44	06.12.13	2	3.7
018	14:45:45	06.12.13	2	4.2
027	14:47:23	06.12.13	2	3.9
028	14:55:05	06.12.13	2	4.2
025	14:55:10	06.12.13	2	4.9
027	14:55:13	06.12.13	2	4.9
027	14:55:56	06.12.13	2	5.8
023	14:56:34	06.12.13	2	8.4
028	14:58:01	06.12.13	2	6.1
031	15:01:02	06.12.13	2	3.7
023	15:03:02	06.12.13	2	3.8
032	15:08:55	06.12.13	2	4.6
020	15:09:53	06.12.13	2	9.2
035	15:12:16	06.12.13	2	7.1
026	15:15:36	06.12.13	2	4.9
028	15:23:05	06.12.13	2	1.7
034	15:23:17	06.12.13	2	4.4
018	15:25:11	06.12.13	2	3.7
030	15:26:09	06.12.13	2	4.8
031	15:27:10	06.12.13	2	5.3
022	15:28:42	06.12.13	2	3.9
016	15:35:36	06.12.13	2	3.9
041	15:36:13	06.12.13	2	4.0
015	15:36:25	06.12.13	2	4.0
018	15:36:38	06.12.13	2	4.0
017	15:38:08	06.12.13	2	5.0
016	15:38:20	06.12.13	2	4.0
025	15:38:30	06.12.13	2	4.0
019	15:39:02	06.12.13	2	1.8
025	15:41:07	06.12.13	2	9.2
028	15:41:17	06.12.13	2	4.5
029	15:42:25	06.12.13	2	4.4
027	15:42:39	06.12.13	2	4.5
030	15:43:11	06.12.13	2	4.8
014	15:43:30	06.12.13	2	1.2
014	15:44:40	06.12.13	2	4.0
029	15:45:54	06.12.13	2	4.2
021	15:46:49	06.12.13	2	2.7
035	15:47:32	06.12.13	2	3.8
026	15:48:09	06.12.13	2	6.3
024	15:48:43	06.12.13	2	4.1
024	15:50:50	06.12.13	2	4.6
028	15:53:01	06.12.13	2	3.0
035	15:53:51	06.12.13	2	5.2
018	15:54:44	06.12.13	2	1.2
029	15:55:19	06.12.13	2	6.2
030	15:56:01	06.12.13	2	9.0
021	15:56:13	06.12.13	2	4.7
025	15:56:22	06.12.13	2	4.2
031	15:56:33	06.12.13	2	4.8
022	15:56:47	06.12.13	2	0.7
027	15:57:53	06.12.13	2	4.0
018	15:58:19	06.12.13	2	4.1
016	15:59:15	06.12.13	2	5.8
038	16:01:12	06.12.13	2	5.3
035	16:01:54	06.12.13	2	5.0
023	16:02:37	06.12.13	2	4.1
022	16:02:38	06.12.13	2	6.1
025	16:03:10	06.12.13	2	4.4
027	16:05:32	06.12.13	2	5.7
021	16:11:09	06.12.13	2	8.6
019	16:11:20	06.12.13	2	1.1
028	16:12:48	06.12.13	2	6.4
033	16:14:13	06.12.13	2	5.6
027	16:15:34	06.12.13	2	4.6
024	16:22:16	06.12.13	2	0.7
015	16:23:03	06.12.13	2	4.1
016	16:23:12	06.12.13	2	0.5
026	16:25:21	06.12.13	2	4.4
036	16:26:23	06.12.13	2	5.4
022	16:26:50	06.12.13	2	7.9
026	16:30:05	06.12.13	2	5.6
028	16:31:21	06.12.13	2	1.4
034	16:33:04	06.12.13	2	3.7
022	16:33:37	06.12.13	2	4.1
028	16:36:55	06.12.13	2	4.5
024	16:37:31	06.12.13	2	3.9
029	16:37:40	06.12.13	2	3.8
025	16:38:02	06.12.13	2	2.7
024	16:38:27	06.12.13	2	3.8
022	16:39:19	06.12.13	2	3.3
029	16:39:51	06.12.13	2	4.1
026	16:39:56	06.12.13	2	3.9
029	16:40:23	06.12.13	2	4.2
025	16:40:59	06.12.13	2	8.9
013	16:41:52	06.12.13	2	4.1
039	16:44:00	06.12.13	2	4.1
037	16:44:32	06.12.13	2	3.6
027	16:45:00	06.12.13	2	2.8
023	16:47:09	06.12.13	2	4.2
031	16:47:17	06.12.13	2	4.2
023	16:50:13	06.12.13	2	4.2
025	16:50:18	06.12.13	2	4.2
029	16:52:32	06.12.13	2	4.2
020	16:53:28	06.12.13	2	4.2
