

Standort: 2- Inselstrasse

[km/h]				 [m]
Dateformat: dd.mm.yy
032	09:08:45	12.09.14	1	7.2
034	09:08:51	12.09.14	1	4.1
032	09:15:59	12.09.14	1	5.5
031	09:16:48	12.09.14	1	5.6
021	09:17:25	12.09.14	1	6.9
030	09:18:01	12.09.14	1	4.5
028	09:18:05	12.09.14	1	1.6
028	09:19:53	12.09.14	1	6.4
029	09:20:45	12.09.14	1	4.0
034	09:21:54	12.09.14	1	4.5
030	09:24:47	12.09.14	1	4.3
025	09:24:50	12.09.14	1	4.8
025	09:28:05	12.09.14	1	3.4
031	09:29:54	12.09.14	1	5.0
026	09:30:33	12.09.14	1	4.4
041	09:32:11	12.09.14	1	11.1
026	09:32:40	12.09.14	1	5.7
032	09:32:57	12.09.14	1	4.8
046	09:33:50	12.09.14	1	4.9
046	09:34:37	12.09.14	1	5.7
040	09:36:32	12.09.14	1	10.3
018	09:37:20	12.09.14	1	12.4
031	09:37:37	12.09.14	1	4.9
037	09:38:19	12.09.14	1	4.5
031	09:38:42	12.09.14	1	5.4
016	09:40:34	12.09.14	1	0.7
033	09:41:33	12.09.14	1	3.3
029	09:44:17	12.09.14	1	5.8
031	09:45:54	12.09.14	1	5.7
033	09:48:51	12.09.14	1	4.1
017	09:49:52	12.09.14	1	3.9
019	09:51:42	12.09.14	1	3.5
035	09:51:59	12.09.14	1	3.8
020	09:52:26	12.09.14	1	0.5
046	09:53:11	12.09.14	1	4.0
028	09:53:52	12.09.14	1	3.8
029	09:55:40	12.09.14	1	5.2
035	09:57:31	12.09.14	1	6.1
035	09:57:36	12.09.14	1	5.4
033	09:57:45	12.09.14	1	4.3
030	09:57:47	12.09.14	1	3.9
029	09:57:49	12.09.14	1	4.6
041	09:59:25	12.09.14	1	7.6
030	10:00:41	12.09.14	1	4.3
031	10:01:22	12.09.14	1	4.2
034	10:02:43	12.09.14	1	5.1
042	10:02:46	12.09.14	1	4.6
030	10:03:00	12.09.14	1	5.5
034	10:03:32	12.09.14	1	4.3
034	10:03:42	12.09.14	1	4.8
036	10:05:41	12.09.14	1	4.5
034	10:06:52	12.09.14	1	4.0
036	10:07:02	12.09.14	1	4.6
030	10:07:11	12.09.14	1	5.3
036	10:08:25	12.09.14	1	4.6
029	10:08:39	12.09.14	1	4.2
039	10:08:52	12.09.14	1	4.8
028	10:09:29	12.09.14	1	0.9
016	10:09:41	12.09.14	1	0.6
009	10:11:49	12.09.14	1	3.6
008	10:16:22	12.09.14	1	3.5
019	10:16:53	12.09.14	1	7.4
031	10:16:57	12.09.14	1	4.6
029	10:18:25	12.09.14	1	5.3
034	10:19:57	12.09.14	1	7.2
038	10:20:59	12.09.14	1	4.1
035	10:21:37	12.09.14	1	3.8
023	10:21:50	12.09.14	1	8.0
031	10:24:14	12.09.14	1	4.5
034	10:26:48	12.09.14	1	5.6
021	10:26:54	12.09.14	1	4.1
022	10:26:56	12.09.14	1	5.0
036	10:29:52	12.09.14	1	4.1
036	10:35:35	12.09.14	1	5.6
021	10:36:58	12.09.14	1	4.3
030	10:38:22	12.09.14	1	5.0
036	10:38:42	12.09.14	1	7.9
029	10:39:24	12.09.14	1	4.3
033	10:39:38	12.09.14	1	4.0
027	10:41:11	12.09.14	1	6.4
037	10:42:34	12.09.14	1	4.3
026	10:46:56	12.09.14	1	3.8
022	10:48:09	12.09.14	1	3.3
031	10:48:40	12.09.14	1	6.0
034	10:49:25	12.09.14	1	7.1
032	10:49:56	12.09.14	1	3.9
034	10:50:17	12.09.14	1	5.3
036	10:50:23	12.09.14	1	5.9
032	10:50:30	12.09.14	1	7.9
026	10:51:54	12.09.14	1	9.3
040	10:54:01	12.09.14	1	4.5
040	10:54:24	12.09.14	1	5.0
031	10:55:11	12.09.14	1	4.9
026	10:55:18	12.09.14	1	4.3
027	10:56:25	12.09.14	1	12.7
032	10:57:39	12.09.14	1	4.8
040	10:58:42	12.09.14	1	5.0
032	10:58:53	12.09.14	1	6.2
036	10:59:26	12.09.14	1	4.9
017	10:59:51	12.09.14	1	4.3
025	10:59:54	12.09.14	1	4.2
029	10:59:57	12.09.14	1	4.3
021	11:00:19	12.09.14	1	10.2
029	11:01:03	12.09.14	1	5.2
017	11:03:12	12.09.14	1	4.2
025	11:04:04	12.09.14	1	6.3
017	11:04:14	12.09.14	1	4.4
029	11:05:47	12.09.14	1	0.5
043	11:05:49	12.09.14	1	5.1
032	11:06:37	12.09.14	1	4.7
036	11:06:42	12.09.14	1	7.1
024	11:07:29	12.09.14	1	5.0
033	11:07:38	12.09.14	1	5.2
023	11:07:47	12.09.14	1	2.8
046	11:08:04	12.09.14	1	4.1
033	11:11:05	12.09.14	1	5.5
032	11:11:09	12.09.14	1	5.1
028	11:11:23	12.09.14	1	5.7
032	11:13:14	12.09.14	1	5.8
036	11:13:15	12.09.14	1	4.7
029	11:14:50	12.09.14	1	4.2
036	11:15:10	12.09.14	1	5.2
038	11:16:20	12.09.14	1	4.3
036	11:17:14	12.09.14	1	5.1
022	11:18:02	12.09.14	1	4.2
031	11:21:40	12.09.14	1	5.8
042	11:23:06	12.09.14	1	4.9
034	11:25:29	12.09.14	1	4.9
025	11:25:41	12.09.14	1	4.7
040	11:26:53	12.09.14	1	6.3
033	11:27:48	12.09.14	1	4.5
035	11:29:38	12.09.14	1	4.3
036	11:29:43	12.09.14	1	4.4
015	11:31:13	12.09.14	1	0.6
011	11:31:16	12.09.14	1	4.2
026	11:33:15	12.09.14	1	7.8
016	11:33:33	12.09.14	1	4.3
036	11:35:13	12.09.14	1	4.5
032	11:35:34	12.09.14	1	4.1
027	11:38:17	12.09.14	1	5.2
046	11:38:47	12.09.14	1	4.9
016	11:39:07	12.09.14	1	7.1
036	11:39:15	12.09.14	1	4.0
030	11:39:32	12.09.14	1	6.4
031	11:40:52	12.09.14	1	4.4
034	11:41:11	12.09.14	1	0.6
034	11:42:24	12.09.14	1	6.4
028	11:43:02	12.09.14	1	6.3
026	11:43:22	12.09.14	1	4.2
035	11:43:34	12.09.14	1	4.4
036	11:44:45	12.09.14	1	4.3
033	11:47:06	12.09.14	1	4.6
040	11:48:40	12.09.14	1	4.1
024	11:49:04	12.09.14	1	7.1
015	11:49:20	12.09.14	1	4.3
026	11:49:35	12.09.14	1	5.7
034	11:50:21	12.09.14	1	4.2
032	11:50:42	12.09.14	1	4.5
035	11:51:09	12.09.14	1	5.1
036	11:51:23	12.09.14	1	5.5
044	11:51:25	12.09.14	1	5.8
009	11:52:08	12.09.14	1	4.3
009	11:52:38	12.09.14	1	4.3
035	11:55:11	12.09.14	1	4.2
029	11:55:23	12.09.14	1	4.7
029	11:55:28	12.09.14	1	4.6
029	11:55:30	12.09.14	1	4.6
036	11:55:35	12.09.14	1	7.0
018	11:56:12	12.09.14	1	3.6
018	11:56:44	12.09.14	1	4.3
027	11:56:48	12.09.14	1	6.6
028	11:56:51	12.09.14	1	5.9
027	11:57:05	12.09.14	1	5.7
027	11:57:15	12.09.14	1	5.2
023	11:57:29	12.09.14	1	4.4
014	11:58:14	12.09.14	1	4.4
026	11:59:08	12.09.14	1	4.0
033	11:59:23	12.09.14	1	5.3
032	12:00:32	12.09.14	1	4.5
030	12:00:58	12.09.14	1	3.9
021	12:01:49	12.09.14	1	5.5
034	12:02:00	12.09.14	1	4.6
035	12:02:14	12.09.14	1	4.8
041	12:03:25	12.09.14	1	5.7
019	12:04:04	12.09.14	1	4.4
040	12:04:41	12.09.14	1	5.1
040	12:04:44	12.09.14	1	5.0
019	12:04:55	12.09.14	1	3.0
036	12:05:03	12.09.14	1	5.3
032	12:06:16	12.09.14	1	5.3
021	12:06:54	12.09.14	1	2.5
029	12:07:01	12.09.14	1	5.1
030	12:08:50	12.09.14	1	3.9
030	12:11:21	12.09.14	1	5.4
036	12:11:28	12.09.14	1	5.4
031	12:13:02	12.09.14	1	4.5
024	12:13:41	12.09.14	1	1.9
033	12:14:23	12.09.14	1	4.7
038	12:15:26	12.09.14	1	4.5
022	12:15:55	12.09.14	1	0.7
033	12:16:05	12.09.14	1	5.4
033	12:16:14	12.09.14	1	3.6
023	12:17:34	12.09.14	1	4.5
036	12:18:09	12.09.14	1	4.2
014	12:18:21	12.09.14	1	1.3
044	12:19:21	12.09.14	1	6.6
035	12:20:44	12.09.14	1	4.6
030	12:20:56	12.09.14	1	5.5
042	12:21:13	12.09.14	1	4.6
040	12:21:18	12.09.14	1	5.9
031	12:21:23	12.09.14	1	3.9
033	12:21:44	12.09.14	1	4.4
036	12:21:45	12.09.14	1	4.4
029	12:22:29	12.09.14	1	4.4
024	12:22:52	12.09.14	1	4.0
043	12:23:35	12.09.14	1	4.9
026	12:23:44	12.09.14	1	3.6
032	12:24:20	12.09.14	1	4.2
034	12:24:32	12.09.14	1	3.9
018	12:26:02	12.09.14	1	3.3
024	12:27:21	12.09.14	1	11.0
036	12:28:44	12.09.14	1	3.2
030	12:29:45	12.09.14	1	5.7
029	12:29:54	12.09.14	1	6.0
034	12:32:42	12.09.14	1	4.4
029	12:32:49	12.09.14	1	4.2
034	12:32:52	12.09.14	1	3.4
032	12:34:57	12.09.14	1	4.5
032	12:35:18	12.09.14	1	3.9
023	12:35:59	12.09.14	1	7.4
032	12:37:34	12.09.14	1	4.9
027	12:37:41	12.09.14	1	5.0
025	12:37:50	12.09.14	1	0.8
037	12:38:15	12.09.14	1	4.1
032	12:38:19	12.09.14	1	4.3
023	12:38:30	12.09.14	1	4.0
036	12:39:09	12.09.14	1	4.4
031	12:39:41	12.09.14	1	4.3
028	12:40:48	12.09.14	1	4.5
031	12:41:40	12.09.14	1	3.8
028	12:42:15	12.09.14	1	4.7
042	12:42:52	12.09.14	1	4.5
