

Standort: 2- Schaeferstras

[km/h]				 [m]
Dateformat: dd.mm.yy
029	11:41:29	18.07.14	1	4.0
018	11:47:48	18.07.14	1	9.3
044	11:55:35	18.07.14	1	4.6
034	11:56:30	18.07.14	1	4.7
042	11:58:28	18.07.14	1	3.9
037	11:59:30	18.07.14	1	4.3
028	12:05:39	18.07.14	1	9.8
043	12:08:25	18.07.14	1	3.6
037	12:08:36	18.07.14	1	5.7
033	12:09:11	18.07.14	1	5.7
035	12:12:19	18.07.14	1	3.7
040	12:13:45	18.07.14	1	4.8
034	12:17:50	18.07.14	1	8.8
034	12:17:57	18.07.14	1	4.8
041	12:20:33	18.07.14	1	10.3
035	12:23:57	18.07.14	1	3.6
030	12:24:07	18.07.14	1	5.2
041	12:29:06	18.07.14	1	6.0
051	12:30:04	18.07.14	1	5.2
026	12:34:30	18.07.14	1	8.3
033	12:34:37	18.07.14	1	6.0
040	12:38:00	18.07.14	1	4.6
038	12:38:08	18.07.14	1	5.1
038	12:40:10	18.07.14	1	4.0
025	12:42:42	18.07.14	1	6.3
031	12:47:53	18.07.14	1	10.4
039	12:57:51	18.07.14	1	4.1
025	13:02:41	18.07.14	1	8.9
034	13:04:54	18.07.14	1	4.7
034	13:15:12	18.07.14	1	4.3
041	13:22:36	18.07.14	1	5.5
045	13:24:13	18.07.14	1	5.0
049	13:31:11	18.07.14	1	3.6
033	13:32:28	18.07.14	1	8.9
035	13:34:02	18.07.14	1	9.0
044	13:44:27	18.07.14	1	4.2
050	13:44:53	18.07.14	1	4.5
038	13:45:03	18.07.14	1	4.3
036	13:47:26	18.07.14	1	4.9
030	13:47:45	18.07.14	1	9.3
038	13:54:22	18.07.14	1	3.7
040	13:54:40	18.07.14	1	0.6
047	13:59:07	18.07.14	1	3.5
030	14:03:25	18.07.14	1	9.9
040	14:16:19	18.07.14	1	4.4
029	14:18:26	18.07.14	1	8.7
032	14:30:39	18.07.14	1	4.2
029	14:32:00	18.07.14	1	9.1
029	14:35:01	18.07.14	1	1.7
037	14:37:55	18.07.14	1	3.9
046	14:40:42	18.07.14	1	4.1
030	14:49:05	18.07.14	1	9.0
035	14:51:19	18.07.14	1	4.1
032	14:53:47	18.07.14	1	4.8
034	14:59:39	18.07.14	1	4.1
024	15:04:49	18.07.14	1	8.1
043	15:10:00	18.07.14	1	4.8
039	15:12:05	18.07.14	1	4.0
