

Standort: 2- Schwarzwaldst

[km/h]				 [m]
Dateformat: dd.mm.yy
007	14:50:16	29.08.14	1	1.3
055	14:52:24	29.08.14	1	4.0
057	14:52:25	29.08.14	1	2.9
047	14:52:27	29.08.14	1	4.0
051	15:04:36	29.08.14	1	8.3
047	15:04:37	29.08.14	1	6.3
044	15:04:39	29.08.14	1	4.9
046	15:04:40	29.08.14	1	4.7
037	15:09:00	29.08.14	1	2.7
037	15:09:09	29.08.14	1	6.8
034	15:09:15	29.08.14	1	4.5
037	15:09:19	29.08.14	1	7.0
038	15:09:30	29.08.14	1	6.4
037	15:09:33	29.08.14	1	22.0
043	15:09:37	29.08.14	1	6.2
035	15:09:39	29.08.14	1	11.7
048	15:09:40	29.08.14	1	5.7
053	15:09:42	29.08.14	1	6.1
025	15:11:31	29.08.14	1	11.6
026	15:11:33	29.08.14	1	6.3
035	15:11:44	29.08.14	1	5.1
040	15:11:47	29.08.14	1	4.0
041	15:11:48	29.08.14	1	3.7
033	15:11:55	29.08.14	1	4.7
043	15:12:01	29.08.14	1	6.4
031	15:12:19	29.08.14	1	5.9
033	15:12:21	29.08.14	1	7.1
031	15:12:23	29.08.14	1	5.8
033	15:12:25	29.08.14	1	6.5
040	15:12:46	29.08.14	1	13.5
036	15:12:49	29.08.14	1	4.1
037	15:12:52	29.08.14	1	4.1
034	15:12:55	29.08.14	1	4.6
039	15:13:24	29.08.14	1	4.4
037	15:13:27	29.08.14	1	5.2
041	15:13:29	29.08.14	1	3.7
037	15:13:31	29.08.14	1	4.0
036	15:13:33	29.08.14	1	4.3
031	15:13:38	29.08.14	1	1.2
057	15:14:08	29.08.14	1	5.9
052	15:14:09	29.08.14	1	4.4
056	15:14:12	29.08.14	1	5.8
046	15:14:13	29.08.14	1	4.4
047	15:14:15	29.08.14	1	4.3
048	15:14:16	29.08.14	1	4.1
051	15:14:17	29.08.14	1	5.7
045	15:14:19	29.08.14	1	8.4
042	15:14:21	29.08.14	1	10.3
