

Standort: 2- Thiersteinerr

[km/h]				 [m]
Dateformat: dd.mm.yy
041	13:51:14	26.09.14	2	3.6
009	13:51:24	26.09.14	2	3.6
041	13:52:19	26.09.14	2	3.7
015	14:39:55	26.09.14	2	4.2
037	14:45:49	26.09.14	2	8.2
023	14:48:11	26.09.14	2	4.5
013	14:49:42	26.09.14	2	1.5
017	14:55:14	26.09.14	2	4.1
018	14:57:56	26.09.14	2	3.8
019	15:03:21	26.09.14	2	4.2
020	15:11:55	26.09.14	2	3.6
014	15:30:40	26.09.14	2	0.9
018	16:10:40	26.09.14	2	3.8
009	16:11:44	26.09.14	2	0.8
013	16:17:31	26.09.14	2	3.9
011	16:29:35	26.09.14	2	3.9
018	17:07:20	26.09.14	2	3.9
009	17:07:24	26.09.14	2	4.0
010	17:15:37	26.09.14	2	4.0
013	17:23:12	26.09.14	2	1.7
010	17:27:04	26.09.14	2	4.0
019	17:28:45	26.09.14	2	2.1
011	17:30:06	26.09.14	2	4.6
012	17:32:23	26.09.14	2	4.1
027	17:33:41	26.09.14	2	4.1
010	17:35:09	26.09.14	2	1.7
009	17:35:34	26.09.14	2	0.6
009	17:35:45	26.09.14	2	4.1
017	17:38:21	26.09.14	2	4.0
014	17:40:16	26.09.14	2	5.2
015	17:42:58	26.09.14	2	3.9
013	17:57:41	26.09.14	2	0.6
018	17:59:38	26.09.14	2	7.4
008	18:04:30	26.09.14	2	0.7
013	18:10:15	26.09.14	2	0.8
020	18:20:39	26.09.14	2	4.3
015	18:22:24	26.09.14	2	4.8
019	18:42:37	26.09.14	2	4.2
008	18:46:38	26.09.14	2	4.2
018	18:52:05	26.09.14	2	6.1
025	18:53:01	26.09.14	2	7.0
017	19:01:17	26.09.14	2	7.0
016	19:14:43	26.09.14	2	6.3
013	19:23:02	26.09.14	2	0.9
009	19:40:00	26.09.14	2	0.6
008	20:53:21	26.09.14	2	4.2
009	21:16:24	26.09.14	2	0.5
010	21:44:25	26.09.14	2	4.3
022	22:02:26	26.09.14	2	4.3
015	22:04:53	26.09.14	2	5.5
029	02:45:25	27.09.14	2	7.1
025	08:33:13	27.09.14	2	4.9
018	08:42:00	27.09.14	2	1.1
021	08:54:29	27.09.14	2	4.0
020	08:55:42	27.09.14	2	7.1
022	09:03:39	27.09.14	2	4.8
021	09:21:11	27.09.14	2	6.5
027	09:25:25	27.09.14	2	7.9
028	09:32:36	27.09.14	2	4.7
019	09:36:52	27.09.14	2	3.7
015	09:37:24	27.09.14	2	3.2
019	09:54:30	27.09.14	2	5.1
014	10:00:57	27.09.14	2	4.3
012	10:12:22	27.09.14	2	3.3
008	10:12:25	27.09.14	2	3.5
020	10:13:42	27.09.14	2	4.4
018	10:21:45	27.09.14	2	3.2
030	10:34:43	27.09.14	2	4.5
011	10:35:08	27.09.14	2	1.4
026	10:38:32	27.09.14	2	4.2
025	10:57:40	27.09.14	2	4.0
035	11:01:47	27.09.14	2	4.7
023	11:06:46	27.09.14	2	4.9
014	11:20:14	27.09.14	2	3.8
022	11:37:24	27.09.14	2	4.5
014	11:41:22	27.09.14	2	4.4
024	11:54:54	27.09.14	2	3.7
012	12:38:09	27.09.14	2	4.4
014	12:39:15	27.09.14	2	4.4
022	12:44:27	27.09.14	2	5.6
017	12:56:13	27.09.14	2	3.7
017	12:59:45	27.09.14	2	4.4
023	13:06:28	27.09.14	2	4.3
024	13:28:39	27.09.14	2	4.7
014	13:36:34	27.09.14	2	0.5
024	14:00:23	27.09.14	2	4.1
011	14:01:00	27.09.14	2	4.5
027	14:05:15	27.09.14	2	4.0
016	14:14:10	27.09.14	2	4.5
019	14:18:27	27.09.14	2	3.9
014	14:48:45	27.09.14	2	4.5
014	14:48:47	27.09.14	2	4.5
012	14:49:13	27.09.14	2	4.5
018	15:02:13	27.09.14	2	4.7
016	15:12:31	27.09.14	2	0.6
018	15:20:59	27.09.14	2	1.9
018	15:32:48	27.09.14	2	1.2
028	15:54:36	27.09.14	2	1.0
020	15:58:53	27.09.14	2	5.0
022	15:59:11	27.09.14	2	4.9
007	16:00:27	27.09.14	2	2.1
026	16:03:13	27.09.14	2	2.1
028	16:06:43	27.09.14	2	5.6
027	16:07:46	27.09.14	2	4.7
025	16:20:19	27.09.14	2	4.6
024	16:21:43	27.09.14	2	3.4
026	16:21:55	27.09.14	2	5.1
016	16:27:10	27.09.14	2	4.8
019	16:34:52	27.09.14	2	5.1
011	16:52:37	27.09.14	2	4.5
016	16:59:07	27.09.14	2	4.5
009	17:45:14	27.09.14	2	4.6
025	17:45:59	27.09.14	2	3.8
011	17:46:43	27.09.14	2	4.6
014	17:48:04	27.09.14	2	5.3
013	17:48:33	27.09.14	2	4.6
011	17:59:09	27.09.14	2	4.7
016	18:06:35	27.09.14	2	0.6
009	18:06:52	27.09.14	2	3.7
007	18:16:33	27.09.14	2	1.4
023	18:28:12	27.09.14	2	4.6
021	18:38:13	27.09.14	2	5.1
011	18:43:24	27.09.14	2	4.8
007	18:43:40	27.09.14	2	0.6
031	19:28:16	27.09.14	2	5.3
024	19:29:52	27.09.14	2	5.5
009	19:33:06	27.09.14	2	5.2
008	19:45:50	27.09.14	2	4.8
024	21:08:25	27.09.14	2	4.4
019	21:52:33	27.09.14	2	0.5
025	22:14:51	27.09.14	2	4.0
017	22:32:39	27.09.14	2	0.7
026	22:36:12	27.09.14	2	4.1
010	22:55:02	27.09.14	2	6.5
013	22:58:13	27.09.14	2	2.2
022	23:00:02	27.09.14	2	3.6
019	23:00:25	27.09.14	2	6.7
008	23:03:11	27.09.14	2	4.8
008	23:09:47	27.09.14	2	4.9
006	23:11:19	27.09.14	2	0.5
015	23:26:22	27.09.14	2	3.3
008	23:44:37	27.09.14	2	0.5
011	01:30:21	28.09.14	2	4.9
014	01:51:17	28.09.14	2	4.9
016	01:54:26	28.09.14	2	4.9
008	02:00:30	28.09.14	2	4.0
007	02:00:33	28.09.14	2	4.9
019	09:04:19	28.09.14	2	5.0
021	09:17:51	28.09.14	2	3.4
013	09:19:47	28.09.14	2	0.7
024	09:31:46	28.09.14	2	4.1
026	10:03:47	28.09.14	2	3.6
026	10:32:21	28.09.14	2	7.0
013	10:39:59	28.09.14	2	5.0
024	10:41:46	28.09.14	2	4.8
012	10:50:16	28.09.14	2	1.0
009	10:53:58	28.09.14	2	2.5
011	10:54:00	28.09.14	2	5.0
016	10:56:47	28.09.14	2	4.7
021	11:14:35	28.09.14	2	4.3
024	11:32:36	28.09.14	2	4.6
024	11:46:29	28.09.14	2	5.1
015	12:00:44	28.09.14	2	4.0
009	12:01:57	28.09.14	2	5.1
014	12:25:11	28.09.14	2	5.2
012	12:38:38	28.09.14	2	5.2
024	12:40:39	28.09.14	2	4.1
025	12:44:36	28.09.14	2	5.3
023	13:27:53	28.09.14	2	4.2
024	13:30:29	28.09.14	2	7.0
020	13:41:57	28.09.14	2	4.5
015	13:46:05	28.09.14	2	5.3
013	13:46:09	28.09.14	2	5.3
015	13:46:10	28.09.14	2	5.3
015	13:53:58	28.09.14	2	0.9
020	14:14:51	28.09.14	2	4.1
025	14:20:29	28.09.14	2	5.4
018	14:24:04	28.09.14	2	4.0
015	14:29:18	28.09.14	2	0.9
011	14:30:16	28.09.14	2	5.4
015	14:31:51	28.09.14	2	5.1
024	14:54:25	28.09.14	2	3.5
011	15:32:45	28.09.14	2	5.4
006	15:56:16	28.09.14	2	2.8
020	15:59:51	28.09.14	2	3.9
006	16:22:45	28.09.14	2	1.1
012	16:42:52	28.09.14	2	0.9
013	16:49:13	28.09.14	2	4.1
018	17:01:26	28.09.14	2	5.5
019	17:17:37	28.09.14	2	4.5
014	17:29:42	28.09.14	2	0.6
015	17:29:44	28.09.14	2	3.4
020	17:35:57	28.09.14	2	4.0
011	17:42:21	28.09.14	2	4.6
013	17:42:24	28.09.14	2	4.3
007	17:46:58	28.09.14	2	5.6
011	17:51:33	28.09.14	2	2.6
010	17:55:49	28.09.14	2	2.6
015	18:06:43	28.09.14	2	4.1
018	18:39:44	28.09.14	2	3.9
009	18:45:35	28.09.14	2	3.0
020	18:50:54	28.09.14	2	5.2
008	19:00:14	28.09.14	2	0.5
020	19:03:42	28.09.14	2	4.4
014	19:14:32	28.09.14	2	3.8
008	19:47:18	28.09.14	2	1.3
004	19:51:20	28.09.14	2	3.3
022	19:57:32	28.09.14	2	4.0
029	20:06:31	28.09.14	2	6.7
021	20:38:37	28.09.14	2	3.3
007	20:43:10	28.09.14	2	1.0
008	20:43:14	28.09.14	2	3.4
020	21:41:26	28.09.14	2	5.2
024	00:22:00	29.09.14	2	4.2
011	05:22:06	29.09.14	2	4.4
020	07:17:38	29.09.14	2	4.6
014	07:23:25	29.09.14	2	3.6
016	07:26:42	29.09.14	2	0.6
019	07:42:25	29.09.14	2	7.7
026	07:50:40	29.09.14	2	3.7
020	07:53:15	29.09.14	2	8.0
027	07:57:33	29.09.14	2	4.7
030	08:03:16	29.09.14	2	3.9
026	08:25:23	29.09.14	2	4.1
032	08:32:08	29.09.14	2	5.0
025	08:36:17	29.09.14	2	3.3
014	08:38:47	29.09.14	2	0.8
027	08:44:25	29.09.14	2	6.3
017	08:50:41	29.09.14	2	5.0
020	08:57:33	29.09.14	2	4.4
018	09:01:27	29.09.14	2	3.8
024	09:06:33	29.09.14	2	3.9
032	09:13:59	29.09.14	2	8.2
024	09:15:01	29.09.14	2	7.4
012	09:17:31	29.09.14	2	3.9
024	09:23:36	29.09.14	2	4.5
031	09:25:25	29.09.14	2	4.5
023	10:07:54	29.09.14	2	4.7
030	10:24:05	29.09.14	2	3.6
014	10:27:48	29.09.14	2	0.7
022	10:30:13	29.09.14	2	5.6
020	10:35:45	29.09.14	2	4.6
022	10:35:48	29.09.14	2	2.6
018	10:39:15	29.09.14	2	5.8
018	10:42:21	29.09.14	2	3.8
020	10:55:11	29.09.14	2	3.5
019	10:56:09	29.09.14	2	8.5
024	11:31:00	29.09.14	2	3.4
023	11:45:55	29.09.14	2	4.0
028	11:54:54	29.09.14	2	4.2
019	12:02:30	29.09.14	2	4.2
021	12:08:58	29.09.14	2	4.4
022	12:21:49	29.09.14	2	3.9
017	12:22:07	29.09.14	2	4.2
027	12:27:58	29.09.14	2	5.7
028	12:34:18	29.09.14	2	5.1
022	12:50:27	29.09.14	2	5.1
026	13:00:05	29.09.14	2	7.2
027	13:06:40	29.09.14	2	4.2
021	14:14:24	29.09.14	2	4.4
013	14:16:57	29.09.14	2	1.0
025	14:17:24	29.09.14	2	4.1
026	14:19:40	29.09.14	2	4.8
024	14:21:26	29.09.14	2	7.4
013	14:33:50	29.09.14	2	4.1
017	14:52:41	29.09.14	2	4.8
012	14:53:26	29.09.14	2	2.2
013	14:57:42	29.09.14	2	0.6
016	15:06:32	29.09.14	2	4.4
022	15:13:36	29.09.14	2	4.2
016	15:16:01	29.09.14	2	4.2
021	15:25:29	29.09.14	2	3.7
021	15:29:41	29.09.14	2	5.6
015	15:42:36	29.09.14	2	0.8
020	16:00:08	29.09.14	2	4.2
016	16:04:19	29.09.14	2	8.4
010	16:05:28	29.09.14	2	4.1
012	16:13:58	29.09.14	2	5.0
009	16:15:59	29.09.14	2	4.1
026	16:17:54	29.09.14	2	4.3
021	16:18:25	29.09.14	2	4.6
015	16:19:41	29.09.14	2	4.2
007	16:20:01	29.09.14	2	1.0
023	16:21:52	29.09.14	2	3.4
015	16:24:10	29.09.14	2	4.2
016	16:33:28	29.09.14	2	4.2
008	16:34:10	29.09.14	2	2.1
006	16:38:40	29.09.14	2	0.5
012	17:09:14	29.09.14	2	4.8
014	17:10:07	29.09.14	2	6.1
023	17:20:46	29.09.14	2	3.3
017	17:33:13	29.09.14	2	0.6
019	17:39:39	29.09.14	2	5.3
018	17:39:45	29.09.14	2	4.8
009	17:40:01	29.09.14	2	0.5
019	17:42:49	29.09.14	2	4.1
017	17:44:30	29.09.14	2	0.5
014	17:45:15	29.09.14	2	5.1
017	17:51:29	29.09.14	2	3.9
010	18:00:10	29.09.14	2	4.2
019	18:07:47	29.09.14	2	5.9
014	18:13:52	29.09.14	2	1.5
019	18:18:50	29.09.14	2	4.5
026	18:19:32	29.09.14	2	3.5
025	18:20:47	29.09.14	2	5.5
017	18:42:53	29.09.14	2	3.7
009	19:23:39	29.09.14	2	4.3
018	19:29:21	29.09.14	2	4.3
017	19:34:20	29.09.14	2	3.0
030	19:50:41	29.09.14	2	3.9
021	19:59:27	29.09.14	2	4.3
021	20:17:52	29.09.14	2	3.6
011	22:10:08	29.09.14	2	4.4
019	22:28:29	29.09.14	2	4.3
023	22:40:49	29.09.14	2	4.6
027	22:43:55	29.09.14	2	3.7
013	23:07:00	29.09.14	2	0.8
021	06:25:54	30.09.14	2	4.3
016	07:34:11	30.09.14	2	4.4
010	07:47:29	30.09.14	2	6.1
021	07:57:14	30.09.14	2	4.0
009	07:58:24	30.09.14	2	4.8
021	08:20:41	30.09.14	2	4.5
027	08:30:41	30.09.14	2	1.7
025	08:37:59	30.09.14	2	4.7
022	08:58:23	30.09.14	2	7.2
025	09:06:08	30.09.14	2	4.7
023	09:15:23	30.09.14	2	4.5
021	09:33:16	30.09.14	2	4.4
026	09:34:19	30.09.14	2	7.0
023	09:38:39	30.09.14	2	4.1
017	09:51:06	30.09.14	2	1.0
020	09:57:03	30.09.14	2	4.2
018	10:04:17	30.09.14	2	4.4
020	10:12:29	30.09.14	2	7.6
025	10:14:36	30.09.14	2	4.1
029	10:16:31	30.09.14	2	4.5
017	10:21:02	30.09.14	2	6.8
021	10:23:51	30.09.14	2	6.8
020	10:38:25	30.09.14	2	6.1
008	10:49:41	30.09.14	2	1.3
019	10:51:02	30.09.14	2	4.7
024	10:57:48	30.09.14	2	4.2
019	11:06:28	30.09.14	2	4.4
019	11:17:11	30.09.14	2	6.1
024	11:21:51	30.09.14	2	4.3
