

Standort: 2- Wasserstelzen

[km/h]				 [m]
Dateformat: dd.mm.yy
025	14:57:13	22.08.14	2	2.2
024	14:58:05	22.08.14	2	0.6
020	14:58:08	22.08.14	2	1.8
022	14:58:42	22.08.14	2	2.7
023	15:00:35	22.08.14	2	1.6
026	15:00:48	22.08.14	2	1.9
012	15:01:01	22.08.14	2	4.4
012	15:01:01	22.08.14	2	3.0
017	15:01:18	22.08.14	2	3.5
008	15:05:20	22.08.14	2	0.6
014	15:05:30	22.08.14	2	4.6
023	15:06:53	22.08.14	2	7.8
023	15:06:54	22.08.14	2	3.8
027	15:07:42	22.08.14	2	5.2
026	15:08:05	22.08.14	2	1.8
024	15:09:08	22.08.14	2	5.5
016	15:10:23	22.08.14	2	1.9
023	15:16:50	22.08.14	2	5.8
006	15:17:05	22.08.14	2	0.6
017	15:19:06	22.08.14	2	9.1
018	15:22:05	22.08.14	2	1.3
031	15:22:31	22.08.14	2	1.4
030	15:25:11	22.08.14	2	4.0
039	15:26:30	22.08.14	2	3.8
036	15:28:25	22.08.14	2	3.1
025	15:29:47	22.08.14	2	1.4
005	15:36:09	22.08.14	2	2.8
007	15:36:55	22.08.14	2	0.5
028	15:37:35	22.08.14	2	0.9
029	15:37:58	22.08.14	2	8.1
029	15:44:37	22.08.14	2	3.6
008	15:45:16	22.08.14	2	1.8
029	15:46:41	22.08.14	2	1.5
020	15:49:03	22.08.14	2	4.1
028	15:49:28	22.08.14	2	3.8
026	15:49:48	22.08.14	2	7.8
025	15:49:54	22.08.14	2	4.9
030	15:52:30	22.08.14	2	3.0
032	15:53:21	22.08.14	2	0.7
024	15:54:56	22.08.14	2	4.1
025	15:56:00	22.08.14	2	4.2
028	15:56:58	22.08.14	2	3.9
025	16:00:17	22.08.14	2	4.2
031	16:01:02	22.08.14	2	4.2
023	16:02:41	22.08.14	2	3.4
028	16:02:55	22.08.14	2	3.5
028	16:05:18	22.08.14	2	8.2
021	16:05:53	22.08.14	2	4.2
034	16:06:55	22.08.14	2	3.8
030	16:10:07	22.08.14	2	3.8
030	16:10:55	22.08.14	2	4.5
031	16:12:08	22.08.14	2	4.6
025	16:12:54	22.08.14	2	3.5
019	16:13:01	22.08.14	2	3.7
029	16:15:44	22.08.14	2	3.5
037	16:17:51	22.08.14	2	3.5
020	16:18:57	22.08.14	2	4.4
027	16:21:41	22.08.14	2	8.7
019	16:23:29	22.08.14	2	4.2
020	16:24:40	22.08.14	2	7.8
019	16:24:44	22.08.14	2	7.2
019	16:31:33	22.08.14	2	1.1
013	16:34:20	22.08.14	2	2.5
008	16:34:28	22.08.14	2	0.7
026	16:34:44	22.08.14	2	8.9
027	16:35:21	22.08.14	2	3.8
026	16:35:25	22.08.14	2	4.0
006	16:35:53	22.08.14	2	3.7
026	16:36:48	22.08.14	2	8.4
028	16:36:56	22.08.14	2	4.1
015	16:37:20	22.08.14	2	3.7
016	16:37:55	22.08.14	2	3.6
024	16:42:00	22.08.14	2	4.7
024	16:42:02	22.08.14	2	3.5
028	16:42:14	22.08.14	2	3.8
019	16:42:33	22.08.14	2	0.8
031	16:43:15	22.08.14	2	3.5
035	16:48:29	22.08.14	2	3.9
024	16:49:40	22.08.14	2	7.9
016	16:51:20	22.08.14	2	4.1
031	16:51:49	22.08.14	2	3.9
022	16:52:50	22.08.14	2	4.0
034	16:53:18	22.08.14	2	5.5
016	16:53:20	22.08.14	2	4.0
026	16:53:36	22.08.14	2	4.1
021	16:54:08	22.08.14	2	3.6
029	16:56:52	22.08.14	2	4.2
021	16:58:28	22.08.14	2	4.0
027	16:59:03	22.08.14	2	4.8
035	16:59:51	22.08.14	2	4.4
022	17:00:52	22.08.14	2	4.5
030	17:01:10	22.08.14	2	5.7
027	17:02:35	22.08.14	2	1.4
033	17:02:56	22.08.14	2	4.0
024	17:03:38	22.08.14	2	0.9
029	17:06:54	22.08.14	2	8.4
028	17:07:32	22.08.14	2	4.4
026	17:07:59	22.08.14	2	1.1
025	17:09:46	22.08.14	2	3.7
020	17:11:32	22.08.14	2	4.2
030	17:14:36	22.08.14	2	5.4
021	17:15:55	22.08.14	2	3.8
025	17:16:34	22.08.14	2	4.1
025	17:17:04	22.08.14	2	4.5
024	17:17:53	22.08.14	2	4.4
