

Standort: 2-Aeuss. Baselst

[km/h]				 [m]
Dateformat: dd.mm.yy
053	15:14:00	27.09.13	2	5.6
050	15:14:02	27.09.13	2	5.0
056	15:14:05	27.09.13	2	5.2
056	15:14:06	27.09.13	2	3.7
047	15:14:08	27.09.13	2	4.5
058	15:14:37	27.09.13	2	5.4
058	15:14:48	27.09.13	2	5.5
048	15:15:57	27.09.13	2	1.6
047	15:16:12	27.09.13	2	1.2
044	15:16:14	27.09.13	2	0.6
043	15:16:44	27.09.13	2	2.7
043	15:16:47	27.09.13	2	4.9
045	15:16:51	27.09.13	2	17.1
050	15:16:51	27.09.13	2	3.6
054	15:16:52	27.09.13	2	4.1
051	15:17:17	27.09.13	2	0.6
047	15:17:24	27.09.13	2	12.4
046	15:17:46	27.09.13	2	0.7
049	15:17:46	27.09.13	2	1.1
045	15:17:53	27.09.13	2	2.8
053	15:18:19	27.09.13	2	1.9
054	15:18:22	27.09.13	2	1.0
050	15:19:33	27.09.13	2	1.1
050	15:20:01	27.09.13	2	1.5
055	15:20:32	27.09.13	2	0.5
054	15:21:02	27.09.13	2	3.9
049	15:21:07	27.09.13	2	0.8
055	15:21:10	27.09.13	2	0.9
054	15:21:16	27.09.13	2	1.5
053	15:21:21	27.09.13	2	3.8
055	15:21:33	27.09.13	2	10.8
065	15:21:51	27.09.13	2	2.4
067	15:21:53	27.09.13	2	4.3
056	15:21:58	27.09.13	2	4.3
055	15:22:23	27.09.13	2	1.2
058	15:22:32	27.09.13	2	1.8
056	15:22:33	27.09.13	2	0.9
062	15:22:55	27.09.13	2	2.8
058	15:23:00	27.09.13	2	0.7
045	15:23:08	27.09.13	2	0.5
053	15:23:11	27.09.13	2	0.6
046	15:23:39	27.09.13	2	0.8
048	15:23:41	27.09.13	2	2.8
045	15:23:45	27.09.13	2	1.5
045	15:23:53	27.09.13	2	1.0
044	15:23:53	27.09.13	2	2.3
043	15:23:55	27.09.13	2	1.6
045	15:23:58	27.09.13	2	1.8
045	15:24:07	27.09.13	2	0.5
042	15:24:42	27.09.13	2	1.3
045	15:24:43	27.09.13	2	12.3
046	15:24:45	27.09.13	2	20.3
061	15:25:01	27.09.13	2	1.7
054	15:25:05	27.09.13	2	1.1
055	15:25:09	27.09.13	2	1.7
056	15:25:10	27.09.13	2	1.0
052	15:25:16	27.09.13	2	3.1
052	15:25:38	27.09.13	2	1.1
052	15:25:41	27.09.13	2	3.6
057	15:25:48	27.09.13	2	1.5
055	15:25:54	27.09.13	2	8.7
058	15:25:56	27.09.13	2	0.8
050	15:27:06	27.09.13	2	0.8
050	15:27:11	27.09.13	2	0.6
050	15:27:12	27.09.13	2	2.7
052	15:27:16	27.09.13	2	2.3
047	15:27:40	27.09.13	2	1.9
044	15:27:44	27.09.13	2	0.9
047	15:27:47	27.09.13	2	9.9
046	15:27:49	27.09.13	2	1.0
047	15:27:52	27.09.13	2	1.4
045	15:27:54	27.09.13	2	2.5
047	15:27:56	27.09.13	2	0.8
045	15:27:59	27.09.13	2	2.9
045	15:28:00	27.09.13	2	2.3
044	15:28:05	27.09.13	2	3.2
051	15:28:17	27.09.13	2	11.0
049	15:28:19	27.09.13	2	0.7
047	15:28:21	27.09.13	2	0.8
052	15:28:54	27.09.13	2	3.9
051	15:29:11	27.09.13	2	5.4
053	15:29:18	27.09.13	2	2.0
047	15:29:42	27.09.13	2	2.6
053	15:29:48	27.09.13	2	1.2
054	15:29:52	27.09.13	2	1.9
056	15:30:04	27.09.13	2	2.1
050	15:30:36	27.09.13	2	0.7
040	15:30:44	27.09.13	2	8.1
040	15:30:45	27.09.13	2	2.8
041	15:30:49	27.09.13	2	0.6
043	15:30:52	27.09.13	2	1.5
054	15:31:23	27.09.13	2	1.9
058	15:31:24	27.09.13	2	0.9
057	15:31:29	27.09.13	2	3.4
057	15:31:36	27.09.13	2	3.5
059	15:31:39	27.09.13	2	1.7
061	15:31:40	27.09.13	2	1.7
051	15:31:42	27.09.13	2	1.3
055	15:31:45	27.09.13	2	1.2
040	15:31:51	27.09.13	2	0.6
046	15:31:53	27.09.13	2	17.4
050	15:31:55	27.09.13	2	6.3
054	15:32:11	27.09.13	2	5.9
053	15:32:12	27.09.13	2	2.5
054	15:32:16	27.09.13	2	0.7
056	15:32:19	27.09.13	2	7.4
048	15:32:22	27.09.13	2	2.8
054	15:32:31	27.09.13	2	1.4
