

Standort: 2-Aeuss.Baselstr

[km/h]				 [m]
Dateformat: dd.mm.yy
024	15:13:18	24.04.15	1	6.4
021	15:14:17	24.04.15	1	0.5
019	15:15:28	24.04.15	1	4.0
075	15:20:24	24.04.15	1	6.8
050	15:20:34	24.04.15	1	4.8
048	15:20:35	24.04.15	1	4.3
049	15:20:38	24.04.15	1	3.8
050	15:20:40	24.04.15	1	5.5
053	15:20:52	24.04.15	1	4.4
061	15:24:19	24.04.15	1	4.6
060	15:24:30	24.04.15	1	4.9
054	15:24:32	24.04.15	1	5.2
057	15:24:43	24.04.15	1	5.4
058	15:24:56	24.04.15	1	4.1
061	15:25:03	24.04.15	1	4.7
056	15:25:05	24.04.15	1	5.3
054	15:25:35	24.04.15	1	4.7
057	15:25:41	24.04.15	1	3.9
056	15:25:51	24.04.15	1	12.3
054	15:25:53	24.04.15	1	3.8
067	15:26:07	24.04.15	1	4.9
048	15:26:18	24.04.15	1	4.4
054	15:26:22	24.04.15	1	4.8
043	15:26:27	24.04.15	1	4.3
056	15:27:17	24.04.15	1	3.9
056	15:27:20	24.04.15	1	4.0
056	15:27:22	24.04.15	1	3.4
063	15:27:25	24.04.15	1	5.4
062	15:27:26	24.04.15	1	4.7
060	15:27:29	24.04.15	1	4.2
059	15:27:32	24.04.15	1	3.9
060	15:27:33	24.04.15	1	4.2
055	15:27:41	24.04.15	1	9.5
061	15:27:53	24.04.15	1	4.2
061	15:27:55	24.04.15	1	4.8
060	15:28:15	24.04.15	1	4.5
057	15:28:18	24.04.15	1	4.1
060	15:28:21	24.04.15	1	5.5
058	15:28:26	24.04.15	1	4.4
057	15:28:29	24.04.15	1	4.0
054	15:28:31	24.04.15	1	4.4
054	15:28:33	24.04.15	1	4.4
059	15:28:35	24.04.15	1	4.8
055	15:28:36	24.04.15	1	5.5
059	15:28:39	24.04.15	1	4.7
057	15:28:41	24.04.15	1	4.3
063	15:29:10	24.04.15	1	3.5
058	15:29:16	24.04.15	1	4.4
056	15:29:19	24.04.15	1	4.3
059	15:29:22	24.04.15	1	4.2
061	15:29:26	24.04.15	1	4.5
060	15:29:28	24.04.15	1	4.7
057	15:29:30	24.04.15	1	4.7
026	15:29:39	24.04.15	1	2.7
060	15:29:40	24.04.15	1	4.2
058	15:29:43	24.04.15	1	3.8
059	15:29:45	24.04.15	1	4.2
062	15:29:49	24.04.15	1	3.8
060	15:29:52	24.04.15	1	4.4
056	15:29:54	24.04.15	1	5.1
057	15:29:56	24.04.15	1	2.8
049	15:30:02	24.04.15	1	4.2
050	15:30:16	24.04.15	1	5.1
049	15:30:25	24.04.15	1	4.6
068	15:30:35	24.04.15	1	4.1
064	15:30:37	24.04.15	1	5.2
072	15:30:39	24.04.15	1	4.8
068	15:30:41	24.04.15	1	1.0
061	15:30:45	24.04.15	1	3.8
060	15:30:47	24.04.15	1	5.1
052	15:31:13	24.04.15	1	4.5
052	15:31:15	24.04.15	1	4.4
060	15:31:28	24.04.15	1	25.5
057	15:31:48	24.04.15	1	5.5
048	15:31:49	24.04.15	1	1.6
055	15:31:50	24.04.15	1	6.0
054	15:31:52	24.04.15	1	3.8
054	15:31:53	24.04.15	1	4.1
057	15:31:55	24.04.15	1	4.9
052	15:32:00	24.04.15	1	4.5
053	15:32:03	24.04.15	1	5.1
051	15:32:05	24.04.15	1	4.4
051	15:32:08	24.04.15	1	4.3
061	15:32:25	24.04.15	1	3.6
056	15:32:27	24.04.15	1	5.4
057	15:32:30	24.04.15	1	4.2
060	15:32:32	24.04.15	1	6.8
056	15:33:27	24.04.15	1	3.4
057	15:33:28	24.04.15	1	4.7
056	15:33:32	24.04.15	1	3.8
059	15:33:37	24.04.15	1	3.3
062	15:33:38	24.04.15	1	5.1
060	15:33:41	24.04.15	1	4.7
068	15:33:48	24.04.15	1	4.8
057	15:34:03	24.04.15	1	4.8
056	15:34:04	24.04.15	1	3.8
058	15:34:06	24.04.15	1	4.3
062	15:34:42	24.04.15	1	4.3
055	15:34:46	24.04.15	1	4.3
055	15:34:48	24.04.15	1	4.0
055	15:34:49	24.04.15	1	4.3
060	15:34:52	24.04.15	1	4.2
060	15:35:00	24.04.15	1	4.9
058	15:35:03	24.04.15	1	4.5
061	15:35:15	24.04.15	1	5.1
071	15:35:27	24.04.15	1	3.9
053	15:35:38	24.04.15	1	4.9
