

Standort: 2-Blaesiring

[km/h]				 [m]
Dateformat: dd.mm.yy
017	11:19:14	06.03.15	1	3.8
009	11:22:10	06.03.15	1	4.1
007	11:23:02	06.03.15	1	3.5
009	11:23:03	06.03.15	1	3.5
007	11:24:36	06.03.15	1	3.6
018	11:26:14	06.03.15	1	4.7
013	11:29:20	06.03.15	1	8.3
008	11:30:51	06.03.15	1	2.9
007	11:30:52	06.03.15	1	2.2
022	11:31:03	06.03.15	1	4.2
008	11:31:09	06.03.15	1	2.0
009	11:31:11	06.03.15	1	3.6
009	11:31:11	06.03.15	1	3.6
010	11:31:15	06.03.15	1	10.7
018	11:31:39	06.03.15	1	4.2
006	11:33:56	06.03.15	1	3.7
007	11:35:33	06.03.15	1	3.7
017	11:36:35	06.03.15	1	3.7
008	11:37:45	06.03.15	1	3.6
032	11:40:09	06.03.15	1	7.8
025	11:41:33	06.03.15	1	5.4
013	11:41:46	06.03.15	1	4.3
008	11:48:27	06.03.15	1	3.8
010	11:49:59	06.03.15	1	3.8
011	11:50:00	06.03.15	1	3.8
011	11:50:00	06.03.15	1	3.8
020	11:50:17	06.03.15	1	14.0
019	11:52:36	06.03.15	1	8.7
017	11:54:35	06.03.15	1	4.6
014	11:58:12	06.03.15	1	6.8
026	12:01:26	06.03.15	1	8.1
007	12:02:07	06.03.15	1	2.4
023	12:03:00	06.03.15	1	8.0
018	12:03:03	06.03.15	1	7.9
023	12:03:57	06.03.15	1	8.4
006	12:04:51	06.03.15	1	3.9
028	12:07:30	06.03.15	1	7.2
008	12:07:31	06.03.15	1	2.4
007	12:08:07	06.03.15	1	3.9
019	12:08:40	06.03.15	1	4.9
007	12:08:49	06.03.15	1	4.0
008	12:08:50	06.03.15	1	4.0
007	12:09:44	06.03.15	1	4.0
009	12:10:18	06.03.15	1	4.8
006	12:11:20	06.03.15	1	4.0
007	12:11:21	06.03.15	1	4.1
006	12:11:21	06.03.15	1	4.1
007	12:11:22	06.03.15	1	4.1
007	12:11:23	06.03.15	1	3.3
006	12:11:24	06.03.15	1	2.0
019	12:11:46	06.03.15	1	5.1
016	12:13:13	06.03.15	1	8.9
016	12:13:21	06.03.15	1	3.3
009	12:14:00	06.03.15	1	9.3
011	12:16:26	06.03.15	1	4.4
008	12:16:45	06.03.15	1	4.1
022	12:16:46	06.03.15	1	7.0
008	12:19:47	06.03.15	1	2.6
021	12:20:56	06.03.15	1	5.2
025	12:21:31	06.03.15	1	8.1
006	12:23:44	06.03.15	1	4.1
024	12:28:56	06.03.15	1	4.7
019	12:29:55	06.03.15	1	4.8
031	12:31:23	06.03.15	1	7.6
008	12:32:31	06.03.15	1	4.3
008	12:37:00	06.03.15	1	3.5
007	12:37:03	06.03.15	1	2.5
016	12:41:02	06.03.15	1	4.3
007	12:45:45	06.03.15	1	4.1
