

Standort: 2-Breisacherstra

[km/h]				 [m]
Dateformat: dd.mm.yy
036	12:55:23	21.11.14	2	3.8
014	12:56:04	21.11.14	2	3.8
013	13:05:51	21.11.14	2	3.8
011	13:14:06	21.11.14	2	3.9
015	13:15:16	21.11.14	2	3.9
022	13:16:25	21.11.14	2	4.0
014	13:18:58	21.11.14	2	4.0
021	13:19:26	21.11.14	2	3.8
014	13:20:35	21.11.14	2	3.9
018	13:21:16	21.11.14	2	3.7
020	13:21:18	21.11.14	2	4.2
007	13:22:25	21.11.14	2	4.1
017	13:26:01	21.11.14	2	3.6
015	13:26:59	21.11.14	2	3.5
016	13:27:14	21.11.14	2	4.1
017	13:27:31	21.11.14	2	4.1
008	13:28:25	21.11.14	2	4.5
015	13:28:31	21.11.14	2	3.6
008	13:29:29	21.11.14	2	4.1
022	13:29:59	21.11.14	2	4.4
022	13:30:24	21.11.14	2	4.1
015	13:30:59	21.11.14	2	4.1
013	13:31:10	21.11.14	2	6.5
021	13:31:56	21.11.14	2	4.2
017	13:32:50	21.11.14	2	4.9
017	13:33:13	21.11.14	2	3.5
018	13:33:34	21.11.14	2	4.2
016	13:34:31	21.11.14	2	4.2
015	13:34:45	21.11.14	2	4.2
017	13:35:32	21.11.14	2	4.3
024	13:39:07	21.11.14	2	4.1
016	13:40:03	21.11.14	2	4.2
018	13:40:04	21.11.14	2	4.2
016	13:41:12	21.11.14	2	4.0
018	13:42:09	21.11.14	2	4.0
029	13:42:45	21.11.14	2	3.9
016	13:42:59	21.11.14	2	4.3
017	13:43:11	21.11.14	2	4.0
014	13:45:11	21.11.14	2	4.3
010	13:46:31	21.11.14	2	4.3
029	13:46:47	21.11.14	2	4.0
023	13:48:21	21.11.14	2	3.6
006	13:51:03	21.11.14	2	4.3
021	13:53:14	21.11.14	2	4.3
005	13:54:06	21.11.14	2	4.4
024	13:57:12	21.11.14	2	4.3
015	13:58:21	21.11.14	2	10.2
015	13:58:25	21.11.14	2	4.6
021	13:59:14	21.11.14	2	3.7
020	13:59:33	21.11.14	2	4.6
022	13:59:36	21.11.14	2	5.2
019	14:01:45	21.11.14	2	4.1
018	14:02:06	21.11.14	2	4.5
022	14:03:41	21.11.14	2	4.3
016	14:06:06	21.11.14	2	4.5
022	14:08:02	21.11.14	2	4.4
018	14:09:02	21.11.14	2	4.1
018	14:10:03	21.11.14	2	2.5
022	14:10:43	21.11.14	2	4.3
021	14:12:27	21.11.14	2	4.4
018	14:13:53	21.11.14	2	4.3
019	14:14:47	21.11.14	2	4.5
022	14:14:50	21.11.14	2	4.8
019	14:15:31	21.11.14	2	4.4
011	14:15:34	21.11.14	2	3.5
018	14:16:23	21.11.14	2	4.5
007	14:19:18	21.11.14	2	4.5
015	14:26:06	21.11.14	2	4.3
018	14:30:46	21.11.14	2	5.6
017	14:31:12	21.11.14	2	4.6
019	14:32:15	21.11.14	2	4.2
017	14:34:33	21.11.14	2	4.6
019	14:35:30	21.11.14	2	3.8
015	14:35:58	21.11.14	2	4.1
019	14:36:34	21.11.14	2	5.7
015	14:36:56	21.11.14	2	5.0
007	14:40:47	21.11.14	2	4.7
008	14:40:48	21.11.14	2	4.7
018	14:41:17	21.11.14	2	3.9
007	14:42:23	21.11.14	2	4.7
019	14:43:45	21.11.14	2	4.0
012	14:47:54	21.11.14	2	4.9
024	14:48:32	21.11.14	2	4.1
016	14:48:47	21.11.14	2	4.0
019	14:51:09	21.11.14	2	3.7
013	14:52:49	21.11.14	2	4.8
021	14:52:52	21.11.14	2	4.4
017	14:55:44	21.11.14	2	4.8
021	14:57:31	21.11.14	2	4.2
016	14:58:31	21.11.14	2	4.3
021	14:59:07	21.11.14	2	3.7
015	14:59:14	21.11.14	2	4.9
010	14:59:20	21.11.14	2	5.0
006	15:00:10	21.11.14	2	3.4
006	15:00:11	21.11.14	2	5.0
020	15:00:31	21.11.14	2	4.0
020	15:00:51	21.11.14	2	3.9
014	15:05:15	21.11.14	2	5.2
009	15:05:57	21.11.14	2	5.2
