

Standort: 2-Bruderholzalle

[km/h]				 [m]
Dateformat: dd.mm.yy
028	14:01:03	31.01.14	1	3.5
020	14:01:05	31.01.14	1	5.3
014	14:01:10	31.01.14	1	9.5
010	14:01:13	31.01.14	1	3.6
031	14:10:04	31.01.14	1	5.0
041	14:10:32	31.01.14	1	3.9
040	14:10:35	31.01.14	1	4.4
033	14:11:08	31.01.14	1	5.7
034	14:11:30	31.01.14	1	7.4
029	14:11:33	31.01.14	1	21.4
028	14:15:51	31.01.14	1	4.8
019	14:16:37	31.01.14	1	5.1
052	14:18:05	31.01.14	1	4.2
024	14:20:21	31.01.14	1	2.4
046	14:21:36	31.01.14	1	5.4
023	14:23:53	31.01.14	1	1.8
036	14:24:10	31.01.14	1	5.4
055	14:27:10	31.01.14	1	5.0
023	14:27:44	31.01.14	1	4.8
037	14:28:59	31.01.14	1	6.5
017	14:31:24	31.01.14	1	0.9
034	14:31:49	31.01.14	1	5.3
040	14:32:52	31.01.14	1	4.5
022	14:33:07	31.01.14	1	3.8
036	14:33:13	31.01.14	1	4.2
041	14:34:23	31.01.14	1	4.6
036	14:34:45	31.01.14	1	4.9
035	14:36:01	31.01.14	1	1.1
031	14:38:10	31.01.14	1	4.1
042	14:39:34	31.01.14	1	6.1
049	14:41:12	31.01.14	1	4.9
021	14:44:20	31.01.14	1	3.8
033	14:45:13	31.01.14	1	4.1
033	14:45:44	31.01.14	1	5.0
020	14:46:48	31.01.14	1	20.7
024	14:47:03	31.01.14	1	3.1
035	14:47:13	31.01.14	1	4.9
034	14:47:14	31.01.14	1	2.8
031	14:48:03	31.01.14	1	11.0
013	14:49:17	31.01.14	1	2.5
014	14:49:29	31.01.14	1	3.5
041	14:50:45	31.01.14	1	3.6
052	14:50:55	31.01.14	1	4.3
030	14:51:48	31.01.14	1	3.6
037	14:52:58	31.01.14	1	5.1
039	14:53:27	31.01.14	1	4.0
040	14:55:11	31.01.14	1	3.7
039	14:55:51	31.01.14	1	4.7
047	14:59:09	31.01.14	1	2.5
047	14:59:34	31.01.14	1	4.5
033	14:59:47	31.01.14	1	3.3
023	15:00:35	31.01.14	1	2.5
030	15:01:20	31.01.14	1	4.2
045	15:02:33	31.01.14	1	2.8
025	15:03:11	31.01.14	1	3.8
039	15:10:10	31.01.14	1	3.7
030	15:12:06	31.01.14	1	4.0
043	15:12:35	31.01.14	1	4.4
030	15:12:56	31.01.14	1	3.6
050	15:14:49	31.01.14	1	4.8
042	15:17:07	31.01.14	1	3.4
035	15:17:32	31.01.14	1	4.3
039	15:18:38	31.01.14	1	4.6
041	15:19:12	31.01.14	1	3.9
023	15:19:42	31.01.14	1	3.8
046	15:23:15	31.01.14	1	4.6
028	15:25:11	31.01.14	1	7.2
021	15:25:50	31.01.14	1	3.8
029	15:28:07	31.01.14	1	4.0
034	15:33:34	31.01.14	1	5.0
036	15:37:34	31.01.14	1	4.3
010	15:38:11	31.01.14	1	1.8
013	15:40:55	31.01.14	1	3.6
045	15:41:12	31.01.14	1	4.7
044	15:42:02	31.01.14	1	3.7
022	15:43:59	31.01.14	1	3.7
027	15:45:22	31.01.14	1	7.0
028	15:45:24	31.01.14	1	4.9
042	15:46:35	31.01.14	1	4.4
016	15:47:00	31.01.14	1	3.0
045	15:47:36	31.01.14	1	6.1
028	15:47:58	31.01.14	1	4.9
031	15:53:22	31.01.14	1	3.9
041	15:59:38	31.01.14	1	3.7
048	15:59:43	31.01.14	1	5.1
047	16:00:29	31.01.14	1	4.6
021	16:03:22	31.01.14	1	4.2
024	16:06:38	31.01.14	1	4.6
054	16:08:47	31.01.14	1	4.8
036	16:09:19	31.01.14	1	4.7
034	16:11:16	31.01.14	1	4.3
037	16:12:10	31.01.14	1	4.3
027	16:13:26	31.01.14	1	4.4
045	16:15:33	31.01.14	1	5.4
036	16:16:00	31.01.14	1	3.8
041	16:16:32	31.01.14	1	3.4
043	16:16:39	31.01.14	1	4.5
048	16:17:36	31.01.14	1	3.5
034	16:18:32	31.01.14	1	4.0
037	16:20:14	31.01.14	1	5.3
040	16:20:58	31.01.14	1	3.8
056	16:22:26	31.01.14	1	4.6
044	16:22:42	31.01.14	1	4.3
034	16:25:03	31.01.14	1	3.9
047	16:25:18	31.01.14	1	5.4
026	16:28:49	31.01.14	1	3.8
034	16:29:32	31.01.14	1	4.2
022	16:30:44	31.01.14	1	4.0
042	16:31:11	31.01.14	1	2.6
034	16:31:26	31.01.14	1	4.2
047	16:31:31	31.01.14	1	5.3
038	16:33:19	31.01.14	1	4.7
034	16:34:13	31.01.14	1	4.4
040	16:37:32	31.01.14	1	3.8
038	16:39:42	31.01.14	1	3.8
021	16:40:22	31.01.14	1	3.3
020	16:40:25	31.01.14	1	4.6
027	16:40:36	31.01.14	1	3.4
027	16:41:15	31.01.14	1	3.9
047	16:42:54	31.01.14	1	3.4
035	16:45:00	31.01.14	1	4.1
026	16:45:07	31.01.14	1	3.2
026	16:45:37	31.01.14	1	6.1
051	16:46:48	31.01.14	1	3.4
048	16:47:15	31.01.14	1	3.9
036	16:51:11	31.01.14	1	3.8
048	16:52:17	31.01.14	1	5.2
011	16:52:40	31.01.14	1	3.9
031	16:58:07	31.01.14	1	3.3
026	17:01:27	31.01.14	1	3.5
016	17:01:32	31.01.14	1	3.0
015	17:01:36	31.01.14	1	4.9
033	17:02:04	31.01.14	1	4.1
041	17:06:55	31.01.14	1	4.3
034	17:11:46	31.01.14	1	4.6
011	17:11:57	31.01.14	1	5.8
017	17:12:03	31.01.14	1	0.8
033	17:14:14	31.01.14	1	4.5
039	17:14:31	31.01.14	1	4.5
034	17:14:50	31.01.14	1	4.4
035	17:15:49	31.01.14	1	4.9
031	17:15:54	31.01.14	1	4.2
041	17:17:05	31.01.14	1	4.3
031	17:18:40	31.01.14	1	3.7
032	17:18:43	31.01.14	1	4.4
038	17:19:47	31.01.14	1	3.3
048	17:21:40	31.01.14	1	7.1
032	17:23:35	31.01.14	1	4.2
042	17:24:38	31.01.14	1	4.0
042	17:26:35	31.01.14	1	5.1
036	17:29:32	31.01.14	1	4.0
044	17:32:27	31.01.14	1	4.0
038	17:33:14	31.01.14	1	4.4
037	17:35:45	31.01.14	1	4.7
043	17:36:12	31.01.14	1	3.8
045	17:43:42	31.01.14	1	4.0
040	17:43:51	31.01.14	1	6.5
034	17:45:09	31.01.14	1	3.8
035	17:45:21	31.01.14	1	4.9
032	17:46:10	31.01.14	1	5.4
028	17:46:44	31.01.14	1	20.9
024	17:46:46	31.01.14	1	4.0
021	17:47:24	31.01.14	1	4.6
