

Standort: 2-BuechelStr

[km/h]				 [m]
Dateformat: dd.mm.yy
025	08:41:07	08.11.13	1	6.7
023	08:41:12	08.11.13	1	9.4
017	08:41:42	08.11.13	1	7.5
021	08:42:04	08.11.13	1	5.4
026	08:43:49	08.11.13	1	5.0
027	08:47:59	08.11.13	1	4.1
028	08:48:08	08.11.13	1	5.4
015	08:48:32	08.11.13	1	1.0
032	08:50:13	08.11.13	1	3.7
030	08:52:01	08.11.13	1	3.5
033	08:52:33	08.11.13	1	5.3
032	08:53:01	08.11.13	1	5.7
037	08:53:48	08.11.13	1	6.2
027	08:56:45	08.11.13	1	5.5
024	08:59:17	08.11.13	1	3.5
033	09:00:00	08.11.13	1	4.6
040	09:01:04	08.11.13	1	4.2
021	09:03:12	08.11.13	1	6.0
035	09:04:41	08.11.13	1	4.5
015	09:05:27	08.11.13	1	0.7
025	09:07:46	08.11.13	1	4.7
020	09:08:11	08.11.13	1	1.4
032	09:09:55	08.11.13	1	4.4
038	09:12:58	08.11.13	1	4.2
017	09:15:27	08.11.13	1	3.6
037	09:16:56	08.11.13	1	4.9
028	09:19:00	08.11.13	1	4.6
031	09:19:27	08.11.13	1	4.9
034	09:21:03	08.11.13	1	3.6
015	09:22:35	08.11.13	1	3.7
027	09:24:30	08.11.13	1	4.1
020	09:28:23	08.11.13	1	2.0
028	09:31:24	08.11.13	1	4.2
024	09:31:34	08.11.13	1	1.9
034	09:33:04	08.11.13	1	5.2
027	09:36:07	08.11.13	1	4.1
023	09:40:46	08.11.13	1	4.9
034	09:41:01	08.11.13	1	4.6
017	09:52:06	08.11.13	1	2.0
024	09:52:19	08.11.13	1	1.1
036	09:52:45	08.11.13	1	1.0
035	09:53:00	08.11.13	1	1.3
034	09:55:07	08.11.13	1	4.2
028	09:58:19	08.11.13	1	5.6
021	09:58:55	08.11.13	1	3.8
033	09:59:05	08.11.13	1	9.3
013	09:59:46	08.11.13	1	1.4
035	10:02:00	08.11.13	1	5.3
027	10:02:42	08.11.13	1	4.8
021	10:04:55	08.11.13	1	5.4
035	10:06:12	08.11.13	1	1.4
021	10:07:45	08.11.13	1	3.8
030	10:08:35	08.11.13	1	5.2
014	10:09:22	08.11.13	1	2.6
020	10:12:44	08.11.13	1	4.2
030	10:16:20	08.11.13	1	4.5
014	10:17:42	08.11.13	1	3.8
031	10:18:57	08.11.13	1	4.0
029	10:19:39	08.11.13	1	4.2
020	10:22:11	08.11.13	1	4.9
028	10:24:34	08.11.13	1	4.4
027	10:28:59	08.11.13	1	4.6
017	10:29:39	08.11.13	1	3.8
029	10:34:19	08.11.13	1	5.1
021	10:36:32	08.11.13	1	3.9
015	10:37:40	08.11.13	1	3.9
008	10:44:35	08.11.13	1	3.5
024	10:44:57	08.11.13	1	5.2
024	10:46:17	08.11.13	1	3.9
027	10:46:55	08.11.13	1	5.6
040	10:49:48	08.11.13	1	5.2
031	10:52:01	08.11.13	1	2.9
017	10:52:08	08.11.13	1	1.5
029	10:53:57	08.11.13	1	4.5
023	10:55:28	08.11.13	1	3.9
033	10:57:16	08.11.13	1	5.7
033	10:58:01	08.11.13	1	4.5
018	10:59:31	08.11.13	1	4.0
030	10:59:49	08.11.13	1	4.7
014	11:00:43	08.11.13	1	1.4
012	11:03:24	08.11.13	1	0.5
017	11:05:11	08.11.13	1	6.7
028	11:06:55	08.11.13	1	5.5
036	11:14:02	08.11.13	1	3.6
034	11:16:11	08.11.13	1	4.1
033	11:16:34	08.11.13	1	4.3
020	11:17:35	08.11.13	1	4.0
034	11:20:45	08.11.13	1	3.8
036	11:20:58	08.11.13	1	4.7
027	11:21:07	08.11.13	1	5.5
021	11:21:20	08.11.13	1	11.6
015	11:22:17	08.11.13	1	5.6
010	11:22:25	08.11.13	1	5.0
027	11:23:24	08.11.13	1	4.0
032	11:24:37	08.11.13	1	4.6
026	11:25:15	08.11.13	1	4.6
015	11:28:21	08.11.13	1	9.7
030	11:28:34	08.11.13	1	3.4
026	11:32:49	08.11.13	1	4.5
028	11:35:52	08.11.13	1	3.6
025	11:36:19	08.11.13	1	4.0
015	11:40:44	08.11.13	1	2.6
020	11:47:22	08.11.13	1	4.1
026	11:47:47	08.11.13	1	4.9
035	11:50:28	08.11.13	1	4.3
016	11:50:56	08.11.13	1	4.1
034	11:53:09	08.11.13	1	4.8
029	11:53:59	08.11.13	1	3.9
031	11:54:39	08.11.13	1	5.7
030	11:55:38	08.11.13	1	5.3
019	11:56:01	08.11.13	1	4.1
026	11:57:29	08.11.13	1	4.2
027	11:58:21	08.11.13	1	5.2
029	11:59:51	08.11.13	1	5.0
029	12:01:22	08.11.13	1	6.9
027	12:03:14	08.11.13	1	3.5
020	12:03:55	08.11.13	1	2.5
021	12:03:56	08.11.13	1	3.0
025	12:06:19	08.11.13	1	4.1
037	12:08:25	08.11.13	1	5.6
012	12:09:15	08.11.13	1	4.5
016	12:09:26	08.11.13	1	4.1
032	12:10:08	08.11.13	1	4.1
016	12:11:59	08.11.13	1	5.4
023	12:13:35	08.11.13	1	5.7
016	12:17:51	08.11.13	1	4.2
028	12:18:30	08.11.13	1	4.8
028	12:18:32	08.11.13	1	5.1
033	12:19:12	08.11.13	1	4.8
019	12:20:57	08.11.13	1	1.5
016	12:21:07	08.11.13	1	3.8
031	12:21:35	08.11.13	1	8.4
026	12:24:33	08.11.13	1	2.1
035	12:28:17	08.11.13	1	5.3
033	12:29:46	08.11.13	1	4.4
021	12:31:12	08.11.13	1	4.5
037	12:32:00	08.11.13	1	4.1
032	12:33:44	08.11.13	1	1.8
026	12:34:56	08.11.13	1	3.5
040	12:36:14	08.11.13	1	5.3
033	12:37:10	08.11.13	1	4.3
032	12:37:49	08.11.13	1	5.2
014	12:39:39	08.11.13	1	4.2
017	12:40:26	08.11.13	1	2.2
030	12:40:32	08.11.13	1	3.9
033	12:41:06	08.11.13	1	3.7
034	12:42:17	08.11.13	1	4.6
014	12:43:45	08.11.13	1	2.5
031	12:44:12	08.11.13	1	4.2
013	12:46:31	08.11.13	1	4.2
021	12:54:12	08.11.13	1	4.3
028	12:56:28	08.11.13	1	5.6
029	12:56:30	08.11.13	1	4.0
019	13:03:40	08.11.13	1	1.8
035	13:11:04	08.11.13	1	4.4
026	13:17:33	08.11.13	1	4.8
030	13:18:01	08.11.13	1	4.4
031	13:21:47	08.11.13	1	5.2
029	13:23:01	08.11.13	1	4.9
033	13:23:24	08.11.13	1	6.1
028	13:24:37	08.11.13	1	10.2
036	13:24:46	08.11.13	1	3.6
017	13:27:41	08.11.13	1	0.9
010	13:30:33	08.11.13	1	4.3
