

Standort: 2-Chrischonaweg

[km/h]				 [m]
Dateformat: dd.mm.yy
013	09:36:34	20.11.15	1	3.5
036	09:57:59	20.11.15	1	4.4
038	10:06:58	20.11.15	1	4.3
028	10:08:22	20.11.15	1	4.0
033	10:09:52	20.11.15	1	3.2
026	10:10:17	20.11.15	1	4.7
033	10:13:42	20.11.15	1	3.4
035	10:13:52	20.11.15	1	3.3
031	10:14:20	20.11.15	1	2.5
022	10:18:38	20.11.15	1	3.7
027	10:21:45	20.11.15	1	7.4
040	10:24:02	20.11.15	1	4.8
035	10:24:26	20.11.15	1	4.2
041	10:30:34	20.11.15	1	5.1
030	10:31:47	20.11.15	1	4.5
031	10:33:46	20.11.15	1	3.4
032	10:33:48	20.11.15	1	4.0
019	10:36:23	20.11.15	1	4.2
029	10:39:37	20.11.15	1	4.1
027	10:41:00	20.11.15	1	4.0
029	10:44:17	20.11.15	1	4.3
039	10:46:54	20.11.15	1	4.6
024	10:47:40	20.11.15	1	3.4
024	10:47:42	20.11.15	1	3.7
028	10:52:04	20.11.15	1	7.7
038	10:54:29	20.11.15	1	4.5
045	11:07:23	20.11.15	1	4.2
037	11:11:43	20.11.15	1	5.4
032	11:11:52	20.11.15	1	3.5
030	11:18:12	20.11.15	1	4.2
031	11:22:05	20.11.15	1	7.9
036	11:27:57	20.11.15	1	3.8
040	11:32:12	20.11.15	1	4.3
040	11:37:46	20.11.15	1	3.8
025	11:38:21	20.11.15	1	9.7
035	11:38:48	20.11.15	1	4.5
030	11:45:19	20.11.15	1	5.0
038	11:46:38	20.11.15	1	4.5
019	11:49:15	20.11.15	1	4.0
033	11:53:43	20.11.15	1	7.9
031	11:57:28	20.11.15	1	4.3
028	11:57:35	20.11.15	1	4.4
032	11:58:18	20.11.15	1	3.8
028	12:01:48	20.11.15	1	4.5
039	12:14:33	20.11.15	1	3.5
036	12:15:27	20.11.15	1	4.5
033	12:17:24	20.11.15	1	5.2
029	12:22:22	20.11.15	1	7.7
039	12:27:27	20.11.15	1	3.8
040	12:41:44	20.11.15	1	5.4
022	12:49:05	20.11.15	1	1.6
036	12:52:04	20.11.15	1	7.9
036	12:53:54	20.11.15	1	4.3
036	12:54:15	20.11.15	1	5.3
033	13:01:49	20.11.15	1	3.0
030	13:04:04	20.11.15	1	3.4
026	13:08:36	20.11.15	1	5.4
015	13:10:58	20.11.15	1	1.2
036	13:20:41	20.11.15	1	4.3
030	13:22:13	20.11.15	1	8.0
035	13:24:43	20.11.15	1	5.2
036	13:43:11	20.11.15	1	4.8
028	13:52:25	20.11.15	1	8.0
032	13:54:32	20.11.15	1	5.0
036	13:56:17	20.11.15	1	3.7
040	13:57:19	20.11.15	1	4.9
037	13:58:24	20.11.15	1	5.6
022	14:13:25	20.11.15	1	4.7
035	14:16:44	20.11.15	1	4.3
030	14:18:16	20.11.15	1	4.5
038	14:20:39	20.11.15	1	4.5
036	14:22:46	20.11.15	1	4.2
027	14:23:39	20.11.15	1	8.3
040	14:23:47	20.11.15	1	4.4
038	14:29:37	20.11.15	1	4.0
031	14:32:54	20.11.15	1	6.8
038	14:33:27	20.11.15	1	4.6
024	14:41:30	20.11.15	1	4.4
034	14:49:06	20.11.15	1	3.8
033	14:49:36	20.11.15	1	4.9
025	14:53:16	20.11.15	1	4.0
026	14:53:23	20.11.15	1	8.2
033	14:53:54	20.11.15	1	4.5
039	14:58:13	20.11.15	1	4.8
038	15:12:31	20.11.15	1	3.6
040	15:14:45	20.11.15	1	4.5
035	15:19:26	20.11.15	1	4.3
027	15:22:30	20.11.15	1	7.6
027	15:22:32	20.11.15	1	4.0
029	15:24:07	20.11.15	1	3.1
031	15:24:21	20.11.15	1	4.4
029	15:25:16	20.11.15	1	4.2
032	15:26:08	20.11.15	1	6.9
032	15:28:37	20.11.15	1	4.2
034	15:33:59	20.11.15	1	4.9
032	15:35:28	20.11.15	1	4.6
031	15:37:00	20.11.15	1	5.8
034	15:38:41	20.11.15	1	3.9
031	15:40:04	20.11.15	1	4.0
031	15:42:35	20.11.15	1	5.1
025	15:49:54	20.11.15	1	4.9
036	15:50:18	20.11.15	1	4.3
028	15:50:40	20.11.15	1	9.8
036	15:53:33	20.11.15	1	8.2
027	15:54:31	20.11.15	1	3.7
029	15:58:02	20.11.15	1	3.1
028	16:01:25	20.11.15	1	7.2
038	16:02:35	20.11.15	1	4.4
026	16:06:09	20.11.15	1	4.6
036	16:17:08	20.11.15	1	4.1
024	16:19:14	20.11.15	1	4.0
030	16:22:18	20.11.15	1	4.3
026	16:22:56	20.11.15	1	8.1
032	16:23:42	20.11.15	1	7.0
025	16:27:56	20.11.15	1	5.2
025	16:30:46	20.11.15	1	4.6
036	16:34:35	20.11.15	1	3.9
042	16:39:36	20.11.15	1	3.8
031	16:41:41	20.11.15	1	4.3
028	16:45:39	20.11.15	1	5.1
025	16:47:39	20.11.15	1	1.6
030	16:49:56	20.11.15	1	3.4
027	16:52:16	20.11.15	1	8.2
027	16:53:57	20.11.15	1	4.8
035	16:55:31	20.11.15	1	4.9
030	16:57:22	20.11.15	1	3.6
039	17:00:51	20.11.15	1	4.4
037	17:07:23	20.11.15	1	3.6
057	17:08:57	20.11.15	1	1.2
042	17:16:48	20.11.15	1	4.5
028	17:19:01	20.11.15	1	4.2
029	17:19:33	20.11.15	1	4.3
028	17:21:21	20.11.15	1	4.7
030	17:21:55	20.11.15	1	7.5
035	17:27:21	20.11.15	1	4.5
017	17:27:47	20.11.15	1	4.1
031	17:28:44	20.11.15	1	4.6
037	17:30:12	20.11.15	1	4.0
023	17:32:00	20.11.15	1	4.5
038	17:35:23	20.11.15	1	4.5
041	17:35:39	20.11.15	1	4.5
037	17:38:54	20.11.15	1	5.2
037	17:38:58	20.11.15	1	4.4
034	17:39:00	20.11.15	1	5.1
023	17:51:57	20.11.15	1	6.9
023	17:51:59	20.11.15	1	3.4
034	17:52:51	20.11.15	1	3.8
029	17:57:09	20.11.15	1	3.8
029	18:01:19	20.11.15	1	4.4
033	18:02:40	20.11.15	1	3.7
041	18:13:55	20.11.15	1	4.5
032	18:23:12	20.11.15	1	4.5
043	18:24:38	20.11.15	1	4.2
035	18:26:00	20.11.15	1	3.8
026	18:26:11	20.11.15	1	7.6
028	18:27:46	20.11.15	1	4.4
046	18:29:27	20.11.15	1	4.5
033	18:30:22	20.11.15	1	4.4
031	18:32:30	20.11.15	1	3.8
030	18:33:54	20.11.15	1	3.4
028	18:39:12	20.11.15	1	3.9
027	18:47:15	20.11.15	1	3.7
028	18:51:52	20.11.15	1	7.7
027	18:54:37	20.11.15	1	4.7
031	19:15:04	20.11.15	1	0.8
032	19:21:47	20.11.15	1	3.6
028	19:22:58	20.11.15	1	7.0
033	19:28:51	20.11.15	1	3.9
038	19:30:05	20.11.15	1	3.4
027	19:32:46	20.11.15	1	2.8
029	19:35:53	20.11.15	1	3.2
027	19:37:37	20.11.15	1	3.6
028	19:39:47	20.11.15	1	4.0
030	19:56:47	20.11.15	1	6.7
033	19:58:05	20.11.15	1	2.6
033	20:11:15	20.11.15	1	4.1
029	20:21:36	20.11.15	1	7.3
033	20:41:32	20.11.15	1	3.5
037	20:46:12	20.11.15	1	4.1
030	21:25:17	20.11.15	1	3.3
024	21:53:22	20.11.15	1	3.4
035	22:00:54	20.11.15	1	4.2
022	22:17:24	20.11.15	1	2.8
041	22:24:05	20.11.15	1	4.1
042	22:36:43	20.11.15	1	4.6
043	23:08:10	20.11.15	1	4.6
025	23:11:19	20.11.15	1	4.1
040	23:18:10	20.11.15	1	3.1
035	03:09:57	21.11.15	1	3.8
025	04:35:54	21.11.15	1	4.4
034	04:53:57	21.11.15	1	4.8
037	05:19:41	21.11.15	1	3.9
033	06:10:45	21.11.15	1	4.0
028	06:16:26	21.11.15	1	4.2
027	06:22:53	21.11.15	1	7.4
032	06:24:14	21.11.15	1	4.1
042	06:47:42	21.11.15	1	4.1
028	06:52:35	21.11.15	1	7.3
041	06:55:50	21.11.15	1	4.3
046	06:56:19	21.11.15	1	4.1
030	06:57:50	21.11.15	1	5.2
023	07:22:16	21.11.15	1	7.1
038	07:41:54	21.11.15	1	4.1
030	07:53:24	21.11.15	1	8.2
051	07:59:03	21.11.15	1	1.3
031	08:04:18	21.11.15	1	2.2
025	08:06:58	21.11.15	1	4.5
032	08:13:36	21.11.15	1	4.2
025	08:22:23	21.11.15	1	7.7
028	08:28:12	21.11.15	1	4.5
032	08:37:13	21.11.15	1	4.8
025	08:43:41	21.11.15	1	4.4
050	08:45:20	21.11.15	1	4.1
032	08:50:31	21.11.15	1	3.7
044	08:53:38	21.11.15	1	4.6
024	08:54:02	21.11.15	1	7.8
031	08:54:18	21.11.15	1	4.3
046	09:15:00	21.11.15	1	4.9
029	09:22:12	21.11.15	1	7.8
031	09:24:10	21.11.15	1	4.6
028	09:24:43	21.11.15	1	4.3
036	09:27:23	21.11.15	1	5.1
037	09:29:38	21.11.15	1	4.7
032	09:30:14	21.11.15	1	4.6
037	09:30:43	21.11.15	1	4.1
039	09:34:29	21.11.15	1	3.3
038	09:39:53	21.11.15	1	4.4
038	09:43:06	21.11.15	1	4.6
039	09:43:19	21.11.15	1	2.9
035	09:45:45	21.11.15	1	5.0
033	09:47:44	21.11.15	1	1.1
029	09:52:12	21.11.15	1	8.7
036	09:53:15	21.11.15	1	4.5
039	09:54:10	21.11.15	1	3.9
036	09:59:51	21.11.15	1	4.3
033	10:02:38	21.11.15	1	5.0
036	10:05:25	21.11.15	1	4.1
008	10:11:19	21.11.15	1	3.8
033	10:17:00	21.11.15	1	4.0
029	10:22:29	21.11.15	1	8.0
030	10:24:48	21.11.15	1	4.7
028	10:24:55	21.11.15	1	4.2
037	10:25:51	21.11.15	1	5.0
035	10:34:29	21.11.15	1	4.8
035	10:42:02	21.11.15	1	5.4
037	10:48:06	21.11.15	1	4.7
027	10:52:13	21.11.15	1	7.7
029	10:55:30	21.11.15	1	1.3
032	10:56:41	21.11.15	1	4.0
041	11:03:56	21.11.15	1	5.1
031	11:05:45	21.11.15	1	4.2
036	11:06:27	21.11.15	1	3.3
032	11:12:57	21.11.15	1	4.0
036	11:16:47	21.11.15	1	5.5
028	11:23:10	21.11.15	1	8.3
031	11:24:40	21.11.15	1	4.2
036	11:35:26	21.11.15	1	5.2
036	11:35:32	21.11.15	1	4.1
029	11:37:28	21.11.15	1	4.2
025	11:44:47	21.11.15	1	5.2
033	11:48:26	21.11.15	1	3.9
030	11:51:39	21.11.15	1	8.0
033	11:57:06	21.11.15	1	3.5
029	11:57:29	21.11.15	1	1.0
020	11:58:51	21.11.15	1	4.2
033	11:59:42	21.11.15	1	4.1
031	12:01:32	21.11.15	1	5.3
047	12:05:36	21.11.15	1	5.2
033	12:14:03	21.11.15	1	3.4
037	12:14:12	21.11.15	1	4.2
041	12:15:11	21.11.15	1	5.0
012	12:16:00	21.11.15	1	2.0
028	12:21:12	21.11.15	1	4.9
028	12:22:03	21.11.15	1	8.1
037	12:23:45	21.11.15	1	4.1
035	12:26:13	21.11.15	1	4.8
032	12:26:15	21.11.15	1	0.6
039	12:27:50	21.11.15	1	4.8
033	12:35:04	21.11.15	1	5.3
035	12:37:42	21.11.15	1	3.6
031	12:48:50	21.11.15	1	4.1
036	12:51:47	21.11.15	1	4.5
028	12:52:14	21.11.15	1	8.8
038	12:55:00	21.11.15	1	3.7
034	13:06:46	21.11.15	1	5.3
034	13:09:28	21.11.15	1	4.3
035	13:15:46	21.11.15	1	4.2
029	13:19:57	21.11.15	1	1.0
036	13:24:20	21.11.15	1	7.4
037	13:32:52	21.11.15	1	4.4
041	13:34:26	21.11.15	1	4.7
024	13:35:57	21.11.15	1	4.2
031	13:42:24	21.11.15	1	5.0
033	13:44:47	21.11.15	1	3.9
030	13:46:41	21.11.15	1	5.1
038	13:47:39	21.11.15	1	5.5
026	13:52:37	21.11.15	1	8.1
045	13:58:18	21.11.15	1	4.7
007	14:04:39	21.11.15	1	1.7
027	14:05:17	21.11.15	1	3.8
040	14:05:20	21.11.15	1	5.7
029	14:11:08	21.11.15	1	4.2
034	14:16:59	21.11.15	1	4.7
031	14:18:37	21.11.15	1	4.9
031	14:22:06	21.11.15	1	8.2
037	14:26:42	21.11.15	1	5.3
030	14:27:03	21.11.15	1	2.5
032	14:27:06	21.11.15	1	5.1
010	14:33:03	21.11.15	1	4.2
035	14:52:11	21.11.15	1	4.4
034	14:52:30	21.11.15	1	7.9
033	14:57:44	21.11.15	1	5.1
028	15:02:05	21.11.15	1	1.2
033	15:02:35	21.11.15	1	4.5
038	15:03:05	21.11.15	1	4.3
035	15:07:33	21.11.15	1	3.5
031	15:08:01	21.11.15	1	4.8
028	15:09:22	21.11.15	1	4.1
033	15:14:14	21.11.15	1	4.5
035	15:14:47	21.11.15	1	4.8
042	15:17:29	21.11.15	1	4.4
036	15:18:10	21.11.15	1	3.7
028	15:22:25	21.11.15	1	8.0
033	15:23:42	21.11.15	1	3.4
036	15:26:45	21.11.15	1	5.4
028	15:29:56	21.11.15	1	5.2
022	15:33:14	21.11.15	1	3.6
040	15:36:32	21.11.15	1	4.1
034	15:37:02	21.11.15	1	4.5
034	15:38:42	21.11.15	1	5.4
031	15:39:23	21.11.15	1	4.3
028	15:40:05	21.11.15	1	3.8
035	15:40:26	21.11.15	1	4.5
036	15:43:20	21.11.15	1	4.2
027	15:52:19	21.11.15	1	8.2
036	15:58:25	21.11.15	1	4.4
042	16:01:26	21.11.15	1	5.7
041	16:07:32	21.11.15	1	4.4
040	16:11:24	21.11.15	1	3.6
035	16:14:11	21.11.15	1	4.5
033	16:22:57	21.11.15	1	8.0
030	16:24:10	21.11.15	1	4.9
033	16:24:58	21.11.15	1	5.0
033	16:31:43	21.11.15	1	4.6
028	16:34:46	21.11.15	1	4.2
035	16:37:11	21.11.15	1	5.3
008	16:38:05	21.11.15	1	4.2
039	16:40:42	21.11.15	1	4.5
038	16:48:19	21.11.15	1	4.7
036	16:52:20	21.11.15	1	5.0
028	16:53:07	21.11.15	1	8.0
021	17:00:50	21.11.15	1	2.6
031	17:21:04	21.11.15	1	4.0
033	17:22:04	21.11.15	1	8.2
027	17:22:37	21.11.15	1	1.6
036	17:23:25	21.11.15	1	5.5
033	17:26:07	21.11.15	1	4.9
033	17:30:45	21.11.15	1	4.0
027	17:36:27	21.11.15	1	0.9
033	17:38:05	21.11.15	1	4.0
026	17:40:16	21.11.15	1	4.5
034	17:51:07	21.11.15	1	3.5
045	17:51:52	21.11.15	1	4.4
043	17:51:54	21.11.15	1	4.8
031	17:52:05	21.11.15	1	4.0
031	17:52:08	21.11.15	1	8.0
034	17:52:11	21.11.15	1	4.1
031	17:53:20	21.11.15	1	5.3
038	17:54:53	21.11.15	1	5.0
027	18:03:17	21.11.15	1	6.1
039	18:14:37	21.11.15	1	4.1
030	18:20:01	21.11.15	1	4.4
024	18:23:28	21.11.15	1	7.8
034	18:33:07	21.11.15	1	4.8
032	18:41:07	21.11.15	1	4.7
015	18:41:19	21.11.15	1	4.2
033	18:51:58	21.11.15	1	8.4
030	18:54:49	21.11.15	1	4.2
038	18:59:29	21.11.15	1	5.4
028	19:05:36	21.11.15	1	4.2
038	19:06:57	21.11.15	1	5.1
037	19:12:51	21.11.15	1	4.3
023	19:15:16	21.11.15	1	4.0
024	19:22:39	21.11.15	1	7.8
033	19:26:07	21.11.15	1	4.3
030	19:30:33	21.11.15	1	5.1
024	19:37:51	21.11.15	1	4.7
035	19:50:19	21.11.15	1	4.0
030	19:52:41	21.11.15	1	8.3
045	20:18:34	21.11.15	1	5.1
032	20:19:49	21.11.15	1	8.2
032	20:37:37	21.11.15	1	5.0
036	20:51:29	21.11.15	1	5.1
047	21:18:13	21.11.15	1	4.3
033	21:30:28	21.11.15	1	3.9
033	21:43:33	21.11.15	1	4.3
041	21:48:34	21.11.15	1	4.6
015	21:48:48	21.11.15	1	2.2
034	22:05:07	21.11.15	1	4.2
047	22:36:45	21.11.15	1	5.3
032	23:41:39	21.11.15	1	4.5
031	00:01:48	22.11.15	1	4.3
041	00:35:04	22.11.15	1	5.0
031	00:51:48	22.11.15	1	5.2
026	01:07:38	22.11.15	1	4.6
031	01:13:33	22.11.15	1	4.5
024	01:44:08	22.11.15	1	4.6
012	02:16:04	22.11.15	1	2.1
022	02:17:27	22.11.15	1	5.0
042	02:58:30	22.11.15	1	4.4
024	03:19:59	22.11.15	1	5.4
030	04:05:50	22.11.15	1	4.2
043	06:11:28	22.11.15	1	4.1
034	06:12:05	22.11.15	1	4.0
030	07:31:22	22.11.15	1	4.6
037	08:00:12	22.11.15	1	4.3
031	08:34:54	22.11.15	1	4.9
031	08:36:01	22.11.15	1	4.3
039	08:39:23	22.11.15	1	3.8
043	08:46:28	22.11.15	1	4.3
037	09:01:00	22.11.15	1	4.2
030	09:02:54	22.11.15	1	5.7
046	09:06:01	22.11.15	1	5.2
027	09:13:59	22.11.15	1	3.2
038	09:16:14	22.11.15	1	4.4
032	09:26:36	22.11.15	1	5.4
039	09:28:23	22.11.15	1	3.7
040	09:44:47	22.11.15	1	4.1
034	09:56:26	22.11.15	1	4.7
027	09:58:37	22.11.15	1	3.9
024	10:03:12	22.11.15	1	0.5
031	10:11:45	22.11.15	1	5.7
032	10:39:11	22.11.15	1	4.8
007	10:49:26	22.11.15	1	3.6
032	10:54:44	22.11.15	1	3.8
038	11:12:03	22.11.15	1	3.9
040	11:13:27	22.11.15	1	4.2
032	11:18:30	22.11.15	1	4.8
035	11:26:33	22.11.15	1	4.2
031	11:28:09	22.11.15	1	4.3
016	11:29:33	22.11.15	1	5.4
020	11:30:15	22.11.15	1	4.4
033	11:39:03	22.11.15	1	5.6
011	11:43:21	22.11.15	1	4.2
033	11:46:39	22.11.15	1	4.2
040	11:50:32	22.11.15	1	4.5
030	11:51:30	22.11.15	1	4.8
031	11:55:59	22.11.15	1	5.1
036	11:56:54	22.11.15	1	4.9
026	12:02:11	22.11.15	1	4.0
027	12:07:46	22.11.15	1	4.3
037	12:09:44	22.11.15	1	5.6
034	12:13:40	22.11.15	1	4.1
031	12:38:49	22.11.15	1	4.0
039	12:42:56	22.11.15	1	5.4
039	12:44:56	22.11.15	1	4.6
038	12:48:32	22.11.15	1	4.5
032	12:52:27	22.11.15	1	4.1
048	12:57:32	22.11.15	1	4.4
008	13:09:52	22.11.15	1	2.2
037	13:10:14	22.11.15	1	0.9
021	13:17:18	22.11.15	1	4.6
040	13:29:30	22.11.15	1	4.2
034	13:31:52	22.11.15	1	1.0
037	13:32:15	22.11.15	1	4.9
040	13:32:18	22.11.15	1	5.0
028	13:35:05	22.11.15	1	1.0
029	13:35:39	22.11.15	1	0.5
036	13:40:31	22.11.15	1	4.5
038	13:46:33	22.11.15	1	4.3
035	13:46:39	22.11.15	1	3.9
015	13:51:14	22.11.15	1	4.3
032	13:57:08	22.11.15	1	4.8
033	13:57:12	22.11.15	1	4.4
033	14:20:12	22.11.15	1	4.6
026	14:25:23	22.11.15	1	4.1
032	14:25:33	22.11.15	1	5.4
037	14:37:26	22.11.15	1	6.1
036	14:37:51	22.11.15	1	1.7
033	14:37:52	22.11.15	1	4.4
032	14:38:21	22.11.15	1	4.4
031	14:40:21	22.11.15	1	5.1
034	14:40:33	22.11.15	1	4.2
031	14:43:08	22.11.15	1	3.7
042	14:44:18	22.11.15	1	5.0
027	14:47:41	22.11.15	1	3.8
042	14:54:00	22.11.15	1	5.7
030	14:56:17	22.11.15	1	5.8
035	14:59:10	22.11.15	1	3.6
026	15:00:17	22.11.15	1	4.0
024	15:05:01	22.11.15	1	4.1
033	15:05:14	22.11.15	1	4.9
037	15:06:57	22.11.15	1	5.7
026	15:07:25	22.11.15	1	4.3
034	15:08:31	22.11.15	1	0.7
046	15:15:55	22.11.15	1	4.6
014	15:29:56	22.11.15	1	2.6
027	15:31:26	22.11.15	1	4.6
037	15:37:59	22.11.15	1	4.9
026	15:42:51	22.11.15	1	3.4
027	15:55:30	22.11.15	1	4.6
025	15:55:39	22.11.15	1	4.9
028	15:55:53	22.11.15	1	5.0
032	15:57:19	22.11.15	1	3.5
032	15:57:40	22.11.15	1	4.7
028	16:04:55	22.11.15	1	4.7
036	16:05:57	22.11.15	1	5.2
032	16:06:01	22.11.15	1	4.3
031	16:15:04	22.11.15	1	4.4
038	16:15:06	22.11.15	1	4.2
030	16:15:51	22.11.15	1	4.4
041	16:16:15	22.11.15	1	4.6
038	16:20:05	22.11.15	1	5.2
035	16:20:26	22.11.15	1	4.6
037	16:21:02	22.11.15	1	4.3
031	16:21:35	22.11.15	1	4.4
033	16:27:08	22.11.15	1	4.4
027	16:28:27	22.11.15	1	5.1
032	16:35:15	22.11.15	1	4.5
035	16:38:04	22.11.15	1	4.6
008	16:44:04	22.11.15	1	2.0
015	16:48:27	22.11.15	1	0.8
035	16:52:46	22.11.15	1	6.0
033	16:55:58	22.11.15	1	0.8
038	17:06:50	22.11.15	1	4.8
033	17:11:58	22.11.15	1	4.7
029	17:15:14	22.11.15	1	4.4
026	17:18:06	22.11.15	1	4.4
025	17:18:08	22.11.15	1	4.4
006	17:22:46	22.11.15	1	0.5
026	17:25:33	22.11.15	1	5.8
037	17:31:06	22.11.15	1	4.0
023	17:36:48	22.11.15	1	4.3
037	17:56:11	22.11.15	1	5.1
040	17:56:16	22.11.15	1	5.2
037	18:20:10	22.11.15	1	5.1
033	18:25:10	22.11.15	1	3.2
033	18:30:55	22.11.15	1	4.9
034	18:31:47	22.11.15	1	4.4
034	18:35:14	22.11.15	1	4.7
032	18:36:08	22.11.15	1	4.5
032	18:41:58	22.11.15	1	3.3
026	18:43:48	22.11.15	1	4.3
028	18:59:41	22.11.15	1	4.3
030	19:05:02	22.11.15	1	5.0
037	19:05:27	22.11.15	1	5.0
029	19:11:37	22.11.15	1	5.0
032	19:14:45	22.11.15	1	4.6
030	19:22:11	22.11.15	1	5.2
037	19:27:50	22.11.15	1	3.9
025	19:50:46	22.11.15	1	3.4
033	20:00:42	22.11.15	1	3.0
030	20:04:19	22.11.15	1	4.8
032	20:10:48	22.11.15	1	4.8
034	20:21:02	22.11.15	1	4.4
030	20:30:30	22.11.15	1	4.9
031	20:30:39	22.11.15	1	5.2
032	20:38:33	22.11.15	1	5.2
051	21:03:22	22.11.15	1	5.4
035	21:15:18	22.11.15	1	4.8
054	21:44:23	22.11.15	1	5.0
031	23:43:17	22.11.15	1	4.5
037	23:44:03	22.11.15	1	4.5
029	04:21:28	23.11.15	1	4.4
035	06:04:34	23.11.15	1	4.1
032	06:20:26	23.11.15	1	4.0
024	06:22:27	23.11.15	1	7.7
032	06:27:54	23.11.15	1	4.5
042	06:47:39	23.11.15	1	4.5
028	06:51:29	23.11.15	1	3.6
022	06:52:48	23.11.15	1	7.7
040	06:53:47	23.11.15	1	3.0
030	06:58:24	23.11.15	1	5.4
035	07:01:27	23.11.15	1	4.8
027	07:17:56	23.11.15	1	4.4
032	07:22:45	23.11.15	1	8.0
032	07:22:51	23.11.15	1	4.5
024	07:25:22	23.11.15	1	9.8
033	07:26:22	23.11.15	1	4.8
026	07:35:00	23.11.15	1	1.1
043	07:35:05	23.11.15	1	4.9
030	07:40:32	23.11.15	1	4.8
030	07:41:50	23.11.15	1	4.5
047	07:42:01	23.11.15	1	1.3
038	07:43:13	23.11.15	1	6.7
025	07:46:05	23.11.15	1	4.5
032	07:46:59	23.11.15	1	4.6
029	07:48:17	23.11.15	1	0.9
036	07:50:32	23.11.15	1	4.9
024	07:51:14	23.11.15	1	4.5
029	07:51:26	23.11.15	1	4.4
031	07:51:47	23.11.15	1	11.8
030	07:52:42	23.11.15	1	8.2
028	07:54:14	23.11.15	1	1.0
033	07:55:41	23.11.15	1	10.4
035	07:55:43	23.11.15	1	4.7
045	07:56:52	23.11.15	1	4.4
037	07:57:31	23.11.15	1	3.7
030	07:57:37	23.11.15	1	4.5
030	07:59:04	23.11.15	1	4.2
029	08:00:18	23.11.15	1	5.1
028	08:00:51	23.11.15	1	4.1
025	08:01:26	23.11.15	1	4.4
027	08:05:52	23.11.15	1	4.7
034	08:05:55	23.11.15	1	0.6
037	08:07:07	23.11.15	1	4.5
031	08:07:48	23.11.15	1	5.4
028	08:09:01	23.11.15	1	5.0
027	08:16:42	23.11.15	1	3.9
036	08:19:15	23.11.15	1	4.5
036	08:19:23	23.11.15	1	4.7
036	08:19:27	23.11.15	1	6.4
026	08:22:32	23.11.15	1	8.6
028	08:23:29	23.11.15	1	4.7
033	08:24:33	23.11.15	1	4.9
030	08:25:46	23.11.15	1	4.5
039	08:25:57	23.11.15	1	4.2
037	08:26:01	23.11.15	1	4.6
026	08:27:14	23.11.15	1	3.6
054	08:30:31	23.11.15	1	4.5
033	08:32:01	23.11.15	1	5.0
039	08:32:16	23.11.15	1	5.0
032	08:33:35	23.11.15	1	5.8
030	08:35:39	23.11.15	1	4.5
029	08:41:59	23.11.15	1	0.5
035	08:44:07	23.11.15	1	4.9
025	08:47:09	23.11.15	1	4.5
033	08:50:59	23.11.15	1	9.8
031	08:52:03	23.11.15	1	7.8
038	08:52:37	23.11.15	1	4.7
038	08:59:16	23.11.15	1	3.8
037	08:59:22	23.11.15	1	4.9
030	09:03:04	23.11.15	1	6.5
019	09:03:36	23.11.15	1	8.8
029	09:13:25	23.11.15	1	4.8
025	09:21:59	23.11.15	1	5.8
032	09:22:06	23.11.15	1	8.0
037	09:23:21	23.11.15	1	4.6
016	09:25:55	23.11.15	1	4.5
033	09:27:28	23.11.15	1	4.7
034	09:28:06	23.11.15	1	4.9
031	09:31:34	23.11.15	1	3.7
027	09:33:58	23.11.15	1	3.6
029	09:35:55	23.11.15	1	4.6
037	09:40:23	23.11.15	1	4.6
045	09:40:27	23.11.15	1	5.3
027	09:41:44	23.11.15	1	4.4
030	09:49:00	23.11.15	1	9.8
032	09:50:13	23.11.15	1	5.2
026	09:52:17	23.11.15	1	8.5
034	09:58:07	23.11.15	1	4.1
033	10:06:36	23.11.15	1	4.0
036	10:08:43	23.11.15	1	4.1
029	10:09:04	23.11.15	1	4.8
035	10:12:14	23.11.15	1	4.6
032	10:12:48	23.11.15	1	5.1
029	10:15:54	23.11.15	1	4.7
020	10:19:39	23.11.15	1	5.9
033	10:22:06	23.11.15	1	8.1
031	10:22:50	23.11.15	1	4.3
036	10:23:22	23.11.15	1	4.1
022	10:27:24	23.11.15	1	4.1
031	10:34:20	23.11.15	1	4.7
032	10:35:32	23.11.15	1	4.0
027	10:39:21	23.11.15	1	0.5
028	10:42:01	23.11.15	1	4.7
