

Standort: 2-Colmarerstr

[km/h]				 [m]
Dateformat: dd.mm.yy
023	09:20:01	13.12.13	1	5.4
029	09:21:41	13.12.13	1	5.0
028	09:24:39	13.12.13	1	3.8
020	09:25:33	13.12.13	1	0.7
024	09:25:50	13.12.13	1	4.9
036	09:26:34	13.12.13	1	5.3
032	09:28:10	13.12.13	1	5.6
026	09:28:36	13.12.13	1	4.0
030	09:29:59	13.12.13	1	4.5
030	09:30:02	13.12.13	1	4.5
036	09:30:12	13.12.13	1	4.6
020	09:32:45	13.12.13	1	0.8
031	09:33:36	13.12.13	1	4.5
039	09:35:19	13.12.13	1	4.4
008	09:36:32	13.12.13	1	4.4
035	09:37:46	13.12.13	1	4.6
029	09:39:15	13.12.13	1	4.5
024	09:39:19	13.12.13	1	4.9
032	09:40:05	13.12.13	1	4.2
030	09:41:18	13.12.13	1	4.1
027	09:45:41	13.12.13	1	5.3
027	09:45:43	13.12.13	1	4.2
020	09:48:34	13.12.13	1	0.7
036	09:49:40	13.12.13	1	4.0
037	09:49:54	13.12.13	1	4.9
029	09:50:17	13.12.13	1	6.7
015	09:51:05	13.12.13	1	1.9
032	09:51:59	13.12.13	1	5.9
021	09:53:58	13.12.13	1	4.4
028	09:54:37	13.12.13	1	11.6
034	09:55:32	13.12.13	1	5.1
022	09:56:27	13.12.13	1	4.8
032	09:58:19	13.12.13	1	5.0
028	10:00:09	13.12.13	1	4.6
024	10:00:48	13.12.13	1	3.9
021	10:01:33	13.12.13	1	3.8
026	10:01:50	13.12.13	1	3.6
032	10:03:17	13.12.13	1	5.4
024	10:04:15	13.12.13	1	3.6
040	10:04:30	13.12.13	1	5.8
027	10:05:24	13.12.13	1	3.9
032	10:06:14	13.12.13	1	4.9
020	10:07:31	13.12.13	1	1.1
027	10:08:26	13.12.13	1	3.9
021	10:11:15	13.12.13	1	1.0
015	10:13:59	13.12.13	1	8.2
017	10:14:04	13.12.13	1	5.1
031	10:16:54	13.12.13	1	4.5
032	10:17:01	13.12.13	1	4.3
029	10:18:03	13.12.13	1	4.5
024	10:21:12	13.12.13	1	3.6
010	10:22:25	13.12.13	1	0.8
028	10:24:22	13.12.13	1	7.0
028	10:24:26	13.12.13	1	4.0
027	10:26:36	13.12.13	1	4.0
031	10:27:16	13.12.13	1	5.0
036	10:27:50	13.12.13	1	11.9
041	10:28:29	13.12.13	1	4.1
031	10:29:05	13.12.13	1	3.5
025	10:29:51	13.12.13	1	5.9
034	10:31:49	13.12.13	1	5.0
036	10:34:50	13.12.13	1	5.0
033	10:36:17	13.12.13	1	5.1
018	10:36:24	13.12.13	1	4.1
030	10:36:44	13.12.13	1	6.4
041	10:36:53	13.12.13	1	4.7
035	10:37:51	13.12.13	1	7.0
025	10:42:36	13.12.13	1	4.5
030	10:42:38	13.12.13	1	5.0
020	10:45:13	13.12.13	1	4.1
025	10:45:32	13.12.13	1	5.4
034	10:46:02	13.12.13	1	4.1
