

Standort: 2-Einfahrt Wolf

[km/h]				 [m]
Dateformat: dd.mm.yy
033	10:32:51	26.08.16	2	9.9
033	10:32:53	26.08.16	2	10.6
032	10:32:56	26.08.16	2	8.2
032	10:33:00	26.08.16	2	4.4
036	10:33:00	26.08.16	2	3.3
034	10:33:02	26.08.16	2	4.1
032	10:33:03	26.08.16	2	3.9
033	10:33:05	26.08.16	2	4.5
034	10:33:08	26.08.16	2	4.3
032	10:33:27	26.08.16	2	10.3
043	10:33:35	26.08.16	2	1.7
051	10:33:37	26.08.16	2	10.6
028	10:33:40	26.08.16	2	7.6
027	10:33:41	26.08.16	2	3.1
037	10:33:47	26.08.16	2	4.2
036	10:33:49	26.08.16	2	9.7
036	10:33:53	26.08.16	2	6.1
032	10:33:59	26.08.16	2	8.6
036	10:34:00	26.08.16	2	1.9
025	10:34:02	26.08.16	2	11.2
032	10:34:03	26.08.16	2	2.9
029	10:34:05	26.08.16	2	3.9
047	10:34:08	26.08.16	2	6.1
046	10:34:10	26.08.16	2	2.8
050	10:34:13	26.08.16	2	20.3
039	10:34:16	26.08.16	2	4.2
037	10:34:18	26.08.16	2	0.6
040	10:34:20	26.08.16	2	7.3
042	10:34:22	26.08.16	2	7.3
031	10:34:24	26.08.16	2	11.0
030	10:34:26	26.08.16	2	10.4
043	10:34:39	26.08.16	2	6.3
035	10:34:45	26.08.16	2	4.8
034	10:34:58	26.08.16	2	4.8
028	10:35:01	26.08.16	2	8.0
037	10:35:02	26.08.16	2	6.4
048	10:35:03	26.08.16	2	8.7
044	10:35:05	26.08.16	2	8.2
037	10:35:07	26.08.16	2	3.7
039	10:35:12	26.08.16	2	7.2
039	10:35:14	26.08.16	2	6.4
036	10:35:40	26.08.16	2	6.7
040	10:35:42	26.08.16	2	8.1
042	10:35:43	26.08.16	2	4.4
043	10:35:47	26.08.16	2	3.7
045	10:36:01	26.08.16	2	4.1
034	10:36:07	26.08.16	2	4.9
041	10:36:09	26.08.16	2	6.6
035	10:36:10	26.08.16	2	9.6
030	10:36:19	26.08.16	2	7.6
035	10:36:20	26.08.16	2	4.0
034	10:36:25	26.08.16	2	25.2
028	10:36:29	26.08.16	2	10.5
031	10:36:32	26.08.16	2	10.1
033	10:36:33	26.08.16	2	4.6
034	10:36:34	26.08.16	2	4.7
042	10:36:35	26.08.16	2	6.2
031	10:36:37	26.08.16	2	5.3
035	10:36:38	26.08.16	2	3.4
053	10:36:58	26.08.16	2	3.3
038	10:37:00	26.08.16	2	4.7
055	10:37:02	26.08.16	2	7.0
048	10:37:04	26.08.16	2	7.3
035	10:37:06	26.08.16	2	3.7
036	10:37:08	26.08.16	2	5.7
045	10:37:09	26.08.16	2	6.2
031	10:37:11	26.08.16	2	9.1
036	10:37:12	26.08.16	2	5.4
033	10:37:15	26.08.16	2	4.7
037	10:37:16	26.08.16	2	6.3
040	10:37:18	26.08.16	2	5.9
043	10:37:22	26.08.16	2	4.4
046	10:37:27	26.08.16	2	7.7
036	10:37:28	26.08.16	2	4.6
034	10:37:37	26.08.16	2	18.2
041	10:37:48	26.08.16	2	4.7
063	10:38:26	26.08.16	2	6.3
042	10:38:27	26.08.16	2	4.7
041	10:38:30	26.08.16	2	8.3
039	10:38:32	26.08.16	2	4.5
056	10:38:35	26.08.16	2	5.5
041	10:38:39	26.08.16	2	4.8
044	10:38:46	26.08.16	2	6.3
042	10:38:50	26.08.16	2	5.4
042	10:39:00	26.08.16	2	7.1
039	10:39:02	26.08.16	2	8.2
042	10:39:05	26.08.16	2	5.4
033	10:39:09	26.08.16	2	12.9
037	10:39:10	26.08.16	2	3.1
038	10:39:11	26.08.16	2	11.2
038	10:39:14	26.08.16	2	9.6
041	10:39:16	26.08.16	2	4.4
040	10:39:19	26.08.16	2	13.7
035	10:39:27	26.08.16	2	4.3
047	10:39:29	26.08.16	2	7.0
057	10:39:44	26.08.16	2	5.8
036	10:39:53	26.08.16	2	2.1
051	10:39:55	26.08.16	2	6.4
038	10:39:57	26.08.16	2	4.0
046	10:39:58	26.08.16	2	7.7
038	10:40:04	26.08.16	2	7.7
032	10:40:06	26.08.16	2	3.3
048	10:40:08	26.08.16	2	7.0
028	10:40:11	26.08.16	2	10.4
031	10:40:13	26.08.16	2	10.0
042	10:40:17	26.08.16	2	5.7
039	10:40:20	26.08.16	2	5.4
040	10:40:59	26.08.16	2	4.1
047	10:41:01	26.08.16	2	6.2
037	10:41:01	26.08.16	2	4.5
048	10:41:02	26.08.16	2	7.6
045	10:41:03	26.08.16	2	7.3
046	10:41:08	26.08.16	2	5.4
044	10:41:09	26.08.16	2	11.4
039	10:41:14	26.08.16	2	7.4
034	10:41:18	26.08.16	2	5.2
031	10:41:21	26.08.16	2	13.0
034	10:41:25	26.08.16	2	14.4
043	10:41:27	26.08.16	2	5.9
041	10:41:30	26.08.16	2	6.1
040	10:41:51	26.08.16	2	4.6
040	10:41:54	26.08.16	2	5.8
041	10:41:56	26.08.16	2	6.2
044	10:41:57	26.08.16	2	7.9
039	10:42:10	26.08.16	2	4.1
031	10:42:12	26.08.16	2	5.0
041	10:42:13	26.08.16	2	9.2
041	10:42:14	26.08.16	2	4.5
045	10:43:02	26.08.16	2	6.4
053	10:43:17	26.08.16	2	4.3
049	10:43:20	26.08.16	2	7.6
044	10:43:21	26.08.16	2	4.4
039	10:43:23	26.08.16	2	6.4
031	10:43:33	26.08.16	2	4.5
038	10:43:35	26.08.16	2	4.4
037	10:43:36	26.08.16	2	4.3
037	10:43:37	26.08.16	2	3.9
049	10:43:39	26.08.16	2	3.9
046	10:43:40	26.08.16	2	7.3
043	10:43:42	26.08.16	2	5.2
042	10:43:45	26.08.16	2	4.5
039	10:43:48	26.08.16	2	7.5
042	10:43:52	26.08.16	2	6.3
037	10:44:26	26.08.16	2	4.2
040	10:44:31	26.08.16	2	23.9
046	10:44:31	26.08.16	2	6.7
039	10:44:35	26.08.16	2	5.5
044	10:44:37	26.08.16	2	6.3
