

Standort: 2-Erlenmattstras

[km/h]				 [m]
Dateformat: dd.mm.yy
014	16:01:12	31.10.14	2	7.0
009	16:07:04	31.10.14	2	0.9
014	16:10:51	31.10.14	2	3.5
024	16:10:57	31.10.14	2	3.5
032	16:11:47	31.10.14	2	6.3
022	16:14:05	31.10.14	2	3.9
020	16:17:50	31.10.14	2	6.0
021	16:19:48	31.10.14	2	4.5
023	16:20:35	31.10.14	2	4.1
036	16:24:05	31.10.14	2	7.5
024	16:24:22	31.10.14	2	5.7
017	16:24:25	31.10.14	2	3.6
017	16:24:46	31.10.14	2	3.6
029	16:25:17	31.10.14	2	5.4
024	16:26:11	31.10.14	2	4.7
021	16:27:19	31.10.14	2	3.0
019	16:29:23	31.10.14	2	0.7
029	16:33:06	31.10.14	2	3.4
021	16:35:09	31.10.14	2	0.5
024	16:37:01	31.10.14	2	4.4
019	16:37:48	31.10.14	2	3.8
011	16:39:38	31.10.14	2	0.9
009	16:43:09	31.10.14	2	4.5
012	16:43:50	31.10.14	2	3.7
014	16:43:52	31.10.14	2	3.7
033	16:49:28	31.10.14	2	4.6
017	16:52:44	31.10.14	2	3.8
028	16:52:57	31.10.14	2	4.6
028	16:53:20	31.10.14	2	4.8
022	16:55:39	31.10.14	2	3.8
019	16:57:23	31.10.14	2	1.3
011	16:59:18	31.10.14	2	5.8
017	17:06:17	31.10.14	2	4.5
027	17:07:21	31.10.14	2	5.0
022	17:11:28	31.10.14	2	4.1
013	17:12:19	31.10.14	2	3.8
025	17:13:33	31.10.14	2	8.8
009	17:14:59	31.10.14	2	1.3
008	17:18:43	31.10.14	2	1.6
022	17:20:07	31.10.14	2	4.6
020	17:20:09	31.10.14	2	3.9
020	17:20:16	31.10.14	2	4.0
009	17:20:33	31.10.14	2	4.4
017	17:23:40	31.10.14	2	5.5
033	17:24:11	31.10.14	2	4.9
021	17:24:48	31.10.14	2	4.6
030	17:29:41	31.10.14	2	5.5
020	17:29:54	31.10.14	2	4.4
017	17:31:23	31.10.14	2	4.7
012	17:34:22	31.10.14	2	2.9
025	17:34:29	31.10.14	2	5.7
027	17:34:30	31.10.14	2	4.0
026	17:39:40	31.10.14	2	4.1
025	17:39:43	31.10.14	2	8.4
027	17:42:43	31.10.14	2	4.1
026	17:43:36	31.10.14	2	3.4
021	17:43:42	31.10.14	2	5.7
022	17:49:09	31.10.14	2	4.0
022	17:49:19	31.10.14	2	0.6
031	17:51:12	31.10.14	2	4.3
026	17:52:29	31.10.14	2	4.5
020	17:55:37	31.10.14	2	4.7
008	17:57:47	31.10.14	2	2.8
021	17:58:28	31.10.14	2	4.7
039	17:59:54	31.10.14	2	4.7
015	18:04:16	31.10.14	2	8.0
008	18:05:09	31.10.14	2	4.1
017	18:08:11	31.10.14	2	3.3
018	18:08:40	31.10.14	2	4.1
020	18:09:28	31.10.14	2	1.1
016	18:10:50	31.10.14	2	4.1
021	18:11:44	31.10.14	2	5.9
025	18:13:41	31.10.14	2	4.1
023	18:13:48	31.10.14	2	4.2
010	18:15:34	31.10.14	2	4.1
027	18:17:27	31.10.14	2	5.5
024	18:20:49	31.10.14	2	4.1
020	18:21:11	31.10.14	2	0.5
025	18:24:56	31.10.14	2	4.1
020	18:27:30	31.10.14	2	3.7
016	18:27:35	31.10.14	2	4.3
016	18:32:17	31.10.14	2	4.1
015	18:44:03	31.10.14	2	5.5
008	18:44:48	31.10.14	2	4.2
008	18:44:53	31.10.14	2	4.2
012	18:45:02	31.10.14	2	3.8
027	18:45:37	31.10.14	2	6.9
023	18:46:43	31.10.14	2	5.1
027	18:51:15	31.10.14	2	4.1
012	18:52:29	31.10.14	2	7.4
020	18:53:03	31.10.14	2	4.5
010	18:54:22	31.10.14	2	5.4
