

Standort: 2-Fatiostrasse

[km/h]				 [m]
Dateformat: dd.mm.yy
007	11:42:52	25.04.14	2	8.4
009	11:46:59	25.04.14	2	1.5
010	12:13:10	25.04.14	2	1.6
010	12:20:12	25.04.14	2	1.4
010	12:45:31	25.04.14	2	1.6
005	13:20:10	25.04.14	2	3.8
013	14:04:21	25.04.14	2	1.7
010	14:07:39	25.04.14	2	1.4
009	15:08:21	25.04.14	2	4.0
009	15:20:37	25.04.14	2	1.4
018	15:46:32	25.04.14	2	3.6
008	16:08:25	25.04.14	2	4.0
010	16:09:37	25.04.14	2	4.1
011	16:12:30	25.04.14	2	1.8
009	16:15:13	25.04.14	2	4.1
006	16:23:14	25.04.14	2	1.3
012	16:29:36	25.04.14	2	1.6
004	16:31:30	25.04.14	2	1.4
006	16:33:14	25.04.14	2	4.1
005	16:39:24	25.04.14	2	4.1
009	16:47:46	25.04.14	2	1.6
009	16:50:44	25.04.14	2	4.1
007	16:58:46	25.04.14	2	4.1
008	16:58:47	25.04.14	2	4.1
006	16:58:48	25.04.14	2	4.2
006	17:43:56	25.04.14	2	4.2
006	17:45:23	25.04.14	2	4.2
005	17:52:44	25.04.14	2	4.2
006	17:52:45	25.04.14	2	4.3
005	17:57:45	25.04.14	2	4.3
009	17:58:17	25.04.14	2	4.3
011	17:59:45	25.04.14	2	4.3
010	18:04:58	25.04.14	2	1.6
012	18:27:09	25.04.14	2	4.3
006	18:34:13	25.04.14	2	4.3
012	18:36:39	25.04.14	2	1.6
018	19:00:43	25.04.14	2	4.4
009	19:13:57	25.04.14	2	2.1
008	19:15:57	25.04.14	2	1.9
004	19:36:40	25.04.14	2	1.4
011	19:48:36	25.04.14	2	4.4
012	20:37:23	25.04.14	2	1.5
005	21:37:13	25.04.14	2	2.5
006	22:24:17	25.04.14	2	4.5
012	22:40:55	25.04.14	2	1.5
014	22:51:13	25.04.14	2	1.8
004	23:07:22	25.04.14	2	4.5
007	05:32:29	26.04.14	2	1.3
007	07:15:22	26.04.14	2	1.7
007	08:54:33	26.04.14	2	1.4
008	09:17:59	26.04.14	2	3.9
006	09:18:31	26.04.14	2	4.5
010	09:46:50	26.04.14	2	4.5
006	10:44:16	26.04.14	2	4.6
006	10:44:17	26.04.14	2	4.6
008	12:00:32	26.04.14	2	4.7
009	12:11:33	26.04.14	2	4.7
012	12:36:59	26.04.14	2	4.8
009	12:51:38	26.04.14	2	1.8
013	13:02:41	26.04.14	2	1.5
006	13:08:28	26.04.14	2	4.9
006	13:32:04	26.04.14	2	5.0
008	13:35:07	26.04.14	2	2.0
010	13:41:55	26.04.14	2	5.0
008	13:43:52	26.04.14	2	5.0
005	14:09:01	26.04.14	2	5.1
006	14:52:32	26.04.14	2	2.9
007	15:09:08	26.04.14	2	1.4
009	15:38:52	26.04.14	2	5.1
011	15:56:45	26.04.14	2	4.4
011	16:17:30	26.04.14	2	5.4
012	16:18:42	26.04.14	2	1.7
005	16:21:08	26.04.14	2	5.2
009	16:22:03	26.04.14	2	5.2
006	16:40:21	26.04.14	2	5.2
