

Standort: 2-Fatiostrasse

[km/h]				 [m]
Dateformat: dd.mm.yy
008	08:10:54	28.08.17	2	3.8
017	08:11:52	28.08.17	2	3.9
018	08:12:34	28.08.17	2	4.1
020	08:15:07	28.08.17	2	10.3
020	08:15:19	28.08.17	2	5.0
009	08:15:49	28.08.17	2	3.5
010	08:15:51	28.08.17	2	3.7
010	08:15:59	28.08.17	2	5.9
008	08:16:55	28.08.17	2	3.8
023	08:20:44	28.08.17	2	4.8
017	08:22:31	28.08.17	2	5.0
022	08:23:11	28.08.17	2	11.3
024	08:23:26	28.08.17	2	4.6
020	08:26:15	28.08.17	2	5.8
032	08:28:26	28.08.17	2	13.3
015	08:31:56	28.08.17	2	5.0
020	08:39:39	28.08.17	2	4.0
021	08:43:17	28.08.17	2	5.3
017	08:47:37	28.08.17	2	3.9
013	08:48:05	28.08.17	2	3.6
012	08:49:23	28.08.17	2	4.9
014	08:50:02	28.08.17	2	5.6
008	08:53:20	28.08.17	2	3.7
018	08:55:30	28.08.17	2	9.4
017	08:56:33	28.08.17	2	4.4
021	08:58:19	28.08.17	2	10.4
018	09:02:34	28.08.17	2	9.9
008	09:02:59	28.08.17	2	3.0
010	09:04:23	28.08.17	2	3.8
014	09:07:02	28.08.17	2	10.2
026	09:11:35	28.08.17	2	10.0
020	09:12:27	28.08.17	2	5.3
022	09:15:46	28.08.17	2	4.7
026	09:15:49	28.08.17	2	8.1
033	09:18:33	28.08.17	2	8.0
023	09:18:52	28.08.17	2	4.6
008	09:35:28	28.08.17	2	4.5
022	09:36:43	28.08.17	2	8.3
022	09:38:38	28.08.17	2	12.0
006	09:42:47	28.08.17	2	3.8
016	09:43:09	28.08.17	2	3.8
018	09:48:54	28.08.17	2	4.6
016	09:49:53	28.08.17	2	3.8
009	09:53:56	28.08.17	2	2.0
017	09:56:28	28.08.17	2	4.5
007	10:01:42	28.08.17	2	3.9
007	10:03:44	28.08.17	2	2.9
019	10:06:56	28.08.17	2	4.9
019	10:06:59	28.08.17	2	10.2
016	10:08:03	28.08.17	2	6.0
008	10:08:09	28.08.17	2	3.0
008	10:09:01	28.08.17	2	0.8
007	10:10:14	28.08.17	2	3.9
008	10:10:14	28.08.17	2	3.9
031	10:24:06	28.08.17	2	9.9
008	10:27:59	28.08.17	2	3.9
010	10:29:35	28.08.17	2	2.9
012	10:29:45	28.08.17	2	3.8
019	10:36:40	28.08.17	2	11.2
010	10:48:42	28.08.17	2	4.4
007	10:52:14	28.08.17	2	4.0
006	10:53:31	28.08.17	2	4.0
013	10:57:49	28.08.17	2	4.0
012	10:57:50	28.08.17	2	4.0
007	11:01:05	28.08.17	2	4.0
008	11:01:15	28.08.17	2	4.1
005	11:02:01	28.08.17	2	4.1
007	11:12:07	28.08.17	2	2.5
026	11:13:12	28.08.17	2	4.7
008	11:18:30	28.08.17	2	4.1
006	11:18:31	28.08.17	2	4.1
033	11:20:13	28.08.17	2	11.2
022	11:21:46	28.08.17	2	10.4
007	11:23:35	28.08.17	2	1.6
018	11:27:03	28.08.17	2	6.4
008	11:31:02	28.08.17	2	4.8
005	11:31:29	28.08.17	2	4.1
021	11:33:20	28.08.17	2	4.5
034	11:36:53	28.08.17	2	8.6
012	11:42:22	28.08.17	2	5.9
011	11:42:22	28.08.17	2	4.1
027	11:45:27	28.08.17	2	3.9
005	11:47:24	28.08.17	2	4.1
005	11:52:48	28.08.17	2	4.1
019	11:52:50	28.08.17	2	5.4
008	12:02:58	28.08.17	2	4.1
021	12:12:37	28.08.17	2	8.5
015	12:12:45	28.08.17	2	4.1
019	12:16:21	28.08.17	2	4.1
022	12:18:27	28.08.17	2	8.1
024	12:19:39	28.08.17	2	8.3
027	12:24:41	28.08.17	2	8.4
006	12:26:39	28.08.17	2	4.2
017	12:27:35	28.08.17	2	4.5
006	12:27:49	28.08.17	2	4.2
007	12:28:55	28.08.17	2	4.2
006	12:29:26	28.08.17	2	4.2
008	12:30:16	28.08.17	2	0.7
005	12:37:09	28.08.17	2	4.2
004	12:37:15	28.08.17	2	4.2
015	12:52:05	28.08.17	2	4.3
008	13:01:39	28.08.17	2	4.6
004	13:08:28	28.08.17	2	4.3
007	13:09:04	28.08.17	2	4.3
023	13:10:39	28.08.17	2	7.5
017	13:18:26	28.08.17	2	4.6
006	13:32:41	28.08.17	2	0.8
029	13:37:56	28.08.17	2	7.6
018	13:46:06	28.08.17	2	4.3
017	13:46:07	28.08.17	2	3.2
007	13:49:14	28.08.17	2	0.8
022	13:50:13	28.08.17	2	4.5
014	13:50:28	28.08.17	2	4.3
031	13:51:47	28.08.17	2	8.0
018	13:57:29	28.08.17	2	4.3
008	13:58:43	28.08.17	2	4.4
004	14:03:01	28.08.17	2	1.1
022	14:05:49	28.08.17	2	4.0
031	14:08:37	28.08.17	2	6.8
008	14:18:33	28.08.17	2	4.3
019	14:18:53	28.08.17	2	4.6
008	14:20:58	28.08.17	2	3.8
006	14:31:23	28.08.17	2	1.1
024	14:32:52	28.08.17	2	12.0
015	14:35:46	28.08.17	2	5.2
018	14:36:48	28.08.17	2	7.2
020	14:40:21	28.08.17	2	4.6
008	14:42:03	28.08.17	2	1.2
010	14:46:30	28.08.17	2	4.3
010	14:46:31	28.08.17	2	4.3
009	14:46:31	28.08.17	2	4.4
020	14:49:44	28.08.17	2	9.2
017	14:50:41	28.08.17	2	9.5
018	14:53:06	28.08.17	2	7.1
019	14:53:36	28.08.17	2	4.4
007	14:54:08	28.08.17	2	4.4
019	15:07:10	28.08.17	2	4.3
020	15:17:01	28.08.17	2	5.6
007	15:20:14	28.08.17	2	2.5
016	15:21:56	28.08.17	2	7.6
023	15:22:47	28.08.17	2	12.4
023	15:23:35	28.08.17	2	10.7
022	15:23:41	28.08.17	2	9.9
023	15:25:25	28.08.17	2	10.0
008	15:29:13	28.08.17	2	4.4
017	15:37:12	28.08.17	2	13.9
008	15:47:21	28.08.17	2	3.8
008	15:56:44	28.08.17	2	4.4
037	16:06:43	28.08.17	2	7.8
017	16:14:44	28.08.17	2	2.8
023	16:28:32	28.08.17	2	8.4
036	16:42:40	28.08.17	2	4.9
006	16:47:08	28.08.17	2	4.4
020	16:55:45	28.08.17	2	10.0
007	16:56:43	28.08.17	2	4.4
006	17:01:42	28.08.17	2	4.5
004	17:01:52	28.08.17	2	4.5
005	17:03:45	28.08.17	2	4.5
006	17:03:53	28.08.17	2	4.7
028	17:06:48	28.08.17	2	5.0
020	17:08:33	28.08.17	2	5.2
007	17:10:03	28.08.17	2	0.7
028	17:12:03	28.08.17	2	8.0
024	17:12:36	28.08.17	2	8.6
008	17:16:35	28.08.17	2	3.0
019	17:16:48	28.08.17	2	4.5
014	17:19:57	28.08.17	2	4.4
005	17:31:08	28.08.17	2	0.7
027	17:31:33	28.08.17	2	8.7
018	17:32:32	28.08.17	2	5.4
020	17:36:05	28.08.17	2	11.7
019	17:36:16	28.08.17	2	4.1
004	17:37:20	28.08.17	2	4.5
023	17:38:50	28.08.17	2	10.3
021	17:44:24	28.08.17	2	8.2
009	17:47:17	28.08.17	2	3.7
016	17:47:23	28.08.17	2	6.4
021	17:51:10	28.08.17	2	5.2
017	17:52:00	28.08.17	2	3.9
019	17:53:14	28.08.17	2	12.6
017	17:53:51	28.08.17	2	8.8
014	17:53:51	28.08.17	2	4.5
017	17:53:54	28.08.17	2	8.7
012	17:57:19	28.08.17	2	7.0
029	18:00:08	28.08.17	2	9.7
026	18:04:18	28.08.17	2	10.7
027	18:07:29	28.08.17	2	9.3
009	18:07:45	28.08.17	2	3.5
008	18:07:48	28.08.17	2	4.7
028	18:09:33	28.08.17	2	12.1
009	18:12:09	28.08.17	2	5.5
019	18:12:36	28.08.17	2	11.4
017	18:26:48	28.08.17	2	4.6
011	18:28:16	28.08.17	2	2.7
019	18:29:06	28.08.17	2	4.0
012	18:30:24	28.08.17	2	5.0
008	18:34:10	28.08.17	2	0.9
007	18:44:27	28.08.17	2	4.7
025	18:46:24	28.08.17	2	6.8
016	18:47:30	28.08.17	2	3.8
005	18:55:13	28.08.17	2	1.0
005	18:56:57	28.08.17	2	4.7
017	18:57:41	28.08.17	2	5.2
006	18:59:53	28.08.17	2	4.7
008	19:00:20	28.08.17	2	3.8
008	19:03:40	28.08.17	2	4.7
020	19:12:04	28.08.17	2	5.5
005	19:13:46	28.08.17	2	4.8
011	19:14:27	28.08.17	2	4.8
015	19:15:14	28.08.17	2	4.8
027	19:17:05	28.08.17	2	7.5
008	19:18:59	28.08.17	2	4.8
013	19:22:34	28.08.17	2	12.5
006	19:25:01	28.08.17	2	1.4
008	19:25:12	28.08.17	2	1.3
008	19:26:16	28.08.17	2	1.8
006	19:33:44	28.08.17	2	0.7
025	19:41:18	28.08.17	2	8.6
006	19:41:43	28.08.17	2	1.9
028	20:02:59	28.08.17	2	8.3
014	20:09:25	28.08.17	2	4.4
015	20:14:11	28.08.17	2	4.9
020	20:30:05	28.08.17	2	4.3
020	20:40:39	28.08.17	2	8.1
025	20:40:48	28.08.17	2	8.2
004	20:42:29	28.08.17	2	4.9
014	20:45:49	28.08.17	2	8.5
020	20:45:56	28.08.17	2	9.9
005	20:51:51	28.08.17	2	0.8
017	20:59:36	28.08.17	2	8.1
008	21:07:03	28.08.17	2	5.4
026	21:10:11	28.08.17	2	10.1
023	21:13:02	28.08.17	2	9.9
005	21:14:20	28.08.17	2	1.1
028	21:19:02	28.08.17	2	7.8
022	21:32:51	28.08.17	2	4.1
006	21:37:50	28.08.17	2	3.1
005	21:38:21	28.08.17	2	4.9
006	21:54:11	28.08.17	2	0.9
013	22:05:39	28.08.17	2	3.7
014	22:13:47	28.08.17	2	9.0
015	22:20:39	28.08.17	2	4.7
030	22:26:56	28.08.17	2	9.1
020	22:28:12	28.08.17	2	8.9
025	22:38:24	28.08.17	2	7.9
014	22:49:16	28.08.17	2	4.9
026	22:52:24	28.08.17	2	7.3
