

Standort: 2-Felsplattenstr

[km/h]				 [m]
Dateformat: dd.mm.yy
017	11:51:51	17.07.15	1	4.0
024	12:13:52	17.07.15	1	2.8
009	12:33:01	17.07.15	1	7.9
017	12:36:27	17.07.15	1	3.2
004	12:47:59	17.07.15	1	1.7
021	12:50:50	17.07.15	1	4.4
021	13:24:35	17.07.15	1	2.9
015	14:34:47	17.07.15	1	4.4
015	14:38:58	17.07.15	1	3.0
011	14:48:19	17.07.15	1	1.9
016	15:21:50	17.07.15	1	3.5
017	15:21:55	17.07.15	1	3.9
019	17:12:31	17.07.15	1	5.2
005	18:44:45	17.07.15	1	1.8
017	19:49:13	17.07.15	1	3.3
018	19:49:14	17.07.15	1	3.2
022	20:48:35	17.07.15	1	3.9
015	20:53:54	17.07.15	1	3.2
012	21:09:49	17.07.15	1	3.1
018	21:23:28	17.07.15	1	3.3
012	22:36:55	17.07.15	1	4.1
017	22:38:28	17.07.15	1	4.1
017	00:46:48	18.07.15	1	5.0
020	06:32:12	18.07.15	1	4.7
020	06:38:48	18.07.15	1	4.7
018	06:38:49	18.07.15	1	4.8
017	08:16:53	18.07.15	1	3.4
007	08:41:53	18.07.15	1	3.0
025	08:53:11	18.07.15	1	3.3
025	08:53:13	18.07.15	1	2.9
017	11:58:06	18.07.15	1	4.8
015	13:02:54	18.07.15	1	5.4
009	13:26:45	18.07.15	1	2.8
020	13:44:03	18.07.15	1	4.7
018	14:10:30	18.07.15	1	3.4
007	14:27:44	18.07.15	1	2.0
021	15:19:46	18.07.15	1	4.3
004	15:28:07	18.07.15	1	4.3
003	15:31:11	18.07.15	1	1.6
005	15:34:00	18.07.15	1	4.3
023	15:53:10	18.07.15	1	3.3
020	16:27:26	18.07.15	1	4.8
024	16:28:14	18.07.15	1	4.9
022	16:39:38	18.07.15	1	3.1
009	16:43:13	18.07.15	1	3.0
024	17:02:34	18.07.15	1	3.0
022	17:04:22	18.07.15	1	2.9
020	17:04:24	18.07.15	1	5.5
005	17:21:37	18.07.15	1	2.1
017	17:41:45	18.07.15	1	3.0
016	17:41:51	18.07.15	1	3.5
019	17:56:11	18.07.15	1	3.0
018	17:56:11	18.07.15	1	3.8
008	18:05:55	18.07.15	1	2.1
006	18:05:56	18.07.15	1	4.0
004	18:05:58	18.07.15	1	4.1
003	18:06:00	18.07.15	1	4.1
004	18:06:01	18.07.15	1	2.5
017	18:07:15	18.07.15	1	4.1
016	18:14:21	18.07.15	1	2.5
034	18:58:50	18.07.15	1	3.9
013	19:37:34	18.07.15	1	3.3
011	20:13:55	18.07.15	1	3.6
018	21:10:50	18.07.15	1	3.4
019	21:10:51	18.07.15	1	4.0
007	21:20:03	18.07.15	1	2.3
007	22:37:26	18.07.15	1	3.6
006	22:44:05	18.07.15	1	3.7
020	00:03:09	19.07.15	1	4.1
006	00:47:07	19.07.15	1	4.4
014	01:05:48	19.07.15	1	4.2
027	04:54:31	19.07.15	1	3.8
018	06:37:16	19.07.15	1	3.4
016	06:38:42	19.07.15	1	3.7
024	07:52:23	19.07.15	1	3.3
016	08:41:30	19.07.15	1	3.3
027	08:55:04	19.07.15	1	3.6
016	10:48:23	19.07.15	1	3.5
017	11:03:48	19.07.15	1	3.1
022	11:45:45	19.07.15	1	6.7
017	12:26:12	19.07.15	1	5.6
013	12:45:11	19.07.15	1	3.5
018	13:30:00	19.07.15	1	3.9
020	13:37:12	19.07.15	1	3.5
018	13:37:16	19.07.15	1	3.3
016	14:10:28	19.07.15	1	4.1
020	14:24:23	19.07.15	1	3.6
009	14:34:51	19.07.15	1	4.2
012	14:42:38	19.07.15	1	4.2
013	15:34:08	19.07.15	1	4.4
021	15:50:35	19.07.15	1	4.5
020	16:02:52	19.07.15	1	3.0
020	16:02:53	19.07.15	1	4.5
015	16:42:18	19.07.15	1	4.9
016	16:42:19	19.07.15	1	5.0
005	16:45:53	19.07.15	1	1.9
019	16:49:07	19.07.15	1	3.2
020	18:32:00	19.07.15	1	2.7
010	18:51:40	19.07.15	1	2.9
010	18:51:43	19.07.15	1	2.6
007	19:25:45	19.07.15	1	4.2
018	20:07:40	19.07.15	1	3.3
010	20:15:35	19.07.15	1	4.5
017	20:22:22	19.07.15	1	4.5
017	20:59:33	19.07.15	1	4.7
005	21:01:53	19.07.15	1	2.4
007	21:01:54	19.07.15	1	4.7
017	22:58:46	19.07.15	1	4.1
018	22:58:47	19.07.15	1	5.1
026	23:48:39	19.07.15	1	5.6
009	05:52:55	20.07.15	1	4.9
016	06:30:03	20.07.15	1	5.1
015	07:23:47	20.07.15	1	2.9
008	07:26:12	20.07.15	1	4.5
018	08:22:01	20.07.15	1	3.8
013	08:48:38	20.07.15	1	3.7
018	08:54:55	20.07.15	1	4.4
024	08:59:53	20.07.15	1	3.5
017	09:13:47	20.07.15	1	3.1
020	09:37:38	20.07.15	1	5.3
019	09:50:37	20.07.15	1	3.5
013	09:50:50	20.07.15	1	3.5
012	10:04:13	20.07.15	1	3.8
012	10:11:19	20.07.15	1	3.6
020	10:22:15	20.07.15	1	4.1
017	10:22:31	20.07.15	1	3.0
020	10:32:12	20.07.15	1	4.2
014	12:01:36	20.07.15	1	3.9
023	14:17:22	20.07.15	1	3.8
024	14:59:07	20.07.15	1	3.1
024	15:28:00	20.07.15	1	3.4
022	15:35:10	20.07.15	1	4.9
016	15:35:29	20.07.15	1	4.9
005	16:27:59	20.07.15	1	1.7
015	16:39:07	20.07.15	1	4.2
026	16:56:39	20.07.15	1	2.9
022	17:04:12	20.07.15	1	3.7
015	17:14:31	20.07.15	1	5.5
018	18:08:28	20.07.15	1	2.8
018	18:24:28	20.07.15	1	5.4
018	18:24:29	20.07.15	1	5.4
019	18:43:57	20.07.15	1	3.3
020	18:43:59	20.07.15	1	3.9
014	19:12:48	20.07.15	1	4.4
