

Standort: 2-Fischerweg

[km/h]				 [m]
Dateformat: dd.mm.yy
025	10:47:24	18.11.16	2	4.4
027	11:02:09	18.11.16	2	4.0
028	11:07:40	18.11.16	2	4.8
029	11:20:31	18.11.16	2	4.3
036	11:30:19	18.11.16	2	3.9
027	11:32:43	18.11.16	2	5.3
025	11:41:05	18.11.16	2	3.8
021	12:07:02	18.11.16	2	0.5
027	12:10:39	18.11.16	2	5.2
031	12:10:58	18.11.16	2	4.7
033	12:12:04	18.11.16	2	3.9
020	12:12:17	18.11.16	2	5.3
023	12:19:37	18.11.16	2	4.8
033	12:27:07	18.11.16	2	3.7
027	12:34:50	18.11.16	2	4.5
027	12:41:28	18.11.16	2	4.8
025	12:56:12	18.11.16	2	4.1
029	13:06:26	18.11.16	2	4.0
018	13:10:34	18.11.16	2	4.8
024	13:22:00	18.11.16	2	4.5
019	13:22:19	18.11.16	2	0.9
027	13:47:19	18.11.16	2	4.9
032	13:50:39	18.11.16	2	5.2
029	13:52:25	18.11.16	2	5.4
027	13:55:09	18.11.16	2	4.2
026	13:58:22	18.11.16	2	4.8
029	14:04:47	18.11.16	2	2.3
014	14:10:23	18.11.16	2	4.0
028	14:22:53	18.11.16	2	4.2
019	14:25:41	18.11.16	2	4.6
024	14:31:10	18.11.16	2	3.7
020	14:32:33	18.11.16	2	4.2
023	14:34:13	18.11.16	2	1.7
029	14:34:29	18.11.16	2	4.3
038	14:44:36	18.11.16	2	4.5
032	15:04:34	18.11.16	2	5.5
026	15:12:49	18.11.16	2	5.5
024	15:19:48	18.11.16	2	4.2
029	15:23:33	18.11.16	2	3.5
040	15:27:46	18.11.16	2	4.2
028	15:36:04	18.11.16	2	5.2
034	15:44:28	18.11.16	2	4.1
027	15:45:52	18.11.16	2	5.0
028	15:49:07	18.11.16	2	5.1
029	15:51:24	18.11.16	2	4.7
029	15:52:25	18.11.16	2	5.8
034	16:05:41	18.11.16	2	5.5
023	16:06:07	18.11.16	2	4.7
034	16:06:49	18.11.16	2	4.1
041	16:10:23	18.11.16	2	4.1
033	16:10:56	18.11.16	2	5.1
027	16:32:45	18.11.16	2	3.5
022	16:39:21	18.11.16	2	5.1
024	16:47:12	18.11.16	2	5.1
026	16:47:54	18.11.16	2	4.5
018	16:50:13	18.11.16	2	4.2
031	17:02:32	18.11.16	2	2.6
030	17:05:20	18.11.16	2	5.5
037	17:27:41	18.11.16	2	5.5
021	17:28:04	18.11.16	2	5.0
031	17:51:36	18.11.16	2	5.4
032	17:57:59	18.11.16	2	4.7
032	17:59:45	18.11.16	2	3.9
028	18:03:51	18.11.16	2	3.8
033	18:04:50	18.11.16	2	4.6
030	18:04:56	18.11.16	2	4.4
028	18:07:55	18.11.16	2	3.9
027	18:08:37	18.11.16	2	4.4
024	18:20:06	18.11.16	2	4.0
023	18:27:25	18.11.16	2	3.8
020	18:29:24	18.11.16	2	6.9
022	18:36:28	18.11.16	2	2.5
029	18:48:36	18.11.16	2	4.5
026	18:49:38	18.11.16	2	3.9
013	18:57:47	18.11.16	2	4.5
026	18:58:46	18.11.16	2	5.3
030	19:00:14	18.11.16	2	5.5
029	19:48:28	18.11.16	2	4.6
013	20:13:44	18.11.16	2	3.1
023	20:56:14	18.11.16	2	4.3
026	21:56:52	18.11.16	2	5.0
030	21:59:20	18.11.16	2	4.8
036	22:27:51	18.11.16	2	3.9
027	22:52:46	18.11.16	2	4.8
033	23:05:27	18.11.16	2	4.8
023	23:12:26	18.11.16	2	1.6
015	23:17:39	18.11.16	2	1.9
023	23:57:11	18.11.16	2	4.8
033	00:11:12	19.11.16	2	1.9
028	00:20:47	19.11.16	2	1.8
026	00:33:39	19.11.16	2	1.2
020	02:02:33	19.11.16	2	0.7
031	04:05:00	19.11.16	2	5.1
031	06:53:13	19.11.16	2	4.1
030	06:54:50	19.11.16	2	4.7
017	07:20:53	19.11.16	2	4.8
022	08:07:47	19.11.16	2	0.9
030	08:13:11	19.11.16	2	4.5
031	08:21:06	19.11.16	2	4.6
018	08:21:38	19.11.16	2	4.1
033	08:31:07	19.11.16	2	3.8
024	08:33:30	19.11.16	2	4.1
044	08:38:11	19.11.16	2	5.3
031	09:07:32	19.11.16	2	4.4
025	09:13:35	19.11.16	2	5.2
029	09:31:16	19.11.16	2	4.4
