

Standort: 2-Grendelgasse

[km/h]				 [m]
Dateformat: dd.mm.yy
006	11:12:14	18.12.15	2	3.5
009	11:17:54	18.12.15	2	3.6
026	11:19:12	18.12.15	2	3.7
016	11:19:42	18.12.15	2	3.2
009	11:20:10	18.12.15	2	11.3
013	11:22:09	18.12.15	2	3.9
020	11:29:56	18.12.15	2	3.8
025	11:36:13	18.12.15	2	5.9
032	11:43:39	18.12.15	2	8.5
016	11:46:49	18.12.15	2	3.6
019	11:48:52	18.12.15	2	4.1
017	11:51:10	18.12.15	2	3.8
028	12:00:37	18.12.15	2	3.9
017	12:01:45	18.12.15	2	2.2
020	12:05:52	18.12.15	2	3.8
034	12:10:26	18.12.15	2	3.7
010	12:16:10	18.12.15	2	3.8
012	12:16:10	18.12.15	2	3.9
034	12:28:29	18.12.15	2	4.9
027	12:30:54	18.12.15	2	4.0
031	12:38:44	18.12.15	2	5.0
031	12:39:49	18.12.15	2	4.3
016	12:40:39	18.12.15	2	5.7
014	12:47:56	18.12.15	2	3.9
027	12:53:34	18.12.15	2	5.6
038	12:55:28	18.12.15	2	5.7
027	13:01:07	18.12.15	2	5.2
011	13:02:03	18.12.15	2	3.9
030	13:15:13	18.12.15	2	5.1
031	13:15:14	18.12.15	2	3.9
029	13:22:05	18.12.15	2	4.9
009	13:30:42	18.12.15	2	4.0
015	13:34:48	18.12.15	2	4.3
033	13:40:34	18.12.15	2	6.5
030	13:41:41	18.12.15	2	5.4
021	13:52:46	18.12.15	2	4.2
020	13:53:04	18.12.15	2	3.7
027	13:56:56	18.12.15	2	5.0
027	14:04:37	18.12.15	2	4.0
032	14:06:05	18.12.15	2	4.3
027	14:12:01	18.12.15	2	3.9
015	14:22:58	18.12.15	2	2.2
014	14:31:40	18.12.15	2	2.2
034	14:43:47	18.12.15	2	4.3
030	14:54:02	18.12.15	2	5.7
021	14:55:42	18.12.15	2	4.5
023	14:58:49	18.12.15	2	5.1
030	15:00:43	18.12.15	2	4.1
013	15:02:16	18.12.15	2	1.8
014	15:03:58	18.12.15	2	4.6
019	15:10:00	18.12.15	2	4.5
033	15:12:13	18.12.15	2	5.2
020	15:12:54	18.12.15	2	4.9
019	15:25:48	18.12.15	2	3.9
038	15:31:02	18.12.15	2	4.6
033	15:31:49	18.12.15	2	6.0
016	15:37:24	18.12.15	2	2.2
034	15:47:25	18.12.15	2	4.5
020	15:51:14	18.12.15	2	4.0
033	15:54:17	18.12.15	2	4.6
030	15:57:37	18.12.15	2	4.2
025	16:12:51	18.12.15	2	3.9
016	16:13:08	18.12.15	2	4.1
030	16:13:52	18.12.15	2	4.1
027	16:13:53	18.12.15	2	4.1
029	16:15:01	18.12.15	2	4.9
025	16:20:48	18.12.15	2	5.3
018	16:20:53	18.12.15	2	2.9
009	16:21:10	18.12.15	2	4.2
014	16:22:37	18.12.15	2	1.3
021	16:24:49	18.12.15	2	2.4
011	16:25:51	18.12.15	2	4.2
030	16:35:09	18.12.15	2	4.8
015	16:36:24	18.12.15	2	4.2
014	16:36:28	18.12.15	2	4.1
008	16:39:10	18.12.15	2	4.2
024	16:40:38	18.12.15	2	5.5
021	16:41:31	18.12.15	2	6.3
023	16:42:06	18.12.15	2	2.5
021	16:42:10	18.12.15	2	4.6
020	16:50:18	18.12.15	2	4.2
018	16:53:23	18.12.15	2	4.2
034	16:57:54	18.12.15	2	5.0
022	16:58:32	18.12.15	2	4.4
020	17:02:00	18.12.15	2	1.6
006	17:02:49	18.12.15	2	4.3
012	17:02:51	18.12.15	2	4.3
028	17:04:40	18.12.15	2	3.9
032	17:07:47	18.12.15	2	4.3
025	17:07:53	18.12.15	2	4.3
012	17:09:27	18.12.15	2	1.3
014	17:09:35	18.12.15	2	1.7
012	17:20:30	18.12.15	2	4.3
030	17:26:05	18.12.15	2	4.8
026	17:28:53	18.12.15	2	4.3
007	17:33:31	18.12.15	2	4.3
028	17:43:08	18.12.15	2	5.3
032	17:43:15	18.12.15	2	4.9
033	17:43:16	18.12.15	2	4.4
015	17:43:23	18.12.15	2	2.7
025	17:45:02	18.12.15	2	5.0
035	17:46:51	18.12.15	2	4.5
017	17:51:34	18.12.15	2	2.3
019	17:51:35	18.12.15	2	4.2
029	17:52:42	18.12.15	2	2.0
008	17:57:18	18.12.15	2	1.8
016	18:07:36	18.12.15	2	4.4
028	18:08:09	18.12.15	2	3.8
017	18:20:21	18.12.15	2	3.9
014	18:34:14	18.12.15	2	3.7
033	18:34:47	18.12.15	2	4.4
029	18:39:35	18.12.15	2	4.4
011	18:40:56	18.12.15	2	4.4
022	18:42:23	18.12.15	2	4.6
022	18:49:37	18.12.15	2	3.5
013	18:55:41	18.12.15	2	3.4
031	18:56:34	18.12.15	2	4.3
024	19:07:02	18.12.15	2	1.9
029	19:12:14	18.12.15	2	5.0
017	19:12:42	18.12.15	2	2.0
011	19:15:34	18.12.15	2	4.4
016	19:22:52	18.12.15	2	4.5
022	19:46:40	18.12.15	2	4.2
019	19:47:14	18.12.15	2	3.6
029	19:58:07	18.12.15	2	4.4
022	20:12:40	18.12.15	2	6.2
014	21:24:29	18.12.15	2	4.5
011	21:24:30	18.12.15	2	4.5
014	21:27:22	18.12.15	2	4.1
011	21:39:28	18.12.15	2	4.6
018	21:40:06	18.12.15	2	4.5
013	21:41:15	18.12.15	2	4.4
031	22:01:47	18.12.15	2	2.5
020	22:04:11	18.12.15	2	4.2
012	22:25:48	18.12.15	2	2.7
012	22:38:05	18.12.15	2	1.6
017	22:39:52	18.12.15	2	4.5
010	22:57:40	18.12.15	2	4.5
014	22:57:41	18.12.15	2	4.5
013	23:33:51	18.12.15	2	4.5
010	00:16:57	19.12.15	2	1.7
024	00:23:16	19.12.15	2	5.2
026	00:23:18	19.12.15	2	4.5
030	00:24:55	19.12.15	2	4.5
012	00:25:51	19.12.15	2	4.6
021	00:51:26	19.12.15	2	4.6
020	00:51:28	19.12.15	2	2.8
019	00:51:31	19.12.15	2	4.6
018	00:51:41	19.12.15	2	4.0
016	00:51:45	19.12.15	2	4.6
027	01:34:21	19.12.15	2	4.6
016	03:29:59	19.12.15	2	5.3
021	03:29:59	19.12.15	2	4.6
031	05:45:48	19.12.15	2	5.7
032	05:45:49	19.12.15	2	4.7
012	07:31:11	19.12.15	2	4.9
016	07:46:53	19.12.15	2	4.1
019	07:46:54	19.12.15	2	4.7
029	07:52:45	19.12.15	2	4.9
030	07:52:45	19.12.15	2	4.7
006	07:57:22	19.12.15	2	4.7
012	08:18:53	19.12.15	2	2.6
015	08:35:31	19.12.15	2	4.8
013	08:35:37	19.12.15	2	4.8
039	08:46:20	19.12.15	2	9.0
036	08:48:58	19.12.15	2	6.7
030	08:59:22	19.12.15	2	4.7
028	09:02:14	19.12.15	2	5.1
022	09:20:24	19.12.15	2	5.3
032	09:29:18	19.12.15	2	4.4
026	09:37:42	19.12.15	2	5.1
030	09:37:42	19.12.15	2	4.9
021	09:43:58	19.12.15	2	4.9
016	09:45:59	19.12.15	2	3.6
023	09:47:14	19.12.15	2	2.2
016	09:48:01	19.12.15	2	4.9
013	09:51:24	19.12.15	2	2.4
027	09:53:16	19.12.15	2	6.3
028	09:53:16	19.12.15	2	4.9
022	09:53:29	19.12.15	2	5.2
028	09:53:30	19.12.15	2	5.0
033	09:53:34	19.12.15	2	4.3
019	10:10:02	19.12.15	2	5.0
034	10:16:38	19.12.15	2	6.0
020	10:36:32	19.12.15	2	5.2
031	10:41:20	19.12.15	2	7.5
022	10:51:08	19.12.15	2	4.2
019	10:51:32	19.12.15	2	5.2
019	10:53:37	19.12.15	2	4.7
031	10:53:53	19.12.15	2	3.9
027	11:05:12	19.12.15	2	4.2
036	11:05:40	19.12.15	2	4.0
016	11:08:20	19.12.15	2	3.6
035	11:09:54	19.12.15	2	4.3
032	11:09:58	19.12.15	2	4.5
028	11:16:20	19.12.15	2	4.5
009	11:23:27	19.12.15	2	5.4
037	11:28:04	19.12.15	2	4.5
019	11:30:09	19.12.15	2	5.1
036	11:34:13	19.12.15	2	4.1
027	11:35:35	19.12.15	2	4.8
014	11:53:38	19.12.15	2	3.6
027	11:56:24	19.12.15	2	5.4
006	11:57:44	19.12.15	2	5.4
022	12:03:05	19.12.15	2	2.1
027	12:12:53	19.12.15	2	4.2
030	12:14:11	19.12.15	2	4.3
036	12:29:06	19.12.15	2	4.9
034	12:37:03	19.12.15	2	4.5
034	12:44:02	19.12.15	2	5.3
027	12:56:43	19.12.15	2	4.7
017	13:07:16	19.12.15	2	3.7
010	13:11:19	19.12.15	2	5.5
022	13:20:38	19.12.15	2	4.6
026	13:26:11	19.12.15	2	2.0
032	13:29:53	19.12.15	2	5.1
018	13:32:31	19.12.15	2	4.0
006	13:34:23	19.12.15	2	2.7
009	13:34:24	19.12.15	2	2.8
026	13:36:39	19.12.15	2	2.9
010	13:48:36	19.12.15	2	3.1
021	13:57:24	19.12.15	2	4.4
024	14:05:49	19.12.15	2	3.9
031	14:16:51	19.12.15	2	3.9
006	14:19:28	19.12.15	2	3.3
026	14:19:37	19.12.15	2	5.2
024	14:20:09	19.12.15	2	3.3
011	14:20:24	19.12.15	2	3.4
025	14:20:33	19.12.15	2	2.9
028	14:40:43	19.12.15	2	4.0
009	14:44:09	19.12.15	2	3.4
011	14:44:12	19.12.15	2	1.5
021	14:49:17	19.12.15	2	3.4
013	14:53:23	19.12.15	2	5.3
029	15:02:18	19.12.15	2	4.0
025	15:08:53	19.12.15	2	4.3
019	15:09:02	19.12.15	2	5.5
021	15:12:20	19.12.15	2	2.5
032	15:19:30	19.12.15	2	3.9
030	15:21:00	19.12.15	2	4.3
018	15:26:38	19.12.15	2	3.5
017	15:26:42	19.12.15	2	3.8
033	15:27:53	19.12.15	2	4.0
032	15:32:41	19.12.15	2	3.6
017	15:33:59	19.12.15	2	3.6
034	15:36:34	19.12.15	2	4.0
037	15:38:51	19.12.15	2	4.6
013	15:40:58	19.12.15	2	4.5
017	15:41:45	19.12.15	2	2.3
039	15:44:05	19.12.15	2	4.2
022	15:45:12	19.12.15	2	4.0
024	15:56:50	19.12.15	2	1.7
022	16:05:23	19.12.15	2	1.8
008	16:07:19	19.12.15	2	3.7
008	16:07:20	19.12.15	2	3.7
019	16:12:23	19.12.15	2	2.4
016	16:15:28	19.12.15	2	3.8
024	16:17:43	19.12.15	2	3.8
025	16:23:00	19.12.15	2	2.3
018	16:23:31	19.12.15	2	3.8
024	16:24:38	19.12.15	2	4.8
016	16:25:41	19.12.15	2	3.8
017	16:25:42	19.12.15	2	3.9
016	16:25:43	19.12.15	2	3.9
033	16:29:31	19.12.15	2	4.1
009	16:30:36	19.12.15	2	1.5
010	16:38:08	19.12.15	2	3.9
033	16:39:46	19.12.15	2	4.8
028	16:39:57	19.12.15	2	4.6
015	16:40:45	19.12.15	2	0.9
017	16:41:07	19.12.15	2	1.5
012	16:41:09	19.12.15	2	1.5
012	16:41:11	19.12.15	2	3.9
013	16:41:12	19.12.15	2	4.0
018	16:42:24	19.12.15	2	4.0
006	16:42:38	19.12.15	2	4.0
009	16:43:53	19.12.15	2	4.0
013	16:44:54	19.12.15	2	1.2
015	16:45:03	19.12.15	2	4.0
017	16:49:25	19.12.15	2	4.1
011	16:51:06	19.12.15	2	4.1
020	16:55:39	19.12.15	2	5.7
009	16:56:11	19.12.15	2	3.0
030	17:01:59	19.12.15	2	4.4
019	17:03:48	19.12.15	2	2.2
031	17:07:07	19.12.15	2	4.5
017	17:10:08	19.12.15	2	1.8
020	17:10:10	19.12.15	2	4.1
017	17:10:28	19.12.15	2	4.1
037	17:11:50	19.12.15	2	4.1
020	17:12:47	19.12.15	2	3.3
018	17:16:16	19.12.15	2	3.9
022	17:16:18	19.12.15	2	4.5
023	17:18:55	19.12.15	2	4.5
020	17:25:13	19.12.15	2	5.4
017	17:33:47	19.12.15	2	4.1
021	17:34:35	19.12.15	2	4.7
022	17:34:36	19.12.15	2	4.1
016	17:37:53	19.12.15	2	5.0
024	18:00:04	19.12.15	2	6.0
026	18:00:05	19.12.15	2	4.2
006	18:00:20	19.12.15	2	4.2
007	18:00:21	19.12.15	2	4.2
017	18:07:14	19.12.15	2	5.6
020	18:07:15	19.12.15	2	4.2
012	18:48:54	19.12.15	2	3.4
020	19:14:31	19.12.15	2	4.3
014	19:17:05	19.12.15	2	4.2
023	20:08:41	19.12.15	2	5.0
031	20:10:21	19.12.15	2	3.8
006	20:21:10	19.12.15	2	4.2
005	20:21:23	19.12.15	2	4.2
016	20:22:25	19.12.15	2	4.2
029	20:31:00	19.12.15	2	3.4
016	20:37:36	19.12.15	2	2.4
011	22:13:17	19.12.15	2	2.5
019	22:44:43	19.12.15	2	5.4
018	22:48:00	19.12.15	2	1.7
008	23:10:29	19.12.15	2	4.2
010	23:27:52	19.12.15	2	4.2
018	23:47:11	19.12.15	2	4.8
037	23:58:21	19.12.15	2	3.7
017	00:07:16	20.12.15	2	4.3
033	00:43:06	20.12.15	2	4.5
037	00:44:30	20.12.15	2	5.6
021	01:15:21	20.12.15	2	4.9
020	05:11:43	20.12.15	2	3.9
023	07:03:09	20.12.15	2	3.6
015	09:01:46	20.12.15	2	1.6
034	09:30:28	20.12.15	2	4.1
033	09:45:57	20.12.15	2	4.3
014	09:47:21	20.12.15	2	3.3
014	09:47:21	20.12.15	2	4.3
006	09:51:51	20.12.15	2	4.3
031	10:10:58	20.12.15	2	4.2
011	10:11:24	20.12.15	2	4.3
029	10:40:40	20.12.15	2	5.3
031	10:51:02	20.12.15	2	5.3
033	10:51:03	20.12.15	2	4.4
016	10:53:47	20.12.15	2	4.5
013	11:01:34	20.12.15	2	4.4
010	11:07:14	20.12.15	2	4.4
019	11:10:01	20.12.15	2	5.3
019	11:10:02	20.12.15	2	4.4
021	11:11:03	20.12.15	2	5.6
032	11:11:14	20.12.15	2	5.0
027	11:15:03	20.12.15	2	4.4
030	11:15:12	20.12.15	2	4.6
028	11:16:22	20.12.15	2	4.8
040	11:17:10	20.12.15	2	2.8
015	11:18:43	20.12.15	2	4.4
006	11:22:53	20.12.15	2	4.5
031	11:51:01	20.12.15	2	5.1
036	11:51:55	20.12.15	2	5.2
006	12:03:11	20.12.15	2	0.6
017	12:03:49	20.12.15	2	4.5
015	12:03:54	20.12.15	2	1.8
011	12:06:18	20.12.15	2	4.5
029	12:10:07	20.12.15	2	4.4
024	12:22:44	20.12.15	2	4.5
021	12:23:07	20.12.15	2	4.5
014	12:23:42	20.12.15	2	4.5
023	12:25:19	20.12.15	2	4.3
012	12:27:10	20.12.15	2	4.5
018	12:27:11	20.12.15	2	3.8
029	12:45:00	20.12.15	2	4.8
019	12:45:21	20.12.15	2	3.9
033	12:45:30	20.12.15	2	4.4
028	12:50:20	20.12.15	2	5.0
022	12:55:50	20.12.15	2	4.8
030	13:02:19	20.12.15	2	5.3
030	13:05:21	20.12.15	2	5.8
008	13:07:51	20.12.15	2	4.6
019	13:12:36	20.12.15	2	4.0
012	13:17:41	20.12.15	2	4.8
010	13:17:41	20.12.15	2	4.7
020	13:19:02	20.12.15	2	4.0
007	13:26:45	20.12.15	2	4.7
026	13:32:50	20.12.15	2	4.3
026	13:34:54	20.12.15	2	2.0
021	13:36:12	20.12.15	2	4.7
019	13:42:00	20.12.15	2	2.6
021	13:43:06	20.12.15	2	2.3
007	13:47:28	20.12.15	2	4.7
032	13:48:46	20.12.15	2	5.0
007	13:51:29	20.12.15	2	4.7
020	13:55:27	20.12.15	2	4.8
019	13:56:56	20.12.15	2	4.8
026	14:01:32	20.12.15	2	4.9
016	14:02:23	20.12.15	2	4.8
014	14:11:02	20.12.15	2	2.0
015	14:17:16	20.12.15	2	2.2
039	14:19:11	20.12.15	2	4.2
030	14:23:48	20.12.15	2	5.2
008	14:46:21	20.12.15	2	4.9
029	14:46:36	20.12.15	2	4.9
022	14:49:39	20.12.15	2	4.0
018	14:57:45	20.12.15	2	4.9
018	14:57:47	20.12.15	2	2.1
030	14:59:52	20.12.15	2	4.1
034	14:59:53	20.12.15	2	4.9
006	15:05:11	20.12.15	2	4.9
017	15:13:02	20.12.15	2	5.0
012	15:16:21	20.12.15	2	5.0
017	15:21:26	20.12.15	2	3.7
026	15:28:36	20.12.15	2	3.8
023	15:31:48	20.12.15	2	2.0
024	15:34:34	20.12.15	2	5.1
028	15:35:38	20.12.15	2	5.1
006	15:38:29	20.12.15	2	5.1
015	15:38:31	20.12.15	2	5.1
012	15:38:32	20.12.15	2	5.1
020	15:40:25	20.12.15	2	5.2
032	15:47:12	20.12.15	2	4.5
018	15:49:16	20.12.15	2	3.7
014	15:51:08	20.12.15	2	2.7
019	15:52:20	20.12.15	2	5.2
012	15:53:13	20.12.15	2	5.2
024	15:54:20	20.12.15	2	3.9
025	15:54:21	20.12.15	2	5.3
007	16:02:47	20.12.15	2	5.3
016	16:21:10	20.12.15	2	5.3
027	16:25:17	20.12.15	2	3.7
027	16:26:55	20.12.15	2	5.1
018	16:46:38	20.12.15	2	5.4
018	16:48:18	20.12.15	2	5.4
011	16:52:36	20.12.15	2	5.5
013	16:57:12	20.12.15	2	2.3
012	16:57:14	20.12.15	2	3.7
014	16:57:15	20.12.15	2	5.5
006	17:01:55	20.12.15	2	5.5
034	17:06:34	20.12.15	2	5.1
019	17:07:10	20.12.15	2	5.5
023	17:09:18	20.12.15	2	4.1
028	17:14:43	20.12.15	2	4.9
019	17:17:28	20.12.15	2	4.7
016	17:29:56	20.12.15	2	2.6
031	17:42:40	20.12.15	2	5.0
040	17:56:25	20.12.15	2	5.0
047	18:12:13	20.12.15	2	3.1
031	18:28:47	20.12.15	2	4.9
017	18:37:05	20.12.15	2	2.7
033	19:47:50	20.12.15	2	5.8
037	19:47:50	20.12.15	2	2.8
024	19:48:30	20.12.15	2	6.6
026	19:48:30	20.12.15	2	2.9
019	20:26:06	20.12.15	2	1.9
024	20:48:57	20.12.15	2	2.9
018	21:17:59	20.12.15	2	5.5
011	21:31:10	20.12.15	2	3.0
025	21:50:49	20.12.15	2	4.8
006	22:14:38	20.12.15	2	3.1
021	05:16:30	21.12.15	2	2.5
014	06:30:36	21.12.15	2	3.2
034	06:34:42	21.12.15	2	5.7
025	06:53:45	21.12.15	2	2.3
037	07:09:05	21.12.15	2	2.9
031	07:20:51	21.12.15	2	4.4
019	07:22:54	21.12.15	2	4.1
017	07:35:48	21.12.15	2	3.3
009	07:37:23	21.12.15	2	7.4
038	07:42:31	21.12.15	2	3.6
021	07:44:54	21.12.15	2	4.0
023	07:44:57	21.12.15	2	6.5
023	08:01:16	21.12.15	2	3.0
025	08:01:17	21.12.15	2	3.4
031	08:07:34	21.12.15	2	7.7
021	08:11:35	21.12.15	2	3.8
013	08:13:17	21.12.15	2	3.4
026	08:17:10	21.12.15	2	3.5
023	08:17:10	21.12.15	2	3.5
037	08:20:36	21.12.15	2	7.5
035	08:21:40	21.12.15	2	5.3
018	08:21:54	21.12.15	2	3.5
009	08:23:25	21.12.15	2	3.6
026	08:32:47	21.12.15	2	6.5
022	08:40:36	21.12.15	2	4.9
017	08:44:03	21.12.15	2	3.6
022	08:45:13	21.12.15	2	5.8
021	08:45:14	21.12.15	2	3.7
023	08:48:38	21.12.15	2	5.3
030	08:52:56	21.12.15	2	7.1
029	08:52:57	21.12.15	2	3.7
026	08:59:10	21.12.15	2	5.2
023	09:06:55	21.12.15	2	4.5
017	09:07:33	21.12.15	2	3.8
021	09:17:18	21.12.15	2	3.8
042	09:20:24	21.12.15	2	10.4
043	09:20:26	21.12.15	2	3.8
030	09:36:06	21.12.15	2	5.9
030	09:42:08	21.12.15	2	6.6
027	09:42:08	21.12.15	2	3.8
020	09:47:36	21.12.15	2	4.6
014	09:54:50	21.12.15	2	9.1
006	09:57:01	21.12.15	2	3.8
034	09:57:18	21.12.15	2	5.2
031	09:58:12	21.12.15	2	6.2
011	10:03:46	21.12.15	2	3.9
007	10:09:08	21.12.15	2	3.9
032	10:14:25	21.12.15	2	5.4
030	10:16:02	21.12.15	2	5.1
024	10:20:00	21.12.15	2	6.8
029	10:25:09	21.12.15	2	4.6
021	10:26:53	21.12.15	2	7.0
009	10:29:46	21.12.15	2	3.9
021	10:35:56	21.12.15	2	3.2
026	10:40:50	21.12.15	2	4.9
028	10:40:51	21.12.15	2	3.9
031	10:41:59	21.12.15	2	5.0
019	11:01:34	21.12.15	2	4.0
034	11:12:38	21.12.15	2	3.8
031	11:24:49	21.12.15	2	5.6
037	11:27:40	21.12.15	2	4.5
031	11:28:43	21.12.15	2	6.3
031	11:31:27	21.12.15	2	5.0
018	11:33:09	21.12.15	2	2.0
018	11:34:40	21.12.15	2	3.7
022	11:36:43	21.12.15	2	2.9
036	11:39:16	21.12.15	2	5.1
025	11:51:59	21.12.15	2	2.5
022	12:05:04	21.12.15	2	6.0
037	12:15:55	21.12.15	2	5.6
026	12:19:54	21.12.15	2	4.9
027	12:22:09	21.12.15	2	5.4
031	12:23:07	21.12.15	2	6.3
031	12:30:21	21.12.15	2	4.8
034	12:32:39	21.12.15	2	5.4
019	12:35:43	21.12.15	2	4.0
018	12:40:42	21.12.15	2	2.3
017	12:48:27	21.12.15	2	4.1
030	12:50:21	21.12.15	2	6.8
027	12:55:25	21.12.15	2	5.1
026	13:26:11	21.12.15	2	8.8
028	13:29:02	21.12.15	2	5.4
026	13:31:43	21.12.15	2	5.2
028	13:32:16	21.12.15	2	5.7
027	13:32:49	21.12.15	2	5.5
012	14:02:32	21.12.15	2	4.1
029	14:09:29	21.12.15	2	4.9
031	14:09:29	21.12.15	2	4.1
010	14:23:39	21.12.15	2	4.1
036	14:25:02	21.12.15	2	4.5
027	14:27:23	21.12.15	2	6.3
033	14:35:04	21.12.15	2	7.7
037	14:36:53	21.12.15	2	5.1
022	14:43:37	21.12.15	2	4.8
021	14:52:43	21.12.15	2	4.2
026	14:56:26	21.12.15	2	5.0
022	14:57:24	21.12.15	2	4.2
028	14:58:21	21.12.15	2	6.0
029	14:58:22	21.12.15	2	4.2
019	15:02:40	21.12.15	2	5.1
021	15:02:41	21.12.15	2	4.2
014	15:03:08	21.12.15	2	4.8
014	15:03:10	21.12.15	2	4.2
036	15:06:05	21.12.15	2	5.8
039	15:07:32	21.12.15	2	5.6
