

Standort: 2-Höhenweg

[km/h]				 [m]
Dateformat: dd.mm.yy
012	13:56:50	04.04.14	1	2.4
009	13:56:57	04.04.14	1	3.6
025	13:57:23	04.04.14	1	3.9
036	13:58:34	04.04.14	1	3.6
027	13:58:36	04.04.14	1	3.9
035	14:01:15	04.04.14	1	3.7
036	14:01:17	04.04.14	1	4.1
034	14:05:11	04.04.14	1	3.9
034	14:05:13	04.04.14	1	3.8
038	14:05:19	04.04.14	1	5.1
031	14:07:48	04.04.14	1	3.9
052	14:07:51	04.04.14	1	4.1
034	14:09:02	04.04.14	1	3.3
027	14:10:10	04.04.14	1	7.6
034	14:10:11	04.04.14	1	4.7
043	14:11:46	04.04.14	1	4.5
045	14:12:31	04.04.14	1	4.2
038	14:14:31	04.04.14	1	4.0
028	14:14:40	04.04.14	1	9.2
037	14:16:37	04.04.14	1	3.7
039	14:18:25	04.04.14	1	4.0
047	14:22:21	04.04.14	1	3.9
033	14:25:23	04.04.14	1	5.9
035	14:25:58	04.04.14	1	5.3
037	14:25:59	04.04.14	1	6.7
039	14:26:36	04.04.14	1	4.0
024	14:30:11	04.04.14	1	7.2
033	14:30:42	04.04.14	1	4.4
031	14:38:07	04.04.14	1	4.0
038	14:38:56	04.04.14	1	4.8
036	14:40:01	04.04.14	1	4.2
035	14:40:14	04.04.14	1	3.4
040	14:41:07	04.04.14	1	3.8
042	14:41:54	04.04.14	1	4.2
033	14:44:20	04.04.14	1	4.6
036	14:44:23	04.04.14	1	6.2
029	14:45:15	04.04.14	1	4.1
036	14:47:10	04.04.14	1	3.8
033	14:48:38	04.04.14	1	3.1
040	14:49:57	04.04.14	1	4.7
045	14:50:41	04.04.14	1	4.6
031	14:52:24	04.04.14	1	3.1
027	14:52:31	04.04.14	1	4.2
030	14:53:05	04.04.14	1	4.1
039	14:54:01	04.04.14	1	4.2
037	14:56:46	04.04.14	1	4.6
035	14:57:35	04.04.14	1	4.2
031	15:02:18	04.04.14	1	3.5
041	15:04:01	04.04.14	1	3.7
041	15:04:07	04.04.14	1	4.2
041	15:04:23	04.04.14	1	4.3
041	15:04:36	04.04.14	1	3.6
039	15:06:11	04.04.14	1	4.7
032	15:06:28	04.04.14	1	4.2
034	15:06:44	04.04.14	1	3.9
046	15:10:01	04.04.14	1	0.9
038	15:10:18	04.04.14	1	5.1
044	15:11:23	04.04.14	1	4.0
049	15:13:18	04.04.14	1	4.2
032	15:13:40	04.04.14	1	4.3
041	15:16:17	04.04.14	1	5.2
037	15:17:30	04.04.14	1	4.3
032	15:18:58	04.04.14	1	4.1
040	15:19:08	04.04.14	1	4.2
037	15:22:02	04.04.14	1	5.0
038	15:22:09	04.04.14	1	3.6
035	15:22:13	04.04.14	1	7.9
051	15:22:35	04.04.14	1	4.3
043	15:25:03	04.04.14	1	4.3
037	15:26:12	04.04.14	1	4.4
035	15:27:18	04.04.14	1	3.8
042	15:28:12	04.04.14	1	4.4
051	15:30:06	04.04.14	1	4.4
033	15:31:38	04.04.14	1	4.6
030	15:33:44	04.04.14	1	3.5
033	15:35:20	04.04.14	1	4.6
038	15:36:11	04.04.14	1	2.7
040	15:37:11	04.04.14	1	4.5
031	15:37:44	04.04.14	1	4.6
033	15:41:17	04.04.14	1	4.9
037	15:42:06	04.04.14	1	5.0
041	15:43:09	04.04.14	1	4.7
026	15:44:54	04.04.14	1	4.7
034	15:45:47	04.04.14	1	4.3
029	15:47:31	04.04.14	1	6.1
018	15:47:51	04.04.14	1	4.5
044	15:50:30	04.04.14	1	3.8
034	15:50:36	04.04.14	1	3.9
034	15:50:38	04.04.14	1	3.8
043	15:53:07	04.04.14	1	4.5
034	15:53:21	04.04.14	1	4.3
041	15:53:24	04.04.14	1	3.7
043	15:55:41	04.04.14	1	4.9
035	15:55:49	04.04.14	1	5.7
042	15:59:53	04.04.14	1	4.6
034	16:00:05	04.04.14	1	4.3
035	16:00:07	04.04.14	1	3.9
020	16:01:38	04.04.14	1	0.5
026	16:05:09	04.04.14	1	4.1
032	16:05:18	04.04.14	1	4.7
029	16:06:32	04.04.14	1	5.4
040	16:09:09	04.04.14	1	5.3
040	16:09:11	04.04.14	1	3.5
026	16:09:34	04.04.14	1	3.9
032	16:10:14	04.04.14	1	4.7
042	16:10:26	04.04.14	1	4.9
034	16:11:45	04.04.14	1	4.3
040	16:13:46	04.04.14	1	4.6
034	16:13:49	04.04.14	1	1.4
029	16:14:46	04.04.14	1	4.3
037	16:17:27	04.04.14	1	4.0
035	16:18:16	04.04.14	1	3.4
055	16:18:57	04.04.14	1	3.7
033	16:19:50	04.04.14	1	4.1
038	16:19:52	04.04.14	1	1.0
030	16:21:28	04.04.14	1	4.7
035	16:22:33	04.04.14	1	3.6
040	16:23:22	04.04.14	1	5.2
055	16:23:39	04.04.14	1	5.1
038	16:24:35	04.04.14	1	4.8
024	16:24:56	04.04.14	1	9.3
023	16:24:59	04.04.14	1	4.5
038	16:28:49	04.04.14	1	4.5
045	16:31:03	04.04.14	1	5.2
043	16:31:04	04.04.14	1	4.2
036	16:31:28	04.04.14	1	4.6
037	16:32:48	04.04.14	1	3.8
034	16:32:50	04.04.14	1	5.3
032	16:32:52	04.04.14	1	4.2
045	16:33:43	04.04.14	1	3.8
042	16:33:44	04.04.14	1	3.7
041	16:38:00	04.04.14	1	2.0
039	16:38:01	04.04.14	1	4.0
024	16:41:04	04.04.14	1	0.7
040	16:42:09	04.04.14	1	5.5
035	16:42:10	04.04.14	1	4.1
043	16:42:48	04.04.14	1	5.5
041	16:42:48	04.04.14	1	4.0
047	16:45:02	04.04.14	1	2.6
044	16:45:03	04.04.14	1	3.9
035	16:47:15	04.04.14	1	0.5
032	16:47:16	04.04.14	1	6.3
022	16:48:33	04.04.14	1	3.2
020	16:48:35	04.04.14	1	4.6
021	16:53:55	04.04.14	1	4.3
039	16:56:39	04.04.14	1	3.8
041	16:59:14	04.04.14	1	3.5
038	16:59:15	04.04.14	1	3.5
033	17:00:34	04.04.14	1	4.6
040	17:00:48	04.04.14	1	4.0
039	17:00:49	04.04.14	1	4.5
018	17:02:34	04.04.14	1	2.5
032	17:04:14	04.04.14	1	3.6
038	17:06:26	04.04.14	1	4.4
034	17:06:28	04.04.14	1	4.0
039	17:10:19	04.04.14	1	3.7
036	17:10:19	04.04.14	1	4.2
048	17:12:51	04.04.14	1	10.9
032	17:15:27	04.04.14	1	3.9
028	17:15:28	04.04.14	1	3.5
030	17:15:30	04.04.14	1	12.0
034	17:16:58	04.04.14	1	4.0
031	17:17:00	04.04.14	1	5.5
043	17:19:40	04.04.14	1	11.2
045	17:20:01	04.04.14	1	4.0
044	17:20:02	04.04.14	1	4.0
027	17:22:46	04.04.14	1	4.4
025	17:23:04	04.04.14	1	9.8
020	17:25:08	04.04.14	1	0.5
038	17:28:17	04.04.14	1	2.3
035	17:28:18	04.04.14	1	7.6
038	17:30:37	04.04.14	1	4.1
035	17:30:38	04.04.14	1	3.9
048	17:30:57	04.04.14	1	4.1
045	17:30:58	04.04.14	1	4.0
067	17:34:25	04.04.14	1	4.2
056	17:34:25	04.04.14	1	4.2
023	17:37:54	04.04.14	1	0.9
042	17:38:17	04.04.14	1	4.8
039	17:38:17	04.04.14	1	4.4
034	17:44:35	04.04.14	1	4.0
028	17:45:24	04.04.14	1	4.0
053	17:46:53	04.04.14	1	1.3
007	17:47:34	04.04.14	1	0.8
036	17:47:52	04.04.14	1	3.5
034	17:51:48	04.04.14	1	3.2
048	17:53:02	04.04.14	1	3.6
025	17:53:37	04.04.14	1	4.0
029	17:55:08	04.04.14	1	4.3
